"zone","state","lga","sector","ea","hhid","fish_cd","fish_desc","fish_other","sa9aq2","sa9aq3","sa9aq4a1","sa9aq4a2","sa9aq4b1","sa9aq4b2","sa9aq5a","sa9aq5b","sa9aq6","sa9aq7a","sa9aq7b","sa9aq8","sa9aq9","sa9aq10a1","sa9aq10a2","sa9aq10b1","sa9aq10b2","sa9aq11","sa9aq12a1","sa9aq12a2","sa9aq12a3","sa9aq12a4","sa9aq12b1","sa9aq12b2","sa9aq12b3","sa9aq12b4","sa9aq13a","sa9aq13b","sa9aq14","sa9aq15a","sa9aq15b","sa9aq16","sa9aq17","sa9aq18a1","sa9aq18a2","sa9aq18a3","sa9aq18a4","sa9aq18b1","sa9aq18b2","sa9aq18b3","sa9aq18b4","tracked_obs"
4,1,105,2,638,10094,1,"Catfish",,1,4,,,20,4,20,4,300000,5,4,300000,4,,,1,2,0,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,105,2,638,10094,2,"Tilapia",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,105,2,638,10094,3,"Carpfish",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,105,2,638,10094,4,"Shrimps",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,105,2,638,10094,5,"Other (specify)",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,105,2,638,10094,6,"Other (specify) 2",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,105,2,638,10094,7,"Other (specify) 3",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2,2,216,2,200,20031,1,"Catfish",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2,2,216,2,200,20031,2,"Tilapia",,1,5,15,1,15,1,0,,,0,,,3,15,1,15,1,0,,,,,,,,,,,,,,,,,,,,,,,,0
2,2,216,2,200,20031,3,"Carpfish",,1,5,25,1,25,1,0,,,0,,,3,25,1,25,1,0,,,,,,,,,,,,,,,,,,,,,,,,0
2,2,216,2,200,20031,4,"Shrimps",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2,2,216,2,200,20031,5,"Other (specify)",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
