"zone","state","lga","sector","ea","hhid","boat_cd","boat_desc","boat_other","sa9bq3","sa9bq4","sa9bq5","sa9bq6","sa9bq7","sa9bq8","sa9bq9","tracked_obs"
2,2,216,2,200,20033,1,"Canoe without engine",,1,40000,2,,,150,0,0
2,2,216,2,200,20033,2,"Canoe with engine",,0,,2,,,,,0
2,2,216,2,200,20033,3,"Outboard engine",,0,,2,,,,,0
2,2,216,2,200,20033,4,"Other Specify 1",,0,,2,,,,,0
2,2,216,2,200,20033,5,"Other Specify 2",,0,,2,,,,,0
2,2,216,2,200,20033,6,"Other Specify 3",,2,10000,2,,,0,600,0
2,2,216,2,200,20040,1,"Canoe without engine",,0,,2,,,0,,0
2,2,216,2,200,20040,2,"Canoe with engine",,0,,2,,,0,,0
2,2,216,2,200,20040,3,"Outboard engine",,0,,2,,,0,,0
2,2,216,2,200,20040,4,"Other Specify 1",,0,,2,,,0,,0
2,2,216,2,200,20040,5,"Other Specify 2",,0,,2,,,0,,0
2,2,216,2,200,20040,6,"Other Specify 3",,0,,2,,,0,,0
2,5,514,2,710,50062,1,"Canoe without engine",,0,,2,,,0,0,0
2,5,514,2,710,50062,2,"Canoe with engine",,0,,2,,,0,0,0
2,5,514,2,710,50062,3,"Outboard engine",,0,,2,,,0,0,0
2,5,514,2,710,50062,4,"Other Specify 1",,0,,2,,,0,0,0
2,5,514,2,710,50062,5,"Other Specify 2",,0,,2,,,0,0,0
2,5,514,2,710,50062,6,"Other Specify 3",,0,,2,,,0,0,0
2,5,514,2,710,50067,1,"Canoe without engine",,0,,2,,,0,0,0
2,5,514,2,710,50067,2,"Canoe with engine",,0,,2,,,0,0,0
2,5,514,2,710,50067,3,"Outboard engine",,0,,2,,,0,0,0
2,5,514,2,710,50067,4,"Other Specify 1",,0,,2,,,0,0,0
2,5,514,2,710,50067,5,"Other Specify 2",,0,,2,,,0,0,0
2,5,514,2,710,50067,6,"Other Specify 3",,0,,2,,,0,0,0
2,5,514,2,710,50070,1,"Canoe without engine",,1,40000,2,,,0,1500,0
2,5,514,2,710,50070,2,"Canoe with engine",,0,,,,,,,0
2,5,514,2,710,50070,3,"Outboard engine",,0,,,,,,,0
2,5,514,2,710,50070,4,"Other Specify 1",,0,,,,,,,0
2,5,514,2,710,50070,5,"Other Specify 2",,0,,,,,,,0
2,5,514,2,710,50070,6,"Other Specify 3",,0,,,,,,,0
5,6,602,2,1356,60003,1,"Canoe without engine",,0,,1,20,300,0,100,0
5,6,602,2,1356,60003,2,"Canoe with engine",,0,,2,,,0,0,0
5,6,602,2,1356,60003,3,"Outboard engine",,0,,2,,,0,0,0
5,6,602,2,1356,60003,4,"Other Specify 1",,0,,2,,,0,0,0
5,6,602,2,1356,60003,5,"Other Specify 2",,0,,2,,,0,0,0
5,6,602,2,1356,60003,6,"Other Specify 3",,0,,2,,,0,0,0
5,6,602,2,1356,60009,1,"Canoe without engine",,1,18000,2,,,0,0,0
5,6,602,2,1356,60009,2,"Canoe with engine",,0,,,,,,,0
5,6,602,2,1356,60009,3,"Outboard engine",,0,,,,,,,0
5,6,602,2,1356,60009,4,"Other Specify 1",,0,,,,,,,0
5,6,602,2,1356,60009,5,"Other Specify 2",,0,,,,,,,0
5,6,602,2,1356,60009,6,"Other Specify 3",,0,,,,,,,0
5,6,602,2,1356,60010,1,"Canoe without engine",,3,73000,2,,,1200,6000,0
5,6,602,2,1356,60010,2,"Canoe with engine",,,,,,,,,0
5,6,602,2,1356,60010,3,"Outboard engine",,,,,,,,,0
5,6,602,2,1356,60010,4,"Other Specify 1",,,,,,,,,0
5,6,602,2,1356,60010,5,"Other Specify 2",,,,,,,,,0
5,6,602,2,1356,60010,6,"Other Specify 3",,,,,,,,,0
5,6,608,1,3978,60021,1,"Canoe without engine",,1,8000,2,,,0,300,0
5,6,608,1,3978,60021,2,"Canoe with engine",,0,,2,,,0,0,0
5,6,608,1,3978,60021,3,"Outboard engine",,0,,2,,,0,0,0
5,6,608,1,3978,60021,4,"Other Specify 1",,0,,2,,,0,0,0
5,6,608,1,3978,60021,5,"Other Specify 2",,0,,2,,,0,0,0
5,6,608,1,3978,60021,6,"Other Specify 3",,0,,2,,,0,0,0
