"zone","state","lga","sector","ea","hhid","sa9bq10a","sa9bq10b","sa9bq11a","sa9bq11b","sa9bq12a","sa9bq12b","sa9bq13","sa9bq14","sa9bq15a","sa9bq15b","sa9bq15c","sa9bq16","sa9bq17a1","sa9bq17a2","sa9bq17b1","sa9bq17b2","sa9bq17c1","sa9bq17c2","sa9bq18","sa9bq19a","sa9bq19b","sa9bq19c","sa9bq20a","sa9bq20b","sa9bq20c","sa9bq21","sa9bq22a","sa9bq22b","sa9bq22c","sa9bq22d","sa9bq23","sa9bq24","sa9bq25","tracked_obs"
2,2,216,2,200,20033,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,2,,,,,1,"FIREWOOD FOR SMOKING FISH",2000,0
2,2,216,2,200,20040,4,0,0,0,4,20,2,2,,,2000,2,,,,,,,1,0,0,2000,2,2,2,1,0,0,0,300,2,,,0
2,5,514,2,710,50062,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,2,,,,,2,,,0
2,5,514,2,710,50067,0,,0,,0,,1,,,,,,,,,,,,,,,,,,,2,,,,,2,,,0
2,5,514,2,710,50070,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,2,,,,,2,,,0
5,6,602,2,1356,60003,0,,0,,0,,1,,,,,,,,,,,,,,,,,,,2,,,,,2,,,0
5,6,602,2,1356,60009,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,2,,,,,2,,,0
5,6,602,2,1356,60010,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,2,,,,,2,,,0
5,6,608,1,3978,60021,0,,0,,0,,1,,,,,,,,,,,,,,,,,,,2,,,,,2,,,0
5,6,608,1,3978,60022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
5,6,608,1,3978,60030,0,,0,,0,,1,,,,,,,,,,,,,,,,,,,2,,,,,2,,,0
5,6,607,2,1892,60038,0,,0,,0,,1,,,,,,,,,,,,,,,,,,,2,,,,,2,,,0
5,6,601,2,640,60045,0,,0,,0,,1,,,,,,,,,,,,,,,,,,,2,,,,,2,,,0
1,7,713,2,304,70152,1,4,0,0,0,0,2,,,,,,,,,,,,,,,,,,,2,,,,,2,,,0
1,7,713,2,304,70153,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,2,,,,,2,,,0
1,7,713,2,304,70155,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,2,,,,,2,,,0
1,7,713,2,304,70157,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,2,,,,,2,,,0
5,10,1018,2,898,100102,0,,0,,0,,1,,,,,,,,,,,,,,,,,,,2,,,,,2,,,0
3,17,1722,2,96,170041,1,10,0,0,0,0,2,,,,,,,,,,,,,,,,,,,1,200,0,0,0,2,,,0
3,17,1722,2,96,170042,,,0,0,0,0,1,,,,,,,,,,,,,,,,,,,2,,,,,2,,,0
3,17,1722,2,96,170046,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,2,,,,,2,,,0
3,17,1722,2,96,170047,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,2,,,,,2,,,0
3,17,1722,2,96,170049,1,15,0,0,0,0,2,,,,,,,,,,,,,,,,,,,1,1000,0,0,0,2,,,0
3,21,2117,2,554,210064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
6,28,2810,2,2394,280096,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,2,,,,,2,,,0
6,28,2810,2,2394,280097,0,0,0,0,0,0,1,,,,,,,,,,,,,0,0,0,,,,2,,,,,2,,,0
6,28,2810,2,2394,280098,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,2,,,,,2,,,0
6,28,2810,2,2394,280099,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,2,,,,,2,,,0
6,28,2810,1,3722,280103,0,,0,,0,,1,,,,,,,,,,,,,,,,,,,2,,,,,2,,,0
