"zone","state","lga","sector","ea","hhid","hhno","qno1","qno2","s1q10","s1q11","tracked_obs"
4,1,104,2,1364,10012,9,2,2,2,1,0
4,1,104,2,1364,10013,6,2,2,3,1,0
4,1,104,2,1364,10014,11,2,2,3,1,0
4,1,104,2,1364,10015,4,2,2,2,1,0
4,1,104,2,1364,10016,24,2,2,4,1,0
4,1,104,2,1364,10018,16,2,2,4,1,0
4,1,104,2,1364,10019,14,2,2,1,1,0
4,1,106,2,880,10021,4,2,2,2,1,0
4,1,106,2,880,10022,10,2,2,2,1,0
4,1,106,2,880,10023,3,2,2,2,1,0
4,1,106,2,880,10024,13,2,2,3,1,0
4,1,106,2,880,10025,7,2,2,3,1,0
4,1,106,2,880,10026,2,2,2,3,1,0
4,1,106,2,880,10027,9,2,2,4,1,0
4,1,106,2,880,10028,1,2,2,4,1,0
4,1,106,2,880,10029,6,2,2,1,1,0
4,1,106,2,880,10030,8,2,2,4,1,0
4,1,111,1,1146,10034,10,2,2,2,1,0
4,1,102,1,1690,10057,10,2,2,4,1,0
4,1,107,2,1044,10061,10,2,2,4,1,0
4,1,107,2,1044,10062,2,2,2,4,1,0
4,1,107,2,1044,10063,12,2,2,2,1,0
4,1,107,2,1044,10064,2,2,2,2,1,0
4,1,107,2,1044,10065,6,2,2,2,1,0
4,1,107,2,1044,10066,8,2,2,3,1,0
4,1,107,2,1044,10067,5,2,2,3,1,0
4,1,107,2,1044,10068,4,2,2,3,1,0
4,1,107,2,1044,10069,1,2,2,1,1,0
4,1,107,2,1044,10070,13,2,2,4,1,0
4,1,117,2,560,10071,3,2,2,3,1,0
4,1,117,2,560,10072,3,2,2,3,1,0
4,1,117,2,560,10073,6,2,2,2,1,0
4,1,117,2,560,10074,1,2,2,2,1,0
4,1,117,2,560,10075,15,2,2,1,1,0
4,1,117,2,560,10076,9,2,2,4,1,0
4,1,117,2,560,10077,7,2,2,4,1,0
4,1,117,2,560,10078,2,2,2,2,1,0
4,1,117,2,560,10079,8,2,2,3,1,0
4,1,117,2,560,10080,10,2,2,1,1,0
4,1,110,2,76,10081,19,2,2,4,1,0
4,1,110,2,76,10082,1,2,2,4,1,0
