"zone","state","sector","lga","ea","serial_no","c1q2","c1q3","c1q4a","c1q4b","c1q4c","c1q5","c1q6"
4,1,1,102,536,1,1,49,1,,,49,26
4,1,1,102,536,2,1,72,3,,,22,42
4,1,1,102,536,3,1,62,11,,"PRIME MINISTER",62,16
4,1,1,102,536,4,2,42,2,,,22,42
4,1,1,102,536,5,1,40,11,,"YOUTH LEADER",40,26
4,1,1,102,536,6,1,51,3,,,51,23
4,1,1,102,536,7,2,45,8,,,45,16
4,1,1,102,536,8,1,48,8,,,48,25
4,1,1,102,536,9,1,50,11,,"SECRETARY",50,26
4,1,1,102,1690,1,1,55,1,,,55,41
4,1,1,102,1690,2,1,54,3,,,54,42
4,1,1,102,1690,3,1,62,3,,,62,42
4,1,1,102,1690,4,1,51,8,,,51,16
4,1,1,102,1690,5,1,44,11,,"YOUTH LEADER",44,41
4,1,1,102,1690,6,2,62,11,,"POLITICIAN",41,26
4,1,1,102,1690,7,1,45,11,,"SECRETARY",45,26
4,1,1,102,1690,8,1,50,11,,"FINANCIAL SECRETARY",50,26
4,1,2,104,1364,1,1,77,1,,,11,16
4,1,2,104,1364,2,1,71,2,,,19,42
4,1,2,104,1364,3,1,66,2,,,21,16
4,1,2,104,1364,4,1,74,11,,"SECRETARY",41,25
4,1,2,104,1364,5,2,54,11,,"WOMEN LEADER",54,16
4,1,2,104,1364,6,2,49,11,,"WOMEN LEADER",49,25
4,1,2,104,1364,7,1,48,11,,"YOUTH LEEADR",48,16
4,1,2,104,1364,8,1,57,11,,"YOUTH LEADER",57,16
4,1,2,105,638,1,1,83,1,,,21,16
4,1,2,105,638,2,1,61,11,,"CHAIRMAN",26,16
4,1,2,105,638,3,1,68,11,,"SECRETARY",16,26
4,1,2,105,638,4,1,71,11,,"COMMUNITY HEAD",19,16
4,1,2,105,638,5,2,62,11,,"WOMEN LEADER",41,16
4,1,2,105,638,6,2,83,11,,"FARMER",31,16
4,1,2,105,638,7,1,43,11,,"YOUTH LEADRE",11,16
4,1,2,105,638,8,1,73,9,,,19,43
4,1,2,105,638,9,1,62,11,,"FARMER",24,16
4,1,2,106,880,1,1,55,1,,,55,16
4,1,2,106,880,2,1,44,11,,"CHAIR MAN",31,25
4,1,2,106,880,3,1,56,11,,"FARMER",56,25
4,1,2,106,880,4,2,42,8,,"BUSINESS WOMAN",22,25
4,1,2,106,880,5,1,31,11,,"PROVOST",31,16
4,1,2,106,880,6,2,44,11,,"SECRETARY",19,25
4,1,2,106,880,7,1,53,11,,"FARMER",53,16
4,1,2,107,1044,1,1,67,1,,,61,16
4,1,2,107,1044,2,1,41,8,,,41,16
4,1,2,107,1044,3,1,41,11,,"YOUTH LEADER",41,16
4,1,2,107,1044,4,2,36,11,,"CHAIR LADY",36,25
4,1,2,107,1044,5,2,36,11,,"SECRETARY",36,32
4,1,2,107,1044,6,2,66,11,,"CHAIRLADY",66,0
4,1,2,107,1044,7,2,37,8,,,37,16
4,1,2,107,1044,8,1,81,3,,,81,42
4,1,2,108,904,1,1,66,1,,,41,42
4,1,2,108,904,2,1,55,11,,"CHAIRMAN",10,42
4,1,2,108,904,3,1,63,3,,,51,16
4,1,2,108,904,4,1,79,3,,,72,16
4,1,2,108,904,5,2,59,7,,,31,41
4,1,2,108,904,6,1,50,11,,"YOUTH LEADER",50,42
4,1,2,108,904,7,2,73,8,,,73,41
4,1,2,108,904,8,1,47,11,,"SECRETARY",47,26
4,1,2,110,76,1,1,97,1,,,56,0
4,1,2,110,76,2,1,54,11,,"SECRETARY",41,42
4,1,2,110,76,3,1,57,3,,,46,16
4,1,2,110,76,4,1,72,3,,,41,13
4,1,2,110,76,5,2,85,3,,,85,0
4,1,2,110,76,6,1,52,8,,,26,16
4,1,2,110,76,7,1,40,11,,"YOUTH LEADER",31,31
4,1,1,111,1146,1,1,77,1,,,77,16
4,1,1,111,1146,2,2,42,2,,,42,26
4,1,1,111,1146,3,1,52,11,,"CHAIRMAN",52,16
4,1,1,111,1146,4,1,47,11,,"YOUTH LEADER",47,16
4,1,1,111,1146,5,1,62,3,,,62,16
4,1,1,111,1146,6,1,50,11,,"SECRETARY",50,26
4,1,1,111,1146,7,1,55,8,,,53,26
4,1,1,111,1146,8,2,48,9,,,48,26
4,1,1,115,670,1,1,54,1,,,10,43
4,1,1,115,670,2,1,67,11,,"TREASURER",11,43
4,1,1,115,670,3,1,59,11,,"VICE CHAIRMAN",11,42
4,1,1,115,670,4,1,61,11,,"SECRETARY",11,43
4,1,1,115,670,5,2,59,11,,"PRO",14,42
4,1,1,115,670,6,1,54,11,,"MD(ESTATE)",13,42
4,1,1,115,670,7,2,51,11,,"ZONE C REPRESENTATIVE",8,42
4,1,2,117,560,1,1,70,1,,,70,16
4,1,2,117,560,2,1,48,8,,,48,16
4,1,2,117,560,3,2,44,2,,,44,16
4,1,2,117,560,4,1,47,3,,,47,16
4,1,2,117,560,5,1,55,11,,"SECRETARY",55,16
4,1,2,117,560,6,2,46,11,,"WOMEN LEADER",46,16
4,1,2,117,560,7,1,51,11,,"YOUTH LEADER",41,26
4,1,2,117,560,8,1,61,9,,,51,26
2,2,2,201,60,1,1,58,1,,,58,16
2,2,2,201,60,2,1,49,5,,,26,34
2,2,2,201,60,3,2,33,8,,,33,26
2,2,2,201,60,4,2,47,2,,,47,0
2,2,2,201,60,5,2,40,11,,"WOMEN LEADER",26,26
2,2,2,203,1224,1,1,85,1,,,35,2
2,2,2,203,1224,2,2,60,2,,,35,0
2,2,2,203,1224,3,1,65,11,,,35,0
2,2,2,203,1224,4,1,39,8,,,35,34
2,2,2,203,1224,5,1,28,11,,,28,16
2,2,2,205,712,1,1,35,1,,,35,26
2,2,2,205,712,2,1,54,4,,,54,42
2,2,2,205,712,3,1,55,5,,,55,16
2,2,2,205,712,4,2,50,2,,,50,27
2,2,2,205,712,5,1,35,3,,,35,16
2,2,2,205,712,6,1,32,11,,"YOUTH LEADER",32,26
2,2,2,207,1302,1,1,75,1,,,27,0
2,2,2,207,1302,2,1,40,3,,,40,52
2,2,2,207,1302,3,1,70,11,,"ELDER",70,0
2,2,2,207,1302,4,2,37,5,,,37,34
2,2,2,207,1302,5,1,57,9,,,40,52
2,2,2,207,1302,6,1,35,11,,"YOUTH LEADER",18,26
2,2,2,209,1040,1,1,48,1,,,48,31
2,2,2,209,1040,2,1,40,5,,,40,42
2,2,2,209,1040,3,2,35,2,,,35,0
2,2,2,209,1040,4,1,25,3,,,25,26
2,2,2,209,1040,5,2,21,11,,,21,26
2,2,2,210,1300,1,2,42,6,,,9,16
2,2,2,210,1300,2,1,42,8,,,42,14
2,2,2,210,1300,3,2,38,6,,,38,0
2,2,2,210,1300,4,1,28,11,,,28,0
2,2,2,212,956,1,1,65,1,,,65,0
2,2,2,212,956,2,1,35,3,,,35,0
2,2,2,212,956,3,2,50,2,,,50,0
2,2,2,212,956,4,1,50,6,,,50,0
2,2,2,212,956,5,1,35,6,,,35,0
2,2,2,212,956,6,1,33,6,,,33,0
2,2,2,212,956,7,1,40,6,,,40,0
2,2,2,214,898,1,1,58,1,,,50,0
2,2,2,214,898,2,1,39,8,,,18,26
2,2,2,214,898,3,1,37,9,,,37,26
2,2,2,214,898,4,1,34,11,,"YOUTH",34,42
2,2,2,214,898,5,1,24,11,,"YOUTH",24,42
2,2,1,215,8,1,1,55,8,,,30,0
2,2,1,215,8,2,1,65,6,,,25,0
2,2,1,215,8,3,1,59,6,,,30,16
2,2,1,215,8,4,1,19,11,,,19,26
2,2,1,215,8,5,2,30,11,,,30,0
2,2,1,215,8,6,1,28,11,,,15,26
2,2,2,216,200,1,1,72,1,,,72,0
2,2,2,216,200,2,1,41,3,,,41,16
2,2,2,216,200,3,1,39,11,,"YOUTH LEADER",39,26
2,2,2,216,200,4,1,44,11,,"MEMBER",44,26
2,2,2,216,200,5,1,28,11,,"YOUTH",28,23
2,2,2,216,200,6,1,35,11,,"CHAIRMAN PTA",35,26
2,2,2,218,1592,1,1,67,1,,,40,0
2,2,2,218,1592,2,1,75,11,,"COMMUNITY ELDER",52,0
2,2,2,218,1592,3,1,38,9,,,38,0
2,2,2,218,1592,4,1,36,11,,"YOUTH LEADER",36,0
2,2,2,218,1592,5,1,38,11,,"DEPUTY YOUTH LEADER",38,0
2,2,2,218,1592,6,1,42,3,,,35,0
2,2,2,221,18,1,1,47,3,,,47,16
2,2,2,221,18,2,1,39,3,,,39,31
2,2,2,221,18,3,1,40,6,,,40,0
2,2,2,221,18,4,1,70,11,,,70,0
2,2,2,221,18,5,1,35,11,,,35,0
2,2,2,221,18,6,1,40,11,,,20,0
2,2,2,221,18,7,1,28,6,,,11,13
5,3,1,301,1198,1,1,53,,,,40,16
5,3,1,301,1198,2,1,59,11,,"SECRETARY",38,26
5,3,1,301,1198,3,1,43,11,,"FAMILY HEAD",30,16
5,3,1,301,1198,4,1,71,11,,"FAMILY HEAD",30,16
5,3,1,301,1198,5,1,67,11,,"WOMEN LEADER",40,16
5,3,1,301,1198,6,1,39,11,,"YOUTH LEADER",20,16
5,3,2,305,4,1,1,75,1,,,50,26
5,3,2,305,1542,1,1,46,1,,,20,42
5,3,2,305,1542,2,1,71,3,,,15,16
5,3,2,305,1542,3,1,41,,,"YOUTH LEADER",10,14
5,3,2,305,1542,4,2,43,,,"WOMEN LEADER",10,31
5,3,2,305,1542,5,1,41,,,"FAMILY HEAD",20,26
