"zone","state","lga","sector","ea","is_cd","c2q1","c2q2","c2q3","c2q4a","c2q4b","c2q5","c2q6a","c2q6b"
4,1,102,1,536,201,1,,,,,,,
4,1,102,1,536,202,1,,,,,,,
4,1,102,1,536,203,1,,,,,,,
4,1,102,1,536,204,1,1,,,,,,
4,1,102,1,536,205,2,,1,8,"KEKE",50,0,20
4,1,102,1,536,206,2,,1,8,"KEKE",50,0,20
4,1,102,1,536,207,2,,1,8,"KEKE",50,0,20
4,1,102,1,536,208,2,,1,8,"KEKE",50,0,20
4,1,102,1,536,209,2,,1,8,"KEKE",50,0,20
4,1,102,1,536,210,2,,1,8,"KEKE",50,0,20
4,1,102,1,536,211,2,,1,8,"KEKE",50,0,20
4,1,102,1,536,212,2,,1,8,"KEKE",50,0,20
4,1,102,1,536,213,2,,1,8,"KEKE",50,0,20
4,1,102,1,536,214,2,,1,8,"KEKE",50,0,20
4,1,102,1,536,215,2,,1,8,"KEKE",50,0,20
4,1,102,1,536,216,2,,1,8,"KEKE",50,0,20
4,1,102,1,536,217,2,,1,8,"KEKE",50,0,20
4,1,102,1,536,218,2,,1,8,"KEKE",50,0,20
4,1,102,1,536,219,1,1,,,,,,
4,1,102,1,536,220,1,8,,,,,,
4,1,102,1,536,221,1,8,,,,,,
4,1,102,1,536,222,2,,1,8,"KEKE",50,0,20
4,1,102,1,1690,201,1,,,,,,,
4,1,102,1,1690,202,1,,,,,,,
4,1,102,1,1690,203,,,2,1,,,,
4,1,102,1,1690,204,2,,1,8,"KEKE",50,0,20
4,1,102,1,1690,205,2,,1,8,"KEKE",50,0,20
4,1,102,1,1690,206,1,8,,,,,,
4,1,102,1,1690,207,1,8,,,,,,
4,1,102,1,1690,208,1,8,,,,,,
4,1,102,1,1690,209,1,8,,,,,,
4,1,102,1,1690,210,2,,1,8,"KEKE",50,0,20
4,1,102,1,1690,211,1,8,,,,,,
4,1,102,1,1690,212,1,,,,,,,
4,1,102,1,1690,213,1,,,,,,,
4,1,102,1,1690,214,1,8,,,,,,
4,1,102,1,1690,215,1,3,,,,,,
4,1,102,1,1690,216,2,,0.300000011920929,8,"KEKE",50,0,20
4,1,102,1,1690,217,2,,0.300000011920929,8,"KEKE",50,0,20
4,1,102,1,1690,218,1,2,,,,,,
4,1,102,1,1690,219,1,8,,,,,,
4,1,102,1,1690,220,1,8,,,,,,
4,1,102,1,1690,221,1,8,,,,,,
4,1,102,1,1690,222,1,8,,,,,,
4,1,104,2,1364,201,1,,,,,,,
4,1,104,2,1364,202,1,,,,,,,
4,1,104,2,1364,203,2,,1,1,,,,
4,1,104,2,1364,204,1,1,,,,,,
4,1,104,2,1364,205,2,,10,5,,150,0,20
4,1,104,2,1364,206,2,,10,5,,150,0,20
4,1,104,2,1364,207,2,,10,5,,150,0,20
4,1,104,2,1364,208,2,,10,5,,150,0,20
4,1,104,2,1364,209,1,8,,,,,,
4,1,104,2,1364,210,2,,10,5,,150,0,20
4,1,104,2,1364,211,2,,10,5,,150,0,20
4,1,104,2,1364,212,2,,10,5,,150,0,20
4,1,104,2,1364,213,1,,,,,,,
4,1,104,2,1364,214,1,,,,,,,
4,1,104,2,1364,215,2,,10,5,,150,0,20
4,1,104,2,1364,216,1,1,,,,,,
4,1,104,2,1364,217,2,,8,4,,300,0,40
4,1,104,2,1364,218,2,,0.200000002980232,1,,,,
4,1,104,2,1364,219,1,8,,,,,,
4,1,104,2,1364,220,1,8,,,,,,
4,1,104,2,1364,221,1,8,,,,,,
4,1,104,2,1364,222,2,,10,5,,150,0,20
4,1,105,2,638,201,1,,,,,,,
4,1,105,2,638,202,1,,,,,,,
4,1,105,2,638,203,1,,,,,,,
4,1,105,2,638,204,1,1,,,,,,
4,1,105,2,638,205,2,,10,5,,250,1,0
4,1,105,2,638,206,2,,10,5,,250,1,0
4,1,105,2,638,207,2,,10,5,,250,1,0
4,1,105,2,638,208,2,,10,5,,250,1,0
4,1,105,2,638,209,2,,10,5,,250,1,0
4,1,105,2,638,210,2,,10,5,,250,1,0
4,1,105,2,638,211,2,,10,5,,250,1,0
4,1,105,2,638,212,2,,10,5,,250,1,0
4,1,105,2,638,213,2,,10,5,,250,1,0
4,1,105,2,638,214,2,,5,4,,150,0,30
4,1,105,2,638,215,2,,10,5,,250,1,0
4,1,105,2,638,216,2,,10,5,,250,1,0
4,1,105,2,638,217,2,,10,5,,250,1,0
4,1,105,2,638,218,2,,10,5,,250,1,0
4,1,105,2,638,219,2,,6,4,,150,0,30
4,1,105,2,638,220,1,8,,,,,,
4,1,105,2,638,221,1,8,,,,,,
4,1,105,2,638,222,2,,10,5,,250,1,0
4,1,106,2,880,201,2,,3,1,,,,
4,1,106,2,880,202,2,,3,1,,,,
4,1,106,2,880,203,2,,5,3,,,,
4,1,106,2,880,204,2,,5,4,,100,0,30
4,1,106,2,880,205,2,,5,4,,100,0,30
4,1,106,2,880,206,2,,5,4,,100,0,30
4,1,106,2,880,207,2,,5,4,,100,0,30
4,1,106,2,880,208,2,,5,4,,100,0,30
4,1,106,2,880,209,2,,5,4,,100,0,30
4,1,106,2,880,210,2,,12,5,,250,1,0
4,1,106,2,880,211,2,,5,5,,100,0,30
4,1,106,2,880,212,2,,5,4,,100,0,30
4,1,106,2,880,213,2,,5,4,,100,0,30
4,1,106,2,880,214,2,,3,4,,100,0,30
4,1,106,2,880,215,2,,5,4,,100,0,30
4,1,106,2,880,216,2,,,,,,,
4,1,106,2,880,217,2,,,,,,,
4,1,106,2,880,218,2,,,,,,,
4,1,106,2,880,219,2,,,,,,,
4,1,106,2,880,220,1,8,,,,,,
