"zone","state","lga","sector","ea","group_cd","group_specify","c3q1","c3q2","c3q3","c3q3b","c3q4","c3q5","c3q6"
4,1,102,1,536,301,,1,1,2,,10,3,0
4,1,102,1,536,302,,2,,,,,,
4,1,102,1,536,303,,2,,,,,,
4,1,102,1,536,304,,2,,,,,,
4,1,102,1,536,305,,1,10,2,,200,200,40
4,1,102,1,536,306,,1,10,2,,180,0,70
4,1,102,1,536,307,,1,3,6,"ANY TIME",100,35,15
4,1,102,1,536,308,,1,10,2,,200,10,70
4,1,102,1,536,309,,2,,,,,,
4,1,102,1,536,310,,2,,,,,,
4,1,102,1,536,311,,2,,,,,,
4,1,102,1,536,312,,2,,,,,,
4,1,102,1,536,313,,2,,,,,,
4,1,102,1,536,314,,2,,,,,,
4,1,102,1,536,315,,2,,,,,,
4,1,102,1,1690,301,,1,1,2,,7,2,0
4,1,102,1,1690,302,,2,,,,,,
4,1,102,1,1690,303,,2,,,,,,
4,1,102,1,1690,304,,2,,,,,,
4,1,102,1,1690,305,,1,1,2,,57,57,15
4,1,102,1,1690,306,,1,1,2,,80,0,30
4,1,102,1,1690,307,,1,3,6,"ANY TIME",120,37,27
4,1,102,1,1690,308,,1,1,6,"ANY TIME",15,8,0
4,1,102,1,1690,309,,2,,,,,,
4,1,102,1,1690,310,,2,,,,,,
4,1,102,1,1690,311,,1,10,3,,150,45,25
4,1,102,1,1690,312,,2,,,,,,
4,1,102,1,1690,313,,2,,,,,,
4,1,102,1,1690,314,,2,,,,,,
4,1,102,1,1690,315,,2,,,,,,
4,1,104,2,1364,301,,1,1,2,,10,0,0
4,1,104,2,1364,302,,2,,,,,,
4,1,104,2,1364,303,,2,,,,,,
4,1,104,2,1364,304,,2,,,,,,
4,1,104,2,1364,305,,1,1,1,,50,50,15
4,1,104,2,1364,306,,1,1,6,,120,25,
4,1,104,2,1364,307,,1,5,6,,500,230,
4,1,104,2,1364,308,,1,3,5,,50,0,0
4,1,104,2,1364,309,,2,,,,,,
4,1,104,2,1364,310,,2,,,,,,
4,1,104,2,1364,311,,2,,,,,,
4,1,104,2,1364,312,,2,,,,,,
4,1,104,2,1364,313,,1,1,6,,120,0,65
4,1,104,2,1364,314,,2,,,,,,
4,1,104,2,1364,315,,2,,,,,,
4,1,105,2,638,301,,1,1,1,,11,5,0
4,1,105,2,638,302,,2,,,,,,
4,1,105,2,638,303,,2,,,,,,
4,1,105,2,638,304,,2,,,,,,
4,1,105,2,638,305,,1,1,2,,50,50,5
4,1,105,2,638,306,,1,1,6,"ANY TIME",30,10,30
4,1,105,2,638,307,,1,2,6,"ANY TIME",50,25,10
4,1,105,2,638,308,,2,,,,,,
4,1,105,2,638,309,,2,,,,,,
4,1,105,2,638,310,,2,,,,,,
4,1,105,2,638,311,,1,2,6,"ANY TIME",125,30,10
4,1,105,2,638,312,,2,,,,,,
4,1,105,2,638,313,,2,,,,,,
4,1,105,2,638,314,,2,,,,,,
4,1,105,2,638,315,,2,,,,,,
4,1,106,2,880,301,,2,,,,,,
4,1,106,2,880,302,,2,,,,,,
4,1,106,2,880,303,,2,,,,,,
4,1,106,2,880,304,,2,,,,,,
4,1,106,2,880,305,,1,1,1,,40,40,10
4,1,106,2,880,306,,2,,,,,,
4,1,106,2,880,307,,2,,,,,,
4,1,106,2,880,308,,2,,,,,,
4,1,106,2,880,309,,2,,,,,,
4,1,106,2,880,310,,2,,,,,,
4,1,106,2,880,311,,2,,,,,,
4,1,106,2,880,312,,2,,,,,,
4,1,106,2,880,313,,2,,,,,,
4,1,106,2,880,314,,2,,,,,,
4,1,106,2,880,315,,2,,,,,,
4,1,107,2,1044,301,,1,1,2,,18,6,4
4,1,107,2,1044,302,,2,,,,,,
4,1,107,2,1044,303,,2,,,,,,
4,1,107,2,1044,304,,2,,,,,,
4,1,107,2,1044,305,,1,3,2,,50,50,22
4,1,107,2,1044,306,,1,1,1,,70,0,61
4,1,107,2,1044,307,,1,2,6,"ANY TIME",110,55,27
4,1,107,2,1044,308,,1,1,6,"ANY TIME",12,4,0
4,1,107,2,1044,309,,1,1,1,,18,7,0
4,1,107,2,1044,310,,2,,,,,,
4,1,107,2,1044,311,,1,2,6,"ANY TIME",16,4,0
4,1,107,2,1044,312,,2,,,,,,
4,1,107,2,1044,313,,1,1,1,,30,0,0
4,1,107,2,1044,314,,2,,,,,,
4,1,107,2,1044,315,,2,,,,,,
4,1,108,2,904,301,,1,2,2,,12,0,0
4,1,108,2,904,302,,2,,,,,,
4,1,108,2,904,303,,2,,,,,,
4,1,108,2,904,304,,2,,,,,,
4,1,108,2,904,305,,1,1,2,,120,120,25
4,1,108,2,904,306,,1,1,2,,55,15,42
4,1,108,2,904,307,,1,2,6,,200,80,1
4,1,108,2,904,308,,1,1,3,,50,20,10
4,1,108,2,904,309,,1,1,6,"BY-WEEKLY",5,1,0
4,1,108,2,904,310,,1,1,2,,7,3,0
4,1,108,2,904,311,,1,2,6,"AS NEEDED",500,150,15
4,1,108,2,904,312,,2,,,,,,
4,1,108,2,904,313,,2,,,,,,
4,1,108,2,904,314,,2,,,,,,
4,1,108,2,904,315,,2,,,,,,
4,1,110,2,76,301,,1,3,6,"AS NEEDED",7,0,0
4,1,110,2,76,302,,2,,,,,,
4,1,110,2,76,303,,2,,,,,,
4,1,110,2,76,304,,2,,,,,,
4,1,110,2,76,305,,1,3,6,"AS NEEDED",72,72,15
4,1,110,2,76,306,,1,2,6,"AS NEEDED",55,0,55
4,1,110,2,76,307,,1,3,6,"AS NEEDED",47,15,15
4,1,110,2,76,308,,1,2,6,"AS NEEDED",37,0,0
4,1,110,2,76,309,,2,,,,,,
4,1,110,2,76,310,,1,1,6,"AS NEEDED",11,3,0
4,1,110,2,76,311,,1,1,6,"AS NEEDED",37,20,7
4,1,110,2,76,312,,2,,,,,,
4,1,110,2,76,313,,1,1,6,"AS NEEDED",16,0,0
4,1,110,2,76,314,,2,,,,,,
4,1,110,2,76,315,,2,,,,,,
4,1,111,1,1146,301,,1,1,2,,11,0,0
4,1,111,1,1146,302,,2,,,,,,
4,1,111,1,1146,303,,2,,,,,,
4,1,111,1,1146,304,,2,,,,,,
4,1,111,1,1146,305,,1,1,6,"BY WEEKLY",70,70,21
4,1,111,1,1146,306,,1,1,6,"BY WEEKLY",65,0,32
4,1,111,1,1146,307,,1,3,6,"WHEN NEEDED",110,52,24
4,1,111,1,1146,308,,1,1,1,"WHEN NEEDED",23,7,8
4,1,111,1,1146,309,,2,,,,,,
4,1,111,1,1146,310,,2,,,,,,
4,1,111,1,1146,311,,1,1,6,"WHEN NEEDED",1000,250,50
4,1,111,1,1146,312,,2,,,,,,
4,1,111,1,1146,313,,1,1,2,,12,0,0
4,1,111,1,1146,314,,2,,,,,,
4,1,111,1,1146,315,,2,,,,,,
4,1,115,1,670,301,,2,,,,,,
4,1,115,1,670,302,,2,,,,,,
4,1,115,1,670,303,,2,,,,,,
4,1,115,1,670,304,,2,,,,,,
4,1,115,1,670,305,,2,,,,,,
4,1,115,1,670,306,,2,,,,,,
4,1,115,1,670,307,,2,,,,,,
4,1,115,1,670,308,,2,,,,,,
4,1,115,1,670,309,,2,,,,,,
4,1,115,1,670,310,,2,,,,,,
4,1,115,1,670,311,,2,,,,,,
4,1,115,1,670,312,,2,,,,,,
4,1,115,1,670,313,,2,,,,,,
4,1,115,1,670,314,,2,,,,,,
4,1,115,1,670,315,,2,,,,,,
4,1,117,2,560,301,,1,1,2,,7,2,0
4,1,117,2,560,302,,2,,,,,,
4,1,117,2,560,303,,2,,,,,,
4,1,117,2,560,304,,2,,,,,,
4,1,117,2,560,305,,1,6,2,,50,50,20
4,1,117,2,560,306,,1,1,2,,120,30,60
4,1,117,2,560,307,,1,1,3,,300,100,150
4,1,117,2,560,308,,1,2,2,,100,40,27
4,1,117,2,560,309,,2,,,,,,
4,1,117,2,560,310,,2,,,,,,
4,1,117,2,560,311,,1,1,2,,60,25,15
4,1,117,2,560,312,,2,,,,,,
4,1,117,2,560,313,,1,1,1,,10,0,3
4,1,117,2,560,314,,2,,,,,,
4,1,117,2,560,315,,2,,,,,,
2,2,201,2,60,305,,1,2,2,,40,40,7
2,2,201,2,60,306,,1,1,3,,30,8,9
2,2,201,2,60,307,,1,3,2,,39,4,11
2,2,201,2,60,308,,1,1,3,,18,3,0
2,2,201,2,60,310,,1,2,3,,6,2,0
2,2,201,2,60,311,,1,2,3,,200,13,0
2,2,203,2,1224,302,,1,1,1,,40,38,10
2,2,205,2,712,301,,1,1,4,,50,20,0
2,2,205,2,712,305,,1,8,2,,140,140,9
2,2,205,2,712,306,,1,1,3,,38,0,12
2,2,205,2,712,307,,1,3,3,,250,27,83
2,2,205,2,712,308,,1,1,3,,30,2,0
2,2,205,2,712,309,,1,1,3,,25,1,0
2,2,205,2,712,310,,1,2,3,,30,4,0
2,2,205,2,712,311,,1,2,3,,600,18,0
2,2,207,2,1302,301,,1,1,3,,8,2,0
2,2,207,2,1302,306,,1,1,3,,32,5,15
2,2,207,2,1302,309,,1,1,,,9,1,0
2,2,207,2,1302,311,,1,2,,,10,2,0
2,2,209,2,1040,301,,1,1,2,,7,3,0
2,2,209,2,1040,302,,1,1,2,,15,5,0
2,2,209,2,1040,305,,1,1,2,,15,15,8
2,2,209,2,1040,306,,1,1,2,,15,5,15
2,2,209,2,1040,307,,1,1,2,,15,7,7
2,2,209,2,1040,308,,1,1,2,,15,8,0
2,2,209,2,1040,311,,1,1,2,,15,3,0
2,2,209,2,1040,313,,1,1,2,,15,0,0
2,2,214,2,898,305,,1,1,2,,150,50,30
2,2,214,2,898,306,,1,1,2,,50,30,50
2,2,214,2,898,307,,1,1,2,,30,5,10
2,2,214,2,898,308,,1,1,2,,30,0,5
2,2,214,2,898,310,,1,1,2,,100,30,0
2,2,214,2,898,311,,1,1,2,,100,30,0
2,2,215,1,8,305,,1,6,1,,,,
2,2,216,2,200,301,,1,1,3,,,,
2,2,216,2,200,305,,1,1,2,,,,
2,2,216,2,200,306,,1,1,3,,,,
2,2,216,2,200,307,,1,3,3,,,,
2,2,216,2,200,308,,1,1,3,,,,
2,2,216,2,200,311,,1,1,3,,,,
2,2,218,2,1592,307,,1,1,3,,40,0,13
2,2,221,2,18,311,,1,1,3,,20,3,2
