"zone","state","lga","sector","ea","resource_cd","resource_specify","c4q1","c4q2","c4q3","c4q4a","c4q4b","c4q4c","c4q4d","c4q5a","c4q5b","c4q5c"
4,1,102,1,536,401,,2,,,,,,,,,
4,1,102,1,536,402,,2,,,,,,,,,
4,1,102,1,536,403,,2,,,,,,,,,
4,1,102,1,536,404,,2,,,,,,,,,
4,1,102,1,536,405,,2,,,,,,,,,
4,1,102,1,1690,401,,2,,,,,,,,,
4,1,102,1,1690,402,,2,,,,,,,,,
4,1,102,1,1690,403,,2,,,,,,,,,
4,1,102,1,1690,404,,2,,,,,,,,,
4,1,104,2,1364,401,,1,1,1,1,,,,2,3,1
4,1,104,2,1364,402,,1,1,1,1,,,,2,3,1
4,1,104,2,1364,403,,2,,,,,,,,,
4,1,104,2,1364,404,,1,2,1,4,4,4,,8,8,8
4,1,104,2,1364,405,,2,,,,,,,,,
4,1,105,2,638,401,,1,1,1,1,,,,1,2,3
4,1,105,2,638,402,,2,,,,,,,,,
4,1,105,2,638,403,,2,,,,,,,,,
4,1,105,2,638,404,,1,1,1,4,,,,8,,
4,1,105,2,638,405,,2,,,,,,,,,
4,1,106,2,880,401,,2,,,,,,,,,
4,1,106,2,880,402,,2,,,,,,,,,
4,1,106,2,880,403,,2,,,,,,,,,
4,1,106,2,880,404,,2,,,,,,,,,
4,1,106,2,880,405,,2,,,,,,,,,
4,1,107,2,1044,401,,2,,,,,,,,,
4,1,107,2,1044,402,,2,,,,,,,,,
4,1,107,2,1044,403,,2,,,,,,,,,
4,1,107,2,1044,404,,2,,,,,,,,,
4,1,107,2,1044,405,,2,,,,,,,,,
4,1,108,2,904,401,,1,1,1,1,,,,1,2,
4,1,108,2,904,402,,2,,,,,,,,,
4,1,108,2,904,403,,2,,,,,,,,,
4,1,108,2,904,404,,2,,,,,,,,,
4,1,108,2,904,405,,2,,,,,,,,,
4,1,110,2,76,401,,1,1,1,1,,,,1,,
4,1,110,2,76,402,,1,1,1,1,,,,1,,
4,1,110,2,76,403,,2,,,,,,,,,
4,1,110,2,76,404,,1,1,1,4,,,,8,,
4,1,110,2,76,405,,2,,,,,,,,,
4,1,111,1,1146,401,,2,,,,,,,,,
4,1,111,1,1146,402,,2,,,,,,,,,
4,1,111,1,1146,403,,2,,,,,,,,,
4,1,111,1,1146,404,,2,,,,,,,,,
4,1,111,1,1146,405,,2,,,,,,,,,
4,1,115,1,670,401,,2,,,,,,,,,
4,1,115,1,670,402,,2,,,,,,,,,
4,1,115,1,670,403,,2,,,,,,,,,
4,1,115,1,670,404,,2,,,,,,,,,
4,1,115,1,670,405,,2,,,,,,,,,
4,1,117,2,560,401,,1,1,1,1,,,,1,2,
4,1,117,2,560,402,,1,1,1,4,,,,8,,
4,1,117,2,560,403,,2,,,,,,,,,
4,1,117,2,560,404,,1,1,1,4,,,,8,,
4,1,117,2,560,405,,2,,,,,,,,,
2,2,209,2,1040,401,,2,,,,,,,,,
5,3,305,2,4,401,,2,,,,,,,,,
5,3,305,2,1542,401,,2,,,,,,,,,
5,3,305,2,1542,402,,2,,,,,,,,,
5,3,305,2,1542,403,,2,,,,,,,,,
5,3,305,2,1542,404,,2,,,,,,,,,
5,3,305,2,1542,405,,2,,,,,,,,,
5,3,307,1,634,401,,2,,,,,,,,,
5,3,307,1,634,402,,2,,,,,,,,,
5,3,307,1,634,403,,2,,,,,,,,,
5,3,307,1,634,404,,2,,,,,,,,,
5,3,309,2,478,401,,1,1,1,1,3,,,1,,
5,3,309,2,478,402,,1,1,1,1,3,,,1,,
