"zone","state","lga","sector","ea","amenities_cd","c5q1"
4,1,102,1,536,501,4
4,1,102,1,536,502,5
4,1,102,1,536,503,5
4,1,102,1,536,504,5
4,1,102,1,536,505,4
4,1,102,1,536,506,4
4,1,102,1,536,507,4
4,1,102,1,536,508,6
4,1,102,1,536,509,6
4,1,102,1,536,510,5
4,1,102,1,536,511,5
4,1,102,1,536,512,5
4,1,102,1,536,513,4
4,1,102,1,536,514,5
4,1,102,1,536,515,4
4,1,102,1,536,516,5
4,1,102,1,536,517,5
4,1,102,1,536,518,5
4,1,102,1,536,519,5
4,1,102,1,536,520,5
4,1,102,1,536,521,4
4,1,102,1,536,522,5
4,1,102,1,536,523,5
4,1,102,1,536,524,6
4,1,102,1,536,525,1
4,1,102,1,536,526,4
4,1,102,1,536,527,4
4,1,102,1,536,528,4
4,1,102,1,536,529,3
4,1,102,1,536,530,3
4,1,102,1,536,531,3
4,1,102,1,536,532,3
4,1,102,1,536,533,2
4,1,102,1,536,534,3
4,1,102,1,1690,501,5
4,1,102,1,1690,502,5
4,1,102,1,1690,503,5
4,1,102,1,1690,504,5
4,1,102,1,1690,505,5
4,1,102,1,1690,506,3
4,1,102,1,1690,507,4
4,1,102,1,1690,508,3
4,1,102,1,1690,509,3
4,1,102,1,1690,510,5
4,1,102,1,1690,511,5
4,1,102,1,1690,512,5
4,1,102,1,1690,513,5
4,1,102,1,1690,514,5
4,1,102,1,1690,515,4
4,1,102,1,1690,516,5
4,1,102,1,1690,517,5
4,1,102,1,1690,518,5
4,1,102,1,1690,519,4
4,1,102,1,1690,520,5
4,1,102,1,1690,521,5
4,1,102,1,1690,522,5
4,1,102,1,1690,523,5
4,1,102,1,1690,524,1
4,1,102,1,1690,525,1
4,1,102,1,1690,526,3
4,1,102,1,1690,527,4
4,1,102,1,1690,528,4
4,1,102,1,1690,529,3
4,1,102,1,1690,530,3
4,1,102,1,1690,531,3
4,1,102,1,1690,532,3
4,1,102,1,1690,533,3
4,1,102,1,1690,534,3
4,1,104,2,1364,501,3
4,1,104,2,1364,502,4
4,1,104,2,1364,503,3
4,1,104,2,1364,504,3
4,1,104,2,1364,505,4
4,1,104,2,1364,506,4
4,1,104,2,1364,507,3
4,1,104,2,1364,508,3
4,1,104,2,1364,509,3
4,1,104,2,1364,510,4
4,1,104,2,1364,511,4
4,1,104,2,1364,512,4
4,1,104,2,1364,513,4
4,1,104,2,1364,514,4
4,1,104,2,1364,515,3
4,1,104,2,1364,516,4
4,1,104,2,1364,517,4
4,1,104,2,1364,518,4
4,1,104,2,1364,519,3
4,1,104,2,1364,520,4
4,1,104,2,1364,521,2
4,1,104,2,1364,522,4
4,1,104,2,1364,523,4
4,1,104,2,1364,524,2
4,1,104,2,1364,525,2
4,1,104,2,1364,526,4
4,1,104,2,1364,527,4
4,1,104,2,1364,528,5
4,1,104,2,1364,529,4
4,1,104,2,1364,530,4
4,1,104,2,1364,531,4
4,1,104,2,1364,532,4
4,1,104,2,1364,533,3
4,1,104,2,1364,534,4
4,1,105,2,638,501,3
4,1,105,2,638,502,4
4,1,105,2,638,503,3
4,1,105,2,638,504,3
4,1,105,2,638,505,4
4,1,105,2,638,506,3
4,1,105,2,638,507,4
4,1,105,2,638,508,3
4,1,105,2,638,509,3
4,1,105,2,638,510,3
4,1,105,2,638,511,4
4,1,105,2,638,512,4
4,1,105,2,638,513,4
4,1,105,2,638,514,4
4,1,105,2,638,515,3
4,1,105,2,638,516,4
4,1,105,2,638,517,4
4,1,105,2,638,518,4
4,1,105,2,638,519,4
4,1,105,2,638,520,4
4,1,105,2,638,521,3
4,1,105,2,638,522,4
4,1,105,2,638,523,4
4,1,105,2,638,524,2
4,1,105,2,638,525,2
4,1,105,2,638,526,3
4,1,105,2,638,527,4
4,1,105,2,638,528,5
4,1,105,2,638,529,4
4,1,105,2,638,530,3
4,1,105,2,638,531,3
4,1,105,2,638,532,4
4,1,105,2,638,533,3
4,1,105,2,638,534,3
4,1,106,2,880,501,5
4,1,106,2,880,502,5
4,1,106,2,880,503,3
4,1,106,2,880,504,3
4,1,106,2,880,505,3
4,1,106,2,880,506,3
4,1,106,2,880,507,4
4,1,106,2,880,508,3
4,1,106,2,880,509,3
4,1,106,2,880,510,3
4,1,106,2,880,511,4
4,1,106,2,880,512,4
4,1,106,2,880,513,4
