"zone","state","lga","sector","ea","event_type","event_seq","event_cd","event_desc","c6q2","c6q3"
4,1,102,1,536,1,1,2,"FLOOD",2011,100
4,1,102,1,536,1,2,7,"MASSIVE JOB LAY OFFS",2010,50
4,1,102,1,536,1,3,6,"SHARP CHANGES IN PRI",2010,100
4,1,102,1,536,1,4,8,"LOSS OF KEY SOC. SER",2010,100
4,1,102,1,536,2,1,17,"ON-GRID ELECTRICITY",2012,100
4,1,102,1,536,2,2,16,"IMPROVED TRANSPORTA",2011,100
4,1,102,1,536,2,3,13,"NEW HEALTH FACILITY",2011,100
4,1,102,1,1690,1,1,9,"POWER OUTAGE",2011,100
4,1,102,1,1690,1,2,2,"FLOOD",2012,100
4,1,102,1,1690,1,3,6,"SHARP CHANGE IN PRIC",2010,100
4,1,102,1,1690,1,4,7,"MASSIVE JOB LAY OFF",2010,100
4,1,102,1,1690,2,1,13,"NEW HEALTH FACILITY",2011,40
4,1,102,1,1690,2,2,16,"IMPROVED TRANPORTAT",2011,100
4,1,104,2,1364,1,1,9,"POWER OUTAGE",2011,100
4,1,104,2,1364,1,2,8,"LOSS OF KEY SOC SERV",2011,100
4,1,104,2,1364,1,3,2,"FLOOD",2011,80
4,1,104,2,1364,1,4,6,"SHARP RISE IN PRICES",2010,100
4,1,104,2,1364,2,1,16,"IMPROVED TRANSPORTAT",2012,100
4,1,104,2,1364,2,2,13,"NEW HEALTH FACILITY",2011,100
4,1,104,2,1364,2,3,14,"NEW ROADS",2012,100
4,1,104,2,1364,2,4,19,"OTHER GOOD(GOSPEL )",2010,50
4,1,105,2,638,1,1,6,"SHARP CHANGES IN PRI",2012,100
4,1,105,2,638,1,2,5,"HUMAN EPIDEMIC DIESE",2010,40
4,1,105,2,638,1,3,8,"LOSS-KEY SOCIAL SERV",2010,100
4,1,105,2,638,1,4,7,"MASSIVE JOB LAYOFFS",2011,50
4,1,105,2,638,2,1,17,"ON-GRID ELECTRICITY",2012,100
4,1,105,2,638,2,2,13,"NEW HEALTH FACILITY",2011,100
4,1,106,2,880,1,1,6,"SHARP CHANGES IN PRI",2012,100
