"zone","state","lga","sector","ea","item_cd","c8q1","c8q2"
4,1,102,1,536,1,1,125
4,1,102,1,536,2,1,125
4,1,102,1,536,3,1,125
4,1,102,1,536,4,1,125
4,1,102,1,536,5,1,200
4,1,102,1,536,7,1,260
4,1,102,1,536,8,1,100
4,1,102,1,536,9,1,10
4,1,102,1,536,10,1,10
4,1,102,1,536,21,1,250
4,1,102,1,536,24,1,450
4,1,102,1,536,30,1,40
4,1,102,1,536,31,1,100
4,1,102,1,536,32,1,150
4,1,102,1,536,33,1,150
4,1,102,1,536,34,1,200
4,1,102,1,536,35,1,200
4,1,102,1,536,36,1,250
4,1,102,1,536,38,1,20
4,1,102,1,536,51,1,150
4,1,102,1,536,52,1,20
4,1,102,1,536,53,1,10
4,1,102,1,536,54,1,300
4,1,102,1,536,55,1,150
4,1,102,1,536,63,1,300
4,1,102,1,536,64,1,600
4,1,102,1,536,65,1,50
4,1,102,1,536,70,1,250
4,1,102,1,536,73,1,200
4,1,102,1,536,76,1,300
4,1,102,1,536,78,1,200
4,1,102,1,536,80,1,1000
4,1,102,1,536,81,1,50
4,1,102,1,536,82,1,10
4,1,102,1,536,84,1,50
4,1,102,1,536,85,1,30
4,1,102,1,536,86,1,150
4,1,102,1,536,87,1,250
4,1,102,1,536,88,1,250
4,1,102,1,536,91,1,100
4,1,102,1,536,101,1,400
4,1,102,1,536,102,1,20
4,1,102,1,536,103,1,10
4,1,102,1,536,104,1,400
4,1,102,1,536,107,1,200
4,1,102,1,536,108,1,30
4,1,102,1,536,111,1,25
4,1,102,1,536,120,1,900
4,1,102,1,536,125,1,700
4,1,102,1,536,126,1,30
4,1,102,1,536,130,1,800
4,1,102,1,536,133,1,850
4,1,102,1,536,136,1,400
4,1,102,1,536,140,1,1000
4,1,102,1,536,141,1,500
4,1,102,1,536,142,1,600
4,1,102,1,536,143,1,600
4,1,102,1,536,145,1,1000
4,1,102,1,536,147,1,100
4,1,102,1,536,152,1,1300
4,1,102,1,536,154,1,100
4,1,102,1,536,170,1,200
4,1,102,1,536,171,1,250
4,1,102,1,536,174,1,200
4,1,102,1,536,181,1,350
4,1,102,1,536,182,1,1000
4,1,102,1,536,201,1,10
4,1,102,1,536,202,1,120
4,1,102,1,536,204,1,50
4,1,102,1,536,611,1,250
4,1,102,1,536,612,1,700
4,1,102,1,536,903,1,100
4,1,102,1,536,906,1,1000
4,1,102,1,536,951,1,200
4,1,102,1,536,1061,1,400
4,1,102,1,536,1512,1,650
4,1,102,1,536,1513,1,1250
4,1,102,1,536,1531,1,80
4,1,102,1,536,1532,1,120
4,1,102,1,536,1551,1,50
4,1,102,1,536,1552,1,150
4,1,102,1,536,1553,1,250
4,1,102,1,536,1601,1,20
4,1,102,1,536,1602,1,300
4,1,102,1,536,1612,1,650
4,1,102,1,536,1613,1,1300
4,1,102,1,536,1621,1,5
4,1,102,1,536,1622,1,120
4,1,102,1,536,1801,1,10
