"zone","state","lga","sector","ea","c0q2","c0q3","c0q4","c0q6","c0q7","c0q9","c0q10"
4,1,102,1,536,101,3/13/2013,,107,3/21/2013,,
4,1,102,1,1690,101,3/9/2013,,107,3/24/2013,,
4,1,104,2,1364,101,2/27/2013,,107,3/24/2013,,
4,1,105,2,638,101,2/28/2013,,107,3/20/2013,,
4,1,106,2,880,101,2/25/2013,,107,3/5/2013,,
4,1,107,2,1044,101,3/5/2013,,107,3/20/2013,,
4,1,108,2,904,101,3/7/2013,,107,3/21/2013,,
4,1,110,2,76,101,,,,,,
4,1,111,1,1146,101,3/16/2013,,107,3/21/2013,,
4,1,115,1,670,101,3/18/2013,,107,3/20/2013,,
4,1,117,2,560,101,3/12/2013,,107,3/20/2013,,
2,2,201,2,60,201,3/7/2013,3/7/2013,206,3/14/2013,,
2,2,203,2,1224,201,2/28/2013,2/28/2013,206,3/14/2013,,
2,2,205,2,712,201,3/12/2013,3/12/2013,206,3/14/2013,,
2,2,207,2,1302,201,3/10/2013,3/10/2013,206,3/14/2013,,
2,2,209,2,1040,201,2/26/2013,2/26/2013,206,3/14/2013,,
2,2,210,2,1300,201,3/8/2013,3/8/2013,206,3/14/2013,,
2,2,212,2,956,201,2/27/2013,2/27/2013,206,3/14/2013,,
2,2,214,2,898,201,3/7/2013,3/7/2013,206,3/14/2013,,
2,2,215,1,8,201,3/9/2013,3/9/2013,206,3/14/2013,,
2,2,216,2,200,201,3/7/2013,3/7/2013,206,3/14/2013,,
2,2,218,2,1592,201,3/12/2013,3/12/2013,206,3/14/2013,,
2,2,221,2,18,201,2/25/2013,2/25/2013,206,3/14/2013,,
5,3,301,1,1198,301,,,301,,,
5,3,305,2,4,301,,,305,,5,
5,3,305,2,1542,301,,,,,,
5,3,307,1,634,301,,,305,,5,
5,3,309,2,478,301,,,301,,,
5,3,312,2,20,301,,,301,,,
5,3,313,2,70,301,,,301,,,
5,3,316,2,874,301,,,301,,7,
5,3,318,2,1136,301,,,305,,5,
5,3,321,2,364,301,,,301,,,
5,3,323,2,580,301,,,305,,5,
5,3,326,2,74,301,,,305,,5,
5,3,329,2,696,301,,,301,,,
5,3,331,1,516,301,,,301,,,
5,3,331,1,2322,301,,,305,,5,
4,4,401,1,738,401,,,413,,,
4,4,401,1,1460,401,,,413,,,
4,4,401,2,2106,401,,,413,,,
