"zone","state","lga","sector","ea","hhid","item_cd","item_desc","s10cq10","s10cq11","tracked_obs"
4,1,115,1,670,10003,1,"CHILDREN 0-5 YEARS",0,0,0
4,1,115,1,670,10003,2,"CHILDREN 6-15 YEARS",0,0,0
4,1,115,1,670,10003,3,"ADULTS 16-65 YEARS",2,6,0
4,1,115,1,670,10003,4,"PEOPLE OVER 65 YEARS OLD",0,0,0
4,1,115,1,670,10009,1,"CHILDREN 0-5 YEARS",0,0,0
4,1,115,1,670,10009,2,"CHILDREN 6-15 YEARS",0,0,0
4,1,115,1,670,10009,3,"ADULTS 16-65 YEARS",2,6,0
4,1,115,1,670,10009,4,"PEOPLE OVER 65 YEARS OLD",0,0,0
4,1,104,2,1364,10013,1,"CHILDREN 0-5 YEARS",0,0,0
4,1,104,2,1364,10013,2,"CHILDREN 6-15 YEARS",1,2,0
4,1,104,2,1364,10013,3,"ADULTS 16-65 YEARS",2,3,0
4,1,104,2,1364,10013,4,"PEOPLE OVER 65 YEARS OLD",0,0,0
4,1,104,2,1364,10014,1,"CHILDREN 0-5 YEARS",0,0,0
4,1,104,2,1364,10014,2,"CHILDREN 6-15 YEARS",0,0,0
4,1,104,2,1364,10014,3,"ADULTS 16-65 YEARS",4,10,0
4,1,104,2,1364,10014,4,"PEOPLE OVER 65 YEARS OLD",0,0,0
4,1,104,2,1364,10018,1,"CHILDREN 0-5 YEARS",0,0,0
4,1,104,2,1364,10018,2,"CHILDREN 6-15 YEARS",0,0,0
4,1,104,2,1364,10018,3,"ADULTS 16-65 YEARS",2,3,0
4,1,104,2,1364,10018,4,"PEOPLE OVER 65 YEARS OLD",0,0,0
4,1,104,2,1364,10019,1,"CHILDREN 0-5 YEARS",0,0,0
4,1,104,2,1364,10019,2,"CHILDREN 6-15 YEARS",0,0,0
4,1,104,2,1364,10019,3,"ADULTS 16-65 YEARS",3,3,0
4,1,104,2,1364,10019,4,"PEOPLE OVER 65 YEARS OLD",7,7,0
4,1,106,2,880,10024,1,"CHILDREN 0-5 YEARS",0,0,0
4,1,106,2,880,10024,2,"CHILDREN 6-15 YEARS",1,1,0
4,1,106,2,880,10024,3,"ADULTS 16-65 YEARS",1,1,0
4,1,106,2,880,10024,4,"PEOPLE OVER 65 YEARS OLD",0,0,0
4,1,106,2,880,10025,1,"CHILDREN 0-5 YEARS",3,1,0
4,1,106,2,880,10025,2,"CHILDREN 6-15 YEARS",2,1,0
4,1,106,2,880,10025,3,"ADULTS 16-65 YEARS",1,1,0
4,1,106,2,880,10025,4,"PEOPLE OVER 65 YEARS OLD",0,0,0
4,1,106,2,880,10026,1,"CHILDREN 0-5 YEARS",0,0,0
4,1,106,2,880,10026,2,"CHILDREN 6-15 YEARS",0,0,0
4,1,106,2,880,10026,3,"ADULTS 16-65 YEARS",2,2,0
4,1,106,2,880,10026,4,"PEOPLE OVER 65 YEARS OLD",0,0,0
4,1,106,2,880,10027,1,"CHILDREN 0-5 YEARS",0,0,0
4,1,106,2,880,10027,2,"CHILDREN 6-15 YEARS",0,0,0
4,1,106,2,880,10027,3,"ADULTS 16-65 YEARS",1,1,0
4,1,106,2,880,10027,4,"PEOPLE OVER 65 YEARS OLD",0,0,0
4,1,106,2,880,10029,1,"CHILDREN 0-5 YEARS",7,1,0
4,1,106,2,880,10029,2,"CHILDREN 6-15 YEARS",0,0,0
4,1,106,2,880,10029,3,"ADULTS 16-65 YEARS",0,0,0
4,1,106,2,880,10029,4,"PEOPLE OVER 65 YEARS OLD",0,0,0
4,1,106,2,880,10030,1,"CHILDREN 0-5 YEARS",2,0,0
4,1,106,2,880,10030,2,"CHILDREN 6-15 YEARS",2,0,0
4,1,106,2,880,10030,3,"ADULTS 16-65 YEARS",1,6,0
4,1,106,2,880,10030,4,"PEOPLE OVER 65 YEARS OLD",2,0,0
4,1,111,1,1146,10038,1,"CHILDREN 0-5 YEARS",0,0,0
4,1,111,1,1146,10038,2,"CHILDREN 6-15 YEARS",0,0,0
4,1,111,1,1146,10038,3,"ADULTS 16-65 YEARS",3,9,0
4,1,111,1,1146,10038,4,"PEOPLE OVER 65 YEARS OLD",0,0,0
4,1,111,1,1146,10040,1,"CHILDREN 0-5 YEARS",0,0,0
4,1,111,1,1146,10040,2,"CHILDREN 6-15 YEARS",0,0,0
4,1,111,1,1146,10040,3,"ADULTS 16-65 YEARS",2,4,0
