"zone","state","lga","sector","ea","hhid","item_cd","item_desc","s11aq1","s11aq2","tracked_obs"
4,1,115,1,670,10001,101,"Cigarettes or tobacco",2,,0
4,1,115,1,670,10001,102,"Matches",1,20,0
4,1,115,1,670,10001,103,"Newspaper and magazines",1,900,0
4,1,115,1,670,10001,104,"Public transport (bus, rail, b",1,1500,0
4,1,115,1,670,10002,101,"Cigarettes or tobacco",2,,0
4,1,115,1,670,10002,102,"Matches",1,20,0
4,1,115,1,670,10002,103,"Newspaper and magazines",1,700,0
4,1,115,1,670,10002,104,"Public transport (bus, rail, b",1,1500,0
4,1,115,1,670,10003,101,"Cigarettes or tobacco",2,,0
4,1,115,1,670,10003,102,"Matches",1,50,0
4,1,115,1,670,10003,103,"Newspaper and magazines",1,150,0
4,1,115,1,670,10003,104,"Public transport (bus, rail, b",2,,0
4,1,115,1,670,10004,101,"Cigarettes or tobacco",2,,0
4,1,115,1,670,10004,102,"Matches",1,50,0
4,1,115,1,670,10004,103,"Newspaper and magazines",1,300,0
4,1,115,1,670,10004,104,"Public transport (bus, rail, b",1,1500,0
4,1,115,1,670,10006,101,"Cigarettes or tobacco",2,,0
4,1,115,1,670,10006,102,"Matches",1,10,0
4,1,115,1,670,10006,103,"Newspaper and magazines",2,,0
4,1,115,1,670,10006,104,"Public transport (bus, rail, b",2,,0
4,1,115,1,670,10008,101,"Cigarettes or tobacco",2,,0
4,1,115,1,670,10008,102,"Matches",2,,0
4,1,115,1,670,10008,103,"Newspaper and magazines",2,,0
4,1,115,1,670,10008,104,"Public transport (bus, rail, b",1,400,0
4,1,115,1,670,10009,101,"Cigarettes or tobacco",2,,0
4,1,115,1,670,10009,102,"Matches",1,10,0
4,1,115,1,670,10009,103,"Newspaper and magazines",1,600,0
4,1,115,1,670,10009,104,"Public transport (bus, rail, b",2,,0
4,1,115,1,670,10010,101,"Cigarettes or tobacco",2,,0
4,1,115,1,670,10010,102,"Matches",1,20,0
4,1,115,1,670,10010,103,"Newspaper and magazines",2,,0
4,1,115,1,670,10010,104,"Public transport (bus, rail, b",1,1550,0
4,1,104,2,1364,10011,101,"Cigarettes or tobacco",2,,0
4,1,104,2,1364,10011,102,"Matches",1,10,0
4,1,104,2,1364,10011,103,"Newspaper and magazines",2,,0
4,1,104,2,1364,10011,104,"Public transport (bus, rail, b",1,300,0
4,1,104,2,1364,10012,101,"Cigarettes or tobacco",2,,0
4,1,104,2,1364,10012,102,"Matches",1,10,0
4,1,104,2,1364,10012,103,"Newspaper and magazines",2,,0
4,1,104,2,1364,10012,104,"Public transport (bus, rail, b",1,600,0
4,1,104,2,1364,10013,101,"Cigarettes or tobacco",2,,0
4,1,104,2,1364,10013,102,"Matches",1,20,0
4,1,104,2,1364,10013,103,"Newspaper and magazines",2,,0
4,1,104,2,1364,10013,104,"Public transport (bus, rail, b",1,1500,0
4,1,104,2,1364,10014,101,"Cigarettes or tobacco",2,,0
4,1,104,2,1364,10014,102,"Matches",1,20,0
4,1,104,2,1364,10014,103,"Newspaper and magazines",2,,0
4,1,104,2,1364,10014,104,"Public transport (bus, rail, b",1,400,0
4,1,104,2,1364,10015,101,"Cigarettes or tobacco",2,,0
4,1,104,2,1364,10015,102,"Matches",1,10,0
4,1,104,2,1364,10015,103,"Newspaper and magazines",2,,0
4,1,104,2,1364,10015,104,"Public transport (bus, rail, b",1,300,0
4,1,104,2,1364,10016,101,"Cigarettes or tobacco",2,,0
4,1,104,2,1364,10016,102,"Matches",2,,0
4,1,104,2,1364,10016,103,"Newspaper and magazines",1,750,0
4,1,104,2,1364,10016,104,"Public transport (bus, rail, b",1,700,0
4,1,104,2,1364,10017,101,"Cigarettes or tobacco",2,,0
4,1,104,2,1364,10017,102,"Matches",1,20,0
4,1,104,2,1364,10017,103,"Newspaper and magazines",2,,0
4,1,104,2,1364,10017,104,"Public transport (bus, rail, b",1,500,0
4,1,104,2,1364,10018,101,"Cigarettes or tobacco",2,,0
4,1,104,2,1364,10018,102,"Matches",1,20,0
4,1,104,2,1364,10018,103,"Newspaper and magazines",2,,0
4,1,104,2,1364,10018,104,"Public transport (bus, rail, b",1,400,0
4,1,104,2,1364,10019,101,"Cigarettes or tobacco",1,250,0
4,1,104,2,1364,10019,102,"Matches",1,20,0
4,1,104,2,1364,10019,103,"Newspaper and magazines",2,,0
4,1,104,2,1364,10019,104,"Public transport (bus, rail, b",1,450,0
4,1,106,2,880,10021,101,"Cigarettes or tobacco",2,,0
4,1,106,2,880,10021,102,"Matches",1,10,0
4,1,106,2,880,10021,103,"Newspaper and magazines",2,,0
4,1,106,2,880,10021,104,"Public transport (bus, rail, b",2,,0
4,1,106,2,880,10022,101,"Cigarettes or tobacco",2,,0
4,1,106,2,880,10022,102,"Matches",1,20,0
4,1,106,2,880,10022,103,"Newspaper and magazines",2,,0
4,1,106,2,880,10022,104,"Public transport (bus, rail, b",1,400,0
4,1,106,2,880,10023,101,"Cigarettes or tobacco",2,,0
4,1,106,2,880,10023,102,"Matches",1,15,0
4,1,106,2,880,10023,103,"Newspaper and magazines",2,,0
4,1,106,2,880,10023,104,"Public transport (bus, rail, b",2,,0
4,1,106,2,880,10024,101,"Cigarettes or tobacco",2,,0
4,1,106,2,880,10024,102,"Matches",1,20,0
4,1,106,2,880,10024,103,"Newspaper and magazines",2,,0
4,1,106,2,880,10024,104,"Public transport (bus, rail, b",1,300,0
4,1,106,2,880,10025,101,"Cigarettes or tobacco",2,,0
4,1,106,2,880,10025,102,"Matches",1,80,0
4,1,106,2,880,10025,103,"Newspaper and magazines",2,,0
4,1,106,2,880,10025,104,"Public transport (bus, rail, b",1,600,0
4,1,106,2,880,10026,101,"Cigarettes or tobacco",2,,0
4,1,106,2,880,10026,102,"Matches",1,20,0
4,1,106,2,880,10026,103,"Newspaper and magazines",2,,0
4,1,106,2,880,10026,104,"Public transport (bus, rail, b",1,200,0
4,1,106,2,880,10027,101,"Cigarettes or tobacco",2,,0
4,1,106,2,880,10027,102,"Matches",1,60,0
4,1,106,2,880,10027,103,"Newspaper and magazines",2,,0
4,1,106,2,880,10027,104,"Public transport (bus, rail, b",1,500,0
4,1,106,2,880,10028,101,"Cigarettes or tobacco",2,,0
4,1,106,2,880,10028,102,"Matches",1,10,0
