"zone","state","lga","sector","ea","hhid","s12q1a","s12q1b","s12q1c","s12q1d","s12q1e","s12q1f","s12q1g","s12q1h","s12q1i","s12q2a","s12q2b","s12q3","s12q4a","s12q4b","s12q4c","s12q5","s12q6a","s12q6b","s12q6c","s12q6d","s12q6e","s12q6f","s12q7a","s12q7b","s12q7c","s12q7d","tracked_obs"
4,1,115,1,670,10001,0,0,0,0,0,0,0,0,0,3,4,2,3,2,1,2,,,,,,,,,,,0
4,1,115,1,670,10002,0,0,0,0,0,0,0,0,0,3,4,1,,,,2,,,,,,,,,,,0
4,1,115,1,670,10003,2,3,2,3,3,0,0,0,0,3,,1,,,,2,,,,,,,,,,,0
4,1,115,1,670,10004,2,3,2,0,0,0,0,0,0,2,,1,,,,2,,,,,,,,,,,0
4,1,115,1,670,10006,0,0,0,0,0,0,0,0,0,3,4,2,1,,,1,1,,,,,,10,,,"HEALTH EXPENSES",0
4,1,115,1,670,10008,2,2,1,0,0,0,0,0,0,3,5,1,,,,1,1,,,1,,,5,,,,0
4,1,115,1,670,10009,0,2,0,0,0,0,0,0,0,3,,1,,,,2,,,,,,,,,,,0
4,1,115,1,670,10010,0,0,0,0,0,0,0,0,0,3,,1,,,,2,,,,,,,,,,,0
4,1,104,2,1364,10011,0,2,2,2,0,0,0,0,0,3,0,1,,,,1,4,,,1,,,4,5,6,,0
4,1,104,2,1364,10012,0,2,2,1,0,0,0,0,0,3,5,2,3,2,1,1,4,,,1,,,6,4,5,,0
4,1,104,2,1364,10013,2,3,2,2,3,2,1,1,0,2,,1,,,,2,,,,,,,,,,,0
4,1,104,2,1364,10014,2,2,3,2,0,1,3,2,1,2,,1,,,,2,,,,,,,,,,,0
4,1,104,2,1364,10015,0,2,2,1,0,0,1,0,0,3,0,1,,,,1,5,,,1,,,4,5,6,,0
4,1,104,2,1364,10016,2,0,0,0,0,0,0,0,0,3,,1,,,,2,,,,,,,,,,,0
4,1,104,2,1364,10017,1,0,0,0,0,0,0,0,0,3,,1,,,,2,,,,,,,,,,,0
4,1,104,2,1364,10018,1,1,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,,,0
4,1,104,2,1364,10019,4,3,4,2,3,0,0,0,0,3,4,1,,,,1,1,,,1,,,5,4,,,0
4,1,106,2,880,10021,0,3,2,1,1,0,0,0,0,3,0,1,,,,1,4,,,1,,,7,6,5,,0
4,1,106,2,880,10022,2,2,1,1,2,0,0,0,0,3,,1,,,,1,3,,,1,,,4,5,6,,0
4,1,106,2,880,10023,1,2,1,2,0,0,0,1,0,3,6,2,3,3,1,1,4,,,5,,,4,5,,,0
4,1,106,2,880,10024,2,3,2,2,1,0,0,2,2,2,,1,,,,1,8,,,,,,1,2,,,0
4,1,106,2,880,10025,0,3,2,3,4,0,3,0,0,3,3,1,,,,1,6,,,,,,1,,,,0
4,1,106,2,880,10026,3,4,3,3,3,3,2,2,1,2,,1,,,,2,,,,,,,,,,,0
4,1,106,2,880,10027,3,4,2,2,1,0,0,0,0,3,3,1,,,,1,8,,,,,,8,3,,"LACK OF MONEY",0
4,1,106,2,880,10028,3,4,4,2,0,0,0,0,0,2,0,1,,,,1,6,,,2,,,8,3,,"LACK OF MONEY",0
4,1,106,2,880,10029,7,7,7,7,7,0,0,0,0,3,3,1,,,,1,12,,,,1,,4,5,,,0
