"zone","state","lga","sector","ea","hhid","indiv","s3bq1","s3bq2","s3bq3","s3bq4","s3bq5a","s3bq5b","s3bq6a","s3bq6b","s3bq7","s3bq8","s3bq9","s3bq9b","s3bq10","s3bq11a","s3bq11b","s3bq12a","s3bq12b","s3bq13","s3bq14","s3bq15","s3bq15b","tracked_obs"
4,1,115,1,670,10001,1,1,2,2,1,"MEDICAL ASSISTANT",3221,"PUBLIC ADMIN & DEFENCE",84,12,40,2,,2,,,,,,,,,0
4,1,115,1,670,10001,2,1,2,2,1,"SECONDARY EDUCATION TEACH",2320,"EDUCATION",85,12,40,2,,2,,,,,,,,,0
4,1,115,1,670,10001,3,,,,,,,,,,,,,,,,,,,,,,0
4,1,115,1,670,10001,4,1,2,2,1,"ACTIVITIES OF HH AS EMPLO",5121,"ACTIVITIES OF HH AS EMPLO",97,12,84,5,,2,,,,,,,,,0
4,1,115,1,670,10001,5,1,2,2,1,"CONSTRUCTION OF BUILDING",7122,"CONSTRUCTION OF BUILDING",41,12,50,10,,2,,,,,,,,,0
4,1,115,1,670,10001,6,1,2,2,1,"FINANCIAL & INSURANCE ACT",4122,"FINANCIAL & INSURANCE ACT",64,12,40,2,,2,,,,,,,,,0
4,1,115,1,670,10001,7,1,2,2,1,"PUBLIC ADMIN & DEFENCE",3450,"PUBLIC ADMIN & DEFENCE CO",84,12,40,3,,2,,,,,,,,,0
4,1,115,1,670,10001,8,,,,,,,,,,,,,,,,,,,,,,0
4,1,115,1,670,10002,1,1,2,2,1,"LAWYER",2421,"PROF. SCIENTIFIC & T A",69,12,40,4,,2,,,,,,,,,0
4,1,115,1,670,10002,2,1,2,2,1,"SECONDARY EDUCATION",2320,"EDUCATION",85,12,40,2,,2,,,,,,,,,0
4,1,115,1,670,10002,3,2,2,2,2,,,,,,,,,,,,,,,,,,0
4,1,115,1,670,10002,4,2,2,2,2,,,,,,,,,,,,,,,,,,0
4,1,115,1,670,10002,5,2,2,2,2,,,,,,,,,,,,,,,,,,0
4,1,115,1,670,10002,6,2,2,2,2,,,,,,,,,,,,,,,,,,0
4,1,115,1,670,10002,7,2,2,2,2,,,,,,,,,,,,,,,,,,0
4,1,115,1,670,10002,8,,,,,,,,,,,,,,,,,,,,,,0
4,1,115,1,670,10003,1,1,2,2,1,"CIVIL SERVANT",1120,"ADMINISTRATION",84,12,48,1,,2,,,,,,,,,0
4,1,115,1,670,10003,2,1,2,1,1,"CIVIL SERVANT",1222,"FINANCE",64,12,48,3,,1,"TRADING",3416,"BUYING & SELLING",47,10,15,9,,0
4,1,115,1,670,10003,3,2,2,2,2,,,,,,,,,,,,,,,,,,0
4,1,115,1,670,10003,4,2,2,2,2,,,,,,,,,,,,,,,,,,0
4,1,115,1,670,10003,5,2,2,2,2,,,,,,,,,,,,,,,,,,0
4,1,115,1,670,10003,6,2,2,2,2,,,,,,,,,,,,,,,,,,0
4,1,115,1,670,10004,1,1,2,2,1,"TRADITIONAL RULER",1130,"ADMINISTRATION & DEFENCE",84,12,47,2,,2,,,,,,,,,0
4,1,115,1,670,10004,2,2,2,2,2,,,,,,,,,,,,,,,,,,0
4,1,115,1,670,10004,3,2,2,2,2,,,,,,,,,,,,,,,,,,0
4,1,115,1,670,10004,4,2,2,2,2,,,,,,,,,,,,,,,,,,0
4,1,115,1,670,10004,5,2,2,2,2,,,,,,,,,,,,,,,,,,0
4,1,115,1,670,10006,1,1,2,2,1,"COMPUTER PROGRAMMING",3445,"COMPUTER PROGRAMMING",62,12,48,1,,2,,,,,,,,,0
4,1,115,1,670,10006,2,1,2,2,1,"CONFIDENTIAL SECRETARY",2412,"CONFIDENTIAL SECRETARY",82,12,40,2,,2,,,,,,,,,0
4,1,115,1,670,10006,4,,,,,,,,,,,,,,,,,,,,,,0
4,1,115,1,670,10006,5,,,,,,,,,,,,,,,,,,,,,,0
4,1,115,1,670,10008,1,1,2,2,1,"LECTURER",3340,"EDUCATION",85,12,40,1,,2,,,,,,,,,0
4,1,115,1,670,10008,2,1,2,2,1,"SECONDARY SCH TEACHER",2320,"EDUCATION",85,12,40,2,,2,,,,,,,,,0
4,1,115,1,670,10008,3,2,2,2,2,,,,,,,,,,,,,,,,,,0
4,1,115,1,670,10008,4,2,2,2,2,,,,,,,,,,,,,,,,,,0
4,1,115,1,670,10008,5,2,2,2,2,,,,,,,,,,,,,,,,,,0
4,1,115,1,670,10008,6,2,2,2,2,,,,,,,,,,,,,,,,,,0
4,1,115,1,670,10008,7,2,2,2,2,,,,,,,,,,,,,,,,,,0
4,1,115,1,670,10008,8,,,,,,,,,,,,,,,,,,,,,,0
4,1,115,1,670,10009,1,1,2,2,1,"RESEARCHER",1228,"AGRICULTURE",1,12,40,1,,2,,,,,,,,,0
4,1,115,1,670,10009,2,1,2,2,1,"TEACHER",3340,"TEACHING",85,12,48,2,,2,,,,,,,,,0
4,1,115,1,670,10009,3,,,,,,,,,,,,,,,,,,,,,,0
4,1,115,1,670,10009,5,,,,,,,,,,,,,,,,,,,,,,0
4,1,115,1,670,10009,6,2,2,2,2,,,,,,,,,,,,,,,,,,0
4,1,115,1,670,10010,1,1,2,2,1,"ADMINISTRATOR",3431,"ADMINISTRATION",70,12,56,1,,2,,,,,,,,,0
4,1,115,1,670,10010,2,1,2,2,1,"LECTURING",3340,"LECTURER",72,12,48,2,,2,,,,,,,,,0
4,1,115,1,670,10010,3,2,2,2,2,,,,,,,,,,,,,,,,,,0
4,1,115,1,670,10010,4,2,2,2,2,,,,,,,,,,,,,,,,,,0
4,1,104,2,1364,10011,1,2,2,1,1,"SHOP SALES PERSON & DEMON",5220,"BUYING & SELLING",45,12,7,9,,2,,,,,,,,,0
4,1,104,2,1364,10011,2,2,2,2,2,,,,,,,,,,,,,,,,,,0
4,1,104,2,1364,10011,3,2,2,2,2,,,,,,,,,,,,,,,,,,0
4,1,104,2,1364,10011,4,2,2,2,2,,,,,,,,,,,,,,,,,,0
4,1,104,2,1364,10011,5,2,2,2,2,,,,,,,,,,,,,,,,,,0
4,1,104,2,1364,10011,6,2,2,2,2,,,,,,,,,,,,,,,,,,0
4,1,104,2,1364,10012,2,2,1,2,1,"SUBSIST AGRIC & FISHERY",6210,"CROP & ANIMAL PRODUCTION",1,10,40,9,,2,,,,,,,,,0
4,1,104,2,1364,10012,3,1,2,2,1,"PERSONNEL & CAREER PROFE",2412,"PUBLIC ADMIN & DEFENCE",84,12,40,3,,2,,,,,,,,,0
4,1,104,2,1364,10012,4,1,2,2,1,"SOCIAL WORKS PROFESSIONAL",2446,"HUMAN HEALTH &SOCIAL WKS",88,12,40,3,,2,,,,,,,,,0
4,1,104,2,1364,10012,5,1,2,2,1,"PERSONNEL & CAREER PROFE",2412,"PUBLIC ADMIN & DEFENCE",84,12,400,3,,2,,,,,,,,,0
4,1,104,2,1364,10012,6,,,,,,,,,,,,,,,,,,,,,,0
