"zone","state","lga","sector","ea","hhid","plotid","cropid","cropname","cropcode","s11eq3","s11eq4","s11eq5","s11eq6a","s11eq6b","s11eq7","s11eq7b","s11eq8","s11eq9","s11eq10a","s11eq10b","s11eq11a","s11eq11b","s11eq12","s11eq13","s11eq13b","s11eq14","s11eq15a","s11eq15b","s11eq16","s11eq17","s11eq18a","s11eq18b","s11eq19","s11eq20","s11eq20b","s11eq21","s11eq22","s11eq23","s11eq24","s11eq25","s11eq26","s11eq27a","s11eq27b","s11eq28","s11eq29","s11eq30a","s11eq30b","s11eq31","s11eq32","s11eq32b","s11eq33","s11eq34","s11eq35","s11eq36","s11eq37","tracked_obs"
4,1,104,2,1364,10012,1,1,"CASSAVA",1020,1,1,1020,5,61,1,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,104,2,1364,10012,1,2,"MAIZE",1080,1,1,1080,1,12,1,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,104,2,1364,10012,2,1,"CASSAVA",1020,1,1,1020,3,61,1,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,104,2,1364,10013,1,1,"CASSAVA",1020,1,1,1020,4,62,1,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,104,2,1364,10013,2,1,"CASSAVA",1020,1,1,1020,4,62,1,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,104,2,1364,10013,2,2,"PALM TREE",3180,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,104,2,1364,10014,1,1,"CASSAVA",1020,1,1,1020,4,62,1,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,104,2,1364,10014,1,2,"MAIZE",1080,1,1,1080,1,31,1,,2,,,,,,,,,1,1,,"N1",1080,1,31,,1,,500,1,,,,2,,,,,,,,,,,,,,,0
4,1,104,2,1364,10015,1,1,"CASSAVA",1020,1,2,,,,,,1,1020,2,61,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,104,2,1364,10015,1,2,"MAIZE",1080,1,2,,,,,,2,,,,,,,,,1,1,2,"N1",1080,1,12,,1,,50,1,,,,2,,,,,,,,,,,,,,,0
