"zone","state","lga","sector","ea","hhid","plotid","cropid","cropname","cropcode","s11fq1a","s11fq1b","s11fq2","s11fq2b","s11fq3a","s11fq3b","s11fq4a","s11fq4b","s11fq4c","s11fq5","s11fq6","s11fq7","s11fq8","s11fq9","s11fq9b","s11fq10","s11fq11","s11fq11b","s11fq12","tracked_obs"
4,1,104,2,1364,10012,1,1,"CASSAVA",1020,1500,3,4,,3,2012,18,32,3,2,,,,,,,,,,0
4,1,104,2,1364,10012,1,2,"MAIZE",1080,1050,3,4,,3,2012,5,31,1,2,,,,,,,,,,0
4,1,104,2,1364,10012,2,1,"CASSAVA",1020,1350,3,1,,7,2012,15,32,3,2,,,,,,,,,,0
4,1,104,2,1364,10013,1,1,"CASSAVA",1020,600,1,1,,4,2012,40,22,3,2,,,,,,,,,,0
4,1,104,2,1364,10013,2,1,"CASSAVA",1020,700,1,1,,4,2012,43,22,3,2,,,,,,,,,,0
4,1,104,2,1364,10014,1,1,"CASSAVA",1020,600,1,4,,4,2012,80,22,3,2,,,,,,,,,,0
4,1,104,2,1364,10014,1,2,"MAIZE",1080,90,3,4,,4,2012,4,26,1,2,,,,,,,,,,0
4,1,104,2,1364,10015,1,1,"CASSAVA",1020,500,3,4,,3,2012,6,31,3,2,,,,,,,,,,0
4,1,104,2,1364,10015,1,2,"MAIZE",1080,270,3,4,,3,2012,3,31,2,2,,,,,,,,,,0
4,1,104,2,1364,10015,2,1,"CASSAVA",1020,700,3,4,,4,2012,8,31,3,2,,,,,,,,,,0
4,1,104,2,1364,10015,2,2,"MAIZE",1080,300,3,4,,4,2012,4,31,2,2,,,,,,,,,,0
4,1,104,2,1364,10016,2,1,"CASSAVA",1020,250,1,1,,4,2012,3,22,3,2,,,,,,,,,,0
4,1,104,2,1364,10016,2,2,"PUMKIN",2190,12,1,1,,4,2012,21,61,1,2,,,,,,,,,,0
4,1,104,2,1364,10016,2,3,"YAM",1120,30,1,1,,4,2012,4,31,3,2,,,,,,,,,,0
4,1,104,2,1364,10016,2,4,"MAIZE",1080,100,3,1,,4,2012,2,22,1,2,,,,,,,,,,0
4,1,104,2,1364,10018,1,1,"CASSAVA",1020,510,1,4,,3,2012,3,31,3,2,,,,,,,,,,0
4,1,104,2,1364,10018,1,2,"YAM",1120,20,1,4,,3,2012,30,51,3,2,,,,,,,,,,0
4,1,104,2,1364,10018,1,3,"PUMKIN",2193,15,1,4,,3,2012,54,61,1,2,,,,,,,,,,0
4,1,106,2,880,10021,1,1,"MAIZE",1080,750,3,4,,3,2012,8,31,1,2,,,,,,,,,,0
4,1,106,2,880,10021,1,2,"CASSAVA",1020,1000,3,4,,3,2012,500,52,3,2,,,,,,,,,,0
4,1,106,2,880,10021,1,3,"PUMKIN",2190,40,1,4,,3,2012,9,61,1,2,,,,,,,,,,0
4,1,106,2,880,10021,1,4,"GARDEN EGG",2080,300,3,4,,3,2012,10,21,1,2,,,,,,,,,,0
4,1,106,2,880,10021,2,1,"MAIZE",1080,800,3,4,,4,2012,10,31,1,2,,,,,,,,,,0
4,1,106,2,880,10021,2,2,"CASSAVA",1020,1300,3,4,,4,2012,700,52,3,2,,,,,,,,,,0
4,1,106,2,880,10022,1,1,"CASSAVA",1020,1500,3,4,,3,2012,,,,2,,,,,,,,,,0
4,1,106,2,880,10022,1,2,"MAIZE",1080,1300,3,4,,3,2012,10,31,3,2,,,,,,,,,,0
4,1,106,2,880,10022,1,3,"OIL PALM TREE",3180,,,,,,,,,,,,,,,,,,,,0
4,1,106,2,880,10022,2,1,"YAM",1120,100,1,4,,4,2012,14,31,3,2,,,,,,,,,,0
4,1,106,2,880,10022,2,2,"CASSAVA",1020,1000,3,4,,4,2012,,,,2,,,,,,,,,,0
4,1,106,2,880,10022,2,3,"MAIZE",1080,800,3,4,,4,2012,8,31,,2,,,,,,,,,,0
4,1,106,2,880,10022,2,4,"PUMKIN",2193,100,3,4,,4,2012,12,62,,2,,,,,,,,,,0
4,1,106,2,880,10022,3,1,"MAIZE",1080,1050,3,4,,4,2012,13,31,,2,,,,,,,,,,0
4,1,106,2,880,10022,3,2,"CASSAVA",1020,1000,3,4,,4,2012,,,,2,,,,,,,,,,0
4,1,106,2,880,10022,3,3,"MELON",1092,700,3,4,,4,2012,10,13,,2,,,,,,,,,,0
4,1,106,2,880,10023,1,1,"THREE LEAF YAM",1124,50,1,4,,3,2012,8,32,,2,,,,,,,,,,0
4,1,106,2,880,10023,1,2,"CASSAVA",1020,1000,3,4,,3,2012,14,32,,2,,,,,,,,,,0
