"zone","state","lga","sector","ea","hhid","plotid","cropid","cropname","cropcode","s11gq1a","s11gq1b","s11gq2","s11gq3","s11gq4","s11gq5a","s11gq5b","s11gq5c","s11gq5d","s11gq6","s11gq7","s11gq7b","s11gq8a","s11gq8b","tracked_obs"
4,1,104,2,1364,10013,2,2,"PALM TREE",3180,8,3,8,1994,,3,2012,10,2012,2,,,300,42,0
4,1,104,2,1364,10019,1,1,"PLANTAIN",2170,50,3,50,2005,,8,2012,8,2012,2,,,3000,42,0
4,1,104,2,1364,10019,1,2,"PALM TREE",3180,6,3,6,9999,,9,2012,9,2012,2,,,2000,41,0
4,1,106,2,880,10021,2,3,"OIL PALM TREE",3180,40,3,5,1970,,2,2012,11,2012,2,,,800,42,0
4,1,106,2,880,10021,3,1,"PINEAPPLE",2160,1800,3,400,2010,,3,2012,11,2012,2,,,,,0
4,1,106,2,880,10021,3,2,"PLAINTAIN",2170,100,3,50,1980,,3,2012,10,2012,2,,,1000,42,0
4,1,106,2,880,10021,3,3,"OIL PALM TREE",3180,50,3,7,1975,,2,2012,11,2012,2,,,600,42,0
4,1,106,2,880,10022,1,3,"OIL PALM TREE",3180,20,4,8,1959,,2,2012,10,2012,2,,,8000,3,0
4,1,106,2,880,10023,2,1,"PINEAPPLE",2160,2500,3,200,2012,,3,2012,12,2012,2,,,500,31,0
4,1,106,2,880,10023,2,2,"PLAINTAIN",2170,38,4,30,2009,,3,2012,11,2012,2,,,600,61,0
4,1,106,2,880,10027,1,1,"PLANTAIN",2170,50,3,50,2004,,9,2012,9,2012,2,,,1600,42,0
4,1,106,2,880,10027,1,2,"PINEAPPLE",2160,20,3,20,2008,,11,2011,12,2011,2,,,1000,42,0
4,1,106,2,880,10027,1,3,"PALM OIL TREE",3180,6,3,6,2000,,3,2012,4,2012,2,,,100,92,0
4,1,106,2,880,10027,1,4,"CHERI ( UDARA )",3240,1,3,1,2000,,12,2011,12,2011,2,,,,,0
4,1,106,2,880,10027,1,5,"KOLA NUT",3110,1,3,1,2007,,10,2011,11,2011,2,,,,,0
4,1,106,2,880,10027,3,2,,1040,,,,,,,,,,,,,,,0
