"zone","state","lga","sector","ea","hhid","plotid","cropid","cropname","cropcode","s11hq1","s11hq2a","s11hq2b","s11hq3","s11hq4","s11hq5a","s11hq5b","s11hq6","s11hq7a","s11hq7b","s11hq8","s11hq9","s11hq9b","s11hq10","s11hq11","s11hq12a","s11hq12b","s11hq13","s11hq14a","s11hq14b","s11hq15","s11hq16","s11hq16b","s11hq17a","s11hq17b","s11hq18a","s11hq18b","s11hq19a","s11hq19b","s11hq20a","s11hq20b","s11hq20c","s11hq21","s11hq21b","s11hq22","s11hq23","s11hq23b","s11hq24a","s11hq24b","s11hq25a","s11hq25b","s11hq25c","s11hq26a","s11hq26b","s11hq26c","tracked_obs"
4,1,104,2,1364,10012,1,1,"CASSAVA",1020,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,0
4,1,104,2,1364,10012,1,2,"MAIZE",1080,1,4,31,2000,"N1",4,31,2000,2,5,,1,,2,,,,,,,,,,,,,,,,,,,,,1,1,,1,31,2,,,1,3,,0
4,1,104,2,1364,10012,2,1,"CASSAVA",1020,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,0
4,1,104,2,1364,10013,1,1,"CASSAVA",1020,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,0
4,1,104,2,1364,10013,2,1,"CASSAVA",1020,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,0
4,1,104,2,1364,10013,2,2,"PALM TREE",3180,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,0
4,1,104,2,1364,10014,1,1,"CASSAVA",1020,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,0
4,1,104,2,1364,10014,1,2,"MAIZE",1080,2,,,,,,,,,,,,,,,,,,,,,,,2,26,,,,,,,,,,2,,,,,,,,,,,0
4,1,104,2,1364,10015,1,1,"CASSAVA",1020,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,0
4,1,104,2,1364,10015,1,2,"MAIZE",1080,1,2,31,1200,"N4",,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,0
4,1,104,2,1364,10015,2,1,"CASSAVA",1020,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,0
4,1,104,2,1364,10015,2,2,"MAIZE",1080,1,2,31,1200,"N4",,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,0
4,1,104,2,1364,10016,2,1,"CASSAVA",1020,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,0
4,1,104,2,1364,10016,2,2,"PUMKIN",2190,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,0
4,1,104,2,1364,10016,2,3,"YAM",1120,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,0
4,1,104,2,1364,10016,2,4,"MAIZE",1080,1,1,22,1400,"N2",1,22,1400,2,,100,4,,2,,,,,,,,,,1,21,,,,,,,,,,2,,,,,,,,,,,0
4,1,104,2,1364,10018,1,1,"CASSAVA",1020,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,0
4,1,104,2,1364,10018,1,2,"YAM",1120,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,0
4,1,104,2,1364,10018,1,3,"PUMKIN",2193,1,36,61,7200,"N3",20,61,4000,1,,,1,,2,,,,,,,,,,6,61,,,,,,,,,,2,,,,,,,,,,,0
4,1,104,2,1364,10019,1,1,"PLANTAIN",2170,1,20,42,12000,"N3",20,42,12000,1,2,,1,,2,,,,,,,,,,1,42,,,,,,,,,,2,,,,,,,,,,,0
4,1,104,2,1364,10019,1,2,"PALM TREE",3180,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,0
4,1,106,2,880,10021,1,1,"MAIZE",1080,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,0
4,1,106,2,880,10021,1,2,"CASSAVA",1020,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,0
4,1,106,2,880,10021,1,3,"PUMKIN",2190,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,0
4,1,106,2,880,10021,1,4,"GARDEN EGG",2080,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,0
4,1,106,2,880,10021,2,1,"MAIZE",1080,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,0
4,1,106,2,880,10021,2,2,"CASSAVA",1020,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,0
4,1,106,2,880,10021,2,3,"OIL PALM TREE",3180,1,7,42,21000,"N2",7,42,21000,1,2,,1,,2,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,0
4,1,106,2,880,10021,3,1,"PINEAPPLE",2160,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,0
4,1,106,2,880,10021,3,2,"PLAINTAIN",2170,1,8,42,6000,"N2",8,42,6000,1,2,,1,,2,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,0
4,1,106,2,880,10021,3,3,"OIL PALM TREE",3180,1,5,42,24000,"N2",5,42,2400,1,2,,1,,2,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,0
4,1,106,2,880,10022,1,1,"CASSAVA",1020,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,0
4,1,106,2,880,10022,1,2,"MAIZE",1080,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,0
4,1,106,2,880,10022,1,3,"OIL PALM TREE",3180,1,60,3,9000,"N3",60,3,9000,2,1,,1,,2,,,,,,,,,,10,3,,,,,,,,,,2,,,,,,,,,,,0
4,1,106,2,880,10022,2,1,"YAM",1120,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,0
4,1,106,2,880,10022,2,2,"CASSAVA",1020,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,0
4,1,106,2,880,10022,2,3,"MAIZE",1080,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,0
4,1,106,2,880,10022,2,4,"PUMKIN",2193,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,0
4,1,106,2,880,10022,3,1,"MAIZE",1080,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,0
4,1,106,2,880,10022,3,2,"CASSAVA",1020,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,0
4,1,106,2,880,10022,3,3,"MELON",1092,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,0
4,1,106,2,880,10023,1,1,"THREE LEAF YAM",1124,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,0
4,1,106,2,880,10023,1,2,"CASSAVA",1020,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,0
4,1,106,2,880,10023,1,3,"MAIZE",1080,1,2,31,800,"N2",,,,1,2,,,,2,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,0
4,1,106,2,880,10023,1,4,"PUMKIN",2190,1,4,61,1200,"N3",,,,1,2,,,,2,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,0
4,1,106,2,880,10023,2,1,"PINEAPPLE",2160,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,0
4,1,106,2,880,10023,2,2,"PLAINTAIN",2170,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,0
4,1,106,2,880,10023,3,1,"YAM",1120,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,0
4,1,106,2,880,10023,3,2,"MAIZE",1080,1,3,31,1200,"N2",,,,1,2,,,,2,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,0
4,1,106,2,880,10023,3,3,"CASSAVA",1020,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,0
4,1,106,2,880,10023,3,4,"PUMKIN",2190,1,4,61,1200,"N3",,,,1,2,,,,2,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,0
4,1,106,2,880,10024,1,1,"CASSAVA",1020,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,0
4,1,106,2,880,10025,1,1,"CASSAVA",1020,2,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,,,,2,,,,,,,,,,,0
4,1,106,2,880,10025,1,2,"YAM",1120,2,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,,,,2,,,,,,,,,,,0
4,1,106,2,880,10025,2,1,"CASSAVA",1020,2,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,,,,2,,,,,,,,,,,0
4,1,106,2,880,10025,2,2,"PUMKIN",2193,2,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,,,,2,,,,,,,,,,,0
4,1,106,2,880,10026,1,1,"CASSAVA",1020,2,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,,,,2,,,,,,,,,,,0
4,1,106,2,880,10027,1,1,"PLATAIN",2170,1,14,42,3300,"N4",14,42,3300,2,,200,4,,2,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,0
4,1,106,2,880,10027,1,2,"PINEAPPLE",2160,1,6,42,1080,"N4",6,42,1080,2,,200,4,,2,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,0
4,1,106,2,880,10027,1,3,"PALM OIL",3180,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,"CONTAINER(PLAST",1,92,4,,,1,2,,0
4,1,106,2,880,10027,1,4,"CHERI ( UDARAH )",3240,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,0
4,1,106,2,880,10027,1,5,"KOLA NUT",3110,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,0
4,1,106,2,880,10027,2,1,"MAIZE",1080,1,4,22,2400,"N4",4,32,2400,2,,500,4,,2,,,,,,,,,,,,,,,,,,,,,1,3,,,,,,,3,1,,0
4,1,106,2,880,10027,2,2,"CASSAVA",1020,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,0
4,1,106,2,880,10027,2,3,"PUMKIN",2190,1,20,62,3600,"N4",20,62,3600,2,,200,4,,2,,,,,,,,,,4,62,,,,,,,,,,2,,,,,,,,,,,0
4,1,106,2,880,10027,2,4,"PEPPER",2140,1,3,31,3000,"N4",3,31,3000,2,,200,4,,2,,,,,,,,,,,,,,,,,,,,,1,3,,1,31,,,,1,3,,0
4,1,106,2,880,10027,2,5,"GARDEN EGG",2080,1,4,22,18000,"N4",4,22,18000,2,,800,4,,2,,,,,,,,,,1,21,,,,,,,,,,1,3,,1,21,,,,1,3,,0
4,1,106,2,880,10027,3,1,"YAM",1120,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,0
4,1,106,2,880,10027,3,2,"COCOYAM",1040,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,0
4,1,106,2,880,10027,3,3,"THREE LEAF YAM",1124,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,0
4,1,106,2,880,10027,3,4,"CASSAVA",1020,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,0
