"zone","state","lga","sector","ea","hhid","network_cd","s12q2","s12q2b","s12q3","tracked_obs"
4,1,104,2,1364,10012,"N1",9,,2,0
4,1,104,2,1364,10013,"N1",1,,1,0
4,1,104,2,1364,10013,"N2",1,,2,0
4,1,104,2,1364,10014,"N1",9,,1,0
4,1,104,2,1364,10015,"N1",25,,6,0
4,1,104,2,1364,10015,"N2",4,,3,0
4,1,104,2,1364,10015,"N3",2,,1,0
4,1,104,2,1364,10015,"N4",9,,2,0
4,1,104,2,1364,10016,"N1",31,"WIFE",1,0
4,1,104,2,1364,10016,"N2",9,,1,0
4,1,104,2,1364,10016,"N3",2,,1,0
4,1,104,2,1364,10018,"N1",1,,1,0
4,1,104,2,1364,10018,"N2",1,,1,0
4,1,104,2,1364,10018,"N3",11,,1,0
4,1,104,2,1364,10019,"N1",1,,1,0
4,1,104,2,1364,10019,"N2",2,,1,0
4,1,104,2,1364,10019,"N3",7,,1,0
4,1,106,2,880,10021,"N1",9,,5,0
4,1,106,2,880,10021,"N2",11,,2,0
4,1,106,2,880,10021,"N3",7,,1,0
4,1,106,2,880,10022,"N1",1,,1,0
4,1,106,2,880,10022,"N2",9,,4,0
4,1,106,2,880,10022,"N3",7,,1,0
4,1,106,2,880,10022,"N4",2,,1,0
4,1,106,2,880,10023,"N1",9,,3,0
4,1,106,2,880,10023,"N2",2,,1,0
4,1,106,2,880,10023,"N3",1,,1,0
4,1,106,2,880,10024,"N1",12,,2,0
4,1,106,2,880,10025,"N1",9,,2,0
4,1,106,2,880,10026,"N1",9,,2,0
4,1,106,2,880,10027,"N1",12,,6,0
4,1,106,2,880,10027,"N2",9,,6,0
4,1,106,2,880,10027,"N3",1,,6,0
4,1,106,2,880,10027,"N4",12,,6,0
4,1,106,2,880,10027,"N5",1,,1,0
4,1,106,2,880,10029,"N1",9,,2,0
4,1,106,2,880,10029,"N2",12,,2,0
4,1,106,2,880,10030,"N1",9,,2,0
4,1,106,2,880,10030,"N2",15,,1,0
4,1,106,2,880,10030,"N3",10,,1,0
4,1,111,1,1146,10034,"N1",2,,3,0
4,1,111,1,1146,10034,"N2",12,,5,0
4,1,102,1,1690,10057,"N1",12,,3,0
4,1,102,1,1690,10057,"N2",2,,1,0
4,1,107,2,1044,10061,"N1",31,"WIFE",1,0
4,1,107,2,1044,10061,"N2",11,,2,0
4,1,107,2,1044,10062,"N1",13,,4,0
4,1,107,2,1044,10063,"N1",2,,1,0
4,1,107,2,1044,10064,"N1",9,,4,0
4,1,107,2,1044,10064,"N2",1,,1,0
4,1,107,2,1044,10064,"N3",2,,2,0
4,1,107,2,1044,10064,"N4",8,,1,0
4,1,107,2,1044,10065,"N1",2,,1,0
4,1,107,2,1044,10065,"N2",7,,1,0
4,1,107,2,1044,10065,"N3",9,,3,0
4,1,107,2,1044,10066,"N1",12,,2,0
4,1,107,2,1044,10067,"N1",2,,1,0
4,1,107,2,1044,10067,"N2",12,,2,0
4,1,107,2,1044,10068,"N1",1,,1,0
4,1,107,2,1044,10068,"N2",9,,2,0
4,1,107,2,1044,10068,"N3",1,,2,0
4,1,107,2,1044,10069,"N1",12,,2,0
4,1,107,2,1044,10069,"N2",1,,1,0
4,1,107,2,1044,10069,"N3",9,,2,0
4,1,107,2,1044,10069,"N4",8,,2,0
4,1,107,2,1044,10069,"N5",1,,2,0
4,1,107,2,1044,10070,"N1",31,"WIFE",1,0
4,1,107,2,1044,10070,"N2",17,,6,0
4,1,107,2,1044,10070,"N3",10,,2,0
4,1,117,2,560,10071,"N1",9,,2,0
4,1,117,2,560,10072,"N1",9,,1,0
4,1,117,2,560,10073,"N1",1,,1,0
4,1,117,2,560,10073,"N2",9,,2,0
4,1,117,2,560,10073,"N3",9,,3,0
4,1,117,2,560,10074,"N1",9,,3,0
4,1,117,2,560,10074,"N2",2,,1,0
4,1,117,2,560,10074,"N3",2,,2,0
4,1,117,2,560,10075,"N1",31,"OWN CHILD",1,0
4,1,117,2,560,10075,"N2",9,,6,0
4,1,117,2,560,10076,"N1",31,"WIFE",1,0
4,1,117,2,560,10076,"N2",10,,1,0
4,1,117,2,560,10077,"N1",1,,1,0
4,1,117,2,560,10077,"N2",2,,1,0
4,1,117,2,560,10078,"N1",8,,2,0
