"zone","state","lga","sector","ea","hhid","qno1","qno2","hhno","tracked_obs"
4,1,104,2,1364,10012,2,2,2,0
4,1,104,2,1364,10013,2,2,6,0
4,1,104,2,1364,10014,2,2,11,0
4,1,104,2,1364,10015,2,2,4,0
4,1,104,2,1364,10016,2,2,24,0
4,1,104,2,1364,10018,2,2,16,0
4,1,104,2,1364,10019,2,2,14,0
4,1,106,2,880,10021,2,2,4,0
4,1,106,2,880,10022,2,2,10,0
4,1,106,2,880,10023,2,2,3,0
4,1,106,2,880,10024,2,2,13,0
4,1,106,2,880,10025,2,2,7,0
4,1,106,2,880,10026,2,2,2,0
4,1,106,2,880,10027,2,2,9,0
4,1,106,2,880,10029,2,2,6,0
4,1,106,2,880,10030,2,2,8,0
4,1,111,1,1146,10034,2,2,10,0
4,1,102,1,1690,10057,2,2,10,0
4,1,107,2,1044,10061,2,2,10,0
4,1,107,2,1044,10062,2,2,2,0
4,1,107,2,1044,10063,2,2,12,0
4,1,107,2,1044,10064,2,2,2,0
4,1,107,2,1044,10065,2,2,6,0
4,1,107,2,1044,10066,2,2,8,0
4,1,107,2,1044,10067,2,2,5,0
4,1,107,2,1044,10068,2,2,4,0
4,1,107,2,1044,10069,2,2,1,0
4,1,107,2,1044,10070,2,2,13,0
4,1,117,2,560,10071,2,2,3,0
4,1,117,2,560,10072,2,2,3,0
4,1,117,2,560,10073,2,2,6,0
4,1,117,2,560,10074,2,2,1,0
4,1,117,2,560,10075,2,2,15,0
4,1,117,2,560,10076,2,2,9,0
4,1,117,2,560,10077,2,2,7,0
4,1,117,2,560,10078,2,2,2,0
4,1,117,2,560,10079,2,2,8,0
4,1,117,2,560,10080,2,2,10,0
4,1,110,2,76,10081,2,2,19,0
4,1,110,2,76,10082,2,2,1,0
4,1,110,1,0,10083,,,,1
4,1,110,2,76,10084,2,2,25,0
4,1,110,2,76,10086,2,2,16,0
4,1,110,2,76,10087,2,2,40,0
4,1,110,2,76,10088,2,2,10,0
4,1,110,2,76,10089,2,2,13,0
4,1,105,2,638,10091,2,2,18,0
4,1,105,2,638,10092,2,2,11,0
4,1,105,2,638,10094,2,2,7,0
4,1,105,2,638,10096,2,2,5,0
4,1,105,2,638,10097,2,2,14,0
4,1,105,2,638,10099,2,2,4,0
4,1,105,2,638,10100,2,2,17,0
4,1,108,2,904,10102,2,2,12,0
4,1,108,2,904,10103,2,2,23,0
4,1,108,2,904,10105,2,2,7,0
4,1,108,2,904,10106,2,2,21,0
4,1,108,2,904,10107,2,2,3,0
4,1,108,2,904,10108,2,2,18,0
4,1,108,2,904,10109,2,2,32,0
4,1,108,2,904,10110,2,2,14,0
2,2,209,2,1040,20001,2,2,4,0
2,2,209,2,1040,20002,2,2,9,0
2,2,209,2,1040,20004,2,2,12,0
2,2,209,2,1040,20005,2,2,1,0
2,2,209,2,1040,20006,3,3,14,0
2,2,209,2,1040,20007,2,2,22,0
2,2,209,2,1040,20008,2,2,6,0
2,2,209,2,1040,20009,2,2,20,0
2,2,209,2,1040,20010,2,2,36,0
2,2,221,2,18,20011,2,2,7,0
2,2,221,2,18,20012,2,2,18,0
2,2,221,2,18,20013,2,2,103,0
2,2,221,2,18,20014,2,2,60,0
2,2,221,2,18,20015,2,2,82,0
2,2,221,2,18,20016,2,2,92,0
2,2,221,2,18,20017,2,2,28,0
2,2,221,2,18,20018,2,2,39,0
2,2,221,2,18,20019,2,2,50,0
2,2,221,2,18,20020,2,2,71,0
2,2,201,2,60,20021,2,2,1,0
2,2,201,2,60,20022,2,2,5,0
2,2,201,2,60,20023,2,2,13,0
2,2,201,2,60,20024,2,2,9,0
2,2,201,2,60,20025,3,3,22,0
2,2,201,2,60,20026,2,2,15,0
2,2,201,2,60,20027,2,2,7,0
2,2,201,2,60,20028,2,2,18,0
2,2,201,2,60,20029,2,2,3,0
2,2,201,2,60,20030,2,2,11,0
2,2,216,2,200,20031,2,2,16,0
2,2,216,2,200,20032,2,2,32,0
2,2,216,2,200,20033,2,2,4,0
2,2,216,2,200,20034,3,3,35,0
2,2,216,2,200,20035,2,2,1,0
2,2,216,2,200,20036,2,2,10,0
2,2,216,2,200,20037,2,2,19,0
2,2,216,2,200,20038,2,2,22,0
2,2,216,2,200,20040,2,2,7,0
2,2,203,2,1224,20041,2,2,7,0
2,2,203,2,1224,20042,2,2,18,0
2,2,203,2,1224,20043,2,2,8,0
2,2,203,2,1224,20044,2,2,3,0
2,2,203,2,1224,20045,2,2,12,0
2,2,203,2,1224,20046,2,2,1,0
