"zone","state","lga","sector","ea","pid","c1q2","c1q3","c1q4a","c1q4b","c1q4c","c1q5","c1q6"
4,1,102,1,536,1,1,48,1,,,48,26
4,1,102,1,536,2,1,71,3,,,21,42
4,1,102,1,536,3,1,61,11,,"PRIME MINISTER",61,16
4,1,102,1,536,4,2,41,2,,,21,42
4,1,102,1,536,5,1,39,11,,"YOUTH LEADRE",39,26
4,1,102,1,1690,1,1,54,1,,,54,41
4,1,102,1,1690,2,1,53,3,,,53,42
4,1,102,1,1690,3,1,61,3,,,61,42
4,1,102,1,1690,4,2,50,8,,,50,16
4,1,102,1,1690,5,1,43,11,,"YOUTH LEADER",43,41
4,1,102,1,1690,6,2,61,11,,"POLITICIAN",61,26
4,1,102,1,1690,7,1,44,11,,"SECRETARY",44,26
4,1,104,2,1364,1,1,76,1,,,10,16
4,1,104,2,1364,2,1,70,2,,,18,42
4,1,104,2,1364,3,1,65,2,,,20,16
4,1,104,2,1364,4,1,73,11,,"SECRETARY",40,25
4,1,104,2,1364,5,2,53,11,,"WOMEN LEADER",53,16
4,1,104,2,1364,6,2,48,11,,"WOMEN LEADER",48,25
4,1,104,2,1364,7,1,47,11,,"YOUTH LEADER",47,16
4,1,104,2,1364,8,1,56,11,,"YOUTH LEADER",56,16
4,1,105,2,638,1,1,82,1,,,20,16
4,1,105,2,638,2,1,60,11,,"COMMUNITY CHAIRMAN",25,16
4,1,105,2,638,3,1,67,11,,"PALACE SECRETARY",15,26
4,1,105,2,638,4,1,70,11,,"COMMUNITY HEAD",18,16
4,1,105,2,638,5,2,62,11,,"WOMEN LEADER",40,16
4,1,105,2,638,6,2,82,11,,"FARMER",30,16
4,1,105,2,638,7,1,42,11,,"YOUTH LEADER",10,16
4,1,105,2,638,8,1,72,9,,,18,42
4,1,105,2,638,9,1,62,11,,"FARMER",22,16
4,1,106,2,880,1,1,54,1,,,54,16
4,1,106,2,880,2,1,43,11,,"CHAIRMAN",30,25
4,1,106,2,880,3,1,55,11,,"FARMER",55,25
4,1,106,2,880,4,2,41,8,,,21,25
4,1,106,2,880,5,1,30,11,,"PROVOST",30,16
4,1,106,2,880,6,2,43,11,,"SECRETARY",18,25
4,1,106,2,880,7,1,52,11,,"FARMER",52,16
4,1,107,2,1044,1,1,66,1,1,,60,16
4,1,107,2,1044,2,1,40,8,8,,40,16
4,1,107,2,1044,3,1,40,11,,"YOUTH LEADER",40,16
4,1,107,2,1044,4,2,35,11,,"CHAIR LADY",35,25
4,1,107,2,1044,5,2,35,11,,"SECRETARY",35,22
4,1,107,2,1044,6,2,65,11,,"CHAIR LADY",65,0
4,1,107,2,1044,7,2,36,8,,,36,16
4,1,107,2,1044,8,1,95,3,,,95,0
4,1,107,2,1044,9,1,80,3,,,80,42
4,1,108,2,904,1,1,65,1,,,40,42
4,1,108,2,904,2,1,63,11,,"CHAIRMAN",40,41
4,1,108,2,904,3,1,62,3,,,50,16
4,1,108,2,904,4,1,78,3,,,71,16
4,1,108,2,904,5,2,58,7,,,30,41
4,1,108,2,904,6,1,49,11,,"YOUTH LEADER",49,42
4,1,108,2,904,7,2,72,8,,,72,41
4,1,108,2,904,8,1,61,11,,"SECRETARY",16,26
4,1,110,2,76,1,1,96,1,,,55,0
4,1,110,2,76,2,1,53,11,,"SECRETARY",40,42
4,1,110,2,76,3,1,56,3,,,45,16
4,1,110,2,76,4,1,71,3,,,40,13
4,1,110,2,76,5,2,84,3,,,84,0
4,1,110,2,76,6,1,51,8,,,25,26
4,1,110,2,76,7,1,39,11,,"YOUTH LEADER",30,31
4,1,111,1,1146,1,1,76,1,,,76,16
4,1,111,1,1146,2,2,41,2,,,41,26
4,1,111,1,1146,3,1,51,11,,"CHAIRMAN",51,16
4,1,111,1,1146,4,1,46,11,,"YOUTH LEADER",46,16
4,1,111,1,1146,5,1,61,3,,,61,16
4,1,115,1,670,1,1,53,11,,"CHAIRMAN",9,43
4,1,115,1,670,2,1,66,11,,"TREASURER",10,43
4,1,115,1,670,3,1,58,11,,"VICE CHAIRMAN",10,42
4,1,115,1,670,4,1,60,11,,"SECRETARY",10,43
4,1,115,1,670,5,2,58,11,,"PRO",13,42
4,1,115,1,670,6,1,53,11,,"MD ( ESTATE )",12,42
4,1,115,1,670,7,2,50,11,,"ZONE C REP",7,43
4,1,115,1,670,8,1,62,1,,,9,43
4,1,117,2,560,1,1,69,1,,,69,16
4,1,117,2,560,2,1,47,8,,,48,16
4,1,117,2,560,3,2,43,2,,,44,16
4,1,117,2,560,4,1,46,3,,,47,16
4,1,117,2,560,5,1,54,11,,"SECRETARY",54,16
4,1,117,2,560,6,2,45,11,,"WOMEN LEADER",45,16
4,1,117,2,560,7,1,50,11,,"YOUTH LEADR",40,26
4,1,117,2,560,8,1,60,9,,,50,26
2,2,201,2,60,1,1,65,1,,,65,0
2,2,201,2,60,2,1,48,5,,,48,26
2,2,201,2,60,3,1,80,6,,,80,0
2,2,201,2,60,4,1,36,7,,,36,34
2,2,201,2,60,5,2,35,11,,"HOUSE WIFE",35,26
2,2,201,2,60,6,1,33,6,,,33,26
2,2,201,2,60,7,1,30,6,,,30,23
2,2,201,2,60,8,1,27,6,,,27,26
2,2,203,2,1224,1,1,75,1,,,30,0
2,2,203,2,1224,2,2,50,2,,,30,0
2,2,203,2,1224,3,1,29,5,,,29,25
2,2,203,2,1224,4,1,58,6,,,58,23
2,2,203,2,1224,5,1,70,6,,,60,0
2,2,203,2,1224,6,1,40,9,,,10,16
2,2,203,2,1224,7,1,45,6,,,30,16
2,2,205,2,712,1,1,75,1,,,75,26
2,2,205,2,712,2,1,53,4,,,53,42
2,2,205,2,712,3,2,31,6,,,31,16
2,2,205,2,712,4,1,60,6,,,60,16
2,2,205,2,712,5,2,17,6,,,17,25
2,2,205,2,712,6,1,67,10,,"RETIRED",31,16
2,2,205,2,712,7,1,17,6,,,17,26
2,2,205,2,712,8,1,25,6,,,25,26
2,2,207,2,1302,1,1,75,1,,,27,0
2,2,207,2,1302,2,1,56,1,,,41,0
2,2,207,2,1302,3,1,63,6,,,63,0
2,2,207,2,1302,4,1,55,6,,,55,0
2,2,207,2,1302,5,1,78,6,,,78,0
2,2,207,2,1302,6,1,56,6,,,30,0
2,2,207,2,1302,7,1,70,6,,,39,0
2,2,207,2,1302,8,1,70,8,,,40,0
2,2,207,2,1302,9,1,35,6,,,35,16
2,2,209,2,1040,1,1,64,1,,,64,26
2,2,209,2,1040,2,2,36,2,,,36,0
2,2,209,2,1040,3,1,35,6,,,35,26
2,2,209,2,1040,4,1,25,6,,,25,26
2,2,209,2,1040,5,1,25,6,,,15,26
2,2,209,2,1040,6,1,26,6,,,26,26
2,2,209,2,1040,7,1,33,10,,,10,26
2,2,209,2,1040,8,1,22,6,,,6,26
2,2,210,2,1300,1,1,52,1,,,52,26
2,2,210,2,1300,2,2,40,6,,,40,0
2,2,210,2,1300,3,1,29,11,,"YOUTH LEADER",29,26
2,2,210,2,1300,4,1,40,6,,,40,16
2,2,210,2,1300,5,1,41,8,,,41,14
2,2,210,2,1300,6,1,31,8,,,31,23
2,2,210,2,1300,7,1,25,6,,,25,26
2,2,210,2,1300,8,1,45,6,,,45,0
2,2,210,2,1300,9,1,25,11,,"STUDENT",25,26
2,2,212,2,956,1,1,33,3,,,33,0
2,2,212,2,956,2,1,52,9,,,52,0
2,2,212,2,956,3,1,75,3,,,75,0
2,2,212,2,956,4,1,30,3,,,30,0
2,2,212,2,956,5,1,37,3,,,37,0
2,2,212,2,956,6,1,64,1,,,64,0
2,2,214,2,898,1,1,57,1,,,40,26
2,2,214,2,898,2,1,30,11,,"ACCOUNTANT",30,42
2,2,214,2,898,3,1,46,10,,,17,26
2,2,214,2,898,4,1,39,8,,,39,16
2,2,214,2,898,5,1,34,11,,"YOUTH LEADER",34,42
2,2,214,2,898,6,2,33,5,,,33,34
2,2,215,1,8,1,1,59,1,,,59,51
2,2,215,1,8,2,1,52,11,,"TRANSPORT UNION",31,28
2,2,215,1,8,3,2,34,11,,"WOMAN LEADER",34,41
2,2,215,1,8,4,1,33,5,,,33,34
