"zone","state","sector","lga","ea","item_cd","c2q1","c2q2","c2q3"
4,1,1,102,536,10,1,13,30
4,1,1,102,536,11,1,13,30
4,1,1,102,536,13,1,13,40
4,1,1,102,536,14,1,13,50
4,1,1,102,536,16,1,1,450
4,1,1,102,536,17,1,13,35
4,1,1,102,536,18,1,13,25
4,1,1,102,536,19,1,1,450
4,1,1,102,536,21,1,13,30
4,1,1,102,536,25,1,1,170
4,1,1,102,536,26,1,1,50
4,1,1,102,536,27,1,1,10
4,1,1,102,536,28,1,1,10
4,1,1,102,536,29,1,1,50
4,1,1,102,536,30,1,1,40
4,1,1,102,536,31,1,1,300
4,1,1,102,536,32,1,13,20
4,1,1,102,536,33,1,13,20
4,1,1,102,536,35,1,1,200
4,1,1,102,536,37,1,1,200
4,1,1,102,536,40,1,13,50
4,1,1,102,536,41,1,13,100
4,1,1,102,536,42,1,13,100
4,1,1,102,536,43,1,13,50
4,1,1,102,536,44,1,13,100
4,1,1,102,536,50,1,3,267
4,1,1,102,536,51,1,1,200
4,1,1,102,536,52,1,1,220
4,1,1,102,536,60,1,1,200
4,1,1,102,536,61,1,1,100
4,1,1,102,536,64,1,1,200
4,1,1,102,536,65,1,3,303
4,1,1,102,536,70,1,1,100
4,1,1,102,536,71,1,1,30
4,1,1,102,536,72,1,1,30
4,1,1,102,536,73,1,1,50
4,1,1,102,536,74,1,1,100
4,1,1,102,536,76,1,1,50
4,1,1,102,536,80,1,1,1500
4,1,1,102,536,82,1,1,850
4,1,1,102,536,83,1,1,30
4,1,1,102,536,84,1,1,30
4,1,1,102,536,85,1,1,30
4,1,1,102,536,90,1,1,700
4,1,1,102,536,93,1,1,750
4,1,1,102,536,95,1,1,600
4,1,1,102,536,101,1,1,250
4,1,1,102,536,102,1,1,300
4,1,1,102,536,103,1,1,200
4,1,1,102,536,106,1,1,100
4,1,1,102,536,107,1,1,150
4,1,1,102,536,111,1,1,35
4,1,1,102,536,112,1,1,1250
4,1,1,102,536,113,1,1,120
4,1,1,102,536,115,1,1,600
4,1,1,102,536,120,1,1,280
4,1,1,102,536,121,1,1,35
4,1,1,102,536,122,1,1,150
4,1,1,102,536,130,1,1,200
4,1,1,102,536,132,1,3,1600
4,1,1,102,536,133,1,2,1
4,1,1,102,536,140,1,1,20
4,1,1,102,536,150,1,3,100
4,1,1,102,536,151,1,3,8
4,1,1,102,536,152,1,3,303
4,1,1,102,536,153,1,3,143
4,1,1,102,536,154,1,1,250
4,1,1,102,536,155,1,3,733
4,1,1,102,536,160,1,3,333
4,1,1,102,536,161,1,3,133
4,1,1,102,536,163,1,3,667
4,1,1,102,536,164,1,3,1333
4,1,1,102,1690,10,1,13,30
4,1,1,102,1690,11,1,13,30
4,1,1,102,1690,13,1,13,40
4,1,1,102,1690,14,1,13,50
4,1,1,102,1690,16,1,1,430
4,1,1,102,1690,17,1,13,30
4,1,1,102,1690,18,1,13,20
4,1,1,102,1690,19,1,1,450
4,1,1,102,1690,20,1,1,30
4,1,1,102,1690,21,1,13,30
4,1,1,102,1690,25,1,1,60
4,1,1,102,1690,26,1,1,50
4,1,1,102,1690,27,1,1,10
4,1,1,102,1690,28,1,1,10
4,1,1,102,1690,29,1,1,50
4,1,1,102,1690,30,1,1,50
4,1,1,102,1690,31,1,1,200
4,1,1,102,1690,32,1,13,20
4,1,1,102,1690,33,1,13,20
4,1,1,102,1690,35,1,1,200
4,1,1,102,1690,37,1,1,200
4,1,1,102,1690,40,1,13,30
4,1,1,102,1690,41,1,13,100
4,1,1,102,1690,42,1,13,80
4,1,1,102,1690,43,1,13,40
4,1,1,102,1690,44,1,13,100
4,1,1,102,1690,50,1,3,267
