"zone","state","lga","sector","ea","activity_cd","c3q2c","c3q3","c3q4","c3q5","c3q6","c3q7","c3q8","c3q9","c3q10","c3q11","c3q12","c3q13"
4,1,102,1,536,1,,1,3,1,200,2,,2,,2,,
4,1,102,1,536,2,,1,3,2,,1,1200,2,,2,,
4,1,102,1,536,3,,1,3,2,,1,1200,2,,2,,
4,1,102,1,536,4,,1,3,2,,1,1200,2,,2,,
4,1,102,1,536,5,,2,,,,,,,,,,
4,1,102,1,536,6,,1,3,2,,1,1200,2,,2,,
4,1,102,1,1690,1,,1,3,1,200,2,,2,,2,,
4,1,102,1,1690,2,,1,3,2,,1,1500,2,,2,,
4,1,102,1,1690,3,,1,3,2,,1,1500,2,,2,,
4,1,102,1,1690,4,,1,3,2,,1,1500,2,,2,,
4,1,102,1,1690,5,,2,,,,,,,,,,
4,1,102,1,1690,6,,1,3,2,,1,1500,2,,2,,
4,1,104,2,1364,1,,1,3,1,1300,2,,2,,2,,
4,1,104,2,1364,2,,1,3,2,,1,800,2,,2,,
4,1,104,2,1364,3,,1,3,2,,1,800,2,,2,,
4,1,104,2,1364,4,,1,3,2,,1,800,2,,2,,
4,1,104,2,1364,5,,2,,,,,,,,,,
4,1,104,2,1364,6,,1,3,2,,1,800,2,,2,,
4,1,105,2,638,1,,1,3,1,1200,2,,2,,2,,
4,1,105,2,638,2,,1,3,2,,1,700,2,,2,,
4,1,105,2,638,3,,1,3,2,,1,700,2,,2,,
4,1,105,2,638,4,,1,3,2,,1,700,2,,2,,
4,1,105,2,638,5,,2,,,,,,,,,,
4,1,105,2,638,6,,1,3,2,,1,700,2,,2,,
4,1,106,2,880,1,,1,3,1,1200,2,,2,,2,,
4,1,106,2,880,2,,1,3,2,,1,700,2,,2,,
4,1,106,2,880,3,,1,3,2,,1,700,2,,2,,
4,1,106,2,880,4,,1,3,2,,1,700,2,,2,,
4,1,106,2,880,5,,1,3,2,,1,700,2,,2,,
4,1,106,2,880,6,,1,3,2,,1,700,2,,2,,
4,1,107,2,1044,1,,1,3,1,1200,2,,2,,2,,
4,1,107,2,1044,2,,1,3,2,,1,800,2,,2,,
4,1,107,2,1044,3,,1,3,2,,1,800,2,,2,,
4,1,107,2,1044,4,,1,3,2,,1,800,2,,2,,
4,1,107,2,1044,5,,2,,,,,,,,,,
4,1,107,2,1044,6,,1,3,2,,1,800,2,,2,,
4,1,108,2,904,1,,1,3,1,2000,1,1200,2,,2,,
4,1,108,2,904,2,,1,3,1,2000,1,1200,2,,2,,
4,1,108,2,904,3,,1,3,1,2000,1,1200,2,,2,,
4,1,108,2,904,4,,1,3,1,2000,1,1200,2,,2,,
4,1,108,2,904,5,,2,,,,,,,,,,
4,1,108,2,904,6,,1,3,2,,1,1200,2,,2,,
4,1,110,2,76,1,,1,3,1,1000,2,,2,,2,,
4,1,110,2,76,2,,1,3,1,1000,1,700,2,,2,,
4,1,110,2,76,3,,1,3,1,1000,1,700,2,,2,,
4,1,110,2,76,4,,1,3,1,1000,1,700,2,,2,,
4,1,110,2,76,5,,2,,,,,,,,,,
4,1,110,2,76,6,,1,3,2,,1,700,2,,2,,
4,1,111,1,1146,1,,1,3,1,200,2,,2,,2,,
4,1,111,1,1146,2,,1,3,2,,1,1200,2,,2,,
4,1,111,1,1146,3,,1,3,2,,1,1200,2,,2,,
4,1,111,1,1146,4,,1,3,2,,1,1200,2,,2,,
4,1,111,1,1146,5,,2,,,,,,,,,,
4,1,111,1,1146,6,,1,3,2,,1,1200,2,,2,,
4,1,115,1,670,1,,1,3,1,2000,2,,2,,2,,
4,1,115,1,670,2,,1,3,2,,1,1000,2,,2,,
4,1,115,1,670,3,,1,3,2,,1,1000,2,,2,,
4,1,115,1,670,4,,1,3,2,,1,1000,2,,2,,
4,1,115,1,670,5,,2,,,,,,,,,,
4,1,115,1,670,6,,1,3,2,,1,1000,2,,2,,
4,1,117,2,560,1,,1,3,1,2000,2,,2,,2,,
4,1,117,2,560,2,,1,3,1,2000,1,1200,2,,2,,
4,1,117,2,560,3,,1,3,1,2000,1,1200,2,,2,,
4,1,117,2,560,4,,1,3,1,2000,1,1200,2,,2,,
4,1,117,2,560,5,,2,,,,,,,,,,
4,1,117,2,560,6,,1,3,2,,1,1200,2,,2,,
2,2,201,2,60,1,,1,1,1,1500,1,1500,2,,1,25000,15
2,2,201,2,60,2,1080,1,1,1,1000,1,1200,2,,1,14000,
2,2,201,2,60,3,1110,1,1,1,1000,1,1200,2,,1,14000,
2,2,201,2,60,4,1070,1,1,1,1000,1,1200,2,,1,14000,
2,2,201,2,60,5,,1,1,1,600,1,1000,2,,1,5000,
2,2,201,2,60,6,,1,1,1,2000,1,1000,2,,1,10000,
2,2,203,2,1224,1,,1,1,1,500,2,,1,500,1,500,50
2,2,203,2,1224,2,1070,1,1,1,200,2,,1,200,1,200,50
