"zone","state","lga","sector","ea","line_no","activity_desc","activity_cd","c3q15","c3q16","c3q17","c3q18","c3q19","c3q20","c3q21","c3q22","c3q23"
4,1,102,1,536,1,"CROP HARVESTING",1300,1,2000,1,1200,2,,2,,
4,1,102,1,1690,1,"HAVESTING OF CROPS",1300,1,2000,1,1500,2,,2,,
4,1,104,2,1364,1,"PALM FRUIT HARVESTING",1316,1,4000,2,,2,,2,,
4,1,104,2,1364,2,"CROP HARVESTING",1300,1,1300,1,800,2,,2,,
4,1,105,2,638,1,"HARVESTING PALM TREEFRULT",1300,1,3000,2,,2,,2,,
4,1,105,2,638,2,"OTHER CROP HARVESTING",1300,1,600,1,500,2,,2,,
4,1,106,2,880,1,"OTHER CROP HARVEST",1300,1,600,1,500,2,,2,,
4,1,106,2,880,2,"HARVESTING PALM FRUITS",1316,1,4000,2,,2,,2,,
4,1,107,2,1044,1,"OTHER CROP HARVESTING",1300,1,700,1,500,2,,2,,
4,1,107,2,1044,2,"HARVESTING PALM FRUITS",1316,1,4000,2,,2,,2,,
4,1,108,2,904,1,"OTHER CROP HARVEST",1300,1,2000,1,1200,2,,2,,
4,1,108,2,904,2,"CUTTING OF PALM NUTS",1316,1,4000,2,,2,,2,,
4,1,110,2,76,1,"CROP HARVEST",1300,1,1000,1,700,2,,2,,
4,1,110,2,76,2,"CUTTING PALM FRUITS",1316,1,1200,2,,2,,2,,
4,1,111,1,1146,1,"CROPS HARVEST",1300,1,2000,1,1200,2,,2,,
4,1,115,1,670,1,"CROP HARVEST",1300,1,2000,1,1000,2,,2,,
4,1,117,2,560,1,"CUTTING OF PALM FRUITS",1316,1,4000,2,,2,,2,,
4,1,117,2,560,2,"CROP HARVEST",1300,1,2000,1,1200,2,,2,,
2,2,201,2,60,1,"HARVESTING",1300,1,2000,2,,2,,1,18000,
2,2,203,2,1224,1,"HARVESTING",1300,1,100,2,,1,100,1,2500,100
2,2,205,2,712,1,"HARVESTING",1300,1,500,1,500,1,250,1,2000,
2,2,207,2,1302,1,"HARVESTING",1300,1,1000,1,1000,1,1000,1,10000,
2,2,209,2,1040,1,"HARVESTING",1300,1,1000,1,1000,1,700,1,,
2,2,210,2,1300,1,"HARVESTING",1300,1,1500,1,1300,1,100,1,500,1000
2,2,212,2,956,1,"PLANTING",1206,1,300,2,,2,,2,,
2,2,212,2,956,2,"WEEDING",1201,1,500,2,,2,,2,,
2,2,212,2,956,3,"CLEARING/PREPARING FIELDS",1102,1,700,2,,2,,2,,
2,2,212,2,956,4,"APPLYING FERTILIZER",1203,1,500,2,,2,,2,,
2,2,214,2,898,1,"HARVESTING",1300,1,1000,1,1000,1,600,1,2000,250
2,2,215,1,8,1,"HARVESTING",1300,1,1500,1,1500,2,,1,2500,300
2,2,216,2,200,1,"HARVESTING",1300,1,1000,1,1000,1,1000,1,1000,50
2,2,216,2,200,2,"APRAYING",1202,1,200,1,200,1,200,1,200,50
2,2,218,2,1592,1,"REARING",9999,1,1500,2,,1,100,2,,
2,2,221,2,18,1,"HARVESTING",1300,1,1000,1,1000,1,500,1,1500,200
5,3,301,1,1198,1,"OTHER JOBS",9999,1,2000,1,2000,2,,1,,
5,3,301,1,1198,2,"BUILDING ACTIVITIES",2001,1,2500,1,2000,2,,1,,
5,3,305,2,4,1,"BUILDING ACTIVITIES",2001,1,2000,1,1500,2,,1,,
5,3,305,2,4,2,"OTHER JOBS",9999,1,1500,1,1000,2,,1,,
5,3,305,2,1542,1,"BUILDING ACTIVITIES",2001,1,2000,1,1500,2,,,,
5,3,307,1,634,1,"OTHER JOBS",9999,1,2000,1,2000,2,,1,,
5,3,307,1,634,2,"BUILDING WORK",2001,1,2500,1,2000,2,,1,,
5,3,309,2,478,1,"BUILDING ACTIVITIES",2001,1,2000,1,1500,2,,2,,
5,3,312,2,20,1,"BUILDING WORK",2001,1,2000,1,1500,1,1000,1,,
5,3,312,2,20,2,"OTHER JOBS",9999,1,1500,1,1500,1,1000,1,,
5,3,313,2,70,1,"BUILDING ACTIVITIES",2001,1,200,1,150,2,,1,,
5,3,316,2,874,1,"PALM OIL ACTIVITIES",1403,1,1500,1,1500,2,,1,,
5,3,316,2,874,2,"BUILDING WORK",2001,1,2500,1,1500,2,,1,,
5,3,318,2,1136,1,"BUILDING ACTIVIIES",2001,1,2000,1,1500,2,,,,
5,3,321,2,364,1,"BUILDING WORK",2001,1,2000,1,1500,2,,1,,
5,3,323,2,580,1,"BUILDING WORK",2001,1,1000,1,1000,2,,1,,
5,3,326,2,74,1,"BUILDING ACTIVITIE",2001,1,2000,1,1500,2,,1,,
5,3,329,2,696,1,"BUILDING ACTIVITIES",2001,1,2000,1,1500,2,,1,,
5,3,331,1,516,1,"OTHER JOB",9999,1,2000,1,2000,2,,1,,
5,3,331,1,516,2,"BUILDING",2001,1,3000,1,2000,2,,1,,
5,3,331,1,2322,1,"BUILDING",2001,1,2000,1,2000,2,,1,,
5,3,331,1,2322,2,"OTHER JOB",9999,1,2000,1,2000,1,1000,1,,
4,4,401,1,738,1,"CARPENTER",2003,1,3000,2,,2,,2,,
4,4,401,1,738,2,"MASON",2002,1,2500,1,2500,2,,2,,
4,4,401,1,1460,1,"MASON",2002,1,3000,1,3000,2,,2,,
4,4,401,1,1460,2,"CARPENTER",2003,1,3000,2,,2,,2,,
4,4,401,2,2106,1,"HOUSE BUILDING",2001,1,2500,1,2500,2,,2,,
4,4,405,2,484,1,"BUILDING",2001,1,2500,1,2500,2,,1,,
4,4,405,2,722,1,"HOUSE BUILDING",2001,1,2500,1,2500,2,,1,,
4,4,407,2,796,1,"BUILDING HOUSE",2001,1,2500,1,2500,2,,2,,
4,4,410,1,3192,1,"CARPENTER",2003,1,3000,2,,2,,2,,
4,4,410,1,3192,2,"MASON",2002,1,3000,1,3000,2,,2,,
4,4,410,1,3414,1,"CARPENTRY",2003,1,3000,2,,2,,2,,
4,4,410,1,3414,2,"BUILDING (MASON)",2002,1,2500,1,2500,2,,2,,
4,4,413,2,1540,1,"HOUSE BUILDING",2001,1,3000,1,3000,2,,2,,
4,4,419,2,296,1,"MASON",2002,1,2500,1,2500,2,,2,,
4,4,419,2,296,2,"CARPENTRY",2003,1,3500,2,,2,,2,,
4,4,421,1,800,1,"HOUSE BUILDING(MASON)",2002,1,3000,1,3000,2,,2,,
4,4,421,1,800,2,"CARPENTER",2003,1,3000,2,,2,,2,,
2,5,501,2,60,1,"WEDDING",1201,1,1000,2,,2,,1,7000,
2,5,501,2,60,2,"HARVESTING",1300,1,500,2,,2,,1,500,
2,5,502,1,2194,1,"WEDDING",1201,1,700,1,600,2,,2,,
2,5,502,1,2194,2,"PLANTING",1206,1,500,1,500,2,,2,,
2,5,502,1,2194,3,"THRESHING & WINOWING",1401,1,1000,1,800,2,,2,,
2,5,502,2,3878,1,"PLANTING",1206,1,800,2,,1,300,2,,
2,5,502,2,3878,2,"CLEARING",1101,1,800,2,,1,300,2,,
2,5,502,2,3878,3,"WEDDING",1201,1,800,2,,1,300,2,,
2,5,502,2,3878,4,"HARVESTING",1300,1,800,2,,1,300,2,,
2,5,504,2,708,1,"BUILDING",2001,1,500,2,,2,,2,,
2,5,506,2,830,1,"HARVESTING",1300,1,600,1,350,1,250,2,,
2,5,506,2,830,2,"WEDDING",1201,1,600,1,350,1,250,2,,
2,5,506,2,830,3,"PLANTING",1206,1,600,1,350,1,250,2,,
2,5,508,2,718,1,"WEDDING",1201,1,600,1,500,1,250,1,5000,50
2,5,508,2,718,2,"PLANTING",1206,1,500,1,500,1,250,1,3000,50
2,5,508,2,718,3,"HARVESTING",1300,1,600,1,500,1,250,1,4000,50
2,5,508,2,984,1,"HARVESTING",1300,1,500,2,,2,,1,500,
2,5,508,2,984,2,"WEDDING",1201,1,1000,2,,2,,1,7000,
2,5,510,1,872,1,"PETCHING WATER",4005,1,200,2,,2,,2,,
2,5,510,1,872,2,"BUILDING",2001,1,1000,2,,2,,2,,
2,5,510,2,1516,1,"BUILDING",2001,1,500,2,,2,,2,,
2,5,513,2,348,1,"HARVESTING",1300,1,500,2,,2,,1,500,
2,5,513,2,348,2,"WEDDING",1201,1,1000,2,,2,,1,7000,
2,5,514,2,710,1,"BUILDING",2001,1,1000,2,,2,,2,,
2,5,514,2,710,2,"ELECTRIC WORK",2006,1,1500,2,,2,,2,,
2,5,514,1,2036,1,"BUILDING",2001,1,1000,2,,2,,2,,
2,5,514,1,2036,2,"ELECTRICER WORK",2006,1,1000,2,,2,,2,,
2,5,515,2,18,1,"BUILDING",2001,1,800,2,,2,,2,,
2,5,516,2,942,1,"BUILDING",2001,1,600,2,,2,,2,,
2,5,518,2,1304,1,"CULTIVATION",9999,1,1000,2,,1,300,1,500,80
2,5,518,2,1304,2,"PLANTING",1206,1,300,2,,1,150,1,2000,30
2,5,518,2,1304,3,"WEEDING",1201,1,500,2,,1,200,1,6000,50
2,5,518,2,1588,1,"HARVESTING",1300,1,600,1,350,1,250,2,,
2,5,518,2,1588,2,"WEDDING",1201,1,600,1,350,1,250,2,,
2,5,518,2,1588,3,"PLANTING",1206,1,400,1,350,1,250,2,,
5,6,602,2,1356,1,"BAIL FISH POND",9999,1,2000,2,,2,,2,,
5,6,605,2,162,1,"FALLING OF TREES",4007,1,,2,,,,1,12000,
5,6,605,2,162,2,"DIGGING OUT ROOTS",1101,1,,2,,2,,1,5000,
5,6,606,2,1372,1,"MOULDING OF BLOCK",2002,1,6000,2,,,,,,
5,6,606,2,1372,2,"CARRY OF WOOD",4007,1,4500,1,2250,2,,2,,
5,6,607,2,1892,1,"FALLING OF TREES",4007,1,5000,2,,2,,2,,
5,6,608,2,748,1,"FALLING OF TREES",4007,1,,2,,2,,1,10000,
5,6,608,1,3978,1,"FALLING OF TREES",4007,1,5000,2,,2,,2,,
1,7,701,2,606,1,"HARVESTING",1300,1,400,1,300,2,,2,,
1,7,702,2,632,1,"HARVESTING",1300,1,700,2,,2,,2,,
1,7,713,2,304,1,"HARVESTING",1300,2,,1,500,2,,2,,
1,7,715,1,294,1,"HARVESTING",1300,1,700,1,500,2,,2,,
1,7,715,2,780,1,"HARVESTING",1300,1,500,1,500,1,400,2,,
1,7,717,2,1248,1,"HARVESTING",1300,2,,1,500,2,,2,,
1,7,718,2,1640,1,"HARVESTING",1300,1,500,1,500,2,,2,,
1,7,719,1,1612,1,"HARVESTING",1300,1,700,1,500,2,,2,,
1,7,722,2,234,1,"WEEDING",1201,2,,1,400,2,,1,,50
1,7,722,2,234,2,"HARVESTING",1300,1,500,1,400,2,,1,,50
