"zone","state","lga","sector","ea","tenure_cd","c4q1","c4q2","c4q3","c4q4"
4,1,102,1,536,1,1,1,1,10000000
4,1,102,1,536,2,1,3,1,10000
4,1,102,1,536,3,2,,,
4,1,102,1,536,4,1,3,1,10000
4,1,102,1,536,5,1,3,1,10000
4,1,102,1,536,6,1,1,1,10000000
4,1,102,1,536,7,1,1,1,10000000
4,1,102,1,1690,1,1,1,1,10000000
4,1,102,1,1690,2,1,3,1,10000
4,1,102,1,1690,3,2,,,
4,1,102,1,1690,4,1,3,1,10000
4,1,102,1,1690,5,1,3,1,10000
4,1,102,1,1690,6,1,1,1,10000000
4,1,102,1,1690,7,1,1,1,10000000
4,1,104,2,1364,1,1,1,1,1500000
4,1,104,2,1364,2,1,3,1,4000
4,1,104,2,1364,3,2,,,
4,1,104,2,1364,4,1,3,1,4000
4,1,104,2,1364,5,1,3,1,4000
4,1,104,2,1364,6,1,1,1,1500000
4,1,104,2,1364,7,1,1,1,1500000
4,1,105,2,638,1,1,1,1,500000
4,1,105,2,638,2,1,3,1,7000
4,1,105,2,638,3,1,3,2,500000
4,1,105,2,638,4,1,3,1,7000
4,1,105,2,638,5,1,3,1,7000
4,1,105,2,638,6,1,1,2,500000
4,1,105,2,638,7,1,1,2,500000
4,1,106,2,880,1,1,1,2,400000
4,1,106,2,880,2,1,3,1,6000
4,1,106,2,880,3,1,3,2,
4,1,106,2,880,4,1,3,1,6000
4,1,106,2,880,5,1,3,1,6000
4,1,106,2,880,6,1,1,2,400000
4,1,106,2,880,7,1,1,2,400000
4,1,107,2,1044,1,1,1,1,250000
4,1,107,2,1044,2,1,1,1,7500
4,1,107,2,1044,3,1,4,1,7500
4,1,107,2,1044,4,1,3,1,7500
4,1,107,2,1044,5,1,3,1,7500
4,1,107,2,1044,6,1,1,1,250000
4,1,107,2,1044,7,1,1,1,250000
4,1,108,2,904,1,1,1,1,500000
4,1,108,2,904,2,1,3,1,1500
4,1,108,2,904,3,1,4,,
4,1,108,2,904,4,1,3,1,1500
4,1,108,2,904,5,1,3,1,1500
4,1,108,2,904,6,1,1,1,500000
4,1,108,2,904,7,1,1,1,500000
4,1,110,2,76,1,1,1,1,400000
4,1,110,2,76,2,1,3,1,5000
4,1,110,2,76,3,2,,,
4,1,110,2,76,4,1,3,1,5000
4,1,110,2,76,5,1,3,1,5000
4,1,110,2,76,6,1,1,1,400000
4,1,110,2,76,7,1,1,1,400000
4,1,111,1,1146,1,1,1,1,10000000
4,1,111,1,1146,2,1,3,1,10000
4,1,111,1,1146,3,2,,,
4,1,111,1,1146,4,1,3,1,10000
4,1,111,1,1146,5,1,3,1,10000
4,1,111,1,1146,6,1,1,1,10000000
4,1,111,1,1146,7,1,1,1,10000000
4,1,115,1,670,1,1,1,1,10000000
4,1,115,1,670,2,1,3,1,10000
4,1,115,1,670,3,2,,,
4,1,115,1,670,4,1,3,1,10000
4,1,115,1,670,5,1,3,1,10000
4,1,115,1,670,6,1,1,1,10000000
4,1,115,1,670,7,1,1,1,10000000
4,1,117,2,560,1,1,1,1,450000
4,1,117,2,560,2,1,3,1,3000
4,1,117,2,560,3,2,,,
4,1,117,2,560,4,1,3,1,3000
4,1,117,2,560,5,1,3,1,3000
4,1,117,2,560,6,1,1,1,450000
4,1,117,2,560,7,1,1,1,450000
2,2,201,2,60,1,1,1,1,50000
2,2,201,2,60,2,1,1,1,10000
2,2,201,2,60,3,2,4,2,
2,2,201,2,60,4,1,3,1,10000
2,2,201,2,60,5,1,3,1,10000
2,2,201,2,60,6,1,2,1,80000
2,2,201,2,60,7,1,1,2,
2,2,203,2,1224,1,1,1,2,500
2,2,203,2,1224,2,1,1,2,500
2,2,203,2,1224,3,1,3,2,500
2,2,203,2,1224,4,2,,,
2,2,203,2,1224,5,2,,,
2,2,203,2,1224,6,2,,,
2,2,203,2,1224,7,1,1,2,500
2,2,205,2,712,1,1,2,1,5000
2,2,205,2,712,2,1,3,1,5000
2,2,205,2,712,3,2,,,
2,2,205,2,712,4,1,1,1,5000
2,2,205,2,712,5,2,,,
2,2,205,2,712,6,2,,,
2,2,205,2,712,7,1,1,1,5000
2,2,207,2,1302,1,2,,,
2,2,207,2,1302,2,1,1,1,5000
2,2,207,2,1302,3,2,,,
2,2,207,2,1302,4,1,1,1,5000
2,2,207,2,1302,5,1,1,1,5000
2,2,207,2,1302,6,2,,,
2,2,207,2,1302,7,1,1,2,
2,2,209,2,1040,1,2,,,
2,2,209,2,1040,2,2,,,
2,2,209,2,1040,3,1,3,2,
2,2,209,2,1040,4,1,1,2,5000
2,2,209,2,1040,5,1,2,2,
2,2,209,2,1040,6,1,2,2,
2,2,209,2,1040,7,1,1,2,
2,2,210,2,1300,1,2,,,
2,2,210,2,1300,2,2,,,
2,2,210,2,1300,3,1,1,2,
2,2,210,2,1300,4,1,1,2,15000
2,2,210,2,1300,5,1,1,2,
2,2,210,2,1300,6,1,3,2,
2,2,210,2,1300,7,1,1,2,
2,2,212,2,956,1,,,,
2,2,212,2,956,2,1,2,2,2000
2,2,212,2,956,3,1,2,2,2000
2,2,212,2,956,4,1,2,2,2000
2,2,212,2,956,5,1,2,2,1500
2,2,212,2,956,6,1,2,2,50000
2,2,212,2,956,7,1,2,2,2000
2,2,214,2,898,1,1,1,1,5000000
2,2,214,2,898,2,1,1,1,7000
2,2,214,2,898,3,1,4,2,150000
2,2,214,2,898,4,1,3,1,10000
2,2,214,2,898,5,1,3,1,10000
2,2,214,2,898,6,1,2,1,100000
2,2,214,2,898,7,1,1,2,250000
2,2,215,1,8,1,1,1,1,400000
2,2,215,1,8,2,1,1,1,7000
2,2,215,1,8,3,1,4,2,130000
2,2,215,1,8,4,1,3,1,10000
2,2,215,1,8,5,1,3,1,10000
2,2,215,1,8,6,1,2,1,150000
2,2,215,1,8,7,1,1,2,250000
2,2,216,2,200,1,2,,,
2,2,216,2,200,2,2,,,
2,2,216,2,200,3,1,2,1,1000
2,2,216,2,200,4,1,3,1,4000
2,2,216,2,200,5,1,3,1,4600
2,2,216,2,200,6,2,,,
2,2,216,2,200,7,1,1,2,500
2,2,218,2,1592,1,1,3,1,4000
2,2,218,2,1592,2,1,3,1,4000
2,2,218,2,1592,3,1,3,1,4000
