"zone","state","lga","sector","ea","csource_cd","c4q5","c4q6","c4q7","c4q8","c4q9","c4q10","c4q11","c4q12","c4q13","c4q14","c4q15","c4q16"
4,1,102,1,536,1,1,1,1,1,,10300,1,,51000,4,20,120000
4,1,102,1,536,2,1,2,1,12,10,11000,12,10,55000,12,10,110000
4,1,102,1,536,3,1,2,1,12,10,11000,12,10,55000,12,10,110000
4,1,102,1,536,4,1,1,1,1,30,13000,1,30,65000,1,30,130000
4,1,102,1,1690,1,1,1,1,1,,10300,1,,51000,4,25,125000
4,1,102,1,1690,2,1,1,1,12,10,11000,12,10,55000,12,10,110000
4,1,102,1,1690,3,1,2,1,12,10,11000,12,10,55000,12,10,110000
4,1,102,1,1690,4,1,1,1,1,30,13000,1,30,65000,1,30,130000
4,1,104,2,1364,1,2,,,,,,,,,,,
4,1,104,2,1364,2,1,2,1,12,10,11000,12,10,55000,12,10,110000
4,1,104,2,1364,3,1,2,1,12,10,11000,12,10,55000,12,10,110000
4,1,104,2,1364,4,1,1,1,1,30,13000,1,15,65000,1,30,130000
4,1,105,2,638,1,2,2,2,,,,,,,,,
4,1,105,2,638,2,2,2,2,,,,,,,,,
4,1,105,2,638,3,1,2,1,12,10,11000,12,10,55000,12,10,110000
4,1,105,2,638,4,2,2,2,,,,,,,,,
4,1,106,2,880,1,2,,,,,,,,,,,
4,1,106,2,880,2,2,,,,,,,,,,,
4,1,106,2,880,3,1,2,1,12,10,11000,12,10,55000,12,10,110000
4,1,106,2,880,4,2,,,,,,,,,,,
4,1,107,2,1044,1,2,,,,,,,,,,,
4,1,107,2,1044,2,2,,,,,,,,,,,
4,1,107,2,1044,3,1,2,1,12,10,11000,12,10,55000,12,10,110000
4,1,107,2,1044,4,2,,,,,,,,,,,
4,1,108,2,904,1,2,,,,,,,,,,,
4,1,108,2,904,2,2,,,,,,,,,,,
4,1,108,2,904,3,1,2,1,12,10,11000,12,10,55000,12,10,110000
4,1,108,2,904,4,2,,,,,,,,,,,
4,1,110,2,76,1,2,,,,,,,,,,,
4,1,110,2,76,2,2,,,,,,,,,,,
4,1,110,2,76,3,1,2,1,12,10,11000,12,10,55000,12,10,110000
4,1,110,2,76,4,1,1,1,1,30,13000,1,30,65000,1,30,130000
4,1,111,1,1146,1,1,1,1,1,,10300,1,,51000,4,25,125000
4,1,111,1,1146,2,1,1,1,12,10,11000,12,10,55000,12,10,110000
4,1,111,1,1146,3,1,2,1,12,10,11000,12,10,55000,12,10,110000
4,1,111,1,1146,4,1,1,1,1,30,13000,1,30,65000,1,30,130000
4,1,115,1,670,1,1,1,1,1,,10300,1,,51000,4,25,125000
4,1,115,1,670,2,1,1,1,12,10,11000,12,10,55000,12,10,110000
4,1,115,1,670,3,1,1,2,12,10,11000,12,10,55000,12,10,110000
4,1,115,1,670,4,1,1,1,1,30,13000,1,30,65000,1,30,130000
4,1,117,2,560,1,2,,,,,,,,,,,
4,1,117,2,560,2,1,2,1,6,10,10500,6,25,52500,6,10,105000
4,1,117,2,560,3,2,,,,,,,,,,,
4,1,117,2,560,4,2,,,,,,,,,,,
2,2,201,2,60,1,1,1,1,6,20,12000,12,20,55000,24,20,120000
2,2,201,2,60,2,2,,,,,,,,,,,
2,2,201,2,60,3,1,2,1,5,10,11000,12,10,52500,12,10,110000
2,2,201,2,60,4,2,,,,,,,,,,,
2,2,203,2,1224,1,2,2,2,,,,,,,,,
2,2,203,2,1224,2,2,2,2,,,,,,,,,
2,2,203,2,1224,3,2,2,2,,,,,,,,,
2,2,203,2,1224,4,2,2,2,,,,,,,,,
2,2,205,2,712,1,2,2,2,,,,,,,,,
2,2,205,2,712,2,2,2,2,,,,,,,,,
2,2,205,2,712,3,2,2,2,,,,,,,,,
2,2,205,2,712,4,2,2,2,,,,,,,,,
2,2,207,2,1302,1,2,2,2,,,,,,,,,
2,2,207,2,1302,2,2,2,2,,,,,,,,,
2,2,207,2,1302,3,2,2,2,,,,,,,,,
2,2,207,2,1302,4,2,2,2,,,,,,,,,
2,2,209,2,1040,1,2,2,2,,,,,,,,,
2,2,209,2,1040,2,2,2,2,,,,,,,,,
2,2,209,2,1040,3,2,2,2,,,,,,,,,
2,2,209,2,1040,4,1,2,1,6,30,13000,6,30,60000,6,30,130000
2,2,210,2,1300,1,2,2,2,,,,,,,,,
2,2,210,2,1300,2,2,2,2,,,,,,,,,
2,2,210,2,1300,3,2,2,2,,,,,,,,,
2,2,210,2,1300,4,2,2,2,,,,,,,,,
2,2,212,2,956,1,2,2,2,,,,,,,,,
2,2,212,2,956,2,1,1,1,12,10,15000,36,10,55000,36,10,110000
2,2,212,2,956,3,1,1,1,12,10,11000,24,10,55000,24,55,155000
2,2,212,2,956,4,2,2,2,,,,,,,,,
2,2,214,2,898,1,1,1,1,6,20,12000,12,20,5000,24,20,120000
2,2,214,2,898,2,2,2,2,,,,,,,,,
2,2,214,2,898,3,1,2,1,5,10,2200,12,10,4600,12,10,110000
2,2,214,2,898,4,2,2,2,,,,,,,,,
2,2,215,1,8,1,1,1,1,6,20,12000,12,20,5000,24,20,120000
2,2,215,1,8,2,2,2,2,,,,,,,,,
2,2,215,1,8,3,1,2,1,5,10,2200,12,10,4600,12,10,110000
2,2,215,1,8,4,2,2,2,,,,,,,,,
2,2,216,2,200,1,2,2,2,,,,,,,,,
2,2,216,2,200,2,1,1,1,6,60,10000,6,60,50000,6,60,100000
2,2,216,2,200,3,2,2,2,,,,,,,,,
2,2,216,2,200,4,2,2,2,,,,,,,,,
2,2,218,2,1592,1,1,2,2,10,10,11000,36,10,55000,72,10,110000
2,2,218,2,1592,2,1,2,2,10,10,11000,36,10,55000,72,10,110000
2,2,218,2,1592,3,1,2,1,12,5,11000,12,10,55000,12,10,110000
2,2,218,2,1592,4,1,2,2,10,10,11000,24,10,55000,36,10,110000
2,2,221,2,18,1,2,2,2,,,,,,,,,
2,2,221,2,18,2,2,2,2,,,,,,,,,
2,2,221,2,18,3,1,2,1,3,20,3,6,20,6,12,20,120000
2,2,221,2,18,4,2,2,2,,,,,,,,,
5,3,301,1,1198,1,,,,,,,,,,,,
5,3,301,1,1198,2,,,,,,,,,,,,
5,3,301,1,1198,3,1,2,1,10,10,11000,10,10,55000,10,10,110000
5,3,301,1,1198,4,,,,,,,,,,,,
5,3,305,2,4,1,2,2,2,,,,,,,,,
5,3,305,2,4,2,2,2,2,,,,,,,,,
5,3,305,2,4,3,1,2,1,10,10,11000,10,10,55000,10,10,110000
5,3,305,2,4,4,2,2,2,,,,,,,,,
5,3,305,2,1542,1,2,2,2,,,,,,,,,
5,3,305,2,1542,2,2,2,2,,,,,,,,,
5,3,305,2,1542,3,1,2,1,10,10,11000,10,10,55000,10,10,110000
5,3,305,2,1542,4,2,2,2,,,,,,,,,
5,3,307,1,634,1,,,,,,,,,,,,
5,3,307,1,634,2,,,,,,,,,,,,
5,3,307,1,634,3,1,2,1,10,10,11000,10,10,55000,10,10,110000
5,3,307,1,634,4,,,,,,,,,,,,
5,3,309,2,478,1,2,2,2,,,,,,,,,
5,3,309,2,478,2,2,2,2,,,,,,,,,
5,3,309,2,478,3,2,2,2,,,,,,,,,
5,3,309,2,478,4,2,2,2,,,,,,,,,
5,3,312,2,20,1,2,2,2,,,,,,,,,
5,3,312,2,20,2,2,2,2,,,,,,,,,
5,3,312,2,20,3,1,2,1,10,10,11000,10,10,55000,10,10,110000
5,3,312,2,20,4,2,2,2,,,,,,,,,
5,3,313,2,70,1,2,2,2,,,,,,,,,
