"zone","state","lga","sector","ea","c0q2","c0q3","c0q4","c0q6","c0q7","c0q9","c0q10"
4,1,102,1,536,101,10/1/2012,,107,,,
4,1,102,1,1690,101,10/28/2012,,107,10/21/2012,,
4,1,104,2,1364,101,10/18/2012,,107,10/21/2012,,
4,1,105,2,638,101,9/29/2012,,107,10/21/2012,,
4,1,106,2,880,101,9/21/2012,,107,10/21/2012,,
4,1,107,2,1044,101,9/24/2012,,107,10/20/2012,,
4,1,108,2,904,101,10/6/2012,,107,10/21/2012,,
4,1,110,2,76,101,10/12/2012,,107,10/21/2012,,
4,1,111,1,1146,101,10/1/2012,,107,10/21/2012,,
4,1,115,1,670,101,9/19/2012,,107,10/21/2012,,
4,1,117,2,560,101,10/9/2012,,107,10/23/2012,,
2,2,201,2,60,201,9/26/2012,9/26/2012,207,10/5/2012,,
2,2,203,2,1224,201,9/28/2012,9/28/2012,207,10/9/2012,,
2,2,205,2,712,201,10/4/2012,10/4/2012,207,10/9/2012,,
2,2,207,2,1302,201,10/6/2012,10/6/2012,207,10/9/2012,,
2,2,209,2,1040,201,9/27/2012,9/27/2012,207,9/28/2012,,
2,2,210,2,1300,201,10/6/2012,10/6/2012,207,10/9/2012,,
2,2,212,2,956,201,9/29/2012,9/29/2012,207,10/9/2012,,
2,2,214,2,898,201,1/11/2013,,200,,,
2,2,215,1,8,201,1/12/2013,,200,,,
2,2,216,2,200,201,10/24/2012,,200,,,
2,2,218,2,1592,201,10/7/2012,10/7/2012,207,10/9/2012,,
2,2,221,2,18,201,9/25/2012,9/25/2012,207,9/28/2012,,
5,3,301,1,1198,301,9/27/2012,,301,10/28/2012,,
5,3,305,2,4,301,11/5/2012,,301,11/11/2012,,
5,3,305,2,1542,301,11/4/2012,,301,11/11/2012,,
5,3,307,1,634,301,9/28/2012,,301,10/28/2012,,
5,3,309,2,478,301,10/19/2012,,301,10/23/2012,,10/23/2012
5,3,312,2,20,301,11/7/2012,,301,11/11/2012,,
5,3,313,2,70,301,10/29/2012,,301,11/11/2012,,
5,3,316,2,874,301,9/25/2012,,301,10/6/2012,,
5,3,318,2,1136,301,11/2/2012,,301,11/11/2012,,
5,3,321,2,364,301,10/28/2012,,301,10/29/2012,,
5,3,323,2,580,301,10/5/2012,,301,10/28/2012,,
5,3,326,2,74,301,10/13/2012,,301,10/29/2012,,
5,3,329,2,696,301,10/10/2012,,301,10/28/2012,,
5,3,331,1,516,301,9/20/2012,,301,10/6/2012,,
5,3,331,1,2322,301,9/19/2012,,301,10/28/2012,,
4,4,401,1,738,401,10/6/2012,,413,10/17/2012,,
4,4,401,1,1460,401,10/8/2012,,413,10/17/2012,,
4,4,401,2,2106,401,10/10/2012,,413,10/17/2012,,
4,4,402,2,1080,402,10/15/2012,,412,10/22/2012,,
4,4,403,2,836,402,11/14/2012,,412,11/26/2012,,
4,4,405,2,484,401,9/26/2012,,413,10/17/2012,,
4,4,405,2,722,401,9/24/2012,,413,10/17/2012,,
4,4,407,2,796,401,11/15/2012,,413,11/29/2012,,
4,4,410,1,3192,401,10/3/2012,,413,10/17/2012,,
4,4,410,1,3414,401,10/1/2012,,413,10/17/2012,,
4,4,410,2,4036,402,10/9/2012,,412,10/22/2012,,
4,4,411,1,1486,402,10/8/2012,,412,10/22/2012,,
4,4,412,2,1606,402,10/4/2012,,412,10/22/2012,,
4,4,412,2,2592,402,10/3/2012,,412,10/21/2012,,
4,4,413,2,1540,401,9/20/2012,,413,10/17/2012,,
4,4,414,1,2176,402,9/27/2012,,412,10/21/2012,,
4,4,415,1,2108,402,10/5/2012,,412,10/22/2012,,
4,4,416,1,616,402,9/25/2012,,412,10/21/2012,,
4,4,417,1,678,402,9/21/2012,,412,10/21/2012,,
4,4,418,1,44,402,9/19/2012,,412,10/21/2012,,
4,4,419,2,296,401,10/14/2012,,413,10/17/2012,,
4,4,421,1,800,401,9/28/2012,,413,10/17/2012,,
2,5,501,2,60,501,10/18/2012,10/18/2012,510,10/23/2012,,
2,5,502,1,2194,501,,,510,10/15/2012,,
2,5,502,2,3878,501,10/4/2012,10/4/2012,510,10/15/2012,,
2,5,504,2,708,502,9/30/2012,,511,10/27/2012,,
2,5,506,2,830,501,10/27/2012,10/27/2012,510,10/28/2012,,
2,5,508,2,718,501,10/4/2012,10/4/2012,510,10/15/2012,,
2,5,508,2,984,501,10/4/2012,10/4/2012,510,10/15/2012,,
2,5,510,1,872,502,10/15/2012,,511,10/20/2012,,
2,5,510,2,1516,502,10/26/2012,,511,10/29/2012,,
2,5,513,2,348,501,10/23/2012,10/23/2012,510,10/23/2012,,
2,5,514,2,710,502,9/26/2012,9/26/2012,511,10/29/2012,,
2,5,514,1,2036,502,10/20/2012,,511,10/26/2012,,
2,5,515,2,18,502,10/20/2012,10/20/2012,511,10/27/2012,,
2,5,516,2,942,502,,,511,10/29/2012,,
2,5,518,2,1304,501,9/27/2012,9/27/2012,510,10/15/2012,,
2,5,518,2,1588,501,10/4/2012,10/4/2012,510,10/15/2012,,
2,5,520,2,1756,502,10/14/2012,,511,10/27/2012,,
5,6,601,2,640,601,10/14/2012,,604,11/3/2012,,
5,6,602,2,1356,601,10/21/2012,,604,11/7/2012,,
5,6,605,2,162,601,9/20/2012,,604,10/6/2012,,
5,6,606,2,1372,601,10/23/2012,,604,11/3/2012,,
5,6,607,2,1892,601,11/17/2012,,604,11/20/2012,,
5,6,608,2,748,601,9/13/2012,,604,10/4/2012,,
5,6,608,1,3978,601,11/12/2012,,604,11/20/2012,,
1,7,701,2,606,702,10/7/2012,,702,10/18/2012,,
1,7,702,2,632,702,10/15/2012,,702,,,
1,7,705,2,4186,701,9/26/2012,,701,9/26/2012,,
1,7,707,2,560,701,10/11/2012,,701,10/17/2012,,
1,7,708,2,754,701,9/20/2012,,701,9/29/2012,,
1,7,709,2,1226,701,10/9/2012,,701,,,
1,7,710,2,2726,701,10/2/2012,,701,10/14/2012,,
1,7,711,2,2532,701,10/4/2012,,701,10/14/2012,,
1,7,713,2,304,702,10/19/2012,,702,10/18/2012,,
1,7,715,1,294,702,9/25/2012,,702,10/18/2012,,
1,7,715,2,780,702,9/28/2012,,702,10/18/2012,,
1,7,717,2,1248,702,10/11/2012,,702,10/18/2012,,
1,7,718,2,1640,702,10/4/2012,10/5/2012,702,10/18/2012,,
1,7,719,1,1612,702,9/29/2012,,702,10/19/2012,,
1,7,722,2,234,701,9/28/2012,,701,10/9/2012,,
1,7,722,2,892,701,9/30/2012,,701,10/9/2012,,
2,8,802,2,1152,802,10/21/2012,,802,10/21/2012,,
2,8,803,1,944,801,10/2/2012,,809,10/6/2012,,
2,8,805,2,46,802,10/2/2012,,802,10/2/2012,,
2,8,807,2,946,802,10/8/2012,,802,10/8/2012,,
2,8,807,2,1438,802,10/2/2012,,802,10/2/2012,,
2,8,807,2,2396,802,10/9/2012,,802,10/9/2012,,
2,8,809,2,1748,801,10/8/2012,,809,10/16/2012,,
2,8,811,2,390,802,10/18/2012,,802,10/18/2012,,
2,8,811,1,1558,802,10/17/2012,,802,10/17/2012,,
2,8,812,2,866,802,10/8/2012,10/9/2012,802,10/8/2012,,
2,8,813,2,2094,801,9/26/2012,,809,9/29/2012,,
2,8,815,2,362,801,10/28/2012,,809,11/2/2012,,
2,8,816,2,1270,801,10/5/2012,,809,10/8/2012,,
2,8,817,1,2476,801,10/18/2012,,809,10/25/2012,,
2,8,820,2,1030,801,10/14/2012,,809,10/17/2012,,
2,8,821,1,5062,802,10/2/2012,10/2/2012,802,10/2/2012,,
2,8,823,2,548,801,10/8/2012,,809,10/14/2012,,
2,8,824,2,768,801,10/20/2012,,809,10/26/2012,,
2,8,826,2,926,801,10/24/2012,,809,11/2/2012,,
2,8,827,2,804,802,10/12/2012,10/13/2012,802,10/12/2012,,
5,9,901,2,398,901,10/2/2012,,906,10/24/2012,,
5,9,903,2,48,901,9/24/2012,,906,10/24/2012,,
5,9,905,2,978,901,10/20/2012,,906,10/24/2012,,
5,9,907,2,1446,901,10/5/2012,,906,10/24/2012,,
5,9,908,1,278,901,10/23/2012,,906,10/24/2012,,
5,9,910,2,200,901,10/8/2012,,906,10/24/2012,,
5,9,912,2,102,901,10/17/2012,,906,10/24/2012,,
5,9,913,2,2266,901,11/13/2012,,906,11/18/2012,,
5,9,914,2,1746,901,10/11/2012,,906,10/24/2012,,
5,9,915,1,1390,901,9/26/2012,,906,10/24/2012,,
5,9,916,2,1068,901,10/24/2012,,906,11/6/2012,,
5,9,917,1,1254,901,9/30/2012,,906,10/24/2012,,
5,9,918,2,834,901,10/23/2012,,906,10/24/2012,,
5,10,1001,2,172,1001,9/23/2012,9/24/2012,1009,9/24/2012,,
5,10,1005,1,662,1002,9/28/2012,,1010,10/3/2012,,
5,10,1005,2,1374,1002,9/26/2012,,1010,9/30/2012,,
5,10,1007,1,1166,1001,9/29/2012,,1009,10/1/2012,,
5,10,1008,2,1314,1001,10/2/2012,,1009,10/3/2012,,
5,10,1008,2,1718,1001,10/5/2012,,1009,10/6/2012,,
5,10,1010,2,20,1002,9/21/2012,,1010,9/30/2012,,
5,10,1012,2,936,1001,10/12/2012,,1009,10/13/2012,,
5,10,1014,2,80,1001,9/20/2012,9/21/2012,1009,10/1/2012,,
5,10,1018,1,634,1002,10/6/2012,,1010,10/10/2012,,
5,10,1018,2,898,1002,10/8/2012,,1010,10/10/2012,,
5,10,1020,1,38,1002,10/4/2012,,1010,10/10/2012,,
5,10,1021,2,120,1001,10/8/2012,,1009,10/9/2012,,
5,10,1025,2,1774,1002,10/9/2012,,1010,10/10/2012,,
4,11,1101,2,154,1101,10/22/2012,,1106,10/23/2012,,
4,11,1102,2,936,1101,10/16/2012,,1106,10/16/2012,,
4,11,1104,2,434,1101,10/28/2012,,1106,10/28/2012,,
4,11,1104,1,2028,1101,9/19/2012,9/21/2012,1106,9/22/2012,,
4,11,1105,2,100,1101,10/4/2012,,1106,10/5/2012,,
4,11,1106,2,446,1101,9/24/2012,,1106,9/25/2012,,
4,11,1107,2,1034,1101,10/7/2012,,1106,10/9/2012,,
4,11,1108,2,492,1101,10/1/2012,,1106,10/1/2012,,
4,11,1109,2,672,1101,10/10/2012,,1106,10/2/2012,,
4,11,1110,2,714,1101,9/25/2012,9/26/2012,1106,9/27/2012,,
4,11,1110,2,2752,1101,9/28/2012,,1106,10/1/2012,,
4,11,1112,2,78,1101,10/25/2012,,1106,10/26/2012,,
4,11,1112,2,1952,1101,9/24/2012,,1106,9/26/2012,,
4,11,1113,2,954,1101,10/13/2012,,1106,10/14/2012,,
5,12,1202,1,2146,1201,9/29/2012,,1201,10/1/2012,,
5,12,1202,1,2710,1201,9/18/2012,,1201,9/22/2012,,
5,12,1204,2,736,1201,10/9/2012,,1201,10/12/2012,,
5,12,1208,2,526,1201,10/14/2012,,1201,10/16/2012,,
5,12,1210,2,462,1202,10/12/2012,,1201,10/13/2012,,
5,12,1211,1,2220,1201,9/23/2012,,1201,9/29/2012,,
5,12,1211,1,2856,1201,10/5/2012,,1201,10/11/2012,,
5,12,1212,1,1392,1201,9/20/2012,,1201,9/26/2012,,
5,12,1214,2,452,1201,10/6/2012,,1201,10/10/2012,,
5,12,1216,2,618,1201,10/15/2012,,1201,10/17/2012,,
6,13,1301,1,1206,1301,9/29/2012,,1301,10/1/2012,,
6,13,1303,1,626,1301,10/9/2012,10/9/2012,1301,10/11/2012,,
6,13,1305,2,10,1301,10/6/2012,,1301,10/11/2012,,
6,13,1305,1,1232,1301,10/2/2012,,1301,10/6/2012,,
6,13,1307,1,268,1301,10/4/2012,,1301,10/11/2012,,
6,13,1309,2,674,1301,10/10/2012,,1301,10/13/2012,,
6,13,1310,1,1300,1301,9/25/2012,9/26/2012,1301,9/30/2012,,
6,13,1314,1,6,1301,9/27/2012,,1301,9/30/2012,,
4,14,1401,2,1116,1401,10/19/2012,10/19/2012,1406,10/20/2012,,
4,14,1403,1,34,1401,9/22/2012,9/22/2012,1406,9/23/2012,,
4,14,1404,1,96,1401,9/19/2012,9/19/2012,1406,9/20/2012,,
4,14,1406,2,694,1401,9/28/2012,9/28/2012,1406,9/29/2012,,
4,14,1407,2,68,1401,9/27/2012,,1406,9/29/2012,,
4,14,1408,2,968,1401,10/10/2012,10/10/2012,1406,10/11/2012,,
4,14,1408,2,1996,1401,10/12/2012,10/12/2012,1406,10/13/2012,,
4,14,1410,2,236,1401,10/18/2012,10/18/2012,1406,10/19/2012,,
4,14,1411,2,1066,1401,10/20/2012,10/20/2012,1406,10/21/2012,,
4,14,1413,2,670,1401,10/16/2012,10/17/2012,1406,10/17/2012,,
4,14,1413,1,2578,1401,10/7/2012,10/8/2012,1406,10/8/2012,,
4,14,1415,2,156,1401,9/28/2012,9/28/2012,1406,9/29/2012,,
4,14,1415,2,952,1401,10/8/2012,10/9/2012,1406,10/9/2012,,
4,14,1416,2,2314,1401,9/25/2012,9/26/2012,1406,9/26/2012,,
2,15,1502,2,590,1501,10/6/2012,,1501,10/27/2012,,
2,15,1503,2,634,1501,10/3/2012,,1501,10/27/2012,,
2,15,1506,1,148,1501,9/23/2012,,1501,10/27/2012,,
2,15,1506,1,398,1501,9/21/2012,,1501,10/26/2012,,
2,15,1507,2,458,1501,10/12/2012,,1501,10/27/2012,,
2,15,1508,2,1682,1501,9/26/2012,,1501,10/26/2012,,
2,15,1510,2,616,1501,10/16/2012,,1501,10/27/2012,,
2,15,1511,2,1938,1501,10/3/2012,,1501,10/27/2012,,
4,16,1601,2,954,1607,9/20/2012,10/19/2012,1610,12/20/2012,,
4,16,1602,2,1576,1601,9/20/2012,10/19/2012,1610,10/23/2012,,
4,16,1603,2,158,1607,10/15/2012,10/19/2012,1610,10/20/2012,,
4,16,1605,2,180,1607,10/17/2012,10/19/2012,1610,12/20/2012,,
4,16,1606,2,590,1601,10/2/2012,10/19/2012,1610,10/23/2012,,
4,16,1608,2,1104,1601,10/13/2012,10/19/2012,1610,10/23/2012,,
4,16,1609,2,738,1601,9/30/2012,10/19/2012,1610,10/23/2012,,
4,16,1610,2,1006,1601,10/7/2012,10/19/2012,1610,10/23/2012,,
4,16,1612,2,108,1607,9/24/2012,10/19/2012,1610,10/20/2012,,
4,16,1612,2,414,1601,10/16/2012,10/19/2012,1610,10/23/2012,,
4,16,1613,2,440,1607,10/10/2012,10/19/2012,1610,12/20/2012,,
4,16,1616,2,296,1607,9/28/2012,10/19/2012,1610,10/20/2012,,
4,16,1618,2,1060,1607,10/4/2012,10/19/2012,1610,10/20/2012,,
4,16,1620,2,106,1607,10/5/2012,10/19/2012,1610,10/20/2012,,
4,16,1622,2,18,1601,9/23/2012,10/19/2012,1610,10/23/2012,,
4,16,1624,1,136,1601,9/26/2012,10/19/2012,1610,10/23/2012,,
4,16,1624,1,286,1601,10/10/2012,10/19/2012,1610,10/23/2012,,
4,16,1625,2,1210,1607,10/24/2012,10/19/2012,1610,10/25/2012,,
4,16,1626,2,1546,1601,10/20/2012,10/19/2012,1610,10/23/2012,,
3,17,1702,2,510,1701,10/5/2012,,1707,10/22/2012,,
3,17,1704,2,1080,1701,9/2/2012,,1707,10/22/2012,,
3,17,1704,1,2074,1701,9/23/2012,,1707,10/22/2012,,
3,17,1706,2,284,1701,9/25/2012,,1707,10/22/2012,,
3,17,1710,2,546,1701,9/29/2012,,1707,10/22/2012,,
3,17,1712,2,794,1701,10/9/2012,,1707,,,
3,17,1713,1,226,1701,9/27/2012,,1707,10/22/2012,,
