"zone","state","lga","sector","ea","hhid","indiv","s3bq1","s3bq2","s3bq3","s3bq4","s3bq5a","s3bq5b","s3bq6a","s3bq6b","s3bq7","s3bq8","s3bq9","s3bq9b","s3bq10","s3bq11a","s3bq11b","s3bq12a","s3bq12b","s3bq13","s3bq14","s3bq15","s3bq15b","tracked_obs"
4,1,115,1,670,10005,1,1,2,2,1,"SECRETARIAT DUTIES",3431,"PUBLIC ADMINISTRATION",84,12,40,2,,2,,,,,,,,,0
4,1,115,1,670,10005,2,1,2,2,1,"STAFF WELFARE/INSPECTION",3431,"PUBLIC ADMINISTRATION",84,12,40,3,,2,,,,,,,,,0
4,1,115,1,670,10005,3,2,2,2,2,,,,,,,,,,,,,,,,,,0
4,1,115,1,670,10005,4,2,2,2,2,,,,,,,,,,,,,,,,,,0
4,1,115,1,670,10005,5,2,2,2,2,,,,,,,,,,,,,,,,,,0
4,1,115,1,670,10005,6,2,2,2,2,,,,,,,,,,,,,,,,,,0
4,1,104,2,1364,10012,2,2,1,2,1,"FARMLAND & LABOURERS",9211,"AGRICULTURE",1,8,30,9,,2,,,,,,,,,0
4,1,104,2,1364,10012,3,2,2,2,2,,,,,,,,,,,,,,,,,,0
4,1,104,2,1364,10012,4,1,2,2,1,"OTHER GOV'T ASSO. PROFES",3449,"OFFICE ADMINISTRATION",82,12,40,3,,1,"FARMLAND & LABOURERS",9211,"AGRICULTURE",1,6,30,9,,0
4,1,104,2,1364,10012,5,1,2,2,1,"OTHER GOV'T ASSO PROFES",3449,"OFFICE ADMINISTRATION",82,12,40,3,,1,"FARMLAND & LABOURERS",9211,"AGRICULTURE",1,6,30,9,,0
4,1,104,2,1364,10016,1,1,1,2,1,"CIVIL SERVANT",3442,"TAX COLLECTOR",46,12,20,2,,1,"CROP FARMING",9211,"AGRICULTURE",1,6,5,9,,0
4,1,104,2,1364,10016,2,1,1,1,1,"CIVIL SERVANT",2320,"EDUCATION ADMINISTRATION",85,12,30,2,,1,"CROP FARMING",9211,"AGRICULTURE",1,10,5,9,,0
4,1,104,2,1364,10016,3,2,2,2,2,,,,,,,,,,,,,,,,,,0
4,1,104,2,1364,10016,4,2,2,2,2,,,,,,,,,,,,,,,,,,0
4,1,104,2,1364,10016,5,2,2,2,2,,,,,,,,,,,,,,,,,,0
4,1,104,2,1364,10016,6,2,2,2,2,,,,,,,,,,,,,,,,,,0
