"zone","state","lga","sector","ea","hhid","indiv","s3cq1","s3cq2","s3cq3","s3cq4","s3cq5a","s3cq5b","s3cq6a","s3cq6b","s3cq7","s3cq8","s3cq9","s3cq9b","s3cq10","s3cq11a","s3cq11b","s3cq12a","s3cq12b","s3cq13","s3cq14","s3cq15","s3cq15b","tracked_obs"
4,1,115,1,670,10002,1,1,2,2,1,"LAWYER",2421,"PROF,SCIENTIFIC & TECH AC",69,6,40,4,,2,,,,,,,,,0
4,1,115,1,670,10002,2,1,2,2,1,"SECONDARY EDUCATION",2320,"EDUCATION",85,6,40,2,,2,,,,,,,,,0
4,1,115,1,670,10002,3,2,2,2,2,,,,,,,,,,,,,,,,,,0
4,1,115,1,670,10002,4,2,2,2,2,,,,,,,,,,,,,,,,,,0
4,1,115,1,670,10002,5,2,2,2,2,,,,,,,,,,,,,,,,,,0
4,1,115,1,670,10002,6,2,2,2,2,,,,,,,,,,,,,,,,,,0
4,1,115,1,670,10002,7,2,2,2,2,,,,,,,,,,,,,,,,,,0
4,1,115,1,670,10010,1,1,2,2,1,"ADMINISTRATION",3431,,82,6,56,1,,2,,,,,,,,,0
4,1,115,1,670,10010,2,1,2,2,1,"LECTURING",3340,,85,6,48,2,,2,,,,,,,,,0
4,1,115,1,670,10010,3,2,2,2,2,,,,,,,,,,,,,,,,,,0
4,1,115,1,670,10010,4,2,2,2,2,,,,,,,,,,,,,,,,,,0
4,1,104,2,1364,10011,1,2,2,1,1,"BUYERS",3416,"WHOLESALE & RETAIL TRADE",47,6,60,9,,2,,,,,,,,,0
4,1,104,2,1364,10011,2,2,2,2,2,,,,,,,,,,,,,,,,,,0
4,1,104,2,1364,10011,3,2,2,1,1,"BRICKLAYER & STONE MASON",7122,"CONSTRUCTION OF BUILDING",41,6,40,9,,2,,,,,,,,,0
4,1,104,2,1364,10011,4,2,2,2,2,,,,,,,,,,,,,,,,,,0
4,1,104,2,1364,10011,5,2,2,2,2,,,,,,,,,,,,,,,,,,0
4,1,104,2,1364,10011,6,2,2,2,2,,,,,,,,,,,,,,,,,,0
4,1,104,2,1364,10013,1,2,1,1,1,"FARMING",3416,"AGRICULTURE",1,6,4,9,,1,"TRADING",3416,"BEER PALOR",56,6,40,9,,0
4,1,104,2,1364,10013,2,1,2,2,1,"CIVIL SERVANT (SECRETARY)",3411,"SECRETARY",84,6,40,4,,2,,,,,,,,,0
4,1,104,2,1364,10013,3,2,2,2,2,,,,,,,,,,,,,,,,,,0
4,1,104,2,1364,10013,4,2,2,2,2,,,,,,,,,,,,,,,,,,0
4,1,104,2,1364,10013,6,2,2,2,2,,,,,,,,,,,,,,,,,,0
4,1,104,2,1364,10013,7,2,2,2,2,,,,,,,,,,,,,,,,,,0
4,1,104,2,1364,10013,8,2,2,2,2,,,,,,,,,,,,,,,,,,0
