"zone","state","lga","sector","ea","hhid","indiv","s3dq1a","s3dq1b","s3dq1c","s3dq1d","s3dq1e","s3dq1f","s3dq1g","s3dq1h","s3dq1i","s3dq1j","s3dq1k","s3dq1l","s3dq1m","s3dq1n","s3dq1o","s3dq1p","s3dq1q","s3dq1r","s3dq2a","s3dq2b","s3dq3a","s3dq3b","s3dq4","s3dq5","s3dq6","s3dq6b","s3dq7","s3dq8a","s3dq8b","s3dq9a","s3dq9b","s3dq10","s3dq11","s3dq12","s3dq12b","tracked_obs"
4,1,115,1,670,10008,1,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,"LECTURING",3340,"EDUCATION",85,6,40,1,,2,,,,,,,,,0
4,1,115,1,670,10008,2,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,"TEACHING",3340,"EDUCATION",85,6,40,1,,2,,,,,,,,,0
4,1,115,1,670,10008,3,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,,,,,,,,,,,,,,,,,,0
4,1,115,1,670,10008,4,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,,,,,,,,,,,,,,,,,,0
4,1,115,1,670,10008,5,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,,,,,,,,,,,,,,,,,,0
4,1,115,1,670,10008,6,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,,,,,,,,,,,,,,,,,,0
4,1,115,1,670,10008,7,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,,,,,,,,,,,,,,,,,,0
4,1,104,2,1364,10014,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"FARMING",6210,"AGRICULTURE",1,6,4,9,,2,,,,,,,,,0
4,1,104,2,1364,10014,2,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,"CLERK",4131,"CLERK (MOEDUCATION )",85,6,40,3,,2,,,,,,,,,0
4,1,104,2,1364,10019,1,1,,,1,,,1,,,1,,,1,,,1,,,"CROP FARMING",9211,"AGRICULTURE",1,5,50,9,,2,,,,,,,,,0
4,1,104,2,1364,10019,2,6,,,6,,,6,,,6,,,6,,,6,,,"BRICKLAYING,STONE MASON",7122,"ESTATE DEVELOPER",68,6,60,4,,2,,,,,,,,,0
4,1,104,2,1364,10019,3,8,,,8,,,8,,,8,,,8,,,8,,,"BUYING & SELLING",3416,"BUYING & SELLING",47,6,50,9,,2,,,,,,,,,0
4,1,104,2,1364,10019,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,104,2,1364,10019,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,104,2,1364,10019,6,8,,,8,,,8,,,8,,,8,,,8,,,"BUYING & SELLING",3416,"BUYING & SELLING",47,6,60,4,,2,,,,,,,,,0
