"zone","state","lga","sector","ea","hhid","indiv","s3eq1a","s3eq1b","s3eq1c","s3eq1d","s3eq1e","s3eq2a","s3eq2b","s3eq3a","s3eq3b","s3eq4","s3eq5","s3eq6","s3eq6b","s3eq7","s3eq8a","s3eq8b","s3eq9a","s3eq9b","s3eq10","s3eq11","s3eq12","s3eq12b","tracked_obs"
4,1,115,1,670,10001,1,"MED ASSISTANT",,,,,"MED ASSISTANT",3221,"PUB.ADMIN & DEFENCE",84,6,40,2,,2,,,,,,,,,0
4,1,115,1,670,10001,2,"SEC.ED.TEACHING PROF",,,,,"SEC.EDUCATION TEACHING PR",2320,"EDUCATION",85,6,40,2,,2,,,,,,,,,0
4,1,115,1,670,10001,3,,,,,,,,,,,,,,,,,,,,,,,0
4,1,115,1,670,10001,4,"HOUSE STEWARD & HOUSE KEE",,,,,"HOUES STEWARD & HOUSE KEE",5121,"ACTIVITIES OF HH AS EMPLO",97,6,84,4,,2,,,,,,,,,0
4,1,115,1,670,10001,5,"BRICKLAYER,STONELY & T.S",,,,,"BRICKLAYER,STONE M & T.S",7122,"CONSTRUCTION PF BUILDING",41,6,52,9,,2,,,,,,,,,0
4,1,115,1,670,10001,6,"STATS. & FIN. CLERK",,,,,"STATS & FINANCE CLERK",4122,"FINANCIAL & INSURANCE ACT",64,6,40,2,,2,,,,,,,,,0
4,1,115,1,670,10001,7,"SOCIAL WORKS ASST PROF",,,,,"SOCIAL WORKS ASSOCIATE PF",3450,"PUBLIC ADMIN. & DEFENCE",84,6,40,2,,2,,,,,,,,,0
4,1,115,1,670,10003,1,"CIVIL SERVANT",,,,,"CIVIL SERVANT(DIRECTOR)",1210,"PUBLIC ADMINISTRATOR",84,6,40,1,,2,,,,,,,,,0
4,1,115,1,670,10003,2,"CIVIL SERVANT","TRADER",,,,"CIVIL SERVANT (FIN.CLERK)",4122,"FINANCIAL SERVICES",64,6,40,2,,1,"TRADING",3416,"SELLING OF AGRIC EQUIPT",47,12,18,9,,0
4,1,115,1,670,10003,3,,,,,,,,,,,,,,,,,,,,,,,0
4,1,115,1,670,10003,4,,,,,,,,,,,,,,,,,,,,,,,0
4,1,115,1,670,10003,5,,,,,,,,,,,,,,,,,,,,,,,0
4,1,115,1,670,10003,6,,,,,,,,,,,,,,,,,,,,,,,0
4,1,115,1,670,10004,1,"TRADITIONAL RULER",,,,,"TRADITIONAL RULER",1130,"PUBLIC ADMIN & DEFENCE",84,6,40,2,,2,,,,,,,,,0
4,1,115,1,670,10004,2,,,,,,,,,,,,,,,,,,,,,,,0
4,1,115,1,670,10004,3,,,,,,,,,,,,,,,,,,,,,,,0
4,1,115,1,670,10004,4,,,,,,,,,,,,,,,,,,,,,,,0
4,1,115,1,670,10004,5,,,,,,,,,,,,,,,,,,,,,,,0
4,1,115,1,670,10006,1,"CIVIL SERVANT",,,,,"COMPUTER PROGRAMMER",2133,"COMPUTER PROGRAMMING",62,6,40,1,,2,,,,,,,,,0
4,1,115,1,670,10006,2,,,,,,,,,,,,,,,,,,,,,,,0
4,1,115,1,670,10006,3,,,,,,,,,,,,,,,,,,,,,,,0
4,1,115,1,670,10009,1,"CIVIL SERVANT",,,,,"CIVIL SERVANT",1228,,64,6,48,1,,2,,,,,,,,,0
4,1,115,1,670,10009,2,"CIVIL SERVANT",,,,,"CIVIL SERVANT",3431,,84,6,48,2,,2,,,,,,,,,0
4,1,115,1,670,10009,3,,,,,,,,,,,,,,,,,,,,,,,0
4,1,115,1,670,10009,4,,,,,,,,,,,,,,,,,,,,,,,0
4,1,115,1,670,10009,5,,,,,,,,,,,,,,,,,,,,,,,0
4,1,115,1,670,10009,6,,,,,,,,,,,,,,,,,,,,,,,0
4,1,104,2,1364,10017,1,,,,,,,,,,,,,,,,,,,,,,,0
4,1,104,2,1364,10017,2,"TEACHING",,,,,"TEACHING",3221,"TEACHING",85,6,30,2,,1,"CROP FARMING",9211,"AGRICULTURE",1,6,24,9,,0
4,1,104,2,1364,10017,3,,,,,,,,,,,,,,,,,,,,,,,0
4,1,104,2,1364,10017,4,"COMPUTER OPERATOR",,,,,"COMPUTER PROGRAMMING",2139,"COMPUTER PROGRAMMING",62,6,24,9,,2,,,,,,,,,0
4,1,104,2,1364,10018,1,"CIVIL SERVANT","CROP FARMING",,,,"CIVIL SERVANT",3431,"OFFIC ADMINISTRATION",82,6,40,3,,1,"CROP FARMING",9211,"AGRICULTURE",1,6,24,9,,0
4,1,104,2,1364,10018,2,"CROP FRMING",,,,,"CROP FARMING",9211,"AGRICULTURE",1,6,24,9,,2,,,,,,,,,0
4,1,104,2,1364,10018,3,,,,,,,,,,,,,,,,,,,,,,,0
4,1,104,2,1364,10018,4,,,,,,,,,,,,,,,,,,,,,,,0
4,1,104,2,1364,10018,5,,,,,,,,,,,,,,,,,,,,,,,0
4,1,111,1,1146,10033,1,"PRODUCTION CLERK",,,,,"PRODUCTION CLERK",4132,"MANUFACTURING OF BEVERAGE",11,6,48,4,,2,,,,,,,,,0
4,1,111,1,1146,10033,2,"NURSING & MIDWIFERY",,,,,"NURSING,MIDWIFERY PROFESS",2230,"HUMAN HEALTH & SOCIAL WKS",86,6,40,4,,2,,,,,,,,,0
4,1,111,1,1146,10033,3,,,,,,,,,,,,,,,,,,,,,,,0
4,1,111,1,1146,10038,1,"BUYING & SELLING",,,,,"BUYING & SELLING OF COSME",3416,"BUYING & SELLING",47,6,54,9,,2,,,,,,,,,0
4,1,111,1,1146,10038,2,"BUYING & SELLING",,,,,"B & S OF COSMETICS",3416,"BUYING & SELLING",47,4,8,9,,2,,,,,,,,,0
4,1,111,1,1146,10038,3,,,,,,,,,,,,,,,,,,,,,,,0
4,1,111,1,1146,10038,4,,,,,,,,,,,,,,,,,,,,,,,0
4,1,111,1,1146,10038,5,,,,,,,,,,,,,,,,,,,,,,,0
4,1,111,1,1146,10038,6,,,,,,,,,,,,,,,,,,,,,,,0
4,1,111,1,1146,10038,7,,,,,,,,,,,,,,,,,,,,,,,0
4,1,111,1,1146,10038,8,,,,,,,,,,,,,,,,,,,,,,,0
4,1,111,1,1146,10039,1,,,,,,,,,,,,,,,,,,,,,,,0
4,1,111,1,1146,10039,2,,,,,,,,,,,,,,,,,,,,,,,0
4,1,111,1,1146,10039,3,,,,,,,,,,,,,,,,,,,,,,,0
