"zone","state","lga","sector","ea","hhid","item_cd","item_desc","s8q9","s8q10","s8q11","tracked_obs"
4,1,115,1,670,10001,518,"Woodpoles, bamboo",2,,,0
4,1,115,1,670,10001,519,"Grass for thatching roof or ot",2,,,0
4,1,115,1,670,10002,518,"Woodpoles, bamboo",2,,,0
4,1,115,1,670,10002,519,"Grass for thatching roof or ot",2,,,0
4,1,115,1,670,10003,518,"Woodpoles, bamboo",2,,,0
4,1,115,1,670,10003,519,"Grass for thatching roof or ot",2,,,0
4,1,115,1,670,10004,518,"Woodpoles, bamboo",2,,,0
4,1,115,1,670,10004,519,"Grass for thatching roof or ot",2,,,0
4,1,115,1,670,10005,518,"Woodpoles, bamboo",2,,,0
4,1,115,1,670,10005,519,"Grass for thatching roof or ot",2,,,0
4,1,115,1,670,10006,518,"Woodpoles, bamboo",2,,,0
4,1,115,1,670,10006,519,"Grass for thatching roof or ot",2,,,0
4,1,115,1,670,10008,518,"Woodpoles, bamboo",2,,,0
4,1,115,1,670,10008,519,"Grass for thatching roof or ot",2,,,0
4,1,115,1,670,10009,518,"Woodpoles, bamboo",2,,,0
4,1,115,1,670,10009,519,"Grass for thatching roof or ot",2,,,0
4,1,115,1,670,10010,518,"Woodpoles, bamboo",2,,,0
4,1,115,1,670,10010,519,"Grass for thatching roof or ot",2,,,0
4,1,104,2,1364,10011,518,"Woodpoles, bamboo",2,,,0
4,1,104,2,1364,10011,519,"Grass for thatching roof or ot",2,,,0
4,1,104,2,1364,10012,518,"Woodpoles, bamboo",2,,,0
4,1,104,2,1364,10012,519,"Grass for thatching roof or ot",2,,,0
4,1,104,2,1364,10013,518,"Woodpoles, bamboo",2,,,0
4,1,104,2,1364,10013,519,"Grass for thatching roof or ot",2,,,0
4,1,104,2,1364,10014,518,"Woodpoles, bamboo",2,,,0
4,1,104,2,1364,10014,519,"Grass for thatching roof or ot",2,,,0
4,1,104,2,1364,10015,518,"Woodpoles, bamboo",2,,,0
4,1,104,2,1364,10015,519,"Grass for thatching roof or ot",2,,,0
4,1,104,2,1364,10016,518,"Woodpoles, bamboo",2,,,0
4,1,104,2,1364,10016,519,"Grass for thatching roof or ot",2,,,0
4,1,104,2,1364,10017,518,"Woodpoles, bamboo",2,,,0
4,1,104,2,1364,10017,519,"Grass for thatching roof or ot",2,,,0
4,1,104,2,1364,10018,518,"Woodpoles, bamboo",2,,,0
4,1,104,2,1364,10018,519,"Grass for thatching roof or ot",2,,,0
4,1,104,2,1364,10019,518,"Woodpoles, bamboo",2,,,0
4,1,104,2,1364,10019,519,"Grass for thatching roof or ot",2,,,0
4,1,106,2,880,10021,518,"Woodpoles, bamboo",2,,,0
4,1,106,2,880,10021,519,"Grass for thatching roof or ot",2,,,0
4,1,106,2,880,10022,518,"Woodpoles, bamboo",2,,,0
4,1,106,2,880,10022,519,"Grass for thatching roof or ot",2,,,0
4,1,106,2,880,10023,518,"Woodpoles, bamboo",2,,,0
4,1,106,2,880,10023,519,"Grass for thatching roof or ot",2,,,0
4,1,106,2,880,10024,518,"Woodpoles, bamboo",2,,,0
4,1,106,2,880,10024,519,"Grass for thatching roof or ot",2,,,0
4,1,106,2,880,10025,518,"Woodpoles, bamboo",2,,,0
4,1,106,2,880,10025,519,"Grass for thatching roof or ot",2,,,0
4,1,106,2,880,10026,518,"Woodpoles, bamboo",2,,,0
4,1,106,2,880,10026,519,"Grass for thatching roof or ot",2,,,0
4,1,106,2,880,10027,518,"Woodpoles, bamboo",2,,,0
4,1,106,2,880,10027,519,"Grass for thatching roof or ot",2,,,0
4,1,106,2,880,10028,518,"Woodpoles, bamboo",2,,,0
4,1,106,2,880,10028,519,"Grass for thatching roof or ot",2,,,0
4,1,106,2,880,10029,518,"Woodpoles, bamboo",2,,,0
4,1,106,2,880,10029,519,"Grass for thatching roof or ot",2,,,0
4,1,106,2,880,10030,518,"Woodpoles, bamboo",2,,,0
4,1,106,2,880,10030,519,"Grass for thatching roof or ot",2,,,0
4,1,111,1,1146,10031,518,"Woodpoles, bamboo",2,,,0
4,1,111,1,1146,10031,519,"Grass for thatching roof or ot",2,,,0
4,1,111,1,1146,10032,518,"Woodpoles, bamboo",2,,,0
4,1,111,1,1146,10032,519,"Grass for thatching roof or ot",2,,,0
4,1,111,1,1146,10033,518,"Woodpoles, bamboo",2,,,0
4,1,111,1,1146,10033,519,"Grass for thatching roof or ot",2,,,0
4,1,111,1,1146,10034,518,"Woodpoles, bamboo",2,,,0
4,1,111,1,1146,10034,519,"Grass for thatching roof or ot",2,,,0
4,1,111,1,1146,10035,518,"Woodpoles, bamboo",2,,,0
4,1,111,1,1146,10035,519,"Grass for thatching roof or ot",2,,,0
4,1,111,1,1146,10036,518,"Woodpoles, bamboo",2,,,0
4,1,111,1,1146,10036,519,"Grass for thatching roof or ot",2,,,0
4,1,111,1,1146,10037,518,"Woodpoles, bamboo",2,,,0
4,1,111,1,1146,10037,519,"Grass for thatching roof or ot",2,,,0
4,1,111,1,1146,10038,518,"Woodpoles, bamboo",2,,,0
4,1,111,1,1146,10038,519,"Grass for thatching roof or ot",2,,,0
4,1,111,1,1146,10039,518,"Woodpoles, bamboo",2,,,0
