"zone","state","lga","sector","ea","hhid","s9q1a","s9q1b","s9q1c","s9q1d","s9q1e","s9q1f","s9q1g","s9q1h","s9q1i","s9q2a","s9q2b","s9q3","s9q4a","s9q4b","s9q4c","s9q5","s9q6a","s9q6b","s9q6c","s9q6d","s9q6e","s9q6f","s9q7a","s9q7b","s9q7c","s9q7d","tracked_obs"
4,1,115,1,670,10001,0,0,0,0,0,0,0,0,0,3,4,1,,,,2,,,,,,,,,,,0
4,1,115,1,670,10002,0,0,0,0,0,0,0,0,0,3,,1,,,,2,,,,,,,,,,,0
4,1,115,1,670,10003,2,2,3,1,2,0,0,0,0,2,3,1,,,,2,,,,,,,,,,,0
4,1,115,1,670,10004,2,2,3,2,0,0,0,0,0,2,,1,,,,2,,,,,,,,,,,0
4,1,115,1,670,10005,2,3,1,1,1,0,0,0,0,2,3,2,3,1,2,1,9,9,5,,,,5,,,,0
4,1,115,1,670,10006,0,1,0,2,0,0,0,0,0,2,,1,,,,2,,,,,,,,,,,0
4,1,115,1,670,10008,0,1,1,0,0,0,0,0,0,3,5,1,,,,2,,,,,,,,,,,0
4,1,115,1,670,10009,2,2,0,0,0,0,2,0,0,3,5,2,,1,1,2,,,,,,,,,,,0
4,1,115,1,670,10010,0,0,0,0,0,0,0,0,0,3,,1,,,,2,,,,,,,,,,,0
4,1,104,2,1364,10011,0,2,2,1,0,0,0,0,0,3,0,1,,,,1,5,,,6,,,1,5,3,,0
4,1,104,2,1364,10012,1,2,0,2,3,0,0,0,0,3,4,2,3,2,1,1,4,,,5,,,6,3,5,,0
4,1,104,2,1364,10013,2,1,2,2,2,0,0,0,0,2,,1,,,,2,,,,,,,,,,,0
4,1,104,2,1364,10014,3,2,3,4,2,3,2,2,0,2,,1,,,,2,,,,,,,,,,,0
4,1,104,2,1364,10015,1,2,2,3,0,0,0,0,0,3,,1,,,,2,,,,,,,,,,,0
4,1,104,2,1364,10016,2,0,0,0,0,0,0,0,0,3,,1,,,,2,,,,,,,,,,,0
4,1,104,2,1364,10017,2,1,0,0,0,0,0,0,0,3,,1,,,,2,,,,,,,,,,,0
4,1,104,2,1364,10018,1,2,0,0,0,0,0,0,0,3,,1,,,,2,,,,,,,,,,,0
4,1,104,2,1364,10019,6,4,4,5,4,2,0,0,0,2,4,1,,,,1,6,,,6,,,3,5,,,0
4,1,106,2,880,10021,0,0,1,0,0,0,0,0,0,3,0,1,,,,2,,,,,,,,,,,0
4,1,106,2,880,10022,0,0,1,1,1,0,0,0,0,2,3,1,,,,1,4,,4,,,,4,5,,,0
4,1,106,2,880,10023,0,1,0,0,2,0,0,0,0,2,3,2,2,2,1,1,2,,,4,,,1,4,5,,0
4,1,106,2,880,10024,4,3,2,2,0,0,1,0,0,2,,1,,,,1,,,,5,,,4,10,,"LACK OF MONEY",0
4,1,106,2,880,10025,2,3,3,3,0,0,0,0,0,2,3,2,3,2,1,2,,,,,,,,,,,0
4,1,106,2,880,10026,3,1,4,3,0,0,2,0,0,2,,1,,,,2,,,,,,,,,,,0
4,1,106,2,880,10027,3,2,2,3,0,0,0,0,0,2,3,1,,,,2,,,,,,,,,,,0
4,1,106,2,880,10028,7,7,7,0,0,0,0,0,0,2,,1,,,,1,2,,,8,,,5,10,,"SICKNESS",0
4,1,106,2,880,10029,7,7,7,7,7,0,0,0,0,1,2,1,,,,1,6,,,7,,,5,4,,,0
4,1,106,2,880,10030,2,5,3,2,1,0,0,0,0,2,3,1,,,,1,4,,,6,,,1,5,,,0
4,1,111,1,1146,10031,2,2,1,2,1,0,0,0,0,2,3,2,2,2,1,2,,,,,,,,,,,0
4,1,111,1,1146,10032,1,2,1,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,,,0
4,1,111,1,1146,10033,0,0,0,0,0,0,0,0,0,3,,1,,,,2,,,,,,,,,,,0
4,1,111,1,1146,10034,0,0,0,0,0,0,0,0,0,3,,1,,,,2,,,,,,,,,,,0
4,1,111,1,1146,10035,0,0,0,2,0,0,0,0,0,3,,1,,,,2,,,,,,,,,,,0
4,1,111,1,1146,10036,2,2,2,3,2,0,0,0,0,3,,1,,,,2,,,,,,,,,,,0
4,1,111,1,1146,10037,1,2,3,2,1,0,0,0,0,2,,1,,,,2,,,,,,,,,,,0
4,1,111,1,1146,10038,3,2,4,2,0,0,0,0,0,2,3,1,,,,2,,,,,,,,,,,0
4,1,111,1,1146,10039,2,2,0,0,0,0,0,0,0,2,,1,,,,2,,,,,,,,,,,0
4,1,111,1,1146,10040,2,3,2,7,0,0,0,0,0,2,,1,,,,2,,,,,,,,,,,0
4,1,102,1,536,10041,1,0,2,2,0,0,0,0,0,3,,1,,,,1,6,,,5,,,1,5,6,,0
4,1,102,1,536,10042,2,0,0,2,0,0,0,0,0,3,,1,,,,1,5,,,5,,,6,5,9,,0
4,1,102,1,536,10043,1,0,2,0,2,0,0,0,0,3,,1,,,,1,5,,,6,,,5,6,9,,0
4,1,102,1,536,10044,0,3,2,3,2,0,0,0,0,2,3,1,,,,2,,,,,,,,,,,0
4,1,102,1,536,10045,2,2,2,1,0,0,0,0,0,3,,1,,,,1,6,,,6,,,5,8,,,0
4,1,102,1,536,10046,0,2,0,0,0,0,0,0,0,2,,1,,,,2,,,,,,,,,,,0
4,1,102,1,536,10047,3,4,3,4,0,0,0,0,0,3,,1,,,,2,,,,,,,,,,,0
4,1,102,1,536,10048,2,3,2,1,2,1,2,0,0,2,,1,,,,2,,,,,,,,,,,0
4,1,102,1,536,10049,2,2,1,1,2,2,3,4,2,2,,1,,,,2,,,,,,,,,,,0
4,1,102,1,536,10050,2,1,2,2,1,0,0,0,0,2,,1,,,,2,,,,,,,,,,,0
4,1,102,1,1690,10051,0,0,0,0,0,0,0,0,0,3,4,2,3,3,1,2,,,,,,,,,,,0
4,1,102,1,1690,10052,0,0,0,0,0,0,0,0,0,3,4,1,,,,2,,,,,,,,,,,0
4,1,102,1,1690,10053,2,3,2,3,0,0,0,0,0,2,,1,,,,2,,,,,,,,,,,0
4,1,102,1,1690,10054,2,1,3,2,2,0,0,0,0,2,,1,,,,2,,,,,,,,,,,0
