"item_cd","nsu_cd","conv","g_cl"
10,5,1200,1
10,6,1350,1
10,7,1350,1
10,8,3450,1
10,9,675,1
10,10,337.5,1
10,11,75,1
10,12,150,1
10,13,225,1
10,14,2400,1
10,15,1200,1
11,5,1257.12,1
11,6,1414.26,1
11,7,1414.26,1
11,8,3614.22,1
11,9,707.13,1
11,10,353.565,1
11,11,78.57,1
11,12,157.14,1
11,13,235.71,1
11,14,2514.24,1
11,15,1257.12,1
13,5,1349.6,1
13,6,1518.3,1
13,7,1518.3,1
13,8,3880.1,1
13,9,759.15,1
13,10,379.575,1
13,11,84.35,1
13,12,168.7,1
13,13,253.05,1
13,14,2699.2,1
13,15,1349.6,1
14,5,1350,1
14,6,1518.75,1
14,7,1518.75,1
14,8,3881.25,1
14,9,759.375,1
14,10,379.6875,1
14,11,84.375,1
14,12,168.75,1
14,13,253.125,1
14,14,2700,1
14,15,1350,1
16,5,900,1
16,6,1012.5,1
16,7,1012.5,1
16,8,2587.5,1
16,9,506.25,1
16,10,253.125,1
16,11,56.25,1
16,12,112.5,1
16,13,168.75,1
16,14,1800,1
16,15,900,1
17,5,825.04,1
17,6,928.17,1
17,7,928.17,1
17,8,2371.99,1
17,9,464.085,1
17,10,232.0425,1
17,11,51.565,1
17,12,103.13,1
17,13,154.695,1
17,14,1650.08,1
17,15,825.04,1
18,5,800,1
18,6,900,1
18,7,900,1
18,8,2300,1
18,9,450,1
18,10,225,1
18,11,50,1
18,12,100,1
18,13,150,1
18,14,1600,1
18,15,800,1
19,5,825.04,1
19,6,928.17,1
19,7,928.17,1
19,8,2371.99,1
19,9,464.085,1
19,10,232.0425,1
19,11,51.565,1
19,12,103.13,1
19,13,154.695,1
19,14,1650.08,1
19,15,825.04,1
20,5,1500,1
20,6,1687.5,1
20,7,1687.5,1
20,8,4312.5,1
20,9,843.75,1
20,10,421.875,1
20,11,93.75,1
20,12,187.5,1
20,13,281.25,1
20,14,3000,1
20,15,1500,1
21,5,1250,1
21,6,1406.25,1
21,7,1406.25,1
21,8,3593.75,1
21,9,703.125,1
21,10,351.5625,1
21,11,78.125,1
21,12,156.25,1
21,13,234.375,1
21,14,2500,1
21,15,1250,1
30,5,1920,1
30,6,2160,1
30,7,2160,1
30,8,5520,1
30,9,1080,1
30,10,540,1
30,11,120,1
30,12,240,1
30,13,360,1
30,14,3840,1
30,15,1920,1
30,16,1250,0
31,16,2500,0
32,5,1100,1
32,6,1237.5,1
32,7,1237.5,1
32,8,3162.5,1
32,9,618.75,1
32,10,309.375,1
32,11,68.75,1
32,12,137.5,1
32,13,206.25,1
32,14,2200,1
32,15,1100,1
33,5,960,1
33,6,1080,1
33,7,1080,1
33,8,2760,1
33,9,540,1
33,10,270,1
33,11,60,1
33,12,120,1
33,13,180,1
33,14,1920,1
33,15,960,1
34,5,1240,1
34,6,1395,1
34,7,1395,1
34,8,3565,1
34,9,697.5,1
34,10,348.75,1
34,11,77.5,1
34,12,155,1
34,13,232.5,1
34,14,2480,1
34,15,1240,1
35,5,946.64,1
35,6,1064.97,1
35,7,1064.97,1
35,8,2721.59,1
35,9,532.485,1
35,10,266.2425,1
35,11,59.165,1
35,12,118.33,1
35,13,177.495,1
35,14,1893.28,1
35,15,946.64,1
36,5,2608,1
36,6,2934,1
36,7,2934,1
36,8,7498,1
36,9,1467,1
36,10,733.5,1
36,11,163,1
36,12,326,1
36,13,489,1
36,14,5216,1
36,15,2608,1
37,5,1040,1
37,6,1170,1
37,7,1170,1
37,8,2990,1
37,9,585,1
37,10,292.5,1
37,11,65,1
37,12,130,1
37,13,195,1
37,14,2080,1
37,15,1040,1
40,5,1180,1
40,6,1327.5,1
40,7,1327.5,1
40,8,3392.5,1
40,9,663.75,1
40,10,331.875,1
40,11,73.75,1
40,12,147.5,1
40,13,221.25,1
40,14,2360,1
40,15,1180,1
41,5,1160,1
41,6,1305,1
41,7,1305,1
41,8,3335,1
41,9,652.5,1
41,10,326.25,1
41,11,72.5,1
41,12,145,1
41,13,217.5,1
41,14,2320,1
41,15,1160,1
42,5,1160,1
42,6,1305,1
42,7,1305,1
42,8,3335,1
42,9,652.5,1
42,10,326.25,1
42,11,72.5,1
42,12,145,1
42,13,217.5,1
42,14,2320,1
42,15,1160,1
43,5,400,0
43,7,400,0
43,12,50,0
43,13,75,0
43,14,500,0
44,5,800,0
44,7,900,0
44,8,2299.99995231628,0
44,9,450,0
44,10,450,0
44,11,125,0
44,12,100,0
44,13,150,0
44,14,1600.00002384186,0
50,5,127.2,0
50,6,143.1,0
50,7,143.1,0
50,8,365.7,0
50,9,71.55,0
50,10,35.775,0
50,11,7.95,0
50,12,15.9,0
50,13,23.85,0
50,14,254.4,0
50,15,127.2,0
51,12,15,1
52,5,127.2,0
52,6,143.1,0
52,7,143.1,0
52,8,365.7,0
52,9,71.55,0
52,10,35.775,0
52,11,7.95,0
52,12,15.9,0
52,13,23.85,0
52,14,254.4,0
52,15,127.2,0
62,8,3599.99990463257,0
62,9,600.000023841858,0
70,5,1000,0
70,7,1100.00002384186,0
70,8,3000,0
70,9,420,0
70,10,210,0
70,11,105,0
70,12,90,0
70,14,2000,0
71,5,720,0
71,8,2000,0
71,9,420,0
71,10,210,0
71,11,105,0
71,12,90,0
72,5,750,0
72,7,840,0
72,8,2299.99995231628,0
72,12,85,0
72,14,1500,0
73,5,2264,1
73,6,2547,1
73,7,2547,1
73,8,6509,1
73,9,1273.5,1
73,10,636.75,1
73,11,141.5,1
73,12,283,1
73,13,424.5,1
73,14,4528,1
73,15,2264,1
74,5,520,1
74,6,585,1
74,7,585,1
74,8,1495,1
74,9,292.5,1
74,10,146.25,1
