"cropname","cropcode","nscode","conversion","kg"
"BEANS/COWPEA",1010,5,1.16,1
"BEANS/COWPEA",1010,6,1.3,1
"BEANS/COWPEA",1010,7,1.3,1
"BEANS/COWPEA",1010,8,3.335,1
"BEANS/COWPEA",1010,9,0.65,1
"BEANS/COWPEA",1010,10,0.33,1
"BEANS/COWPEA",1010,13,0.22,1
"BEANS/COWPEA",1010,14,2.32,1
"beans/cowpea",1010,21,20,1
"beans/cowpea",1010,22,50,1
"beans/cowpea",1010,23,100,1
"beans/cowpea",1010,24,120,1
"beans/cowpea",1010,25,15,1
"beans/cowpea",1010,26,30,1
"beans/cowpea",1010,27,50,1
"beans/cowpea",1010,28,75,1
"beans/cowpea",1010,31,10,1
"beans/cowpea",1010,32,25,1
"beans/cowpea",1010,33,40,1
"beans/cowpea",1010,34,75,1
"beans/cowpea",1010,61,15,1
"beans/cowpea",1010,62,25,1
"beans/cowpea",1010,63,40,1
"beans/cowpea",1010,71,60,1
"beans/cowpea",1010,72,85,1
"beans/cowpea",1010,73,110,1
"beans/cowpea",1010,74,150,1
"BEANS/COWPEA",1010,81,1500,1
"BEANS/COWPEA",1010,92,20,0
"CASSAVA OLD",1020,7,2.15,1
"CASSAVA OLD",1020,8,5.5,1
"CASSAVA OLD",1020,13,0.36,1
"cassava old",1020,21,20,1
"cassava old",1020,22,50,1
"cassava old",1020,23,100,1
"cassava old",1020,24,120,1
"cassava old",1020,25,15,1
"cassava old",1020,26,30,1
"cassava old",1020,27,50,1
"cassava old",1020,28,75,1
"cassava old",1020,31,10,1
"cassava old",1020,32,25,1
"cassava old",1020,33,40,1
"cassava old",1020,34,75,1
"CASSAVA OLD",1020,42,8,1
"cassava old",1020,51,3,1
"cassava old",1020,52,5,1
"cassava old",1020,53,8,1
"cassava old",1020,61,15,1
"cassava old",1020,62,25,1
"cassava old",1020,63,40,1
"cassava old",1020,71,60,1
"cassava old",1020,72,85,1
"cassava old",1020,73,110,1
"cassava old",1020,74,150,1
"CASSAVA OLD",1020,81,1500,1
"CASSAVA OLD",1020,82,2000,1
"CASSAVA OLD",1020,83,2500,1
"COCOYAM",1040,5,1.24,1
"cocoyam",1040,21,20,1
"cocoyam",1040,22,50,1
"cocoyam",1040,23,100,1
"cocoyam",1040,24,120,1
"cocoyam",1040,25,15,1
"cocoyam",1040,26,30,1
"cocoyam",1040,27,50,1
"cocoyam",1040,28,75,1
"cocoyam",1040,31,10,1
"cocoyam",1040,32,25,1
"cocoyam",1040,33,40,1
"cocoyam",1040,34,75,1
"COCOYAM",1040,51,3,1
"COCOYAM",1040,52,5,1
"COCOYAM",1040,53,8,1
"cocoyam",1040,61,15,1
"cocoyam",1040,62,25,1
"cocoyam",1040,63,40,1
"cocoyam",1040,71,60,1
"cocoyam",1040,72,85,1
"cocoyam",1040,73,110,1
"cocoyam",1040,74,150,1
"COCOYAM",1040,82,2000,1
"cotton",1050,21,20,1
"cotton",1050,22,50,1
"cotton",1050,23,100,1
"cotton",1050,24,120,1
"cotton",1050,25,15,1
"cotton",1050,26,30,1
"cotton",1050,27,50,1
"cotton",1050,28,75,1
"cotton",1050,31,10,1
"cotton",1050,32,25,1
"cotton",1050,33,40,1
"cotton",1050,34,75,1
"cotton",1050,61,15,1
"cotton",1050,62,25,1
"cotton",1050,63,40,1
"seed cotton",1051,21,20,1
"seed cotton",1051,22,50,1
"seed cotton",1051,23,100,1
"seed cotton",1051,24,120,1
"seed cotton",1051,25,15,1
"seed cotton",1051,26,30,1
"seed cotton",1051,27,50,1
"seed cotton",1051,28,75,1
"seed cotton",1051,31,10,1
"seed cotton",1051,32,25,1
"seed cotton",1051,33,40,1
"seed cotton",1051,34,75,1
"seed cotton",1051,61,15,1
"seed cotton",1051,62,25,1
"seed cotton",1051,63,40,1
"cotton lint",1052,21,20,1
"cotton lint",1052,22,50,1
"cotton lint",1052,23,100,1
"cotton lint",1052,24,120,1
"cotton lint",1052,25,15,1
"cotton lint",1052,26,30,1
"cotton lint",1052,27,50,1
"cotton lint",1052,28,75,1
"cotton lint",1052,31,10,1
"cotton lint",1052,32,25,1
"cotton lint",1052,33,40,1
"cotton lint",1052,34,75,1
"cotton lint",1052,61,15,1
"cotton lint",1052,62,25,1
"cotton lint",1052,63,40,1
"cotton seed",1053,21,20,1
"cotton seed",1053,22,50,1
"cotton seed",1053,23,100,1
"cotton seed",1053,24,120,1
"cotton seed",1053,25,15,1
"cotton seed",1053,26,30,1
"cotton seed",1053,27,50,1
"cotton seed",1053,28,75,1
"cotton seed",1053,31,10,1
"cotton seed",1053,32,25,1
"cotton seed",1053,33,40,1
"cotton seed",1053,34,75,1
"cotton seed",1053,61,15,1
"cotton seed",1053,62,25,1
"cotton seed",1053,63,40,1
"cotton seed",1053,71,60,1
"cotton seed",1053,72,85,1
"cotton seed",1053,73,110,1
"cotton seed",1053,74,150,1
"ground nut/peanuts",1060,21,20,1
"ground nut/peanuts",1060,22,50,1
"ground nut/peanuts",1060,23,100,1
"ground nut/peanuts",1060,24,120,1
"ground nut/peanuts",1060,25,15,1
"ground nut/peanuts",1060,26,30,1
"ground nut/peanuts",1060,27,50,1
"ground nut/peanuts",1060,28,75,1
"ground nut/peanuts",1060,31,10,1
"ground nut/peanuts",1060,32,25,1
"ground nut/peanuts",1060,33,40,1
"ground nut/peanuts",1060,34,75,1
"ground nut/peanuts",1060,61,15,1
"ground nut/peanuts",1060,62,25,1
"ground nut/peanuts",1060,63,40,1
"ground nut/peanuts",1060,81,1500,1
"ground nut/peanuts",1060,82,2000,1
"ground nut/peanuts",1060,83,2500,1
"unshelled ground nut",1061,12,0.75,1
"unshelled ground nut",1061,21,20,1
"unshelled ground nut",1061,22,50,1
"unshelled ground nut",1061,23,100,1
"unshelled ground nut",1061,24,120,1
"unshelled ground nut",1061,25,15,1
"unshelled ground nut",1061,26,30,1
"unshelled ground nut",1061,27,50,1
"unshelled ground nut",1061,28,75,1
"unshelled ground nut",1061,31,10,1
"unshelled ground nut",1061,32,25,1
"unshelled ground nut",1061,33,40,1
