"hhid","zone","state","lga","ea","hhstatus_w1v1","hhstatus_w1v2","hhstatus_w2v1","hhstatus_w2v2","hhstatus_w3v1","hhstatus_w3v2","tracking_w1v2","tracking_w2v1","tracking_w2v2","tracking_w3v1","tracking_w3v2","moved_w2v1","moved_w2v2","moved_w3v1","moved_w3v2","wt_w1v1","wt_w1v2","wt_w2v1","wt_w2v2","wt_w3v1","wt_w3v2","wt_wave1","wt_wave2","wt_wave3","wt_combined","wt_w1_w3","wt_w2_w3","wt_w1_w2_w3"
10001,4,1,115,670,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,9518.92550907902,11898.6568863488,10576.5838989767,11898.6568863488,10576.5838989767,11898.6568863488,11898.6568863488,11898.6568863488,11898.6568863488,11898.6568863488,13598.46501297,13598.46501297,13598.46501297
10002,4,1,115,670,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,9518.92550907902,11898.6568863488,10576.5838989767,11898.6568863488,10576.5838989767,11898.6568863488,11898.6568863488,11898.6568863488,11898.6568863488,11898.6568863488,13598.46501297,13598.46501297,13598.46501297
10003,4,1,115,670,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,9518.92550907902,11898.6568863488,10576.5838989767,11898.6568863488,10576.5838989767,11898.6568863488,11898.6568863488,11898.6568863488,11898.6568863488,11898.6568863488,13598.46501297,13598.46501297,13598.46501297
10004,4,1,115,670,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,9518.92550907902,11898.6568863488,10576.5838989767,11898.6568863488,10576.5838989767,11898.6568863488,11898.6568863488,11898.6568863488,11898.6568863488,11898.6568863488,13598.46501297,13598.46501297,13598.46501297
10005,4,1,115,670,1,91,1,3,1,1,,0,,0,0,0,,0,0,9518.92550907902,,10576.5838989767,,10576.5838989767,11898.6568863488,,,11898.6568863488,,,,
10006,4,1,115,670,1,1,1,1,5,2,0,0,0,1,0,0,0,1,,9518.92550907902,11898.6568863488,10576.5838989767,11898.6568863488,10576.5838989767,,11898.6568863488,11898.6568863488,,11898.6568863488,,,
10007,4,1,115,670,1,91,3,3,3,3,,,,0,0,,,,,9518.92550907902,,,,,,,,,,,,
10008,4,1,115,670,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,9518.92550907902,11898.6568863488,10576.5838989767,11898.6568863488,10576.5838989767,11898.6568863488,11898.6568863488,11898.6568863488,11898.6568863488,11898.6568863488,13598.46501297,13598.46501297,13598.46501297
10009,4,1,115,670,1,1,1,1,5,1,0,0,0,1,0,0,0,1,1,9518.92550907902,11898.6568863488,10576.5838989767,11898.6568863488,10576.5838989767,11898.6568863488,11898.6568863488,11898.6568863488,11898.6568863488,11898.6568863488,13598.46501297,13598.46501297,13598.46501297
10010,4,1,115,670,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,9518.92550907902,11898.6568863488,10576.5838989767,11898.6568863488,10576.5838989767,11898.6568863488,11898.6568863488,11898.6568863488,11898.6568863488,11898.6568863488,13598.46501297,13598.46501297,13598.46501297
10011,4,1,104,1364,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,10198.8487597275,10198.8487597275,11332.054177475,11332.054177475,11332.054177475,11332.054177475,10198.8487597275,11332.054177475,11332.054177475,11332.054177475,11332.054177475,11332.054177475,11332.054177475
10012,4,1,104,1364,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,10198.8487597275,10198.8487597275,11332.054177475,11332.054177475,11332.054177475,11332.054177475,10198.8487597275,11332.054177475,11332.054177475,11332.054177475,11332.054177475,11332.054177475,11332.054177475
10013,4,1,104,1364,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,10198.8487597275,10198.8487597275,11332.054177475,11332.054177475,11332.054177475,11332.054177475,10198.8487597275,11332.054177475,11332.054177475,11332.054177475,11332.054177475,11332.054177475,11332.054177475
10014,4,1,104,1364,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,10198.8487597275,10198.8487597275,11332.054177475,11332.054177475,11332.054177475,11332.054177475,10198.8487597275,11332.054177475,11332.054177475,11332.054177475,11332.054177475,11332.054177475,11332.054177475
10015,4,1,104,1364,1,1,1,1,5,1,0,0,0,1,0,0,0,1,1,10198.8487597275,10198.8487597275,11332.054177475,11332.054177475,11332.054177475,11332.054177475,10198.8487597275,11332.054177475,11332.054177475,11332.054177475,11332.054177475,11332.054177475,11332.054177475
10016,4,1,104,1364,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,10198.8487597275,10198.8487597275,11332.054177475,11332.054177475,11332.054177475,11332.054177475,10198.8487597275,11332.054177475,11332.054177475,11332.054177475,11332.054177475,11332.054177475,11332.054177475
10017,4,1,104,1364,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,10198.8487597275,10198.8487597275,11332.054177475,11332.054177475,11332.054177475,11332.054177475,10198.8487597275,11332.054177475,11332.054177475,11332.054177475,11332.054177475,11332.054177475,11332.054177475
10018,4,1,104,1364,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,10198.8487597275,10198.8487597275,11332.054177475,11332.054177475,11332.054177475,11332.054177475,10198.8487597275,11332.054177475,11332.054177475,11332.054177475,11332.054177475,11332.054177475,11332.054177475
