"item_name","item_cd","unit_name","unit_cd","unit_other","conv_national","conv_NC_1","conv_NE_2","conv_NW_3","conv_SE_4","conv_SS_5","conv_SW_6","note"
"GUINEA CORN/ SORGHUM",10,"KILOGRAM (KG)",1,,1,1,1,1,1,1,1,
"GUINEA CORN/ SORGHUM",10,"GRAMS (G)",2,,0.001,0.00100000004749745,0.00100000004749745,0.00100000004749745,0.00100000004749745,0.00100000004749745,0.00100000004749745,
"GUINEA CORN/ SORGHUM",10,"PAINT RUBBER",11,,3.612,3.75799989700317,3.61199998855591,3.61199998855591,3.76799988746643,3.83200001716614,2.82800006866455,
"GUINEA CORN/ SORGHUM",10,"MILK CUP",12,,0.161,0.204999998211861,0.125,0.162000000476837,0.180000007152557,0.160999998450279,0.158999994397163,
"GUINEA CORN/ SORGHUM",10,"CIGARETTE CUP",13,,0.205,0.204999998211861,0.204999998211861,0.204999998211861,0.215000003576279,0.197999998927116,0.204999998211861,
"GUINEA CORN/ SORGHUM",10,"TIN",14,,14.738,15.5100002288818,14.7379999160767,14.7379999160767,13.9650001525879,14.7379999160767,14.7379999160767,
"GUINEA CORN/ SORGHUM",10,"CONGO SMALL",20,,1,1.27999997138977,1,1,1,1,0.720000028610229,
"GUINEA CORN/ SORGHUM",10,"CONGO LARGE",21,,1.978,1.97800004482269,1.97800004482269,1.97800004482269,1.97800004482269,1.97800004482269,1.97800004482269,
"GUINEA CORN/ SORGHUM",10,"MUDU SMALL",30,,1.073,0.977999985218048,1.10199999809265,1.14499998092651,1.07299995422363,1.05999994277954,1.07299995422363,
"GUINEA CORN/ SORGHUM",10,"MUDU LARGE",31,,1.353,1.36699998378754,1.24699997901917,1.44500005245209,1.35300004482269,1.35300004482269,1.35300004482269,
"GUINEA CORN/ SORGHUM",10,"DERICA SMALL",40,,0.237,0.237000003457069,0.237000003457069,0.237000003457069,0.237000003457069,0.137999996542931,0.337999999523163,
"GUINEA CORN/ SORGHUM",10,"DERICA MEDIUM",41,,0.639,0.638999998569489,0.611999988555908,0.638999998569489,0.638999998569489,0.638999998569489,0.745000004768372,
"GUINEA CORN/ SORGHUM",10,"DERICA LARGE",42,,1.587,1.58700001239777,1.58700001239777,1.58700001239777,1.81299996376038,1.58700001239777,1.36099994182587,
"GUINEA CORN/ SORGHUM",10,"DERICA VERY LARGE",43,,1.889,1.88900005817413,1.88900005817413,1.88900005817413,1.88999998569489,1.87000000476837,1.92499995231628,
"GUINEA CORN/ SORGHUM",10,"TIYA SMALL",50,,0.529,0.528999984264374,0.528999984264374,0.528999984264374,0.528999984264374,0.528999984264374,0.528999984264374,"Used milk cup ratio, garri"
"GUINEA CORN/ SORGHUM",10,"TIYA MEDIUM",51,,1.825,1.82500004768372,1.82500004768372,1.82500004768372,1.82500004768372,1.82500004768372,1.82500004768372,
"GUINEA CORN/ SORGHUM",10,"TIYA LARGE",52,,2.65,2.65000009536743,2.65000009536743,2.65000009536743,2.65000009536743,2.65000009536743,2.65000009536743,
"GUINEA CORN/ SORGHUM",10,"KOBIOWU SMALL",60,,0.595,0.595000028610229,0.595000028610229,0.595000028610229,0.595000028610229,0.595000028610229,0.595000028610229,
"GUINEA CORN/ SORGHUM",10,"KOBIOWU MEDIUM",61,,1.11,1.11000001430511,1.11000001430511,1.11000001430511,1.11000001430511,1.11000001430511,1.11000001430511,
"GUINEA CORN/ SORGHUM",10,"KOBIOWU LARGE",62,,1.21,1.21000003814697,1.21000003814697,1.21000003814697,1.21000003814697,1.21000003814697,1.21000003814697,
"GUINEA CORN/ SORGHUM",10,"BOWL SMALL",70,,0.571,0.570999979972839,0.570999979972839,0.570999979972839,0.570999979972839,0.570999979972839,0.570999979972839,"Used milk cup ratio, wheat flour, for bowl"
"GUINEA CORN/ SORGHUM",10,"BOWL MEDIUM",71,,0.873,0.873000025749207,0.873000025749207,0.873000025749207,0.873000025749207,0.873000025749207,0.873000025749207,"Used milk cup ratio, wheat flour, for bowl"
"GUINEA CORN/ SORGHUM",10,"BOWL LARGE",72,,1.856,1.85599994659424,1.85599994659424,1.85599994659424,1.85599994659424,1.85599994659424,1.85599994659424,"Used milk cup ratio, wheat flour, for bowl"
"MILLET",11,"KILOGRAM (KG)",1,,1,1,1,1,1,1,1,
"MILLET",11,"PAINT RUBBER",11,,3.765,3.67199993133545,3.76500010490417,3.76500010490417,3.76699995994568,3.8050000667572,3.83999991416931,
"MILLET",11,"MILK CUP",12,,0.153,0.152999997138977,0.144999995827675,0.165000006556511,0.150000005960464,0.152999997138977,0.155000001192093,
