"zone","state","sector","lga","ea","hhid","plotid","dist_household","srtmslp_nga","srtm_nga","twi_nga"
4,1,2,105,0,10009,1,0,5,121,13
4,1,2,105,0,10009,2,0,5.1,122,13
4,1,2,105,0,10009,3,0,5.1,121,13
4,1,2,104,1364,10011,1,0.1,2.9,138,13
4,1,2,104,1364,10012,1,0.5,10.4,116,12
4,1,2,104,1364,10012,2,0.5,12.2,119,12
4,1,2,104,1364,10013,1,1.5,7.7,113,12
4,1,2,104,1364,10013,2,1.5,5.1,110,13
4,1,2,104,0,10015,1,0,4.9,144,13
4,1,2,104,0,10015,2,0,4.8,144,13
4,1,2,104,1364,10016,1,0,6.2,129,12
4,1,2,104,1364,10017,1,0,5.2,113,13
4,1,2,104,1364,10018,1,0.2,4.3,137,12
4,1,2,104,1364,10019,1,0.5,4,111,13
4,1,2,104,1364,10019,2,0.5,4,111,13
4,1,2,106,880,10021,1,0.1,0.4,113,17
4,1,2,106,880,10021,2,0.2,1.7,114,14
4,1,2,106,880,10021,3,0.1,1.1,113,16
4,1,2,106,880,10021,4,0.1,0.1,113,17
4,1,2,106,880,10022,1,0.1,1.7,114,15
4,1,2,106,880,10022,2,0.1,1.7,113,15
4,1,2,106,880,10023,1,0,0.4,113,18
4,1,2,106,880,10023,2,0.1,0.4,113,17
4,1,2,106,880,10023,3,0,0.2,113,17
4,1,2,106,880,10024,1,0.1,2,114,14
4,1,2,106,880,10024,2,0,1.8,116,13
4,1,2,106,880,10025,1,0.3,2,114,15
4,1,2,106,880,10025,2,0.1,1.8,114,16
4,1,2,106,880,10025,3,0.2,0.4,113,20
4,1,2,106,880,10027,1,0,2.1,117,13
4,1,2,106,880,10027,2,0,2.2,116,13
4,1,2,106,880,10027,3,0,2.2,115,13
4,1,2,106,880,10029,1,0.4,1.7,115,15
4,1,2,106,880,10029,2,0.2,2.2,114,14
4,1,2,106,880,10030,1,0.3,1.7,115,16
4,1,2,106,880,10030,2,0.3,0.8,113,19
4,1,2,106,880,10030,3,0.2,2.5,114,14
4,1,1,111,1146,10033,1,0,1,67,15
4,1,1,102,1690,10057,1,0,1,57,16
4,1,2,107,1044,10061,1,0,0.8,110,15
4,1,2,107,1044,10061,2,0,0.8,110,15
4,1,2,107,1044,10062,1,0,1.6,111,14
4,1,2,107,1044,10062,2,0.1,0.9,111,14
4,1,2,107,1044,10062,3,0,1.7,110,15
