"hhid","indiv","pstatus_w1v1","pstatus_w1v2","pstatus_w2v1","pstatus_w2v2","pstatus_w3v1","pstatus_w3v2","moved_w2v1","moved_w2v2","moved_w3v1","moved_w3v2","sex","age","relat_w1v1","relat_w1v2","relat_w2v1","relat_w2v2","relat_w3v1","relat_w3v2"
10001,1,1,1,1,1,1,1,0,0,0,0,1,50,1,1,1,1,1,1
10001,2,1,1,1,1,1,1,0,0,0,0,2,47,2,2,2,2,2,2
10001,3,1,1,1,1,1,1,0,0,0,0,2,1,3,3,3,3,3,3
10001,4,1,1,1,1,1,1,0,0,0,0,2,40,12,12,12,12,12,12
10001,5,1,1,1,1,2,2,0,0,0,0,1,50,7,7,7,7,7,7
10001,6,1,1,1,1,2,2,0,0,0,0,2,27,8,8,8,8,8,8
10001,7,1,1,1,1,2,2,0,0,0,0,1,30,7,7,7,7,7,7
10001,8,6,6,6,1,1,1,0,0,0,0,1,0,,,,3,3,3
10002,1,1,1,1,1,1,1,0,0,0,0,1,44,1,1,1,1,1,1
10002,2,1,1,1,1,1,1,0,0,0,0,2,38,2,2,2,2,2,2
10002,3,1,1,1,1,1,1,0,0,0,0,1,9,3,3,3,3,3,3
10002,4,1,1,1,1,1,2,0,0,0,0,1,27,7,7,7,7,7,7
10002,5,1,1,1,1,2,2,0,0,0,0,2,22,8,8,8,8,8,8
10002,6,1,1,1,1,2,2,0,0,0,0,2,19,7,7,7,7,7,7
10002,7,1,1,1,1,2,2,0,0,0,0,1,17,7,7,7,7,7,7
10002,8,6,6,1,1,1,1,0,0,0,0,2,1,,,3,3,3,3
10002,9,6,6,6,6,1,1,0,0,0,0,2,1,,,,,3,3
10003,1,1,1,1,1,1,1,0,0,0,0,1,51,1,1,1,1,1,1
10003,2,1,1,1,1,1,1,0,0,0,0,2,40,2,2,2,2,2,2
10003,3,1,1,1,1,1,1,0,0,0,0,1,14,3,3,3,3,3,3
10003,4,1,1,1,1,1,1,0,0,0,0,2,13,3,3,3,3,3,3
10003,5,1,1,1,1,1,1,0,0,0,0,1,10,3,3,3,3,3,3
10003,6,1,1,1,1,1,1,0,0,0,0,1,6,3,3,3,3,3,3
10004,1,1,1,1,1,1,1,0,0,0,0,1,65,1,1,1,1,1,1
10004,2,1,1,1,1,1,1,0,0,0,0,2,53,2,2,2,2,2,2
