"zone","state","lga","sector","ea","hhid","item_cd","item_desc","s10aq1","s10aq2"
4,1,115,1,670,10001,1,"FULL MEALS - BREAKFAST",2,
4,1,115,1,670,10001,2,"FULL MEALS - LUNCH",1,1200
4,1,115,1,670,10001,3,"FULL MEALS - DINNER",2,
4,1,115,1,670,10001,4,"SIDE DISHES",1,500
4,1,115,1,670,10001,5,"SNACKS",1,300
4,1,115,1,670,10001,6,"DAIRY BASED BEVARAGES",2,
4,1,115,1,670,10001,7,"VEGETABLES AND ROASTED OR BOIL",1,800
4,1,115,1,670,10001,8,"NON-ALCOHOLIC DRINKS",1,150
4,1,115,1,670,10001,9,"ALCOHOLIC DRINKS",1,240
4,1,115,1,670,10002,1,"FULL MEALS - BREAKFAST",2,
4,1,115,1,670,10002,2,"FULL MEALS - LUNCH",2,
4,1,115,1,670,10002,3,"FULL MEALS - DINNER",2,
4,1,115,1,670,10002,4,"SIDE DISHES",1,1800
4,1,115,1,670,10002,5,"SNACKS",1,250
4,1,115,1,670,10002,6,"DAIRY BASED BEVARAGES",1,1500
4,1,115,1,670,10002,7,"VEGETABLES AND ROASTED OR BOIL",1,1000
4,1,115,1,670,10002,8,"NON-ALCOHOLIC DRINKS",1,300
4,1,115,1,670,10002,9,"ALCOHOLIC DRINKS",2,
4,1,115,1,670,10003,1,"FULL MEALS - BREAKFAST",2,
4,1,115,1,670,10003,2,"FULL MEALS - LUNCH",1,500
4,1,115,1,670,10003,3,"FULL MEALS - DINNER",2,
4,1,115,1,670,10003,4,"SIDE DISHES",2,
4,1,115,1,670,10003,5,"SNACKS",1,100
4,1,115,1,670,10003,6,"DAIRY BASED BEVARAGES",1,200
4,1,115,1,670,10003,7,"VEGETABLES AND ROASTED OR BOIL",1,200
4,1,115,1,670,10003,8,"NON-ALCOHOLIC DRINKS",1,240
4,1,115,1,670,10003,9,"ALCOHOLIC DRINKS",2,
4,1,115,1,670,10004,1,"FULL MEALS - BREAKFAST",2,
4,1,115,1,670,10004,2,"FULL MEALS - LUNCH",2,
4,1,115,1,670,10004,3,"FULL MEALS - DINNER",2,
4,1,115,1,670,10004,4,"SIDE DISHES",2,
4,1,115,1,670,10004,5,"SNACKS",1,250
4,1,115,1,670,10004,6,"DAIRY BASED BEVARAGES",1,100
4,1,115,1,670,10004,7,"VEGETABLES AND ROASTED OR BOIL",1,100
4,1,115,1,670,10004,8,"NON-ALCOHOLIC DRINKS",1,240
4,1,115,1,670,10004,9,"ALCOHOLIC DRINKS",2,
4,1,115,1,670,10005,1,"FULL MEALS - BREAKFAST",2,
4,1,115,1,670,10005,2,"FULL MEALS - LUNCH",1,300
4,1,115,1,670,10005,3,"FULL MEALS - DINNER",2,
4,1,115,1,670,10005,4,"SIDE DISHES",2,
4,1,115,1,670,10005,5,"SNACKS",1,100
4,1,115,1,670,10005,6,"DAIRY BASED BEVARAGES",1,200
4,1,115,1,670,10005,7,"VEGETABLES AND ROASTED OR BOIL",2,
4,1,115,1,670,10005,8,"NON-ALCOHOLIC DRINKS",1,360
4,1,115,1,670,10005,9,"ALCOHOLIC DRINKS",2,
4,1,115,1,670,10008,1,"FULL MEALS - BREAKFAST",1,2200
4,1,115,1,670,10008,2,"FULL MEALS - LUNCH",1,1500
4,1,115,1,670,10008,3,"FULL MEALS - DINNER",2,
4,1,115,1,670,10008,4,"SIDE DISHES",2,
4,1,115,1,670,10008,5,"SNACKS",1,800
4,1,115,1,670,10008,6,"DAIRY BASED BEVARAGES",1,1200
4,1,115,1,670,10008,7,"VEGETABLES AND ROASTED OR BOIL",1,500
4,1,115,1,670,10008,8,"NON-ALCOHOLIC DRINKS",1,600
4,1,115,1,670,10008,9,"ALCOHOLIC DRINKS",2,
4,1,105,2,0,10009,1,"FULL MEALS - BREAKFAST",2,
4,1,105,2,0,10009,2,"FULL MEALS - LUNCH",1,2000
4,1,105,2,0,10009,3,"FULL MEALS - DINNER",2,
4,1,105,2,0,10009,4,"SIDE DISHES",2,
4,1,105,2,0,10009,5,"SNACKS",1,80
4,1,105,2,0,10009,6,"DAIRY BASED BEVARAGES",2,
4,1,105,2,0,10009,7,"VEGETABLES AND ROASTED OR BOIL",2,
4,1,105,2,0,10009,8,"NON-ALCOHOLIC DRINKS",2,
4,1,105,2,0,10009,9,"ALCOHOLIC DRINKS",2,
4,1,115,1,670,10010,1,"FULL MEALS - BREAKFAST",2,
4,1,115,1,670,10010,2,"FULL MEALS - LUNCH",2,
4,1,115,1,670,10010,3,"FULL MEALS - DINNER",2,
4,1,115,1,670,10010,4,"SIDE DISHES",1,500
4,1,115,1,670,10010,5,"SNACKS",2,
4,1,115,1,670,10010,6,"DAIRY BASED BEVARAGES",2,
4,1,115,1,670,10010,7,"VEGETABLES AND ROASTED OR BOIL",2,
4,1,115,1,670,10010,8,"NON-ALCOHOLIC DRINKS",1,120
4,1,115,1,670,10010,9,"ALCOHOLIC DRINKS",2,
4,1,104,2,1364,10011,1,"FULL MEALS - BREAKFAST",2,
4,1,104,2,1364,10011,2,"FULL MEALS - LUNCH",2,
4,1,104,2,1364,10011,3,"FULL MEALS - DINNER",2,
4,1,104,2,1364,10011,4,"SIDE DISHES",2,
4,1,104,2,1364,10011,5,"SNACKS",1,100
4,1,104,2,1364,10011,6,"DAIRY BASED BEVARAGES",2,
4,1,104,2,1364,10011,7,"VEGETABLES AND ROASTED OR BOIL",2,
4,1,104,2,1364,10011,8,"NON-ALCOHOLIC DRINKS",1,240
4,1,104,2,1364,10011,9,"ALCOHOLIC DRINKS",2,
4,1,104,2,1364,10012,1,"FULL MEALS - BREAKFAST",1,1600
4,1,104,2,1364,10012,2,"FULL MEALS - LUNCH",1,2500
4,1,104,2,1364,10012,3,"FULL MEALS - DINNER",2,
4,1,104,2,1364,10012,4,"SIDE DISHES",1,800
4,1,104,2,1364,10012,5,"SNACKS",1,140
4,1,104,2,1364,10012,6,"DAIRY BASED BEVARAGES",1,120
4,1,104,2,1364,10012,7,"VEGETABLES AND ROASTED OR BOIL",1,300
4,1,104,2,1364,10012,8,"NON-ALCOHOLIC DRINKS",1,660
4,1,104,2,1364,10012,9,"ALCOHOLIC DRINKS",1,1200
4,1,104,2,1364,10013,1,"FULL MEALS - BREAKFAST",2,
4,1,104,2,1364,10013,2,"FULL MEALS - LUNCH",2,
4,1,104,2,1364,10013,3,"FULL MEALS - DINNER",2,
4,1,104,2,1364,10013,4,"SIDE DISHES",2,
4,1,104,2,1364,10013,5,"SNACKS",1,100
4,1,104,2,1364,10013,6,"DAIRY BASED BEVARAGES",1,100
4,1,104,2,1364,10013,7,"VEGETABLES AND ROASTED OR BOIL",2,
