"zone","state","lga","sector","ea","hhid","item_cd","item_desc","s10cq10","s10cq11"
4,1,115,1,670,10001,1,"A. Children 0-5 years",0,0
4,1,115,1,670,10001,2,"B. Children 6-15 years",0,0
4,1,115,1,670,10001,3,"C. Adults 16-65 years",1,2
4,1,115,1,670,10001,4,"D. People over 65 years o",0,0
4,1,115,1,670,10002,1,"A. Children 0-5 years",0,0
4,1,115,1,670,10002,2,"B. Children 6-15 years",2,3
4,1,115,1,670,10002,3,"C. Adults 16-65 years",2,3
4,1,115,1,670,10002,4,"D. People over 65 years o",0,0
4,1,115,1,670,10008,1,"A. Children 0-5 years",7,7
4,1,115,1,670,10008,2,"B. Children 6-15 years",0,0
4,1,115,1,670,10008,3,"C. Adults 16-65 years",7,7
4,1,115,1,670,10008,4,"D. People over 65 years o",0,0
4,1,105,2,0,10009,1,"A. Children 0-5 years",0,0
4,1,105,2,0,10009,2,"B. Children 6-15 years",2,2
4,1,105,2,0,10009,3,"C. Adults 16-65 years",1,1
4,1,105,2,0,10009,4,"D. People over 65 years o",0,0
4,1,115,1,670,10010,1,"A. Children 0-5 years",0,0
4,1,115,1,670,10010,2,"B. Children 6-15 years",0,0
4,1,115,1,670,10010,3,"C. Adults 16-65 years",1,1
4,1,115,1,670,10010,4,"D. People over 65 years o",1,2
4,1,104,2,1364,10011,1,"A. Children 0-5 years",2,3
4,1,104,2,1364,10011,2,"B. Children 6-15 years",2,4
4,1,104,2,1364,10011,3,"C. Adults 16-65 years",1,1
4,1,104,2,1364,10011,4,"D. People over 65 years o",0,0
4,1,104,2,1364,10012,1,"A. Children 0-5 years",4,4
4,1,104,2,1364,10012,2,"B. Children 6-15 years",2,2
4,1,104,2,1364,10012,3,"C. Adults 16-65 years",1,1
4,1,104,2,1364,10012,4,"D. People over 65 years o",0,0
4,1,104,2,0,10015,1,"A. Children 0-5 years",4,4
4,1,104,2,0,10015,2,"B. Children 6-15 years",3,3
4,1,104,2,0,10015,3,"C. Adults 16-65 years",0,0
4,1,104,2,0,10015,4,"D. People over 65 years o",0,0
4,1,104,2,1364,10016,1,"A. Children 0-5 years",0,0
4,1,104,2,1364,10016,2,"B. Children 6-15 years",2,1
4,1,104,2,1364,10016,3,"C. Adults 16-65 years",1,1
4,1,104,2,1364,10016,4,"D. People over 65 years o",0,0
4,1,104,2,1364,10017,1,"A. Children 0-5 years",0,0
4,1,104,2,1364,10017,2,"B. Children 6-15 years",1,1
4,1,104,2,1364,10017,3,"C. Adults 16-65 years",2,2
4,1,104,2,1364,10017,4,"D. People over 65 years o",0,0
4,1,104,2,1364,10018,1,"A. Children 0-5 years",0,0
4,1,104,2,1364,10018,2,"B. Children 6-15 years",1,1
4,1,104,2,1364,10018,3,"C. Adults 16-65 years",0,0
4,1,104,2,1364,10018,4,"D. People over 65 years o",0,0
4,1,106,2,880,10021,1,"A. Children 0-5 years",2,3
4,1,106,2,880,10021,2,"B. Children 6-15 years",1,2
4,1,106,2,880,10021,3,"C. Adults 16-65 years",0,0
4,1,106,2,880,10021,4,"D. People over 65 years o",0,0
4,1,106,2,880,10022,1,"A. Children 0-5 years",1,2
4,1,106,2,880,10022,2,"B. Children 6-15 years",0,0
4,1,106,2,880,10022,3,"C. Adults 16-65 years",1,1
4,1,106,2,880,10022,4,"D. People over 65 years o",0,0
4,1,106,2,880,10023,1,"A. Children 0-5 years",2,2
4,1,106,2,880,10023,2,"B. Children 6-15 years",2,2
4,1,106,2,880,10023,3,"C. Adults 16-65 years",1,1
4,1,106,2,880,10023,4,"D. People over 65 years o",0,0
4,1,106,2,880,10027,1,"A. Children 0-5 years",0,0
4,1,106,2,880,10027,2,"B. Children 6-15 years",0,0
4,1,106,2,880,10027,3,"C. Adults 16-65 years",1,1
4,1,106,2,880,10027,4,"D. People over 65 years o",0,0
4,1,111,1,1146,10033,1,"A. Children 0-5 years",0,0
4,1,111,1,1146,10033,2,"B. Children 6-15 years",0,0
4,1,111,1,1146,10033,3,"C. Adults 16-65 years",3,2
4,1,111,1,1146,10033,4,"D. People over 65 years o",2,2
4,1,111,1,1146,10035,1,"A. Children 0-5 years",0,0
4,1,111,1,1146,10035,2,"B. Children 6-15 years",0,0
4,1,111,1,1146,10035,3,"C. Adults 16-65 years",2,2
4,1,111,1,1146,10035,4,"D. People over 65 years o",0,0
4,1,111,1,1146,10036,1,"A. Children 0-5 years",2,2
4,1,111,1,1146,10036,2,"B. Children 6-15 years",0,0
4,1,111,1,1146,10036,3,"C. Adults 16-65 years",2,2
4,1,111,1,1146,10036,4,"D. People over 65 years o",0,0
4,1,102,1,536,10043,1,"A. Children 0-5 years",2,2
4,1,102,1,536,10043,2,"B. Children 6-15 years",0,0
4,1,102,1,536,10043,3,"C. Adults 16-65 years",2,2
4,1,102,1,536,10043,4,"D. People over 65 years o",0,0
4,1,102,1,536,10046,1,"A. Children 0-5 years",0,0
4,1,102,1,536,10046,2,"B. Children 6-15 years",0,0
4,1,102,1,536,10046,3,"C. Adults 16-65 years",1,1
4,1,102,1,536,10046,4,"D. People over 65 years o",0,0
4,1,102,1,1690,10052,1,"A. Children 0-5 years",3,3
4,1,102,1,1690,10052,2,"B. Children 6-15 years",2,2
4,1,102,1,1690,10052,3,"C. Adults 16-65 years",0,0
4,1,102,1,1690,10052,4,"D. People over 65 years o",0,0
4,1,102,1,1690,10058,1,"A. Children 0-5 years",0,0
4,1,102,1,1690,10058,2,"B. Children 6-15 years",0,0
4,1,102,1,1690,10058,3,"C. Adults 16-65 years",3,4
4,1,102,1,1690,10058,4,"D. People over 65 years o",0,0
4,1,102,1,1690,10060,1,"A. Children 0-5 years",0,0
4,1,102,1,1690,10060,2,"B. Children 6-15 years",2,4
4,1,102,1,1690,10060,3,"C. Adults 16-65 years",0,0
4,1,102,1,1690,10060,4,"D. People over 65 years o",0,0
4,1,107,2,1044,10064,1,"A. Children 0-5 years",4,4
4,1,107,2,1044,10064,2,"B. Children 6-15 years",0,0
4,1,107,2,1044,10064,3,"C. Adults 16-65 years",2,2
4,1,107,2,1044,10064,4,"D. People over 65 years o",0,0
4,1,107,2,1044,10068,1,"A. Children 0-5 years",3,4
4,1,107,2,1044,10068,2,"B. Children 6-15 years",0,0
4,1,107,2,1044,10068,3,"C. Adults 16-65 years",3,4
4,1,107,2,1044,10068,4,"D. People over 65 years o",0,0
4,1,107,2,1044,10069,1,"A. Children 0-5 years",2,2
4,1,107,2,1044,10069,2,"B. Children 6-15 years",3,3
4,1,107,2,1044,10069,3,"C. Adults 16-65 years",0,0
4,1,107,2,1044,10069,4,"D. People over 65 years o",0,0
4,1,107,2,0,10070,1,"A. Children 0-5 years",2,2
4,1,107,2,0,10070,2,"B. Children 6-15 years",4,4
4,1,107,2,0,10070,3,"C. Adults 16-65 years",0,0
4,1,107,2,0,10070,4,"D. People over 65 years o",1,2
4,1,117,2,560,10074,1,"A. Children 0-5 years",2,2
4,1,117,2,560,10074,2,"B. Children 6-15 years",2,2
4,1,117,2,560,10074,3,"C. Adults 16-65 years",0,0
4,1,117,2,560,10074,4,"D. People over 65 years o",0,0
4,1,117,2,560,10075,1,"A. Children 0-5 years",0,0
4,1,117,2,560,10075,2,"B. Children 6-15 years",3,2
4,1,117,2,560,10075,3,"C. Adults 16-65 years",3,1
4,1,117,2,560,10075,4,"D. People over 65 years o",0,0
4,1,117,2,560,10077,1,"A. Children 0-5 years",0,0
4,1,117,2,560,10077,2,"B. Children 6-15 years",0,0
4,1,117,2,560,10077,3,"C. Adults 16-65 years",7,20
4,1,117,2,560,10077,4,"D. People over 65 years o",0,0
4,1,117,2,560,10078,1,"A. Children 0-5 years",0,0
4,1,117,2,560,10078,2,"B. Children 6-15 years",3,3
4,1,117,2,560,10078,3,"C. Adults 16-65 years",2,2
4,1,117,2,560,10078,4,"D. People over 65 years o",0,0
4,1,110,2,76,10081,1,"A. Children 0-5 years",2,2
4,1,110,2,76,10081,2,"B. Children 6-15 years",0,0
4,1,110,2,76,10081,3,"C. Adults 16-65 years",0,0
4,1,110,2,76,10081,4,"D. People over 65 years o",0,0
4,1,110,2,76,10082,1,"A. Children 0-5 years",2,2
4,1,110,2,76,10082,2,"B. Children 6-15 years",1,1
4,1,110,2,76,10082,3,"C. Adults 16-65 years",1,1
4,1,110,2,76,10082,4,"D. People over 65 years o",0,0
4,1,110,2,76,10084,1,"A. Children 0-5 years",3,3
4,1,110,2,76,10084,2,"B. Children 6-15 years",0,0
4,1,110,2,76,10084,3,"C. Adults 16-65 years",0,0
4,1,110,2,76,10084,4,"D. People over 65 years o",0,0
5,3,322,2,0,10093,1,"A. Children 0-5 years",7,2
5,3,322,2,0,10093,2,"B. Children 6-15 years",7,2
5,3,322,2,0,10093,3,"C. Adults 16-65 years",0,0
5,3,322,2,0,10093,4,"D. People over 65 years o",0,0
4,1,105,2,638,10097,1,"A. Children 0-5 years",0,0
4,1,105,2,638,10097,2,"B. Children 6-15 years",0,0
4,1,105,2,638,10097,3,"C. Adults 16-65 years",1,1
4,1,105,2,638,10097,4,"D. People over 65 years o",0,0
4,1,105,2,638,10100,1,"A. Children 0-5 years",2,2
4,1,105,2,638,10100,2,"B. Children 6-15 years",2,2
4,1,105,2,638,10100,3,"C. Adults 16-65 years",0,0
4,1,105,2,638,10100,4,"D. People over 65 years o",0,0
4,1,108,2,904,10104,1,"A. Children 0-5 years",0,0
4,1,108,2,904,10104,2,"B. Children 6-15 years",3,3
4,1,108,2,904,10104,3,"C. Adults 16-65 years",2,2
4,1,108,2,904,10104,4,"D. People over 65 years o",0,0
4,1,108,2,904,10105,1,"A. Children 0-5 years",0,0
4,1,108,2,904,10105,2,"B. Children 6-15 years",0,0
4,1,108,2,904,10105,3,"C. Adults 16-65 years",3,2
4,1,108,2,904,10105,4,"D. People over 65 years o",1,2
4,1,108,2,904,10107,1,"A. Children 0-5 years",0,0
4,1,108,2,904,10107,2,"B. Children 6-15 years",3,3
4,1,108,2,904,10107,3,"C. Adults 16-65 years",3,3
4,1,108,2,904,10107,4,"D. People over 65 years o",0,0
4,1,108,2,904,10109,1,"A. Children 0-5 years",0,0
4,1,108,2,904,10109,2,"B. Children 6-15 years",2,2
4,1,108,2,904,10109,3,"C. Adults 16-65 years",0,0
4,1,108,2,904,10109,4,"D. People over 65 years o",1,1
2,2,209,2,1040,20002,1,"A. Children 0-5 years",5,3
2,2,209,2,1040,20002,2,"B. Children 6-15 years",0,0
2,2,209,2,1040,20002,3,"C. Adults 16-65 years",2,2
2,2,209,2,1040,20002,4,"D. People over 65 years o",2,1
2,34,3401,2,0,20003,1,"A. Children 0-5 years",5,10
2,34,3401,2,0,20003,2,"B. Children 6-15 years",0,0
2,34,3401,2,0,20003,3,"C. Adults 16-65 years",0,0
2,34,3401,2,0,20003,4,"D. People over 65 years o",0,0
2,34,3416,2,0,20011,1,"A. Children 0-5 years",7,3
2,34,3416,2,0,20011,2,"B. Children 6-15 years",7,3
2,34,3416,2,0,20011,3,"C. Adults 16-65 years",7,3
2,34,3416,2,0,20011,4,"D. People over 65 years o",7,3
2,2,221,2,18,20012,1,"A. Children 0-5 years",0,0
2,2,221,2,18,20012,2,"B. Children 6-15 years",4,2
2,2,221,2,18,20012,3,"C. Adults 16-65 years",6,2
2,2,221,2,18,20012,4,"D. People over 65 years o",3,2
2,2,221,2,18,20013,1,"A. Children 0-5 years",0,0
2,2,221,2,18,20013,2,"B. Children 6-15 years",0,0
2,2,221,2,18,20013,3,"C. Adults 16-65 years",2,2
2,2,221,2,18,20013,4,"D. People over 65 years o",0,0
2,2,221,2,18,20014,1,"A. Children 0-5 years",0,0
2,2,221,2,18,20014,2,"B. Children 6-15 years",0,0
2,2,221,2,18,20014,3,"C. Adults 16-65 years",7,1
2,2,221,2,18,20014,4,"D. People over 65 years o",0,0
2,2,221,2,18,20015,1,"A. Children 0-5 years",0,0
2,2,221,2,18,20015,2,"B. Children 6-15 years",7,2
2,2,221,2,18,20015,3,"C. Adults 16-65 years",7,2
2,2,221,2,18,20015,4,"D. People over 65 years o",0,0
2,2,221,2,18,20018,1,"A. Children 0-5 years",0,0
2,2,221,2,18,20018,2,"B. Children 6-15 years",0,0
2,2,221,2,18,20018,3,"C. Adults 16-65 years",0,0
2,2,221,2,18,20018,4,"D. People over 65 years o",4,4
2,2,221,2,18,20019,1,"A. Children 0-5 years",7,0
2,2,221,2,18,20019,2,"B. Children 6-15 years",0,0
2,2,221,2,18,20019,3,"C. Adults 16-65 years",7,0
2,2,221,2,18,20019,4,"D. People over 65 years o",0,0
2,2,221,2,18,20020,1,"A. Children 0-5 years",2,2
2,2,221,2,18,20020,2,"B. Children 6-15 years",4,2
2,2,221,2,18,20020,3,"C. Adults 16-65 years",3,3
2,2,221,2,18,20020,4,"D. People over 65 years o",0,0
2,2,201,2,60,20022,1,"A. Children 0-5 years",2,2
2,2,201,2,60,20022,2,"B. Children 6-15 years",2,2
2,2,201,2,60,20022,3,"C. Adults 16-65 years",2,2
2,2,201,2,60,20022,4,"D. People over 65 years o",0,0
2,2,201,2,60,20027,1,"A. Children 0-5 years",2,1
2,2,201,2,60,20027,2,"B. Children 6-15 years",3,2
2,2,201,2,60,20027,3,"C. Adults 16-65 years",4,2
2,2,201,2,60,20027,4,"D. People over 65 years o",1,1
2,2,201,2,60,20028,1,"A. Children 0-5 years",0,0
2,2,201,2,60,20028,2,"B. Children 6-15 years",0,0
2,2,201,2,60,20028,3,"C. Adults 16-65 years",2,3
2,2,201,2,60,20028,4,"D. People over 65 years o",0,0
2,2,201,2,60,20029,1,"A. Children 0-5 years",2,2
2,2,201,2,60,20029,2,"B. Children 6-15 years",2,2
2,2,201,2,60,20029,3,"C. Adults 16-65 years",2,2
2,2,201,2,60,20029,4,"D. People over 65 years o",0,0
2,2,216,2,200,20035,1,"A. Children 0-5 years",0,0
2,2,216,2,200,20035,2,"B. Children 6-15 years",0,0
2,2,216,2,200,20035,3,"C. Adults 16-65 years",7,1
2,2,216,2,200,20035,4,"D. People over 65 years o",0,0
2,2,216,2,200,20040,1,"A. Children 0-5 years",7,1
2,2,216,2,200,20040,2,"B. Children 6-15 years",7,1
2,2,216,2,200,20040,3,"C. Adults 16-65 years",7,1
2,2,216,2,200,20040,4,"D. People over 65 years o",0,0
2,2,203,2,1224,20042,1,"A. Children 0-5 years",0,0
2,2,203,2,1224,20042,2,"B. Children 6-15 years",7,3
2,2,203,2,1224,20042,3,"C. Adults 16-65 years",0,0
2,2,203,2,1224,20042,4,"D. People over 65 years o",0,0
2,2,203,2,1224,20044,1,"A. Children 0-5 years",3,1
2,2,203,2,1224,20044,2,"B. Children 6-15 years",3,2
2,2,203,2,1224,20044,3,"C. Adults 16-65 years",3,1
2,2,203,2,1224,20044,4,"D. People over 65 years o",0,0
2,2,203,2,1224,20045,1,"A. Children 0-5 years",0,0
2,2,203,2,1224,20045,2,"B. Children 6-15 years",2,1
2,2,203,2,1224,20045,3,"C. Adults 16-65 years",1,2
2,2,203,2,1224,20045,4,"D. People over 65 years o",0,0
2,2,203,2,1224,20046,1,"A. Children 0-5 years",3,1
2,2,203,2,1224,20046,2,"B. Children 6-15 years",4,1
2,2,203,2,1224,20046,3,"C. Adults 16-65 years",5,1
2,2,203,2,1224,20046,4,"D. People over 65 years o",0,0
2,2,203,2,1224,20050,1,"A. Children 0-5 years",2,1
2,2,203,2,1224,20050,2,"B. Children 6-15 years",0,0
2,2,203,2,1224,20050,3,"C. Adults 16-65 years",1,2
2,2,203,2,1224,20050,4,"D. People over 65 years o",0,0
2,2,212,2,956,20053,1,"A. Children 0-5 years",0,0
2,2,212,2,956,20053,2,"B. Children 6-15 years",7,2
2,2,212,2,956,20053,3,"C. Adults 16-65 years",7,2
2,2,212,2,956,20053,4,"D. People over 65 years o",0,0
2,2,212,2,956,20056,1,"A. Children 0-5 years",0,0
2,2,212,2,956,20056,2,"B. Children 6-15 years",0,0
2,2,212,2,956,20056,3,"C. Adults 16-65 years",3,1
2,2,212,2,956,20056,4,"D. People over 65 years o",0,0
2,2,212,2,956,20057,1,"A. Children 0-5 years",0,0
2,2,212,2,956,20057,2,"B. Children 6-15 years",0,0
2,2,212,2,956,20057,3,"C. Adults 16-65 years",7,1
2,2,212,2,956,20057,4,"D. People over 65 years o",0,0
2,2,212,2,956,20058,1,"A. Children 0-5 years",1,2
2,2,212,2,956,20058,2,"B. Children 6-15 years",1,2
2,2,212,2,956,20058,3,"C. Adults 16-65 years",0,0
2,2,212,2,956,20058,4,"D. People over 65 years o",0,0
2,2,212,2,956,20060,1,"A. Children 0-5 years",7,1
2,2,212,2,956,20060,2,"B. Children 6-15 years",7,1
2,2,212,2,956,20060,3,"C. Adults 16-65 years",7,1
2,2,212,2,956,20060,4,"D. People over 65 years o",0,0
2,2,210,2,1300,20063,1,"A. Children 0-5 years",0,0
2,2,210,2,1300,20063,2,"B. Children 6-15 years",7,1
2,2,210,2,1300,20063,3,"C. Adults 16-65 years",7,1
2,2,210,2,1300,20063,4,"D. People over 65 years o",0,0
2,2,214,2,898,20072,1,"A. Children 0-5 years",2,2
2,2,214,2,898,20072,2,"B. Children 6-15 years",2,2
2,2,214,2,898,20072,3,"C. Adults 16-65 years",1,1
2,2,214,2,898,20072,4,"D. People over 65 years o",0,0
2,2,214,2,898,20075,1,"A. Children 0-5 years",2,2
2,2,214,2,898,20075,2,"B. Children 6-15 years",2,1
2,2,214,2,898,20075,3,"C. Adults 16-65 years",1,0
2,2,214,2,898,20075,4,"D. People over 65 years o",0,0
2,2,214,2,898,20077,1,"A. Children 0-5 years",0,0
2,2,214,2,898,20077,2,"B. Children 6-15 years",0,0
2,2,214,2,898,20077,3,"C. Adults 16-65 years",7,1
2,2,214,2,898,20077,4,"D. People over 65 years o",0,0
2,2,215,1,8,20086,1,"A. Children 0-5 years",7,1
2,2,215,1,8,20086,2,"B. Children 6-15 years",7,1
2,2,215,1,8,20086,3,"C. Adults 16-65 years",7,1
2,2,215,1,8,20086,4,"D. People over 65 years o",0,0
2,2,215,1,8,20087,1,"A. Children 0-5 years",2,2
2,2,215,1,8,20087,2,"B. Children 6-15 years",2,3
2,2,215,1,8,20087,3,"C. Adults 16-65 years",2,3
2,2,215,1,8,20087,4,"D. People over 65 years o",0,0
2,2,207,2,1302,20095,1,"A. Children 0-5 years",0,0
2,2,207,2,1302,20095,2,"B. Children 6-15 years",7,2
2,2,207,2,1302,20095,3,"C. Adults 16-65 years",7,2
2,2,207,2,1302,20095,4,"D. People over 65 years o",0,0
2,2,207,2,1302,20100,1,"A. Children 0-5 years",2,2
2,2,207,2,1302,20100,2,"B. Children 6-15 years",1,2
2,2,207,2,1302,20100,3,"C. Adults 16-65 years",1,1
2,2,207,2,1302,20100,4,"D. People over 65 years o",0,0
2,2,218,2,1592,20114,1,"A. Children 0-5 years",7,3
2,2,218,2,1592,20114,2,"B. Children 6-15 years",7,3
2,2,218,2,1592,20114,3,"C. Adults 16-65 years",7,3
2,2,218,2,1592,20114,4,"D. People over 65 years o",0,0
2,2,218,2,1592,20115,1,"A. Children 0-5 years",0,0
2,2,218,2,1592,20115,2,"B. Children 6-15 years",0,0
2,2,218,2,1592,20115,3,"C. Adults 16-65 years",7,1
2,2,218,2,1592,20115,4,"D. People over 65 years o",0,0
