"zone","state","lga","sector","ea","hhid","plotid","s11b1q1","s11b1q2","s11b1q3","s11b1q4","s11b1q5","s11b1q6a","s11b1q6b","s11b1q7","s11b1q8","s11b1q8b","s11b1q8a","s11b1q8b1","s11b1q8b2","s11b1q8b3","s11b1q9","s11b1q9_os","s11b1q9a","s11b1q10a","s11b1q10b","s11b1q10c","s11b1q10d","s11b1q11","s11b1q12a","s11b1q12b","s11b1q12c","s11b1q12d","s11b1q13","s11b1q14","s11b1q15","s11b1q16a1","s11b1q16a2","s11b1q16b1","s11b1q16b2","s11b1q17","s11b1q18","s11b1q19","s11b1q19a","s11b1q20","s11b1q21","s11b1q22a","s11b1q22b","s11b1q22c","s11b1q23a","s11b1q23b","s11b1q23c","s11b1q23d","s11b1q24","s11b1q25a","s11b1q25b","s11b1q26","s11b1q27","s11b1q28","s11b1q28a","s11b1q29","s11b1q30a","s11b1q30b","s11b1q31","s11b1q32","s11b1q33","s11b1q34","s11b1q35","s11b1q39","s11b1q40","s11b1q41a","s11b1q41b","s11b1q42","s11b1q43","s11b1q43b","s11b1q44","s11b1q44_os","s11b1q45","s11b1q46","s11b1q47","s11b1q48","s11b1q49","s11b1q50a","s11b1q50a_os","s11b1q50b","s11b1q51"
4,1,105,2,0,10009,1,1,,2015,3,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,2,2,2,,,,"N1",,,,2,54,,3000000,1,,,,,,,,,,,2,,,,,,,5,,1,2,2,,,,,,
4,1,105,2,0,10009,2,1,,2015,3,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,2,2,2,,,,"N1",,,,2,54,,3000000,1,,,,,,,,,,,2,,,,,,,5,,1,2,2,,,,,,
4,1,105,2,0,10009,3,1,,2015,3,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,2,2,2,,,,"N1",,,,2,54,,3000000,1,,,,,,,,,,,2,,,,,,,5,,1,2,2,,,,,,
4,1,104,2,1364,10011,1,1,,2008,5,,1,3,2,,,,,,,2,,2,,,,,2,,,,,,,,,,,,,,1,2,1,2,,,,,3,,,1,54,,50000,1,,,,,,,,,,,2,,,,,,,5,,1,4,2,,,,,,
4,1,104,2,1364,10012,1,1,,1970,5,,4,3,2,,,,,,,2,,2,,,,,1,2,,,,,,,,,,,,,1,2,1,1,2,3,4,"N1",,,,1,53,,300000,1,,,,,,,,,,,2,,,,,,,5,,2,2,2,,,,,,
4,1,104,2,1364,10012,2,1,,1970,5,,4,3,2,,,,,,,2,,2,,,,,1,2,,,,,,,,,,,,,1,2,1,1,2,3,4,"N1",,,,1,53,,250000,1,,,,,,,,,,,2,,,,,,,5,,2,2,2,,,,,,
4,1,104,2,1364,10013,1,1,,1982,1,130000,1,,2,,,,,,,1,,1,2,5,,,2,,,,,,,,,,,,,,1,2,1,2,,,,,2,,,2,54,,250000,1,,,,,,,,,,,2,,,,,,,5,,1,2,2,,,,,,
4,1,104,2,1364,10013,2,1,,2015,2,,,,,,,,,,,,,,,,,,,,,,,1000,0,"N1",1,,1,2,3,1,,,,,,,,,,,,,,,200000,1,,,,,,,,,,,2,,,,,,,5,,1,2,2,,,,,,
4,1,104,2,0,10015,1,1,,2015,3,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,2,2,2,,,,"N1",,,,2,2,,4000000,1,,,,,,,,,,,2,,,,,,,5,,1,1,2,,,,,,
4,1,104,2,0,10015,2,1,,2015,3,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,2,2,2,,,,"N1",,,,2,2,,4000000,1,,,,,,,,,,,2,,,,,,,5,,1,1,2,,,,,,
