"zone","state","lga","sector","ea","hhid","item_cd","item_desc","s11dq7","s11dq8"
4,1,115,1,670,10001,501,"CARPETS, RUGS, DRAPES, CURTAIN",2,
4,1,115,1,670,10001,502,"LINEN - TOWELS, SHEETS, BLANKE",2,
4,1,115,1,670,10001,503,"MAT - SLEEPING OR FOR DRYING M",2,
4,1,115,1,670,10001,504,"MOSQUITO NET",2,
4,1,115,1,670,10001,505,"MATTRESS",2,
4,1,115,1,670,10001,506,"SPORTS & HOBBY EQUIPMENT, MUSI",2,
4,1,115,1,670,10001,507,"FILM, FILM PROCESSING, CAMERA",2,
4,1,115,1,670,10001,508,"BUILDING ITEMS - CEMENT, BRICK",2,
4,1,115,1,670,10001,509,"COUNCIL RATES",2,
4,1,115,1,670,10001,510,"HEALTH INSURANCE",2,
4,1,115,1,670,10001,511,"AUTO INSURANCE",2,
4,1,115,1,670,10001,512,"HOME INSURANCE",2,
4,1,115,1,670,10001,513,"LIFE INSURANCE",2,
4,1,115,1,670,10001,514,"FINES OR LEGAL FEES",2,
4,1,115,1,670,10001,515,"DOWRY COSTS",2,
4,1,115,1,670,10001,516,"MARRIAGE CEREMONY COSTS",2,
4,1,115,1,670,10001,517,"FUNERAL COSTS",2,
4,1,115,1,670,10002,501,"CARPETS, RUGS, DRAPES, CURTAIN",2,
4,1,115,1,670,10002,502,"LINEN - TOWELS, SHEETS, BLANKE",2,
4,1,115,1,670,10002,503,"MAT - SLEEPING OR FOR DRYING M",2,
4,1,115,1,670,10002,504,"MOSQUITO NET",2,
4,1,115,1,670,10002,505,"MATTRESS",2,
4,1,115,1,670,10002,506,"SPORTS & HOBBY EQUIPMENT, MUSI",2,
4,1,115,1,670,10002,507,"FILM, FILM PROCESSING, CAMERA",2,
4,1,115,1,670,10002,508,"BUILDING ITEMS - CEMENT, BRICK",2,
4,1,115,1,670,10002,509,"COUNCIL RATES",2,
4,1,115,1,670,10002,510,"HEALTH INSURANCE",2,
4,1,115,1,670,10002,511,"AUTO INSURANCE",2,
4,1,115,1,670,10002,512,"HOME INSURANCE",2,
4,1,115,1,670,10002,513,"LIFE INSURANCE",2,
4,1,115,1,670,10002,514,"FINES OR LEGAL FEES",2,
4,1,115,1,670,10002,515,"DOWRY COSTS",2,
4,1,115,1,670,10002,516,"MARRIAGE CEREMONY COSTS",2,
4,1,115,1,670,10002,517,"FUNERAL COSTS",2,
4,1,115,1,670,10003,501,"CARPETS, RUGS, DRAPES, CURTAIN",2,
4,1,115,1,670,10003,502,"LINEN - TOWELS, SHEETS, BLANKE",2,
4,1,115,1,670,10003,503,"MAT - SLEEPING OR FOR DRYING M",2,
4,1,115,1,670,10003,504,"MOSQUITO NET",2,
4,1,115,1,670,10003,505,"MATTRESS",2,
4,1,115,1,670,10003,506,"SPORTS & HOBBY EQUIPMENT, MUSI",2,
4,1,115,1,670,10003,507,"FILM, FILM PROCESSING, CAMERA",2,
4,1,115,1,670,10003,508,"BUILDING ITEMS - CEMENT, BRICK",2,
4,1,115,1,670,10003,509,"COUNCIL RATES",2,
4,1,115,1,670,10003,510,"HEALTH INSURANCE",2,
4,1,115,1,670,10003,511,"AUTO INSURANCE",2,
4,1,115,1,670,10003,512,"HOME INSURANCE",2,
4,1,115,1,670,10003,513,"LIFE INSURANCE",2,
4,1,115,1,670,10003,514,"FINES OR LEGAL FEES",2,
4,1,115,1,670,10003,515,"DOWRY COSTS",2,
4,1,115,1,670,10003,516,"MARRIAGE CEREMONY COSTS",2,
4,1,115,1,670,10003,517,"FUNERAL COSTS",2,
4,1,115,1,670,10004,501,"CARPETS, RUGS, DRAPES, CURTAIN",2,
4,1,115,1,670,10004,502,"LINEN - TOWELS, SHEETS, BLANKE",2,
4,1,115,1,670,10004,503,"MAT - SLEEPING OR FOR DRYING M",2,
4,1,115,1,670,10004,504,"MOSQUITO NET",2,
4,1,115,1,670,10004,505,"MATTRESS",2,
4,1,115,1,670,10004,506,"SPORTS & HOBBY EQUIPMENT, MUSI",2,
4,1,115,1,670,10004,507,"FILM, FILM PROCESSING, CAMERA",2,
4,1,115,1,670,10004,508,"BUILDING ITEMS - CEMENT, BRICK",2,
4,1,115,1,670,10004,509,"COUNCIL RATES",2,
4,1,115,1,670,10004,510,"HEALTH INSURANCE",2,
4,1,115,1,670,10004,511,"AUTO INSURANCE",2,
4,1,115,1,670,10004,512,"HOME INSURANCE",2,
4,1,115,1,670,10004,513,"LIFE INSURANCE",2,
4,1,115,1,670,10004,514,"FINES OR LEGAL FEES",2,
4,1,115,1,670,10004,515,"DOWRY COSTS",2,
4,1,115,1,670,10004,516,"MARRIAGE CEREMONY COSTS",2,
4,1,115,1,670,10004,517,"FUNERAL COSTS",2,
4,1,115,1,670,10005,501,"CARPETS, RUGS, DRAPES, CURTAIN",2,
4,1,115,1,670,10005,502,"LINEN - TOWELS, SHEETS, BLANKE",2,
4,1,115,1,670,10005,503,"MAT - SLEEPING OR FOR DRYING M",2,
4,1,115,1,670,10005,504,"MOSQUITO NET",2,
4,1,115,1,670,10005,505,"MATTRESS",2,
4,1,115,1,670,10005,506,"SPORTS & HOBBY EQUIPMENT, MUSI",2,
4,1,115,1,670,10005,507,"FILM, FILM PROCESSING, CAMERA",2,
4,1,115,1,670,10005,508,"BUILDING ITEMS - CEMENT, BRICK",2,
4,1,115,1,670,10005,509,"COUNCIL RATES",2,
4,1,115,1,670,10005,510,"HEALTH INSURANCE",2,
4,1,115,1,670,10005,511,"AUTO INSURANCE",2,
4,1,115,1,670,10005,512,"HOME INSURANCE",2,
4,1,115,1,670,10005,513,"LIFE INSURANCE",2,
4,1,115,1,670,10005,514,"FINES OR LEGAL FEES",2,
4,1,115,1,670,10005,515,"DOWRY COSTS",2,
4,1,115,1,670,10005,516,"MARRIAGE CEREMONY COSTS",2,
4,1,115,1,670,10005,517,"FUNERAL COSTS",2,
4,1,115,1,670,10008,501,"CARPETS, RUGS, DRAPES, CURTAIN",2,
4,1,115,1,670,10008,502,"LINEN - TOWELS, SHEETS, BLANKE",2,
4,1,115,1,670,10008,503,"MAT - SLEEPING OR FOR DRYING M",2,
4,1,115,1,670,10008,504,"MOSQUITO NET",2,
4,1,115,1,670,10008,505,"MATTRESS",2,
4,1,115,1,670,10008,506,"SPORTS & HOBBY EQUIPMENT, MUSI",2,
4,1,115,1,670,10008,507,"FILM, FILM PROCESSING, CAMERA",2,
4,1,115,1,670,10008,508,"BUILDING ITEMS - CEMENT, BRICK",2,
4,1,115,1,670,10008,509,"COUNCIL RATES",2,
4,1,115,1,670,10008,510,"HEALTH INSURANCE",2,
4,1,115,1,670,10008,511,"AUTO INSURANCE",2,
4,1,115,1,670,10008,512,"HOME INSURANCE",2,
4,1,115,1,670,10008,513,"LIFE INSURANCE",2,
4,1,115,1,670,10008,514,"FINES OR LEGAL FEES",2,
4,1,115,1,670,10008,515,"DOWRY COSTS",2,
4,1,115,1,670,10008,516,"MARRIAGE CEREMONY COSTS",2,
4,1,115,1,670,10008,517,"FUNERAL COSTS",2,
4,1,105,2,0,10009,501,"CARPETS, RUGS, DRAPES, CURTAIN",2,
4,1,105,2,0,10009,502,"LINEN - TOWELS, SHEETS, BLANKE",1,1200
4,1,105,2,0,10009,503,"MAT - SLEEPING OR FOR DRYING M",2,
4,1,105,2,0,10009,504,"MOSQUITO NET",2,
4,1,105,2,0,10009,505,"MATTRESS",1,15000
4,1,105,2,0,10009,506,"SPORTS & HOBBY EQUIPMENT, MUSI",2,
4,1,105,2,0,10009,507,"FILM, FILM PROCESSING, CAMERA",2,
4,1,105,2,0,10009,508,"BUILDING ITEMS - CEMENT, BRICK",2,
4,1,105,2,0,10009,509,"COUNCIL RATES",2,
4,1,105,2,0,10009,510,"HEALTH INSURANCE",2,
4,1,105,2,0,10009,511,"AUTO INSURANCE",1,26000
4,1,105,2,0,10009,512,"HOME INSURANCE",2,
4,1,105,2,0,10009,513,"LIFE INSURANCE",2,
4,1,105,2,0,10009,514,"FINES OR LEGAL FEES",2,
4,1,105,2,0,10009,515,"DOWRY COSTS",2,
4,1,105,2,0,10009,516,"MARRIAGE CEREMONY COSTS",2,
4,1,105,2,0,10009,517,"FUNERAL COSTS",2,
4,1,115,1,670,10010,501,"CARPETS, RUGS, DRAPES, CURTAIN",2,
4,1,115,1,670,10010,502,"LINEN - TOWELS, SHEETS, BLANKE",1,600
4,1,115,1,670,10010,503,"MAT - SLEEPING OR FOR DRYING M",2,
4,1,115,1,670,10010,504,"MOSQUITO NET",2,
4,1,115,1,670,10010,505,"MATTRESS",2,
4,1,115,1,670,10010,506,"SPORTS & HOBBY EQUIPMENT, MUSI",2,
4,1,115,1,670,10010,507,"FILM, FILM PROCESSING, CAMERA",2,
4,1,115,1,670,10010,508,"BUILDING ITEMS - CEMENT, BRICK",2,
4,1,115,1,670,10010,509,"COUNCIL RATES",1,5000
4,1,115,1,670,10010,510,"HEALTH INSURANCE",2,
4,1,115,1,670,10010,511,"AUTO INSURANCE",1,45000
4,1,115,1,670,10010,512,"HOME INSURANCE",2,
4,1,115,1,670,10010,513,"LIFE INSURANCE",2,
4,1,115,1,670,10010,514,"FINES OR LEGAL FEES",2,
4,1,115,1,670,10010,515,"DOWRY COSTS",2,
4,1,115,1,670,10010,516,"MARRIAGE CEREMONY COSTS",2,
4,1,115,1,670,10010,517,"FUNERAL COSTS",2,
4,1,104,2,1364,10011,501,"CARPETS, RUGS, DRAPES, CURTAIN",2,
4,1,104,2,1364,10011,502,"LINEN - TOWELS, SHEETS, BLANKE",2,
4,1,104,2,1364,10011,503,"MAT - SLEEPING OR FOR DRYING M",2,
4,1,104,2,1364,10011,504,"MOSQUITO NET",2,
4,1,104,2,1364,10011,505,"MATTRESS",2,
4,1,104,2,1364,10011,506,"SPORTS & HOBBY EQUIPMENT, MUSI",2,
4,1,104,2,1364,10011,507,"FILM, FILM PROCESSING, CAMERA",2,
4,1,104,2,1364,10011,508,"BUILDING ITEMS - CEMENT, BRICK",2,
4,1,104,2,1364,10011,509,"COUNCIL RATES",2,
4,1,104,2,1364,10011,510,"HEALTH INSURANCE",2,
4,1,104,2,1364,10011,511,"AUTO INSURANCE",2,
4,1,104,2,1364,10011,512,"HOME INSURANCE",2,
4,1,104,2,1364,10011,513,"LIFE INSURANCE",2,
4,1,104,2,1364,10011,514,"FINES OR LEGAL FEES",2,
4,1,104,2,1364,10011,515,"DOWRY COSTS",2,
4,1,104,2,1364,10011,516,"MARRIAGE CEREMONY COSTS",2,
4,1,104,2,1364,10011,517,"FUNERAL COSTS",2,
4,1,104,2,1364,10012,501,"CARPETS, RUGS, DRAPES, CURTAIN",2,
4,1,104,2,1364,10012,502,"LINEN - TOWELS, SHEETS, BLANKE",2,
4,1,104,2,1364,10012,503,"MAT - SLEEPING OR FOR DRYING M",2,
4,1,104,2,1364,10012,504,"MOSQUITO NET",2,
4,1,104,2,1364,10012,505,"MATTRESS",2,
4,1,104,2,1364,10012,506,"SPORTS & HOBBY EQUIPMENT, MUSI",2,
4,1,104,2,1364,10012,507,"FILM, FILM PROCESSING, CAMERA",2,
4,1,104,2,1364,10012,508,"BUILDING ITEMS - CEMENT, BRICK",2,
4,1,104,2,1364,10012,509,"COUNCIL RATES",2,
4,1,104,2,1364,10012,510,"HEALTH INSURANCE",2,
4,1,104,2,1364,10012,511,"AUTO INSURANCE",2,
4,1,104,2,1364,10012,512,"HOME INSURANCE",2,
4,1,104,2,1364,10012,513,"LIFE INSURANCE",2,
4,1,104,2,1364,10012,514,"FINES OR LEGAL FEES",2,
4,1,104,2,1364,10012,515,"DOWRY COSTS",2,
4,1,104,2,1364,10012,516,"MARRIAGE CEREMONY COSTS",2,
4,1,104,2,1364,10012,517,"FUNERAL COSTS",2,
4,1,104,2,1364,10013,501,"CARPETS, RUGS, DRAPES, CURTAIN",2,
4,1,104,2,1364,10013,502,"LINEN - TOWELS, SHEETS, BLANKE",2,
4,1,104,2,1364,10013,503,"MAT - SLEEPING OR FOR DRYING M",2,
4,1,104,2,1364,10013,504,"MOSQUITO NET",2,
4,1,104,2,1364,10013,505,"MATTRESS",2,
4,1,104,2,1364,10013,506,"SPORTS & HOBBY EQUIPMENT, MUSI",2,
4,1,104,2,1364,10013,507,"FILM, FILM PROCESSING, CAMERA",2,
4,1,104,2,1364,10013,508,"BUILDING ITEMS - CEMENT, BRICK",2,
4,1,104,2,1364,10013,509,"COUNCIL RATES",2,
4,1,104,2,1364,10013,510,"HEALTH INSURANCE",2,
4,1,104,2,1364,10013,511,"AUTO INSURANCE",2,
4,1,104,2,1364,10013,512,"HOME INSURANCE",2,
4,1,104,2,1364,10013,513,"LIFE INSURANCE",2,
4,1,104,2,1364,10013,514,"FINES OR LEGAL FEES",2,
4,1,104,2,1364,10013,515,"DOWRY COSTS",2,
4,1,104,2,1364,10013,516,"MARRIAGE CEREMONY COSTS",2,
4,1,104,2,1364,10013,517,"FUNERAL COSTS",2,
4,1,104,2,1364,10014,501,"CARPETS, RUGS, DRAPES, CURTAIN",2,
4,1,104,2,1364,10014,502,"LINEN - TOWELS, SHEETS, BLANKE",2,
4,1,104,2,1364,10014,503,"MAT - SLEEPING OR FOR DRYING M",2,
4,1,104,2,1364,10014,504,"MOSQUITO NET",2,
4,1,104,2,1364,10014,505,"MATTRESS",2,
4,1,104,2,1364,10014,506,"SPORTS & HOBBY EQUIPMENT, MUSI",2,
4,1,104,2,1364,10014,507,"FILM, FILM PROCESSING, CAMERA",2,
4,1,104,2,1364,10014,508,"BUILDING ITEMS - CEMENT, BRICK",2,
4,1,104,2,1364,10014,509,"COUNCIL RATES",2,
4,1,104,2,1364,10014,510,"HEALTH INSURANCE",2,
4,1,104,2,1364,10014,511,"AUTO INSURANCE",2,
4,1,104,2,1364,10014,512,"HOME INSURANCE",2,
4,1,104,2,1364,10014,513,"LIFE INSURANCE",2,
4,1,104,2,1364,10014,514,"FINES OR LEGAL FEES",2,
4,1,104,2,1364,10014,515,"DOWRY COSTS",2,
4,1,104,2,1364,10014,516,"MARRIAGE CEREMONY COSTS",2,
4,1,104,2,1364,10014,517,"FUNERAL COSTS",2,
