"zone","state","lga","sector","ea","hhid","plotid","cropid","cropname","cropcode","s11eq3","s11eq3a","s11eq3b","s11eq4","s11eq5","s11eq6a","s11eq6b","s11eq7","s11eq7b","s11eq8","s11eq9","s11eq10a","s11eq10b","s11eq11a","s11eq11b","s11eq12","s11eq13","s11eq13b","s11eq14","s11eq15a","s11eq15b","s11eq16","s11eq17","s11eq18a","s11eq18b","s11eq19","s11eq20","s11eq20b","s11eq21","s11eq22","s11eq23","s11eq24","s11eq25","s11eq26","s11eq27a","s11eq27b","s11eq28","s11eq29","s11eq30a","s11eq30b","s11eq31","s11eq32","s11eq33","s11eq34","s11eq35","s11eq36","s11eq37"
4,1,105,2,0,10009,1,1,"CASSAVA",1020,1,2,3,1,1020,1,160,1,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,105,2,0,10009,1,2,"MAIZE",1080,1,2,3,2,,,,,,2,,,,,,,,,1,2,,"N3",1080,1,900,0,6,,1000,1,,,,2,,,,,,,,,,,,,
4,1,105,2,0,10009,2,1,"CASSAVA",1020,1,2,3,1,1020,2,160,1,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,105,2,0,10009,2,2,"MAIZE",1080,1,2,3,2,,,,,,2,,,,,,,,,1,2,,"N3",1080,0.5,900,0,6,,500,1,,,,2,,,,,,,,,,,,,
4,1,105,2,0,10009,2,3,"POTATO",2180,1,2,3,2,,,,,,1,2180,5,161,"N2",,0,6,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,105,2,0,10009,3,1,"CASSAVA",1020,1,2,3,1,1020,1,160,1,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,105,2,0,10009,3,2,"MAIZE",1080,1,2,3,2,,,,,,2,,,,,,,,,1,2,,"N3",1080,0.5,900,0,6,,500,1,,,,2,,,,,,,,,,,,,
4,1,105,2,0,10009,3,3,"PLANTAIN",2170,1,2,3,2,,,,,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,105,2,0,10009,3,4,"BANANA",2030,1,2,3,2,,,,,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,104,2,1364,10011,1,1,"CASSAVA",1020,1,2,3,1,1020,4,161,1,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
