"zone","state","lga","sector","ea","hhid","plotid","cropid","cropname","cropcode","s11fc5","s11fq1a","s11fq1b","s11fq2","s11fq3a","s11fq3b","s11fq4a","s11fq4b","s11fq5","s11fq6","s11fq7","s11fq8a","s11fq8b","s11fq8c","s11fq8d","s11fq9","s11fq10","s11fq10_os","s11fq11a","s11fq11b","s11fq11b_os","s11fq12a","s11fq12b","s11fq12b_os","s11fq13","s11fq14a","s11fq14b","s11fq14c","s11fq14c_os","s11fq15"
4,1,105,2,0,10009,1,1,,1020,1,20,2,4,6,2015,,,,,,,,,,,,,,,,40,131,,1,,37,131,,29600
4,1,105,2,0,10009,1,2,,1080,1,10,3,4,6,2015,,,,,,,,,,,,,,,,8,140,,2,,,,,
4,1,105,2,0,10009,2,1,,1020,1,20,2,4,6,2015,,,,,,,,,,,,,,,,5,131,,2,,,,,
4,1,105,2,0,10009,2,2,,1080,1,20,3,4,7,2015,,,,,,,,,,,,,,,,4,140,,2,,,,,
4,1,105,2,0,10009,2,3,,2180,1,30,1,4,7,2015,,,,,,,,,,,,,,,,2,150,,2,,,,,
4,1,105,2,0,10009,3,1,,1020,1,20,2,4,9,2015,,,,,,,,,,,,,,,,4,131,,1,,2,131,,1600
4,1,105,2,0,10009,3,2,,1080,1,20,3,4,9,2015,,,,,,,,,,,,,,,,3,140,,2,,,,,
4,1,105,2,0,10009,3,3,,2170,2,,,,,,10,3,10,2015,5,10,2015,,,2,,,2,111,,10,111,,2,,,,,
4,1,105,2,0,10009,3,4,,2030,2,,,,,,15,3,15,2015,10,10,2015,,,2,,,4,111,,7,111,,2,,,,,
4,1,104,2,1364,10011,1,1,,1020,1,350,1,4,3,2015,,,,,,,,,,,,,,,,20,131,,2,,,,,
4,1,104,2,1364,10011,1,2,,1080,1,150,3,4,3,2015,,,,,,,,,,,,,,,,12,151,,2,,,,,
4,1,104,2,1364,10011,1,3,,3180,2,,,,,,50,3,50,,0,2,2015,5,2015,2,,,20,192,,23,192,,2,,,,,
