"zone","state","lga","sector","ea","hhid","s12q1a","s12q1b","s12q1c","s12q1d","s12q1e","s12q1f","s12q1g","s12q1h","s12q1i","s12q2a","s12q2b","s12q3","s12q4a","s12q4b","s12q4c","s12q5","s12q6a","s12q6b","s12q6c","s12q6d","s12q6e","s12q6f","s12q7a","s12q7a_os","s12q7b","s12q7b_os","s12q7c","s12q7c_os"
4,1,115,1,670,10001,2,2,1,1,0,0,1,0,0,3,4,1,,,,2,,,,,,,,,,,,
4,1,115,1,670,10002,2,2,0,0,0,0,1,0,0,3,4,1,,,,2,,,,,,,,,,,,
4,1,115,1,670,10003,2,3,1,1,2,0,0,0,0,3,0,1,,,,2,,,,,,,,,,,,
4,1,115,1,670,10004,2,2,3,2,1,0,0,0,0,3,0,1,,,,2,,,,,,,,,,,,
4,1,115,1,670,10005,2,2,1,2,2,0,0,0,0,3,3,1,,,,2,,,,,,,,,,,,
4,1,115,1,670,10008,3,3,2,2,2,0,0,0,0,3,3,1,,,,2,,,,,,,,,,,,
4,1,105,2,0,10009,0,0,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,,,,
4,1,115,1,670,10010,0,0,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,,,,
4,1,104,2,1364,10011,4,3,4,2,0,0,1,0,0,3,0,1,,,,2,,,,,,,,,,,,
4,1,104,2,1364,10012,3,2,1,2,2,0,0,0,0,3,5,2,3,2,1,1,2,8,,1,,,3,,5,,2,
4,1,104,2,1364,10013,2,3,2,1,0,2,0,0,0,3,0,1,,,,2,,,,,,,,,,,,
4,1,104,2,1364,10014,4,3,2,2,0,0,1,0,0,3,0,1,,,,1,,,,1,,,11,"SICKNESS",,,,
4,1,104,2,0,10015,4,2,3,2,0,0,0,2,0,3,0,1,,,,1,8,9,,,,,3,,5,,4,
4,1,104,2,1364,10016,0,3,4,0,2,0,0,0,0,3,3,1,,,,2,,,,,,,,,,,,
4,1,104,2,1364,10017,4,2,3,2,0,0,0,0,0,3,3,1,,,,1,11,,,,,,5,,,,,
4,1,104,2,1364,10018,7,3,5,3,2,0,0,0,0,3,3,1,,,,1,9,,,,,,5,,,,,
4,1,104,2,1364,10019,5,4,5,3,2,2,5,0,6,3,4,1,,,,1,4,,,11,,,5,,,,,
4,1,106,2,880,10021,3,4,3,2,0,0,0,1,0,3,0,1,,,,1,10,,,,,,5,,,,,
4,1,106,2,880,10022,5,6,4,2,1,0,0,0,0,3,0,1,,,,2,,,,,,,,,,,,
4,1,106,2,880,10023,3,3,2,4,3,0,0,1,0,3,5,1,,,,1,4,10,,1,,,1,,2,,3,
4,1,106,2,880,10024,3,2,2,3,0,0,2,1,0,2,0,1,,,,2,,,,,,,,,,,,
4,1,106,2,880,10025,2,2,1,2,3,0,0,0,0,2,3,1,,,,2,,,,,,,,,,,,
4,1,106,2,880,10027,1,1,0,1,0,0,0,0,0,3,0,1,,,,2,,,,,,,,,,,,
4,1,106,2,880,10028,7,7,7,5,0,7,7,2,0,2,0,1,,,,1,12,,,1,,,11,"ILLNESS",,,,
4,1,106,2,880,10029,2,2,3,0,2,0,0,2,0,3,5,1,,,,1,3,4,,,,,2,,1,,4,
4,1,106,2,880,10030,5,4,4,5,2,2,4,0,0,3,4,1,,,,1,5,,,,,,5,,,,,
4,1,111,1,1146,10031,2,3,2,1,2,0,2,1,0,3,0,1,,,,2,,,,,,,,,,,,
4,1,111,1,1146,10032,3,2,2,1,1,1,2,0,0,3,0,1,,,,2,,,,,,,,,,,,
4,1,111,1,1146,10033,3,2,0,0,0,0,1,0,0,3,0,1,,,,2,,,,,,,,,,,,
4,1,111,1,1146,10034,3,3,4,2,0,0,2,0,0,3,0,1,,,,2,,,,,,,,,,,,
4,1,111,1,1146,10035,2,2,2,3,0,0,0,0,0,3,0,1,,,,2,,,,,,,,,,,,
4,1,111,1,1146,10036,4,3,4,2,0,0,0,0,0,3,0,1,,,,2,,,,,,,,,,,,
4,1,111,1,1146,10037,3,2,2,3,1,1,1,1,0,2,0,1,,,,2,,,,,,,,,,,,
4,1,111,1,1146,10038,1,1,2,1,0,0,1,0,0,3,3,1,,,,2,,,,,,,,,,,,
4,4,410,2,0,10039,0,0,0,0,0,0,0,0,0,3,0,1,,,,2,,,,,,,,,,,,
4,1,111,1,1146,10040,7,7,7,2,0,2,2,0,1,3,0,1,,,,2,,,,,,,,,,,,
4,1,102,1,536,10041,3,4,3,2,0,0,0,0,0,3,0,1,,,,2,,,,,,,,,,,,
6,24,2418,1,0,10042,0,0,0,0,0,0,0,0,0,3,0,1,,,,2,,,,,,,,,,,,
4,1,102,1,536,10043,3,2,2,0,0,0,0,0,0,3,0,1,,,,2,,,,,,,,,,,,
4,1,102,1,536,10044,4,4,4,0,0,0,0,0,0,3,3,2,2,2,1,2,,,,,,,,,,,,
4,1,102,1,536,10045,2,2,0,1,0,0,1,0,0,3,0,1,,,,2,,,,,,,,,,,,
