"zone","state","lga","ea","sector","hhid","network_cd","s12q2","s12q2b","s12q3"
4,1,105,0,2,10009,"N01",16,,8
4,1,105,0,2,10009,"N02",2,,1
4,1,105,0,2,10009,"N03",17,,3
4,1,104,1364,2,10012,"N01",31,"*** CONFIDENTIAL INFO ***",1
4,1,104,1364,2,10013,"N01",2,,2
4,1,104,0,2,10015,"N01",16,,7
4,1,104,0,2,10015,"N02",9,,1
4,1,104,1364,2,10017,"N01",2,,1
4,1,104,1364,2,10018,"N01",13,,1
4,1,104,1364,2,10019,"N01",2,,1
4,1,106,880,2,10022,"N01",10,,2
4,1,106,880,2,10022,"N02",10,,2
4,1,106,880,2,10022,"N03",10,,2
4,1,106,880,2,10023,"N01",9,,2
4,1,106,880,2,10023,"N02",1,,1
4,1,106,880,2,10023,"N03",7,,1
4,1,106,880,2,10023,"N04",1,,1
4,1,106,880,2,10024,"N01",31,"SON",1
4,1,106,880,2,10024,"N02",12,,2
4,1,106,880,2,10025,"N01",9,,2
4,1,106,880,2,10029,"N01",10,,2
4,1,106,880,2,10029,"N02",2,,1
4,1,106,880,2,10029,"N03",2,,1
4,1,106,880,2,10030,"N01",2,,1
4,1,107,1044,2,10061,"N01",10,,2
4,1,107,1044,2,10062,"N01",10,,2
4,1,107,1044,2,10063,"N01",9,,1
4,1,107,1044,2,10064,"N01",31,"SON",1
4,1,107,1044,2,10064,"N02",9,,2
4,1,107,1044,2,10064,"N03",9,,2
4,1,102,0,1,10065,"N01",2,,3
4,1,102,0,1,10065,"N02",1,,1
4,1,102,0,1,10065,"N03",9,,3
4,1,107,1044,2,10066,"N01",9,,2
4,1,107,1044,2,10067,"N01",9,,2
4,1,107,1044,2,10068,"N01",1,,1
4,1,107,1044,2,10068,"N02",2,,2
4,1,107,1044,2,10068,"N03",9,,3
4,1,107,1044,2,10069,"N01",2,,1
4,1,107,1044,2,10069,"N02",2,,1
4,1,107,0,2,10070,"N01",1,,1
4,1,107,0,2,10070,"N02",12,,2
4,1,117,560,2,10071,"N01",9,,2
4,1,117,560,2,10072,"N01",1,,1
4,1,117,560,2,10072,"N02",9,,2
4,1,117,560,2,10073,"N01",9,,2
4,1,117,560,2,10073,"N02",9,,2
4,1,117,560,2,10074,"N01",2,,1
4,1,117,560,2,10074,"N02",9,,2
4,1,117,560,2,10074,"N03",9,,2
4,1,117,560,2,10074,"N04",9,,2
4,1,117,560,2,10074,"N05",1,,1
4,1,117,560,2,10077,"N01",31,"BROTHERS",1
4,1,117,560,2,10077,"N02",1,,1
4,1,117,560,2,10078,"N01",31,"SONS",5
4,1,117,560,2,10078,"N02",9,,2
4,1,117,560,2,10078,"N03",9,,2
4,1,117,560,2,10078,"N04",9,,2
4,1,117,560,2,10078,"N05",9,,2
4,1,117,560,2,10078,"N06",9,,2
4,1,117,560,2,10078,"N07",9,,2
4,1,117,560,2,10078,"N08",2,,1
4,1,117,560,2,10079,"N01",1,,2
4,1,117,560,2,10079,"N02",9,,1
4,1,117,560,2,10080,"N01",9,,1
4,1,110,76,2,10081,"N01",1,,1
4,1,110,76,2,10082,"N01",1,,1
4,1,110,76,2,10082,"N02",9,,2
4,1,110,76,2,10085,"N01",31,"SON",1
4,1,110,76,2,10086,"N01",1,,1
4,1,110,76,2,10086,"N02",9,,1
4,1,110,76,2,10087,"N01",2,,1
4,1,110,76,2,10089,"N01",1,,1
4,1,105,638,2,10091,"N01",1,,1
4,1,105,638,2,10091,"N02",2,,1
4,1,105,638,2,10091,"N03",2,,1
4,1,105,638,2,10092,"N01",1,,1
4,1,105,638,2,10092,"N02",1,,1
4,1,105,638,2,10092,"N03",12,,2
5,3,322,0,2,10093,"N01",3,,1
5,3,322,0,2,10093,"N02",2,,1
4,1,105,638,2,10094,"N01",3,,1
4,1,105,638,2,10096,"N01",1,,1
4,1,105,638,2,10097,"N01",9,,2
4,1,105,638,2,10099,"N01",1,,1
4,1,105,638,2,10100,"N01",31,"SONS",1
4,1,105,638,2,10100,"N02",9,,2
4,1,105,638,2,10100,"N03",9,,2
4,1,105,638,2,10100,"N04",9,,2
4,1,105,638,2,10100,"N05",31,"OWN FUND",1
4,1,108,904,2,10103,"N01",9,,2
4,1,108,904,2,10104,"N01",31,"SON",1
4,1,108,904,2,10104,"N02",2,,1
4,1,108,904,2,10104,"N03",9,,2
4,1,108,904,2,10105,"N01",2,,1
4,1,108,904,2,10105,"N02",9,,1
4,1,108,904,2,10107,"N01",31,"SONS",1
4,1,108,904,2,10107,"N02",9,,2
4,1,108,904,2,10107,"N03",1,,1
4,1,108,904,2,10107,"N04",1,,1
4,1,108,904,2,10108,"N01",31,"SON",1
2,2,209,1040,2,20001,"N01",2,,1
2,2,209,1040,2,20001,"N02",1,,1
2,2,209,1040,2,20002,"N01",1,,1
2,2,209,1040,2,20002,"N02",1,,1
2,2,209,1040,2,20002,"N03",10,,3
2,2,209,1040,2,20002,"N04",10,,3
2,34,3401,0,2,20003,"N01",1,,1
2,34,3401,0,2,20003,"N02",9,,1
2,2,209,0,2,20004,"N01",1,,1
2,2,209,1040,2,20005,"N01",1,,1
2,2,209,1040,2,20005,"N02",3,,2
2,2,209,1040,2,20005,"N03",2,,2
2,2,209,1040,2,20005,"N04",1,,1
2,2,209,1040,2,20005,"N05",2,,1
2,2,209,1040,2,20006,"N01",2,,1
2,2,209,1040,2,20006,"N02",2,,2
2,2,209,1040,2,20006,"N03",9,,2
2,2,209,1040,2,20006,"N04",8,,3
2,2,209,1040,2,20006,"N05",28,,5
2,2,209,1040,2,20006,"N06",13,,2
2,2,209,1040,2,20006,"N07",9,,1
2,2,209,1040,2,20007,"N01",2,,1
2,2,209,1040,2,20008,"N01",8,,2
2,2,209,1040,2,20009,"N01",8,,2
2,2,209,1040,2,20010,"N01",6,,1
2,2,209,1040,2,20010,"N02",2,,1
2,2,209,1040,2,20010,"N03",9,,1
2,2,209,1040,2,20010,"N04",9,,2
2,2,209,1040,2,20010,"N05",2,,1
2,2,209,1040,2,20010,"N06",10,,2
2,34,3416,0,2,20011,"N01",9,,2
2,2,221,18,2,20012,"N01",10,,2
2,2,221,18,2,20012,"N02",10,,2
2,2,221,18,2,20012,"N03",10,,2
2,2,221,18,2,20013,"N01",10,,2
2,2,221,18,2,20013,"N02",9,,2
2,2,221,18,2,20013,"N03",9,,4
2,2,221,18,2,20013,"N04",1,,1
2,2,221,18,2,20014,"N01",5,,5
2,2,221,18,2,20014,"N02",10,,1
2,2,221,18,2,20015,"N01",15,,1
2,2,221,18,2,20015,"N02",15,,2
2,2,221,18,2,20015,"N03",10,,1
2,2,221,18,2,20015,"N04",7,,1
2,2,221,18,2,20016,"N01",26,,4
2,2,221,18,2,20016,"N02",10,,2
2,2,221,18,2,20016,"N03",10,,2
2,2,221,18,2,20017,"N01",3,,2
2,2,221,18,2,20017,"N02",3,,1
2,2,221,18,2,20018,"N01",9,,2
2,2,221,18,2,20019,"N01",5,,5
2,2,221,18,2,20019,"N02",4,,2
2,2,221,18,2,20019,"N03",10,,2
2,2,221,18,2,20020,"N01",6,,2
2,2,221,18,2,20020,"N02",4,,2
2,2,221,18,2,20020,"N03",6,,2
2,2,221,18,2,20020,"N04",4,,1
2,2,221,18,2,20020,"N05",2,,1
2,2,221,18,2,20020,"N06",13,,5
2,2,221,18,2,20020,"N07",13,,5
2,2,221,18,2,20020,"N08",2,,1
2,2,221,18,2,20020,"N09",9,,2
2,2,221,18,2,20020,"N10",9,,2
2,2,201,60,2,20021,"N01",1,,1
2,2,201,60,2,20022,"N01",2,,1
2,2,201,60,2,20022,"N02",9,,2
2,2,201,60,2,20022,"N03",28,,1
2,2,201,60,2,20023,"N01",8,,4
2,2,201,60,2,20023,"N02",12,,4
2,2,201,60,2,20024,"N01",9,,3
2,2,201,60,2,20025,"N01",1,,1
2,2,201,60,2,20025,"N02",1,,1
2,2,201,60,2,20025,"N03",31,"PRIVATE CATTLE REARER",2
2,2,201,60,2,20026,"N01",9,,2
2,2,201,60,2,20026,"N02",7,,2
2,2,201,60,2,20026,"N03",8,,6
2,2,201,60,2,20026,"N04",15,,3
2,2,201,60,2,20027,"N01",4,,4
2,2,201,60,2,20027,"N02",9,,1
2,2,201,60,2,20028,"N01",28,,1
2,2,201,60,2,20028,"N02",9,,2
2,2,201,60,2,20028,"N03",9,,1
2,2,201,60,2,20028,"N04",1,,1
2,2,201,60,2,20029,"N01",9,,2
2,2,201,60,2,20030,"N01",9,,2
2,2,216,200,2,20031,"N01",9,,2
2,2,216,200,2,20032,"N01",1,,1
2,2,216,200,2,20032,"N02",9,,2
2,2,216,200,2,20033,"N01",13,,5
2,2,216,200,2,20034,"N01",9,,2
2,2,216,200,2,20034,"N02",28,,5
2,2,216,200,2,20035,"N01",1,,5
2,2,216,200,2,20035,"N02",2,,1
2,2,216,200,2,20036,"N01",9,,2
2,2,216,200,2,20037,"N01",9,,2
2,2,216,200,2,20038,"N01",1,,1
2,2,216,200,2,20040,"N01",13,,5
2,2,203,1224,2,20041,"N01",1,,1
2,2,203,1224,2,20041,"N02",8,,2
2,2,203,1224,2,20041,"N03",9,,3
2,2,203,1224,2,20042,"N01",9,,2
2,2,203,1224,2,20043,"N01",2,,2
2,2,203,1224,2,20044,"N01",8,,2
2,2,203,1224,2,20045,"N01",1,,2
2,2,203,1224,2,20045,"N02",9,,2
2,2,203,1224,2,20046,"N01",9,,2
2,2,203,1224,2,20047,"N01",1,,2
2,2,203,1224,2,20047,"N02",28,,6
2,2,203,1224,2,20048,"N01",8,,2
2,2,203,1224,2,20049,"N01",1,,1
2,2,203,1224,2,20049,"N02",9,,2
2,2,203,1224,2,20049,"N03",9,,2
2,2,203,1224,2,20050,"N01",1,,1
2,2,212,956,2,20051,"N01",9,,2
2,2,212,956,2,20052,"N01",10,,3
2,2,212,956,2,20052,"N02",9,,4
2,2,212,956,2,20052,"N03",2,,1
2,2,212,956,2,20053,"N01",12,,5
2,2,212,956,2,20053,"N02",13,,5
2,2,212,956,2,20053,"N03",13,,5
2,2,212,956,2,20053,"N04",10,,5
2,2,212,956,2,20053,"N05",1,,1
2,2,212,956,2,20054,"N01",9,,2
2,2,212,956,2,20054,"N02",9,,2
2,2,212,956,2,20054,"N03",4,,2
2,2,212,956,2,20055,"N01",12,,2
2,2,212,956,2,20055,"N02",9,,2
2,2,212,956,2,20055,"N03",9,,2
2,2,212,956,2,20056,"N01",9,,4
2,2,212,956,2,20056,"N02",28,,2
2,2,212,956,2,20056,"N03",1,,1
2,2,212,956,2,20056,"N04",9,,2
2,2,212,956,2,20057,"N01",1,,1
2,2,212,956,2,20057,"N02",13,,5
2,2,212,956,2,20058,"N01",9,,2
2,2,212,956,2,20059,"N01",7,,4
2,2,212,956,2,20059,"N02",3,,4
2,2,212,956,2,20059,"N03",4,,4
2,2,212,956,2,20060,"N01",1,,1
2,2,212,956,2,20060,"N02",9,,2
2,2,212,956,2,20060,"N03",9,,2
2,2,212,956,2,20060,"N04",1,,1
2,2,212,956,2,20060,"N05",9,,1
2,2,212,956,2,20060,"N06",9,,2
2,2,210,1300,2,20061,"N01",8,,2
2,2,210,1300,2,20062,"N01",2,,1
2,2,210,1300,2,20062,"N02",2,,1
2,2,210,1300,2,20063,"N01",15,,2
2,2,210,1300,2,20064,"N01",9,,1
2,2,210,1300,2,20064,"N02",9,,1
2,2,210,1300,2,20064,"N03",8,,2
2,2,210,1300,2,20065,"N01",9,,2
2,2,210,1300,2,20066,"N01",2,,1
2,2,210,1300,2,20066,"N02",2,,1
2,2,210,1300,2,20066,"N03",9,,1
2,2,210,1300,2,20066,"N04",9,,1
2,2,210,1300,2,20068,"N01",9,,2
2,2,210,1300,2,20068,"N02",9,,2
2,2,210,1300,2,20068,"N03",2,,1
2,2,210,1300,2,20069,"N01",8,,2
2,2,210,1300,2,20070,"N01",1,,1
2,2,214,898,2,20072,"N01",2,,4
2,2,214,898,2,20073,"N01",9,,2
2,2,214,898,2,20074,"N01",2,,6
2,2,214,898,2,20074,"N02",13,,3
2,2,214,898,2,20075,"N01",2,,2
2,2,214,898,2,20075,"N02",27,,2
2,2,214,898,2,20077,"N01",2,,4
2,2,214,898,2,20077,"N02",1,,3
2,2,215,8,1,20081,"N01",9,,2
2,2,215,8,1,20082,"N01",8,,3
2,2,215,8,1,20083,"N01",2,,4
2,2,215,8,1,20083,"N02",10,,3
2,2,215,8,1,20085,"N01",8,,3
2,2,215,8,1,20086,"N01",13,,3
2,2,215,8,1,20087,"N01",15,,3
2,2,215,8,1,20087,"N02",28,,3
2,2,215,8,1,20088,"N01",2,,1
2,2,215,8,1,20088,"N02",17,,6
2,2,215,8,1,20089,"N01",12,,3
2,2,215,8,1,20090,"N01",9,,2
2,2,207,1302,2,20091,"N01",2,,1
2,2,207,1302,2,20091,"N02",2,,2
2,2,207,1302,2,20091,"N03",3,,1
2,2,207,1302,2,20091,"N04",1,,1
2,2,207,1302,2,20092,"N01",1,,1
2,2,207,1302,2,20092,"N02",2,,1
2,2,207,1302,2,20093,"N01",1,,8
2,2,207,1302,2,20093,"N02",2,,1
2,2,207,1302,2,20093,"N03",13,,1
2,2,207,1302,2,20094,"N01",1,,1
2,2,207,1302,2,20094,"N02",1,,1
2,2,207,1302,2,20095,"N01",4,,1
2,2,207,1302,2,20096,"N01",2,,1
2,2,207,1302,2,20097,"N01",28,,5
2,2,207,1302,2,20098,"N01",9,,2
2,2,207,1302,2,20099,"N01",9,,2
2,2,207,1302,2,20100,"N01",9,,2
2,2,205,712,2,20101,"N01",1,,2
2,2,205,712,2,20102,"N01",2,,2
2,2,205,712,2,20102,"N02",28,,5
2,2,205,712,2,20103,"N01",2,,1
2,2,205,712,2,20103,"N02",9,,2
2,2,205,712,2,20104,"N01",9,,2
2,2,205,712,2,20105,"N01",1,,1
2,2,205,712,2,20106,"N01",8,,1
