"zone","state","lga","sector","ea","hhid","indiv","s3q1","s3q2","s3q3","s3q4","s3q4b","s3q5","s3q5b","s3q5c","s3q6","s3q6b","s3q6c","s3q7","s3q8","s3q9","s3q9b","s3q10","s3q11","s3q11b","s3q12b1","s3q13a","s3q13b","s3q14","s3q14b","s3q15","s3q15b","s3q15b1","s3q15c","s3q15d","s3q15e","s3q15f","s3q16","s3q17","s3q18","s3q21a","s3q21b","s3q22a","s3q22b","s3q23","s3q24a","s3q24b","s3q25","s3q26a","s3q26b","s3q27","s3q28","s3q28b","s3q28b1","s3q28c","s3q28d","s3q28e","s3q28f","s3q29","s3q30","s3q31","s3q34a","s3q34b","s3q35a","s3q35b","s3q36","s3q37a","s3q37b","s3q38","s3q38a","s3q39_new","s3q39a_new","s3q40_new"
4,1,115,1,670,10001,1,1,2,2,1,10,2,,,2,,,1,,,,,,,1,"CIVIL SERVANT",3442,13,,2,,2,4,2,2,2,11,48,42,67800,5,1,2,2,,,2,,,,,,,,,,,,,,,,,,,,,2,2,,2,
4,1,115,1,670,10001,2,1,1,,1,10,2,,,2,,,1,,,,,,,1,"CIVIL SERVANT",3443,13,,2,,2,4,2,2,2,11,48,42,42300,5,1,2,2,,,2,,,,,,,,,,,,,,,,,,,,,2,2,,2,
4,1,115,1,670,10001,3,1,2,2,2,,2,,,2,,,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,2,
4,1,115,1,670,10001,4,1,1,,1,15,2,,,2,,,1,,,,,,,1,"NANNY",5139,10,,5,,2,1,2,2,2,12,52,68,12000,5,4,,2,,,2,,,,,,,,,,,,,,,,,,,,,2,2,,2,
4,1,115,1,670,10001,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,115,1,670,10002,1,1,1,,1,12,2,,,2,,,1,,,,,,,1,"LEGALPRACTIONER",3432,3,,5,,2,1,2,2,2,11,51,42,150000,4,1,2,2,,,2,,,,,,,,,,,,,,,,,,,,,2,2,,2,
4,1,115,1,670,10002,2,1,1,,1,40,2,,,2,,,1,,,,,,,1,"ADMINISTRATION",3431,13,,3,,2,4,2,2,2,11,51,38,64200,5,2,1,2,,,2,,,,,,,,,,,,,,,,,,,,,2,2,,2,
4,1,115,1,670,10002,3,1,2,2,2,,2,,,2,,,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,2,
4,1,115,1,670,10002,4,1,2,2,2,,2,,,2,,,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,2,
4,1,115,1,670,10002,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
