"zone","state","lga","sector","ea","hhid","lid","s4cq2b","s4cq3a","s4cq3b","s4cq3c","s4cq4","s4cq4_os","s4cq5","s4cq6","s4cq7","s4cq8","s4cq8b","s4cq9","s4cq10","s4cq10b","s4cq11"
4,1,115,1,670,10005,1,4,1,,,9,,1,1000000,1,2,2015,2,3,2018,1280000
4,1,115,1,670,10005,2,6,1,,,7,,1,20000,1,9,2015,2,9,2015,20000
4,1,106,2,880,10021,1,5,1,2,,2,,1,20000,2,1,2015,2,12,2015,20000
4,1,106,2,880,10021,2,6,2,,,2,,1,5000,2,3,2015,2,12,2015,5000
4,1,106,2,880,10022,1,1,1,,,7,,1,50000,1,9,2014,2,9,2015,70000
4,1,106,2,880,10023,1,6,1,2,,2,,1,50000,2,3,2015,2,11,2015,50000
4,1,106,2,880,10025,1,6,1,,,1,,1,6000,1,4,2015,2,12,2015,6000
4,1,106,2,880,10029,1,6,1,,,11,"REPAIR OF MOTOR BIKE",1,3000,2,8,2015,2,10,2015,3000
4,1,111,1,1146,10031,1,9,2,,,4,,1,100000,1,3,2014,2,12,2015,120000
6,24,2418,1,0,10042,1,6,,,,4,,1,60000,2,7,2015,1,,,60000
4,1,102,1,1690,10054,1,6,2,,,7,,1,15000,1,5,2015,2,12,2015,15000
4,1,102,1,1690,10055,1,2,1,,,6,,1,150000,2,6,2014,2,12,2015,230000
4,1,102,1,1690,10060,1,6,1,,,4,,1,200000,1,3,2014,2,9,2015,240000
4,1,107,2,1044,10061,1,2,1,,,2,,1,50000,1,2,2015,2,12,2015,50000
4,1,107,2,1044,10062,1,2,1,,,2,,1,50000,1,2,2015,2,3,2016,50000
4,1,107,2,1044,10064,1,1,1,2,,2,,1,3000,1,9,2014,2,12,2015,30000
4,1,102,1,0,10065,1,9,2,,,11,"WHEN THE HUSBAND WAS SICK",1,250000,1,11,2014,2,12,2015,250000
4,1,107,2,1044,10068,1,9,1,,,1,,1,250000,1,4,2015,2,12,2015,250000
4,1,107,2,1044,10069,1,6,1,2,3,6,,1,50000,2,1,2015,1,,,50000
4,1,117,2,560,10073,1,6,1,,,10,,1,5000,2,12,2014,1,,,5000
4,1,117,2,560,10078,1,6,2,,,7,,1,20000,1,2,2015,2,11,2015,24000
4,1,110,2,76,10081,1,6,1,,,11,"ILL HEALTH",1,2000,1,2,2015,1,,,2000
4,1,105,2,638,10092,1,6,1,,,2,,1,2000,1,8,2015,2,9,2015,2000
4,1,105,2,638,10097,1,6,2,,,2,,1,4000,2,3,2015,2,10,2015,4500
2,2,201,2,60,20025,1,9,1,,,9,,2,,,,,,,,
2,2,201,2,60,20028,1,2,6,,,2,,1,4000,1,6,2015,1,,,4400
2,2,216,2,200,20037,1,5,2,,,2,,1,5000,2,6,2015,2,11,2015,7500
2,2,210,2,1300,20062,1,6,1,,,2,,1,3000,1,9,2015,2,10,2015,3000
2,2,214,2,898,20075,1,1,3,32,,9,,1,1600000,1,5,2015,2,5,2017,1800000
2,2,207,2,1302,20098,1,1,1,,,1,,1,500000,1,3,2014,1,,,550000
2,2,205,2,712,20102,1,9,1,,,9,,1,23000,1,7,2015,2,11,2015,25300
5,3,331,1,2322,30005,1,1,2,3,,4,,1,30000,2,11,2014,2,12,2015,36000
5,3,331,1,2322,30007,1,1,1,,,4,,1,80000,2,1,2015,2,12,2015,104000
5,3,331,1,516,30020,1,1,6,,,2,,1,10000,1,11,2014,2,7,2016,14000
5,3,316,2,874,30030,1,6,1,,,8,,1,100000,2,3,2015,2,4,2016,100000
5,3,321,2,364,30053,1,5,1,,,4,,1,10000,2,7,2015,2,10,2015,105000
5,3,321,2,364,30054,1,6,1,,,5,,1,50000,2,7,2015,2,11,2015,50000
5,3,318,2,1136,30086,1,4,1,,,1,,2,,,,,,,,
5,3,313,2,0,30095,1,3,1,,,4,,1,50000,2,6,2015,2,1,2016,75000
5,3,313,2,70,30097,1,3,4,,,5,,1,40000,2,7,2015,2,8,2015,67600
5,3,301,1,1198,30103,1,5,,,,5,,1,100000,2,1,2015,1,,,135000
5,3,301,1,1198,30103,2,5,,,,5,,1,50000,2,1,2015,2,12,2015,124000
5,3,301,1,1198,30104,1,3,2,,,5,,1,50000,2,10,2014,1,,,75000
5,3,301,1,1198,30107,1,7,2,,,5,,1,50000,2,2,2015,1,,,75000
5,3,326,2,74,30111,1,4,2,,,9,,1,500000,1,10,2014,2,10,2017,750000
5,3,326,2,74,30118,1,7,1,,,7,,1,20000,2,8,2015,2,9,2015,20000
5,3,305,2,1542,30123,1,3,1,,,2,,2,,,,,,,,
5,3,305,2,1542,30128,1,2,1,,,11,"VILLAGE PROBLEM",1,45000,1,7,2015,2,12,2015,67500
5,3,312,2,20,30134,1,5,2,,,6,,1,10000,2,12,2014,1,,,10000
5,3,305,2,4,30141,1,7,2,,,7,,1,10000,1,7,2015,2,12,2015,10000
4,4,418,1,44,40001,1,9,1,,,10,,1,30000,1,2,2014,2,10,2015,30200
4,4,418,1,44,40010,1,6,1,,,7,,1,20000,2,7,2015,2,9,2015,25000
4,4,417,1,678,40011,1,6,2,,,5,,1,10000,2,1,2015,2,11,2015,10000
4,4,416,1,616,40022,1,2,1,,,9,,1,50000,1,8,2015,2,12,2015,55000
4,4,416,1,616,40026,1,2,2,,,5,,1,200000,1,2,2015,2,1,2016,205000
4,4,414,1,2176,40032,1,3,1,,,5,,1,200000,1,11,2014,2,11,2015,230000
4,4,413,2,1540,40058,1,5,2,,,11,"SICKNESS",1,60000,1,10,2014,1,,,63000
4,4,405,2,722,40063,1,5,1,,,7,,1,20000,2,3,2015,2,11,2015,23000
4,4,405,2,722,40064,1,1,2,,,2,,2,,,,,,,,
4,4,405,2,722,40067,1,9,1,,,7,,1,20000,2,9,2014,2,9,2015,30000
4,4,405,2,722,40068,1,6,2,,,4,,1,3500,2,3,2015,2,9,2015,4500
4,4,419,2,296,40085,1,3,1,,,2,,1,100000,1,3,2015,2,2,2016,120000
4,4,419,2,296,40086,1,6,1,,,7,,1,40000,1,1,2015,2,10,2015,40000
4,4,401,1,1460,40093,1,5,3,,,2,,1,45000,1,8,2015,2,8,2016,51000
4,4,401,1,1460,40095,1,5,1,,,2,,1,20000,2,8,2014,1,,,21000
4,4,412,2,2592,40103,1,2,1,,,2,,1,50000,2,1,2015,2,12,2015,75000
4,4,412,2,2592,40104,1,5,1,,,2,,1,100000,2,2,2015,2,12,2015,128000
4,4,412,2,2592,40106,1,5,1,,,9,,1,100000,2,10,2014,1,,,128000
4,4,412,2,2592,40110,1,2,1,,,11,"HOSPITAL BILL",1,70000,1,6,2015,2,12,2015,73500
4,4,412,2,1606,40113,1,5,1,,,2,,1,20000,2,6,2015,1,,,24000
4,4,412,2,1606,40114,1,5,1,2,,2,,1,15000,2,2,2015,1,,,19000
4,4,412,2,1606,40119,1,2,1,,,5,,1,30000,1,2,2015,2,9,2015,31500
4,4,412,2,1606,40119,2,2,2,,,5,,1,50000,1,2,2015,2,9,2015,52500
4,4,412,2,1606,40120,1,2,1,,,5,,1,20000,1,5,2015,1,,,25000
4,4,410,2,4036,40122,1,2,1,,,7,,1,20000,1,2,2015,1,,,30000
4,4,407,2,796,40136,1,6,1,,,11,"FOR PAYMENT OF FARM LABOURERS",1,60000,1,3,2015,2,12,2015,60000
4,4,407,2,796,40138,1,9,1,,,2,,1,50000,2,1,2015,2,12,2015,100000
4,4,410,1,0,40145,1,6,2,,,10,,1,15000,2,9,2015,2,11,2015,16500
4,4,410,1,3192,40148,1,6,1,,,2,,1,5000,1,3,2015,2,9,2015,5500
4,4,410,1,0,40155,1,6,1,,,10,,1,5000,2,7,2015,2,10,2015,5000
4,4,421,1,800,40171,1,1,2,,,5,,1,50000,2,8,2014,1,,,75000
4,4,421,1,800,40176,1,9,1,,,9,,1,1000000,2,2,2014,2,11,2015,1000000
4,4,411,1,1486,40189,1,3,1,,,2,,2,,,,,,,,
4,4,401,2,2106,40198,1,5,1,,,4,,1,100000,1,1,2015,2,12,2015,110000
4,4,402,2,1080,40202,1,5,1,,,2,,2,,,,,,,,
4,4,402,2,1080,40207,1,9,1,,,5,,1,10000,1,5,2015,1,,,12500
4,4,403,2,836,40212,1,9,1,,,2,,1,50000,1,1,2015,2,12,2015,60000
4,4,403,2,836,40214,1,9,1,,,2,,1,10000,1,2,2015,2,9,2015,15000
4,4,403,2,836,40215,1,7,1,,,2,,1,20000,1,2,2015,2,9,2015,30000
4,4,403,2,836,40216,1,7,1,,,6,,1,100000,1,9,2014,1,,,150000
2,5,506,2,830,50004,1,6,1,,,7,,1,5000,2,6,2015,2,11,2015,5000
2,5,502,1,2194,50011,1,6,1,,,10,,1,30000,1,5,2015,1,,,30000
2,5,502,1,2194,50011,2,5,2,,,6,,1,10000,1,3,2015,1,,,10000
2,5,502,1,2194,50011,3,5,5,,,6,,1,15000,1,3,2015,1,,,15000
2,5,502,1,2194,50013,1,6,1,,,10,,1,50000,1,3,2015,1,,,50000
2,5,502,1,2194,50016,1,5,1,,,2,,1,25000,1,2,2015,1,,,25000
2,5,502,1,2194,50016,2,5,3,8,9,4,,1,140000,2,11,2014,1,,,140000
2,5,502,1,2194,50016,3,5,2,6,,10,,1,20000,1,5,2015,1,,,20000
2,5,502,1,2194,50017,1,1,1,,,10,,1,60000,1,4,2014,1,,,65000
2,5,502,1,2194,50018,1,6,2,,,9,,1,50000,2,5,2015,1,,,50000
