"zone","state","lga","sector","ea","hhid","s6aq01","s6aq02","s6aq03","s6aq04","s6aq05","s6aq06","s6aq07","s6aq08","s6aq09","s6aq10","s6aq11","s6aq12","s6aq13","s6aq14","s6aq15","version"
4,1,115,1,670,10001,2,2,,2,2,,2,1,1,,2,1,1,3,2,2
4,1,115,1,670,10002,2,2,,2,2,,2,1,1,,2,1,1,3,3,1
4,1,115,1,670,10003,1,2,,2,2,,2,2,,2,2,1,2,2,1,2
4,1,115,1,670,10004,2,1,1,,1,2,,2,,2,2,2,2,2,1,2
4,1,115,1,670,10005,1,1,1,,1,1,,2,,2,2,1,2,2,1,1
4,1,115,1,670,10008,2,2,,1,2,,1,1,1,,1,2,2,2,2,2
4,1,105,2,0,10009,1,1,2,,1,1,,1,1,,1,2,1,2,1,1
4,1,115,1,670,10010,2,2,,2,2,,2,1,1,,1,1,2,2,1,1
4,1,104,2,1364,10011,1,2,,2,2,,2,1,1,,2,2,2,2,3,2
4,1,104,2,1364,10012,5,1,1,,1,2,,1,1,,2,2,1,2,1,1
4,1,104,2,1364,10013,1,1,1,,1,1,,2,,2,2,1,2,4,1,2
4,1,104,2,1364,10014,1,1,1,,2,,2,2,,2,2,1,2,2,1,2
4,1,104,2,0,10015,2,2,,2,2,,2,1,1,,1,2,2,2,1,1
4,1,104,2,1364,10016,2,2,,2,2,,2,1,1,,1,2,1,2,1,1
4,1,104,2,1364,10017,2,1,1,,2,,2,1,1,,1,2,2,2,2,1
4,1,104,2,1364,10018,1,2,,1,2,,2,1,1,,2,2,1,2,1,1
4,1,104,2,1364,10019,1,1,1,,2,,2,1,1,,1,2,2,3,3,2
4,1,106,2,880,10021,1,1,1,,2,,2,2,,1,1,2,2,3,3,2
4,1,106,2,880,10022,1,2,,2,2,,2,2,,1,2,1,1,1,2,2
4,1,106,2,880,10023,1,1,1,,1,1,,1,1,,2,2,2,2,1,2
4,1,106,2,880,10024,2,1,2,,2,,2,2,,2,2,1,1,3,1,1
4,1,106,2,880,10025,2,1,1,,2,,2,2,,2,2,2,2,3,1,1
4,1,106,2,880,10027,2,1,1,,1,2,,1,1,,2,2,2,3,1,1
4,1,106,2,880,10028,1,1,1,,1,1,,1,1,,1,2,3,2,1,2
4,1,106,2,880,10029,2,2,,2,2,,2,1,1,,1,2,2,2,2,1
4,1,106,2,880,10030,2,1,1,,2,,1,1,1,,1,2,2,2,2,2
4,1,111,1,1146,10031,2,1,1,,1,1,,1,2,,2,1,2,2,1,1
4,1,111,1,1146,10032,1,2,,2,2,,2,1,1,,1,1,2,2,1,1
4,1,111,1,1146,10033,1,1,1,,2,,2,1,1,,2,1,1,2,3,1
4,1,111,1,1146,10034,2,1,1,,2,,2,1,1,,2,2,2,3,3,2
4,1,111,1,1146,10035,3,1,1,,2,,1,2,,2,2,2,2,2,1,1
4,1,111,1,1146,10036,3,1,1,,1,1,,2,,2,1,2,1,2,1,1
4,1,111,1,1146,10037,1,1,1,,1,1,,2,,2,2,1,2,2,1,2
4,1,111,1,1146,10038,1,1,1,,1,1,,1,1,,1,2,2,1,1,2
4,4,410,2,0,10039,2,2,,2,2,,2,2,,2,2,2,3,1,1,1
4,1,111,1,1146,10040,1,2,,2,2,,2,1,1,,1,2,2,2,2,2
4,1,102,1,536,10041,2,2,,2,2,,2,1,1,,1,2,2,2,1,1
6,24,2418,1,0,10042,1,1,1,,2,,2,1,1,,1,1,2,1,1,1
4,1,102,1,536,10043,3,1,2,,1,2,,1,2,,1,2,2,2,1,2
4,1,102,1,536,10044,2,1,1,,1,1,,1,1,,1,2,1,2,2,2
4,1,102,1,536,10045,2,2,,2,2,,2,1,1,,2,1,2,3,3,2
4,1,102,1,536,10046,1,1,2,,2,,1,1,1,,2,2,2,3,2,1
4,1,102,1,536,10047,2,1,1,,2,,2,1,1,,2,1,1,2,4,2
4,1,102,1,536,10048,1,1,2,,2,,2,1,1,,2,2,2,2,4,2
4,1,102,1,536,10049,1,1,1,,1,1,,2,,2,2,1,2,2,1,1
4,1,102,1,536,10050,1,1,1,,1,1,,2,,2,2,1,2,2,1,1
4,1,102,1,1690,10051,3,1,2,,2,,1,2,,2,1,2,1,2,1,1
