"zone","state","lga","sector","ea","hhid","s9q1a","s9q1b","s9q1c","s9q1d","s9q1e","s9q1f","s9q1g","s9q1h","s9q1i","s9q2a","s9q2b","s9q3","s9q4a","s9q4b","s9q4c","s9q5","s9q6a","s9q6b","s9q6c","s9q6d","s9q6e","s9q6f","s9q7a","s9q7a_os","s9q7b","s9q7b_os","s9q7c","s9q7c_os"
4,1,115,1,670,10001,2,3,2,0,2,0,2,0,0,3,4,1,,,,2,,,,,,,,,,,,
4,1,115,1,670,10002,1,1,2,1,0,0,0,0,0,3,4,1,,,,2,,,,,,,,,,,,
4,1,115,1,670,10003,1,1,2,0,0,0,0,0,0,3,0,1,,,,2,,,,,,,,,,,,
4,1,115,1,670,10004,2,2,2,2,0,0,0,0,0,3,0,1,,,,2,,,,,,,,,,,,
4,1,115,1,670,10005,2,2,2,2,2,0,1,0,0,3,3,1,,,,2,,,,,,,,,,,,
4,1,115,1,0,10006,2,2,1,0,0,0,0,0,0,3,3,1,,,,1,,,,5,,,10,"PROJECT IN VILLAGE",,,,
4,1,115,1,670,10008,2,3,2,1,0,0,0,0,0,3,4,2,3,2,1,2,,,,,,,,,,,,
4,1,105,2,0,10009,3,3,2,0,0,0,0,0,0,3,3,1,,,,1,12,,,1,,,10,"salary delayed",,,,
4,1,115,1,670,10010,2,2,0,0,0,0,0,0,0,3,0,1,,,,2,,,,,,,,,,,,
4,1,104,2,1364,10011,2,2,0,0,0,0,0,0,0,2,0,1,,,,1,3,,,1,,,4,,5,,,
4,1,104,2,1364,10012,0,0,0,0,2,0,0,0,0,3,4,1,,,,2,,,,,,,,,,,,
4,1,104,2,1364,10013,2,2,2,1,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,,,,
4,1,104,2,1364,10014,2,2,2,1,0,0,0,0,0,3,0,1,,,,2,,,,,,,,,,,,
4,1,104,2,0,10015,4,3,4,4,0,0,3,0,0,2,,1,,,,1,5,6,7,9,,,10,"SICKNESS",,,,
4,1,104,2,1364,10016,1,3,1,0,0,0,0,0,0,3,0,1,,,,1,6,,,4,,,10,"LACK OF MONEY",,,,
4,1,104,2,1364,10017,0,2,0,0,0,0,0,0,0,3,0,1,,,,2,,,,,,,,,,,,
4,1,104,2,1364,10018,2,2,0,0,0,0,0,0,0,3,0,1,,,,2,,,,,,,,,,,,
4,1,104,2,1364,10019,1,2,0,0,2,0,0,0,0,2,3,1,,,,1,10,,,2,,,5,,3,,,
4,1,106,2,880,10021,3,2,2,1,1,0,0,0,0,3,3,1,,,,1,8,,,3,,,4,,5,,6,
4,1,106,2,880,10022,2,3,3,4,2,0,0,0,0,3,3,1,,,,2,,,,,,,,,,,,
4,1,106,2,880,10023,2,1,2,3,0,0,0,0,0,3,5,1,,,,2,,,,,,,,,,,,
4,1,106,2,880,10024,2,2,0,2,0,0,0,0,0,2,0,1,,,,1,7,,,,,,5,,,,,
4,1,106,2,880,10025,2,2,0,0,2,0,0,0,0,2,3,1,,,,2,,,,,,,,,,,,
4,1,106,2,880,10027,3,0,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,,,,
4,1,106,2,880,10028,7,7,7,4,0,0,0,0,0,1,,1,,,,1,7,,,3,,,10,"SICK",10,"SICK",,
4,1,106,2,880,10029,4,3,3,4,4,0,0,2,0,3,3,2,1,2,3,1,5,6,,5,6,,5,,2,,,
4,1,106,2,880,10030,4,3,3,1,1,0,2,1,1,2,3,1,,,,1,12,,,4,,,5,,4,,,
4,1,111,1,1146,10031,2,2,2,2,1,0,0,0,0,2,0,1,,,,2,,,,,,,,,,,,
4,1,111,1,1146,10032,2,2,1,2,0,0,0,0,0,3,0,1,,,,2,,,,,,,,,,,,
4,1,111,1,1146,10033,0,0,0,1,0,0,0,0,0,3,0,1,,,,2,,,,,,,,,,,,
4,1,111,1,1146,10034,2,1,2,3,0,0,0,0,0,3,0,1,,,,1,4,,,5,,,4,,6,,,
4,1,111,1,1146,10035,0,0,0,2,2,0,0,0,0,3,0,1,,,,2,,,,,,,,,,,,
4,1,111,1,1146,10036,0,1,2,0,0,0,0,0,0,3,,1,,,,2,,,,,,,,,,,,
4,1,111,1,1146,10037,2,2,2,1,0,0,1,0,0,2,,1,,,,2,,,,,,,,,,,,
4,1,111,1,1146,10038,2,3,0,0,0,0,0,0,0,3,4,1,,,,1,10,,,,,,10,"LACK OF MONEY",,,,
4,4,410,2,0,10039,2,2,2,2,0,1,1,0,0,3,0,1,,,,1,4,5,6,4,5,7,10,"LOW INCOME",10,"HEAD OF HOUSEHOLD SICK",,
4,1,111,1,1146,10040,2,1,0,0,0,0,0,0,0,3,0,1,,,,2,,,,,,,,,,,,
4,1,102,1,536,10041,4,2,2,2,0,0,0,1,0,3,0,2,2,1,,1,10,11,,6,,,6,,5,,10,"BAD WEATHER"
6,24,2418,1,0,10042,0,0,0,0,0,0,0,0,0,3,,1,,,,2,,,,,,,,,,,,
4,1,102,1,536,10043,3,2,4,3,0,0,0,0,0,3,0,2,1,2,,2,,,,,,,,,,,,
4,1,102,1,536,10044,1,3,2,0,0,0,0,0,0,3,,1,,,,1,7,,,5,,,10,"LACK OF MONEY",,,,
4,1,102,1,536,10045,2,2,1,2,0,0,2,0,0,3,0,1,,,,2,,,,,,,,,,,,
4,1,102,1,536,10046,1,1,0,0,0,0,0,0,0,3,0,1,,,,2,,,,,,,,,,,,
4,1,102,1,536,10047,2,1,1,2,0,0,0,0,0,3,0,1,,,,2,,,,,,,,,,,,
4,1,102,1,536,10048,0,0,1,1,0,0,0,0,0,3,0,1,,,,2,,,,,,,,,,,,
4,1,102,1,536,10049,2,2,2,2,0,0,2,0,0,3,0,1,,,,2,,,,,,,,,,,,
4,1,102,1,536,10050,2,1,1,3,0,0,2,0,0,3,0,1,,,,2,,,,,,,,,,,,
4,1,102,1,1690,10051,2,3,2,4,3,0,0,2,0,3,4,2,3,3,1,2,,,,,,,,,,,,
4,1,102,1,1690,10052,0,0,0,0,0,0,0,0,0,3,4,1,,,,2,,,,,,,,,,,,
4,1,102,1,1690,10053,2,2,2,2,0,0,1,0,0,2,,1,,,,2,,,,,,,,,,,,
4,1,102,1,1690,10054,2,2,2,2,1,0,0,0,0,3,,1,,,,2,,,,,,,,,,,,
4,1,102,1,1690,10055,3,2,3,1,1,0,0,1,0,2,0,1,,,,1,5,,,9,,,10,"HOSPITAL BILLS",10,"SCHOOL FEES",,
4,1,102,1,1690,10056,2,1,1,0,0,0,0,0,0,3,0,1,,,,1,6,,,7,,,10,"LOW TURN OVER DUE TO HEAVY RAIN",10,"BAD ROAD",,
4,1,102,1,1690,10057,2,2,3,2,0,0,0,0,0,3,0,1,,,,1,4,,,7,,,10,"NO JOB",,,,
4,1,102,1,1690,10058,1,2,2,2,0,0,0,0,0,3,,2,1,2,,2,,,,,,,,,,,,
4,1,102,1,1690,10059,3,2,2,3,0,0,0,0,0,3,,1,,,,2,,,,,,,,,,,,
4,1,102,1,1690,10060,2,2,2,2,3,0,0,0,0,2,3,1,,,,2,,,,,,,,,,,,
4,1,107,2,1044,10061,3,2,2,1,1,0,0,0,0,2,,1,,,,2,,,,,,,,,,,,
4,1,107,2,1044,10062,2,2,3,3,0,0,0,0,0,3,0,1,,,,1,,,,5,,,10,"LACK OF MONEY",,,,
4,1,107,2,1044,10063,3,4,3,2,0,0,0,0,0,2,0,1,,,,1,3,,,11,,,5,,6,,,
4,1,107,2,1044,10064,2,2,2,3,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,,,,
4,1,102,1,0,10065,5,3,3,2,2,0,0,0,0,3,,1,,,,2,,,,,,,,,,,,
4,1,107,2,1044,10066,2,2,1,1,0,0,0,0,0,3,0,1,,,,2,,,,,,,,,,,,
4,1,107,2,1044,10067,2,2,1,2,0,0,0,0,0,2,0,1,,,,1,8,,,,,,5,,,,,
4,1,107,2,1044,10068,2,2,1,2,0,0,0,0,0,3,0,1,,,,2,,,,,,,,,,,,
4,1,107,2,1044,10069,3,2,3,2,0,0,0,2,0,3,4,1,,,,1,4,,,2,,,2,,5,,1,
4,1,107,2,0,10070,2,1,1,3,0,0,0,0,0,3,,1,,,,1,,,,1,2,,10,"DEATH OF THE HUSBAND",,,,
4,1,117,2,560,10071,1,1,2,2,1,0,0,0,0,3,,1,,,,2,,,,,,,,,,,,
4,1,117,2,560,10072,2,3,2,2,2,0,1,0,0,2,3,2,2,2,1,2,,,,,,,,,,,,
4,1,117,2,560,10073,0,1,2,2,0,0,0,1,0,3,,1,,,,1,8,,,6,,,1,,4,,6,
4,1,117,2,560,10074,2,2,2,0,2,0,0,0,0,3,4,2,3,2,1,2,,,,,,,,,,,,
4,1,117,2,560,10075,2,2,1,1,0,0,0,0,0,3,4,1,,,,2,,,,,,,,,,,,
4,1,117,2,560,10076,3,3,2,0,0,0,0,0,0,3,0,1,,,,1,6,,,9,,,10,"ILL HEALTH",5,,,
4,1,117,2,560,10077,2,2,3,2,0,0,0,0,0,3,0,1,,,,1,2,,,7,,,10,"LACK OF MONEY, NO SALARY",10,"LACK OF MONEY, NO SALARY",10,"LACK OF MONEY,NO SALARY"
4,1,117,2,560,10078,1,4,0,2,0,0,0,1,0,3,0,1,,,,1,5,,,1,,,4,,5,,7,
4,1,117,2,560,10079,2,2,1,2,0,0,0,0,0,2,,1,,,,2,,,,,,,,,,,,
4,1,117,2,560,10080,2,2,1,2,0,1,0,0,0,3,0,1,,,,2,,,,,,,,,,,,
4,1,110,2,76,10081,3,4,2,0,0,0,0,0,0,2,0,1,,,,1,2,,,6,,,10,"LACK OF MONEY",,,,
4,1,110,2,76,10082,4,3,0,0,0,0,0,0,0,2,0,1,,,,1,9,,,7,,,10,"LACK OF MONEY",10,"ILL HEALTH",,
4,1,110,1,0,10083,2,2,2,2,2,0,1,0,0,2,3,1,,,,2,,,,,,,,,,,,
4,1,110,2,76,10084,2,2,3,0,0,0,0,1,0,3,,1,,,,1,3,4,,3,6,,1,,5,,4,
4,1,110,2,76,10085,0,1,2,0,0,0,0,0,0,3,,1,,,,1,8,,,3,,,2,,3,,5,
4,1,110,2,76,10086,3,3,2,2,2,1,2,0,0,2,,1,,,,2,,,,,,,,,,,,
4,1,110,2,76,10087,3,3,2,2,0,1,1,1,0,2,,1,,,,1,7,,,,,,3,,,,,
4,1,110,2,76,10088,0,0,0,0,0,0,0,0,0,3,0,1,,,,2,,,,,,,,,,,,
4,1,110,2,76,10089,2,1,0,0,0,0,0,0,0,3,,1,,,,2,,,,,,,,,,,,
4,1,105,2,638,10091,2,1,3,2,0,0,0,0,0,3,0,1,,,,2,,,,,,,,,,,,
4,1,105,2,638,10092,2,2,2,1,1,0,0,0,0,3,3,1,,,,1,7,,,6,,,5,,,,,
5,3,322,2,0,10093,0,0,0,0,2,0,0,0,0,3,0,1,,,,1,7,,,6,,,4,,5,,,
4,1,105,2,638,10094,2,2,2,2,2,0,0,0,0,2,3,1,,,,2,,,,,,,,,,,,
4,1,105,2,638,10096,2,2,3,2,4,2,0,0,0,3,3,1,,,,1,10,,,1,,,4,,5,,6,
