"zone","state","lga","sector","ea","hhid","network_cd","sa10q2","sa10q2b","sa10q3"
4,1,105,2,0,10009,"N01",24,,3
4,1,105,2,0,10009,"N02",9,,1
4,1,104,2,1364,10011,"N01",9,,2
4,1,104,2,1364,10012,"N01",9,,1
4,1,104,2,1364,10013,"N01",9,,1
4,1,104,2,0,10015,"N01",10,,1
4,1,104,2,1364,10017,"N01",9,,1
4,1,104,2,1364,10018,"N01",9,,1
4,1,106,2,880,10021,"N01",1,,2
4,1,106,2,880,10022,"N01",13,,5
4,1,106,2,880,10022,"N02",9,,2
4,1,106,2,880,10022,"N03",6,,5
4,1,106,2,880,10022,"N04",9,,2
4,1,106,2,880,10023,"N01",9,,2
4,1,106,2,880,10023,"N02",2,,1
4,1,106,2,880,10023,"N03",13,,2
4,1,106,2,880,10023,"N04",2,,1
4,1,106,2,880,10023,"N05",10,,2
4,1,106,2,880,10024,"N01",9,,2
4,1,106,2,880,10024,"N02",9,,2
4,1,106,2,880,10025,"N01",9,,2
4,1,106,2,880,10027,"N01",13,,5
4,1,106,2,880,10027,"N02",9,,2
4,1,106,2,880,10027,"N03",7,,2
4,1,106,2,880,10027,"N04",9,,2
4,1,106,2,880,10029,"N01",2,,1
4,1,106,2,880,10029,"N02",13,,2
4,1,106,2,880,10029,"N03",9,,2
4,1,106,2,880,10029,"N04",2,,1
4,1,106,2,880,10030,"N01",9,,2
4,1,106,2,880,10030,"N02",10,,1
4,1,102,1,1690,10057,"N01",12,,3
4,1,107,2,1044,10061,"N01",13,,4
4,1,107,2,1044,10061,"N02",10,,4
4,1,107,2,1044,10061,"N03",31,"PRIVATE FARM",2
4,1,107,2,1044,10061,"N04",9,,2
4,1,107,2,1044,10062,"N01",10,,4
4,1,107,2,1044,10062,"N02",11,,4
4,1,107,2,1044,10062,"N03",6,,3
4,1,107,2,1044,10062,"N04",9,,2
4,1,107,2,1044,10062,"N05",12,,8
4,1,107,2,1044,10063,"N01",2,,1
4,1,107,2,1044,10063,"N02",9,,2
4,1,107,2,1044,10063,"N03",10,,1
4,1,107,2,1044,10064,"N01",7,,1
4,1,107,2,1044,10064,"N02",10,,2
4,1,107,2,1044,10064,"N03",2,,1
4,1,107,2,1044,10064,"N04",9,,2
4,1,102,1,0,10065,"N01",9,,3
4,1,107,2,1044,10066,"N01",9,,2
4,1,107,2,1044,10067,"N01",9,,2
4,1,107,2,1044,10067,"N02",9,,2
4,1,107,2,1044,10068,"N01",9,,2
4,1,107,2,1044,10068,"N02",9,,2
4,1,107,2,1044,10069,"N01",11,,1
4,1,107,2,1044,10069,"N02",10,,2
4,1,107,2,1044,10069,"N03",2,,1
4,1,107,2,1044,10069,"N04",2,,1
4,1,107,2,0,10070,"N01",13,,4
4,1,107,2,0,10070,"N02",10,,4
4,1,107,2,0,10070,"N03",31,"PRIVATE  FARM",2
4,1,107,2,0,10070,"N04",9,,2
4,1,117,2,560,10071,"N01",9,,1
4,1,117,2,560,10071,"N02",9,,1
