"zone","state","lga","sector","ea","hhid","plotid","sa1q1a","sa1q2","sa1q3","sa1q4","sa1q4b","sa1q5","sa1q5b","sa1q6","sa1q7","sa1q7b","sa1q8","sa1q9a","sa1q9b","sa1q9c","sa1q10a","sa1q10b","sa1q10bb","sa1q10c","sa1q11","sa1q11b","sa1q12","sa1q13","sa1q14","sa1q14b","sa1q15","sa1q16","sa1q17","sa1q18a","sa1q18b","sa1q18c","sa1q19","sa1q20","sa1q21","sa1q22a","sa1q22b","sa1q22c","sa1q22d","sa1q23","sa1q24a","sa1q24b","sa1q24c","sa1q25","sa1q25b"
4,1,105,2,0,10009,1,1,2,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
4,1,105,2,0,10009,2,1,2,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
4,1,105,2,0,10009,3,1,2,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
4,1,104,2,1364,10011,1,1,1,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
4,1,104,2,1364,10012,1,1,2,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
4,1,104,2,1364,10012,2,1,2,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
4,1,104,2,1364,10013,1,1,1,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
4,1,104,2,1364,10013,2,1,1,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
4,1,104,2,0,10015,1,1,2,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
4,1,104,2,0,10015,2,1,2,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
4,1,104,2,1364,10016,1,1,2,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
4,1,104,2,1364,10017,1,1,2,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
4,1,104,2,1364,10018,1,1,2,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
4,1,104,2,1364,10019,1,1,1,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
4,1,104,2,1364,10019,2,1,1,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
4,1,106,2,880,10021,1,1,1,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
4,1,106,2,880,10021,2,1,1,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
4,1,106,2,880,10021,3,1,1,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
4,1,106,2,880,10021,4,1,1,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
4,1,106,2,880,10022,1,1,2,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
4,1,106,2,880,10022,2,1,2,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
4,1,106,2,880,10023,1,1,1,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
4,1,106,2,880,10023,2,1,1,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
4,1,106,2,880,10023,3,1,1,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
4,1,106,2,880,10024,1,1,2,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
4,1,106,2,880,10024,2,1,2,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
4,1,106,2,880,10025,1,1,1,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
4,1,106,2,880,10025,2,1,1,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
4,1,106,2,880,10025,3,1,1,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
