"zone","state","lga","sector","ea","hhid","plotid","cropid","cropname","cropcode","sa3iq3","sa3iq4","sa3iq4a1","sa3iq4a2","sa3iq5a","sa3iq5b","sa3iq5c","sa3iq6i","sa3iq6ii","sa3iq6ii_os","sa3iq6a","sa3iq6b","sa3iq6c1","sa3iq6c2","sa3iq6d1","sa3iq6d2","sa3iq6d2_os","sa3iq6e1","sa3iq6e2"
4,1,105,2,0,10009,1,1,"CASSAVA",1020,2,10,,,,,,,,,,,,,,,,,
4,1,105,2,0,10009,1,2,"MAIZE",1080,1,,9,2015,120,3,40,2,131,,2000,1,10,2015,,,,2,
4,1,105,2,0,10009,2,1,"CASSAVA",1020,2,10,,,,,,,,,,,,,,,,,
4,1,105,2,0,10009,2,2,"MAIZE",1080,1,,9,2015,70,3,30,1,131,,1000,1,10,2015,,,,2,
4,1,105,2,0,10009,2,3,"POTATO",2180,1,,12,2015,10,1,20,1,140,,800,1,12,2015,,,,2,
4,1,105,2,0,10009,3,1,"CASSAVA",1020,2,10,,,,,,,,,,,,,,,,,
4,1,105,2,0,10009,3,2,"MAIZE",1080,1,,10,2015,55,3,20,1,131,,1000,1,10,2015,,,,2,
4,1,105,2,0,10009,3,3,"PLANTAIN",2170,1,,1,2016,6,3,15,2,101,,2000,1,1,2016,,,,2,
4,1,105,2,0,10009,3,4,"BANANA",2030,2,9,,,,,,,,,,,,,,,,,
4,1,104,2,1364,10011,1,1,"CASSAVA",1020,1,,10,2015,1,4,20,5,131,,6000,2,,,20,131,,1,
4,1,104,2,1364,10011,1,2,"MAIZE",1080,1,,6,2015,1,4,100,4,130,,4000,1,9,2015,,,,1,
4,1,104,2,1364,10011,1,3,"PALM TREE",3180,1,,9,2015,1,4,20,5,191,,21000,2,,,13,191,,1,
4,1,104,2,1364,10011,1,4,"PLANTAIN",2170,1,,4,2015,1,4,20,5,111,,5000,2,,,16,111,,1,
4,1,104,2,1364,10012,1,1,"CASSAVA",1020,1,,10,2015,0.3,4,30,6,131,,6000,2,,,21,131,,2,4
4,1,104,2,1364,10012,1,2,"MAIZE",1080,1,,7,2015,1,4,100,2,151,,3000,1,8,2015,,,,2,4
4,1,104,2,1364,10012,1,3,"YAM",1120,1,,12,2015,0.5,4,50,12,81,,1200,2,,,12,81,,2,4
4,1,104,2,1364,10012,1,4,"COCOYAM",1040,1,,10,2015,1,4,100,4,150,,2000,1,1,2016,,,,2,4
4,1,104,2,1364,10012,1,5,"PALM TREE",3180,1,,5,2015,0.6,4,60,20,101,,2000,2,,,15,101,,2,4
4,1,104,2,1364,10012,2,1,"CASSAVA",1020,1,,1,2016,0.2,4,20,4,131,,4000,2,,,16,131,,2,4
4,1,104,2,1364,10012,2,2,"MAIZE",1080,1,,8,2015,1,4,100,3,151,,4500,1,9,2015,,,,2,4
4,1,104,2,1364,10012,2,3,"THREE LEAVE YAM",1124,1,,11,2015,0.8,4,80,45,80,,4500,2,,,13,80,,2,4
4,1,104,2,1364,10013,1,1,"CASSAVA",1020,2,9,,,,,,,,,,,,,,,,,
4,1,104,2,1364,10013,1,2,"MAIZE",1080,1,,9,2015,70,3,100,10,141,,10000,1,9,2015,,,,1,
4,1,104,2,1364,10013,2,1,"CASSAVA",1020,2,9,,,,,,,,,,,,,,,,,
4,1,104,2,0,10015,1,1,"CASSAVA",1020,1,,9,2015,0.4,4,40,10,131,,10000,2,,,25,131,,2,
4,1,104,2,0,10015,1,2,"MAIZE",1080,1,,7,2015,1,4,100,3,151,,3600,1,9,2015,,,,2,
4,1,104,2,0,10015,2,1,"CASSAVA",1020,2,10,,,,,,,,,,,,,,,,,
4,1,104,2,0,10015,2,2,"MAIZE",1080,1,,7,2015,1,4,100,2,151,,2400,1,9,2015,,,,2,
4,1,104,2,1364,10016,1,1,"YAM",1120,1,,10,2015,50,1,20,50,81,,10000,1,12,2015,,,,2,
