"zone","state","lga","sector","ea","hhid","crop_number","cropname","cropcode","sa3iiq3","sa3iiq4","sa3iiq5a","sa3iiq5b","sa3iiq5b_os","sa3iiq6","sa3iiq7a","sa3iiq7b","sa3iiq8a","sa3iiq8b","sa3iiq9a","sa3iiq9b","sa3iiq10","sa3iiq11a","sa3iiq11b","sa3iiq11b_os","sa3iiq12a","sa3iiq12b","sa3iiq13a","sa3iiq13b","sa3iiq13b_os","sa3iiq14a","sa3iiq14b","sa3iiq14b_os","sa3iiq15a","sa3iiq15b","sa3iiq16a","sa3iiq16b","sa3iiq16b_os","sa3iiq17a","sa3iiq17b","sa3iiq17b_os","sa3iiq18a","sa3iiq18b","sa3iiq18b_os","sa3iiq18c","sa3iiq19","sa3iiq20a","sa3iiq20b","sa3iiq20b_os","sa3iiq21","sa3iiq22a","sa3iiq22b","sa3iiq23a","sa3iiq23b","sa3iiq24","sa3iiq25","sa3iiq25_os","sa3iiq26","sa3iiq27"
4,1,105,2,0,10009,1,"MAIZE",1080,1,1,2,131,,2000,"N02",,2,,2,,1,0.5,131,,0,,1.5,131,,0,,,0,,0,,,0,,,0,,,,2,,,,,,,,,,,,,
4,1,105,2,0,10009,2,"POTATO",2180,2,,,,,,,,,,,,,0,,,0,,1,140,,0,,,0,,0,,,0,,,0,,,,2,,,,,,,,,,,,,
4,1,105,2,0,10009,3,"PLANTAIN",2170,2,,,,,,,,,,,,,0,,,0,,2,101,,0,,,0,,0,,,0,,,0,,,,2,,,,,,,,,,,,,
4,1,104,2,1364,10011,1,"CASSAVA",1020,1,1,2,131,,2000,"N01",,1,,1,,1,0,,,0,,2,131,,0,,,1,131,0,,,1,131,,0,,,,2,,,,,,,,,,,,,
4,1,104,2,1364,10011,2,"MAIZE",1080,1,1,2,131,,2000,"N01",,1,,1,,1,1,130,,0,,1,130,,0,,,1,130,0,,,1,130,,0,,,,2,,,,,,,,,,,,,
4,1,104,2,1364,10011,3,"PALM TREE",3180,2,,,,,,,,,,,,,0,,,0,,0,,,0,,,0,,0,,,0,,,0,,,,2,,,,,,,,,,,,,
4,1,104,2,1364,10011,4,"PLANTAIN",2170,2,,,,,,,,,,,,,0,,,0,,0,,,0,,,0,,0,,,0,,,0,,,,2,,,,,,,,,,,,,
4,1,104,2,1364,10012,1,"CASSAVA",1020,2,,,,,,,,,,,,,0,,,0,,0,,,0,,,0,,0,,,0,,,0,,,,1,3,151,,8000,2,5,2,4,1,3,,2,
4,1,104,2,1364,10012,2,"MAIZE",1080,1,1,2,151,,3000,"N01",,2,5,2,4,1,2,151,,0,,1,151,,0,,,0,,0,,,0,,,0,,,,2,,,,,,,,,,,,,
4,1,104,2,1364,10012,3,"YAM",1120,2,,,,,,,,,,,,,6,81,,0,,6,81,,0,,,0,,0,,,0,,,0,,,,2,,,,,,,,,,,,,
4,1,104,2,1364,10012,4,"PALM TREE FRESH FRUL",3180,2,,,,,,,,,,,,,0,,,0,,38,191,,0,,,0,,0,,,8,101,,0,,,,2,,,,,,,,,,,,,
4,1,104,2,1364,10012,5,"THREE LEAVE YAM",1124,2,,,,,,,,,,,,,20,80,,0,,25,80,,0,,,0,,0,,,0,,,0,,,,2,,,,,,,,,,,,,
4,1,104,2,1364,10012,6,"COCOYAM",1040,2,,,,,,,,,,,,,0,,,0,,4,150,,0,,,0,,0,,,0,,,0,,,,2,,,,,,,,,,,,,
4,1,104,2,1364,10013,1,"MAIZE",1080,1,1,5,141,,5000,"N01",,12,,1,,1,2,141,,0,,3,141,,0,,,0,,0,,,0,,,0,,,,2,,,,,,,,,,,,,
4,1,104,2,0,10015,1,"CASSAVA",1020,2,,,,,,,,,,,,,0,,,0,,10,131,,0,,,0,,0,,,0,,,0,,,,1,350,13,,4000,2,,2,,1,3,,2,
4,1,104,2,0,10015,2,"MAIZE",1080,2,,,,,,,,,,,,,1,151,,0,,1.5,151,,0,,,0,,0,,,0.5,151,,0,,,,2,,,,,,,,,,,,,
4,1,104,2,1364,10016,1,"YAM",1120,2,,,,,,,,,,,,,20,81,,0,,30,81,,0,,,0,,0,,,0,,,0,,,,2,,,,,,,,,,,,,
4,1,104,2,1364,10016,2,"PUMPKIN LEAVE",2191,2,,,,,,,,,,,,,0,,,0,,16,160,,0,,,0,,0,,,0,,,0,,,,2,,,,,,,,,,,,,
4,1,104,2,1364,10016,3,"PAWPAW",3210,2,,,,,,,,,,,,,0,,,0,,21,81,,0,,,0,,0,,,0,,,0,,,,2,,,,,,,,,,,,,
4,1,104,2,1364,10016,4,"MAIZE",1080,2,,,,,,,,,,,,,1,140,,0,,4,140,,0,,,0,,0,,,0,,,0,,,,2,,,,,,,,,,,,,
4,1,104,2,1364,10017,1,"PUMPKIN",2190,1,3,5,101,,3000,"N01",,2,,2,,1,3,101,,0,,2,101,,0,,,0,,0,,,1,101,,0,,,,2,,,,,,,,,,,,,
4,1,104,2,1364,10017,2,"PAWPAW",3210,1,3,17,101,,1400,"N01",,2,,2,,1,0,,,0,,5,101,,0,,,0,,0,,,2,101,,0,,,,2,,,,,,,,,,,,,
4,1,104,2,1364,10017,3,"PINAPPLE",2160,1,4,25,81,,10000,"N01",,2,,2,,1,0,,,0,,8,81,,0,,,0,,0,,,0,,,0,,,,2,,,,,,,,,,,,,
4,1,104,2,1364,10018,1,"CASSAVA",1020,2,,,,,,,,,,,,,0,,,0,,7,132,,0,,,0,,0,,,0,,,0,,,,1,3,151,,7000,2,,2,,1,1,,2,
4,1,104,2,1364,10018,2,"MAIZE",1080,1,1,3,141,,1700,"N01",,2,,2,,1,1,141,,0,,2,141,,0,,,0,,0,,,1,141,,0,,,,2,,,,,,,,,,,,,
4,1,104,2,1364,10018,3,"YAM",1120,2,,,,,,,,,,,,,30,81,,0,,28,81,,0,,,0,,0,,,0,,,0,,,,2,,,,,,,,,,,,,
4,1,104,2,1364,10018,4,"PUMPKIN",2190,1,1,6,100,,1900,"N01",,2,,2,,1,1,100,,0,,3,100,,0,,,0,,0,,,0,,,0,,,,2,,,,,,,,,,,,,
4,1,106,2,880,10021,1,"CASSAVA",1020,1,1,8,131,,16000,"N01",,2,,1,2,1,0,,,0,,6,131,,0,,,0,,0,,,0,,,0,,,,2,,,,,,,,,,,,,
4,1,106,2,880,10021,2,"YAM",1120,1,5,2,152,,5000,"N01",,2,,1,2,1,1,140,,0,,1,152,,0,,,0,,0,,,0,,,0,,,,2,,,,,,,,,,,,,
4,1,106,2,880,10021,3,"MAIZE",1080,1,7,1,131,,3000,"N01",,2,,1,2,1,6,13,,0,,1,131,,0,,,0,,0,,,0,,,0.5,130,,,2,,,,,,,,,,,,,
4,1,106,2,880,10021,4,"PUMPKIN",2190,1,3,3,160,,1200,"N01",,2,,1,2,1,0,,,0,,2,160,,0,,,0,,0,,,0,,,0,,,,2,,,,,,,,,,,,,
4,1,106,2,880,10022,1,"MAIZE",1080,1,1,3,142,,6000,"N04",,2,,2,1,1,0.25,142,,0,,0.75,142,,0,,,0,,0,,,0,,,0,,,,2,,,,,,,,,,,,,
4,1,106,2,880,10022,2,"PEPPER",2140,1,2,29,142,,145000,"N04",,2,,1,2,1,0.15,142,,0,,0.35,142,,0,,,0,,0,,,0,,,0.5,142,,1,2,,,,,,,,,,,,,
4,1,106,2,880,10022,3,"CASSAVA",1020,1,3,15,142,,30000,"N04",,2,,2,1,1,0,,,0,,12,142,,0,,,0,,0,,,0,,,0,,,,2,,,,,,,,,,,,,
4,1,106,2,880,10022,4,"PUMPKIN",2190,2,,,,,,,,,,,,,20,81,,0,,10,81,,10,81,,10,81,0,,,15,81,,15,81,,,2,,,,,,,,,,,,,
4,1,106,2,880,10023,1,"CASSAVA",1020,1,1,23,131,,34500,"N02","N04",2,4,1,,1,0,,,0,,31,131,,0,,,0,,0,,,1,131,,0,,,,1,11,152,,44000,2,4,1,,1,3,,2,
4,1,106,2,880,10023,2,"MAIZE",1080,1,1,32,160,,3000,"N02",,2,4,1,,1,0,,,0,,1,151,,0,,,0,,0,,,0,,,0,,,,2,,,,,,,,,,,,,
4,1,106,2,880,10023,3,"PUMPKIN",2190,1,7,2.5,151,,3200,"N03","N05",2,4,1,,1,0.5,151,,0,,12,160,,0,,,0,,0,,,3,160,,0,,,,2,,,,,,,,,,,,,
4,1,106,2,880,10024,1,"MAIZE",1080,1,1,2,140,,2500,"N02",,2,,2,,1,0,,,0,,1,140,,0,,,0,,0,,,0,,,0,,,,2,,,,,,,,,,,,,
4,1,106,2,880,10024,2,"YAM",1120,2,,,,,,,,,,,,,1,150,,0,,1,150,,0,,,0,,0,,,0,,,0,,,,2,,,,,,,,,,,,,
4,1,106,2,880,10024,3,"OIL PALM TREE",3180,2,,,,,,,,,,,,,0,,,0,,1,191,,0,,,0,,0,,,0,,,0,,,,1,2,191,,8000,2,,2,,1,2,,2,
4,1,106,2,880,10025,1,"PUMPKIN",2190,1,7,25,160,,5000,"N01",,2,,1,2,1,0,,,0,,5,160,,0,,,0,,0,,,0,,,0,,,,2,,,,,,,,,,,,,
4,1,106,2,880,10025,2,"OIL PALM TREE",3180,2,,,,,,,,,,,,,0,,,0,,1,190,,0,,,0,,0,,,1,190,,0,,,,1,4,192,,16000,2,,1,2,1,2,,2,
4,1,106,2,880,10027,1,"THREE LEAVE YAM",1124,1,5,3,141,,5000,"N04",,2,,2,,1,10,141,,0,,3,141,,0,,,0,,0,,,0,,,0,,,,2,,,,,,,,,,,,,
4,1,106,2,880,10027,2,"PUMPKIN SEED",2193,1,4,140,81,,44000,"N04",,2,,2,,1,10,81,,0,,2,81,,0,,,0,,0,,,0,,,0,,,,2,,,,,,,,,,,,,
4,1,106,2,880,10027,3,"GARDEN EGG",2080,1,4,63,131,,50000,"N04",,2,,2,,1,1,131,,0,,3,131,,0,,,0,,0,,,0,,,0,,,,2,,,,,,,,,,,,,
4,1,106,2,880,10027,4,"MAIZE",1080,1,1,1,131,,500,"N04",,2,,2,,1,1,131,,0,,1,131,,0,,,0,,0,,,0,,,0,,,,2,,,,,,,,,,,,,
4,1,106,2,880,10029,1,"MAIZE",1080,1,7,4,151,,4800,"N03","N04",2,,1,,1,2,151,,0,,2.5,151,,0,,,0,,0,,,0.5,151,,0,,,,2,,,,,,,,,,,,,
4,1,106,2,880,10029,2,"CASSAVA",1020,2,,,,,,,,,,,,,0,,,0,,14,131,,0,,,0,,0,,,4,131,,0,,,,1,2,151,,10000,2,,1,,1,3,,2,
4,1,106,2,880,10029,3,"PUMPKIN",2190,1,6,17,161,,5100,"N03",,2,,1,,1,0,,,0,,5,161,,0,,,0,,0,,,0,,,0,,,,2,,,,,,,,,,,,,
4,1,106,2,880,10030,1,"MAIZE",1080,1,1,2,131,,4000,"N01",,2,,1,2,1,1,131,,0,,1,131,,0,,,0,,0,,,0,,,0,,,,2,,,,,,,,,,,,,
4,1,106,2,880,10030,2,"CASSAVA",1020,1,4,8,131,,9000,"N01",,2,,1,2,1,0,,,0,,7,131,,0,,,0,,0,,,1,131,,0,,,,2,,,,,,,,,,,,,
4,1,106,2,880,10030,3,"YAM",1120,1,2,2,130,,10000,"N01",,2,,1,2,1,0.5,130,,0,,0.5,130,,0,,,0,,0,,,1,130,,0,,,,2,,,,,,,,,,,,,
4,1,106,2,880,10030,4,"MELON",1090,1,2,3,131,,7500,"N01",,2,,1,2,1,1,131,,0,,1,131,,0,,,0,,0,,,1,131,,0,,,,2,,,,,,,,,,,,,
4,1,102,1,1690,10057,1,"OKRO",2120,1,1,5,71,,1500,"N01",,2,,1,2,1,0,,,0,,2,71,,0,,,0,,0,,,0,,,0,,,,2,,,,,,,,,,,,,
4,1,102,1,1690,10057,2,"PUMPKIN",2190,1,1,10,101,,7000,"N01",,2,,1,2,1,2,101,,0,,4,101,,0,,,0,,0,,,0,,,0,,,,2,,,,,,,,,,,,,
4,1,102,1,1690,10057,3,"YAM",1120,2,,,,,,,,,,,,,20,81,,0,,10,81,,0,,,0,,0,,,0,,,0,,,,2,,,,,,,,,,,,,
