"zone","state","lga","ea","sector","hhid","sa9aq1"
4,1,105,0,2,10009,2
4,1,104,1364,2,10011,2
4,1,104,1364,2,10012,2
4,1,104,1364,2,10013,2
4,1,104,0,2,10015,2
4,1,104,1364,2,10016,2
4,1,104,1364,2,10017,2
4,1,104,1364,2,10018,2
4,1,104,1364,2,10019,2
4,1,106,880,2,10021,2
4,1,106,880,2,10022,2
4,1,106,880,2,10023,2
4,1,106,880,2,10024,2
4,1,106,880,2,10025,2
4,1,106,880,2,10027,2
4,1,106,880,2,10029,2
4,1,106,880,2,10030,2
4,1,111,1146,1,10033,2
4,1,102,1690,1,10057,2
4,1,107,1044,2,10061,2
4,1,107,1044,2,10062,2
4,1,107,1044,2,10063,2
4,1,107,1044,2,10064,2
4,1,102,0,1,10065,2
4,1,107,1044,2,10066,2
4,1,107,1044,2,10067,2
4,1,107,1044,2,10068,2
4,1,107,1044,2,10069,2
4,1,107,0,2,10070,2
4,1,117,560,2,10071,2
4,1,117,560,2,10072,2
4,1,117,560,2,10073,2
4,1,117,560,2,10074,2
4,1,117,560,2,10075,2
4,1,117,560,2,10076,2
4,1,117,560,2,10077,2
4,1,117,560,2,10078,2
4,1,117,560,2,10079,2
4,1,117,560,2,10080,2
4,1,110,76,2,10081,2
4,1,110,76,2,10082,2
4,1,110,76,2,10085,2
4,1,110,76,2,10086,2
4,1,110,76,2,10087,2
4,1,110,76,2,10088,2
4,1,110,76,2,10089,2
4,1,105,638,2,10091,2
4,1,105,638,2,10092,2
5,3,322,0,2,10093,2
4,1,105,638,2,10094,2
4,1,105,638,2,10096,2
4,1,105,638,2,10097,2
4,1,105,638,2,10099,2
4,1,105,638,2,10100,2
4,1,108,904,2,10102,2
4,1,108,904,2,10103,2
4,1,108,904,2,10104,2
4,1,108,904,2,10105,2
4,1,108,904,2,10106,2
4,1,108,904,2,10107,2
4,1,108,904,2,10108,2
4,1,108,904,2,10109,2
4,1,108,904,2,10110,2
2,2,209,1040,2,20001,2
2,2,209,1040,2,20002,2
2,34,3401,0,2,20003,2
2,2,209,0,2,20004,2
2,2,209,1040,2,20005,2
2,2,209,1040,2,20006,2
2,2,209,1040,2,20007,2
2,2,209,1040,2,20008,2
