"zone","state","lga","sector","ea","hhid","fish_cd","fish_desc","fish_other","sa9aq2","sa9aq3","sa9aq4a1","sa9aq4a2","sa9aq4b1","sa9aq4b2","sa9aq5a","sa9aq5b","sa9aq6","sa9aq7a","sa9aq7b","sa9aq8","sa9aq9","sa9aq10a1","sa9aq10a2","sa9aq10b1","sa9aq10b2","sa9aq11","sa9aq12a1","sa9aq12a2","sa9aq12a3","sa9aq12b1","sa9aq12b2","sa9aq12b3","sa9aq13a","sa9aq13b","sa9aq14","sa9aq15a","sa9aq15b","sa9aq16","sa9aq17","sa9aq18a1","sa9aq18a2","sa9aq18a3","sa9aq18b1","sa9aq18b2","sa9aq18b3"
2,2,216,2,200,20031,1,"Catfish",,1,24,2500,81,0,,0,,,0,,,0,1,2,0,,4,1,2,2,,,,10,91,3000,,,,91,0,,,,,
2,2,216,2,200,20031,2,"Tilapia",,1,24,2000,81,0,,0,,,0,,,0,1,2,0,,4,1,2,2,,,,10,91,200,,,,91,0,,,,,
2,2,216,2,200,20031,3,"Carpfish",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,216,2,200,20031,4,"Shrimps",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,216,2,200,20031,5,"Other (Specify)",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,216,2,200,20031,6,"Other (Specify)",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,216,2,200,20031,7,"Other (Specify)",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,216,2,200,20032,1,"Catfish",,1,20,10,2,0,,7,2,8000,0,,,20,1,2,0,,20,5,2,3,2,2,1,7,2,6000,2,2,8000,20,1,2,3,1,2,1
2,2,216,2,200,20032,2,"Tilapia",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,216,2,200,20032,3,"Carpfish",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,216,2,200,20032,4,"Shrimps",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,216,2,200,20032,5,"Other (Specify)",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,216,2,200,20032,6,"Other (Specify)",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,216,2,200,20032,7,"Other (Specify)",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,216,2,200,20033,1,"Catfish",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,216,2,200,20033,2,"Tilapia",,1,40,15,2,0,,13,2,8000,0,,,40,1,2,0,,40,10,2,3,,,,10,2,800,,,,40,1,2,1,,,
2,2,216,2,200,20033,3,"Carpfish",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,216,2,200,20033,4,"Shrimps",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,216,2,200,20033,5,"Other (Specify)",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,216,2,200,20033,6,"Other (Specify)",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,216,2,200,20033,7,"Other (Specify)",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,216,2,200,20034,1,"Catfish",,1,48,1,91,0,,1,90,2500,1,90,2000,48,1,1,0,,0,,,,,,,,,,,,,,,,,,,
2,2,216,2,200,20034,2,"Tilapia",,1,48,1,91,0,,1,90,2500,1,90,2000,48,1,1,0,,0,,,,,,,,,,,,,,,,,,,
2,2,216,2,200,20034,3,"Carpfish",,1,48,1,91,0,,1,90,2500,1,90,2000,48,1,1,0,,0,,,,,,,,,,,,,,,,,,,
2,2,216,2,200,20034,4,"Shrimps",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,216,2,200,20034,5,"Other (Specify)",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,216,2,200,20034,6,"Other (Specify)",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,216,2,200,20034,7,"Other (Specify)",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,216,2,200,20040,1,"Catfish",,1,24,150,4,0,,10,4,20000,0,,,24,26,1,0,,24,5,1,3,5,1,3,10,1,5000,10,1,6000,24,5,1,3,5,1,3
2,2,216,2,200,20040,2,"Tilapia",,1,24,100,4,0,,10,4,8000,0,,,24,26,1,0,,24,5,1,3,5,1,3,10,1,4000,10,1,5000,24,5,1,3,5,1,3
2,2,216,2,200,20040,3,"Carpfish",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,216,2,200,20040,4,"Shrimps",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,216,2,200,20040,5,"Other (Specify)",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,216,2,200,20040,6,"Other (Specify)",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,216,2,200,20040,7,"Other (Specify)",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,3,305,2,1542,30123,1,"Catfish",,1,46,0,,850,80,0,,,500,1,250000,1,0,,300,1,0,,,,,,,,,,,,,,,,,,,
5,3,305,2,1542,30123,2,"Tilapia",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,3,305,2,1542,30123,3,"Carpfish",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,3,305,2,1542,30123,4,"Shrimps",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,3,305,2,1542,30123,5,"Other (Specify)",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,3,305,2,1542,30123,6,"Other (Specify)",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,3,305,2,1542,30123,7,"Other (Specify)",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,5,502,2,3878,50035,1,"Catfish",,1,12,80,1,0,,60,1,30000,0,,,12,20,1,0,,0,,,,,,,,,,,,,,,,,,,
2,5,502,2,3878,50035,2,"Tilapia",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,5,502,2,3878,50035,3,"Carpfish",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,5,502,2,3878,50035,4,"Shrimps",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,5,502,2,3878,50035,5,"Other (Specify)",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,5,502,2,3878,50035,6,"Other (Specify)",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,5,502,2,3878,50035,7,"Other (Specify)",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,5,502,2,3878,50036,1,"Catfish",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,5,502,2,3878,50036,2,"Tilapia",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,5,502,2,3878,50036,3,"Carpfish",,1,4,6,1,0,,2,1,1500,0,,,4,1,1,0,,0,,,,,,,,,,,,,,,,,,,
2,5,502,2,3878,50036,4,"Shrimps",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,5,502,2,3878,50036,5,"Other (Specify)",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,5,502,2,3878,50036,6,"Other (Specify)",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,5,502,2,3878,50036,7,"Other (Specify)",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,5,502,2,3878,50038,1,"Catfish",,1,18,70,1,0,,60,1,30000,7,1,3500,18,10,1,0,,0,,,,,,,,,,,,,,,,,,,
2,5,502,2,3878,50038,2,"Tilapia",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,5,502,2,3878,50038,3,"Carpfish",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,5,502,2,3878,50038,4,"Shrimps",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,5,502,2,3878,50038,5,"Other (Specify)",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
