"zone","state","lga","ea","sector","hhid","sa9bq1","sa9bq2"
2,2,216,200,2,20031,1,0
2,2,216,200,2,20032,1,0
2,2,216,200,2,20033,1,1
2,2,216,200,2,20034,1,1
2,2,216,200,2,20040,1,1
5,3,305,1542,2,30123,2,
2,5,502,3878,2,50035,2,
2,5,502,3878,2,50036,2,
2,5,502,3878,2,50038,2,
2,5,514,710,2,50062,2,
2,5,514,710,2,50067,2,
2,5,514,710,2,50068,2,
5,6,608,3978,1,60030,1,1
1,7,713,304,2,70151,1,1
1,7,713,304,2,70154,2,
1,7,713,304,2,70155,1,1
1,7,713,304,2,70157,1,1
5,9,915,1390,1,90022,1,1
3,17,1722,96,2,170041,2,
3,17,1722,96,2,170042,2,
3,17,1722,96,2,170043,2,
3,17,1722,96,2,170046,2,
3,17,1722,96,2,170047,2,
3,17,1722,96,2,170048,2,
3,17,1722,96,2,170049,2,
1,22,2211,806,1,220002,1,1
6,24,2407,396,2,240163,1,2
1,26,2613,2248,2,260125,2,
1,26,2608,820,2,260133,2,
6,28,2810,0,2,280091,1,2
6,28,2810,2394,2,280096,1,4
6,28,2810,2394,2,280097,1,2
6,28,2810,2394,2,280098,1,2
6,28,2810,3722,1,280103,1,1
6,28,2810,3722,1,280108,1,2
6,28,2810,3722,1,280109,1,2
6,28,2807,1266,2,280126,1,1
6,28,2807,1266,2,280129,1,2
5,32,3215,1896,1,320067,2,
5,32,3203,2644,2,320125,1,2
5,32,3202,84,2,320139,2,
5,32,3207,1464,2,320202,1,1
3,36,3606,1956,2,360081,2,
