"zone","state","lga","sector","ea","hhid","boat_cd","boat_desc","sa9bq3","sa9bq4","sa9bq5","sa9bq6","sa9bq7","sa9bq8","sa9bq9"
2,2,216,2,200,20031,1,"Canoe without engine",0,,2,,,0,0
2,2,216,2,200,20031,2,"Canoe with engine",0,,2,,,0,0
2,2,216,2,200,20031,3,"Boat without engine",0,,2,,,0,0
2,2,216,2,200,20031,4,"Boat with engine",0,,2,,,0,0
2,2,216,2,200,20031,5,"Outboard engine",0,,2,,,0,0
2,2,216,2,200,20031,6,"Other (Specify)",0,,2,,,0,0
2,2,216,2,200,20031,7,"Other (Specify)",0,,2,,,0,0
2,2,216,2,200,20032,1,"Canoe without engine",0,,2,,,0,0
2,2,216,2,200,20032,2,"Canoe with engine",0,,2,,,0,0
2,2,216,2,200,20032,3,"Boat without engine",0,,2,,,0,0
2,2,216,2,200,20032,4,"Boat with engine",0,,2,,,0,0
2,2,216,2,200,20032,5,"Outboard engine",0,,2,,,0,0
2,2,216,2,200,20032,6,"Other (Specify)",0,,2,,,0,0
2,2,216,2,200,20032,7,"Other (Specify)",0,,2,,,0,0
2,2,216,2,200,20033,1,"Canoe without engine",0,,1,6,300,0,0
2,2,216,2,200,20033,2,"Canoe with engine",0,,2,,,0,0
2,2,216,2,200,20033,3,"Boat without engine",0,,2,,,0,0
2,2,216,2,200,20033,4,"Boat with engine",0,,2,,,0,0
2,2,216,2,200,20033,5,"Outboard engine",0,,2,,,0,0
2,2,216,2,200,20033,6,"Other (Specify)",0,,2,,,0,0
2,2,216,2,200,20033,7,"Other (Specify)",0,,2,,,0,0
2,2,216,2,200,20034,1,"Canoe without engine",0,,1,24,200,0,100
2,2,216,2,200,20034,2,"Canoe with engine",0,,2,,,0,0
2,2,216,2,200,20034,3,"Boat without engine",0,,2,,,0,0
2,2,216,2,200,20034,4,"Boat with engine",0,,2,,,0,0
2,2,216,2,200,20034,5,"Outboard engine",0,,2,,,0,0
2,2,216,2,200,20034,6,"Other (Specify)",0,,2,,,0,0
2,2,216,2,200,20034,7,"Other (Specify)",0,,2,,,0,0
2,2,216,2,200,20040,1,"Canoe without engine",1,20000,2,,,1000,0
2,2,216,2,200,20040,2,"Canoe with engine",0,,2,,,0,0
2,2,216,2,200,20040,3,"Boat without engine",0,,2,,,0,0
2,2,216,2,200,20040,4,"Boat with engine",0,,2,,,0,0
2,2,216,2,200,20040,5,"Outboard engine",0,,2,,,0,0
2,2,216,2,200,20040,6,"Other (Specify)",0,,2,,,0,0
2,2,216,2,200,20040,7,"Other (Specify)",0,,2,,,0,0
5,3,305,2,1542,30123,1,"Canoe without engine",,,,,,,
5,3,305,2,1542,30123,2,"Canoe with engine",,,,,,,
5,3,305,2,1542,30123,3,"Boat without engine",,,,,,,
5,3,305,2,1542,30123,4,"Boat with engine",,,,,,,
5,3,305,2,1542,30123,5,"Outboard engine",,,,,,,
5,3,305,2,1542,30123,6,"Other (Specify)",,,,,,,
5,3,305,2,1542,30123,7,"Other (Specify)",,,,,,,
2,5,502,2,3878,50035,1,"Canoe without engine",,,,,,,
2,5,502,2,3878,50035,2,"Canoe with engine",,,,,,,
2,5,502,2,3878,50035,3,"Boat without engine",,,,,,,
2,5,502,2,3878,50035,4,"Boat with engine",,,,,,,
