"zone","state","lga","sector","ea","hhid","sa9bq10a","sa9bq10b","sa9bq11a","sa9bq11b","sa9bq12a","sa9bq12b","sa9bq13","sa9bq14","sa9bq15a","sa9bq15b","sa9bq15c","sa9bq16","sa9bq17a1","sa9bq17a2","sa9bq17b1","sa9bq17b2","sa9bq17c1","sa9bq17c2","sa9bq18","sa9bq19a","sa9bq19b","sa9bq19c","sa9bq20a","sa9bq20b","sa9bq20c","sa9bq21","sa9bq22a","sa9bq22b","sa9bq22c","sa9bq22d","sa9bq22e"
2,2,216,2,200,20031,0,,0,,0,,1,,,,,,,,,,,,,,,,,,,2,,,,,
2,2,216,2,200,20032,0,,0,,0,,1,,,,,,,,,,,,,,,,,,,2,,,,,
2,2,216,2,200,20033,0,,0,,0,,1,,,,,,,,,,,,,,,,,,,2,,,,,
2,2,216,2,200,20034,0,,0,,0,,1,,,,,,,,,,,,,,,,,,,2,,,,,
2,2,216,2,200,20040,0,,0,,0,,1,,,,,,,,,,,,,,,,,,,2,,,,,
5,3,305,2,1542,30123,2,1,0,,0,,2,1,4000,0,0,2,,,,,,,1,4000,0,0,0,0,0,1,6500,3000,0,0,0
2,5,502,2,3878,50035,0,,0,,0,,1,,,,,,,,,,,,,,,,,,,2,,,,,
2,5,502,2,3878,50036,0,,0,,0,,1,,,,,,,,,,,,,,,,,,,2,,,,,
2,5,502,2,3878,50038,0,,0,,0,,1,,,,,,,,,,,,,,,,,,,2,,,,,
2,5,514,2,710,50062,0,,0,,0,,1,,,,,,,,,,,,,,,,,,,2,,,,,
2,5,514,2,710,50067,0,,0,,0,,1,,,,,,,,,,,,,,,,,,,2,,,,,
2,5,514,2,710,50068,0,,0,,0,,1,,,,,,,,,,,,,,,,,,,2,,,,,
5,6,608,1,3978,60030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,7,713,2,304,70151,0,,0,,0,,1,,,,,,,,,,,,,,,,,,,2,,,,,
1,7,713,2,304,70154,0,,0,,0,,1,,,,,,,,,,,,,,,,,,,2,,,,,
1,7,713,2,304,70155,0,,0,,0,,1,,,,,,,,,,,,,,,,,,,2,,,,,
1,7,713,2,304,70157,0,,0,,0,,1,,,,,,,,,,,,,,,,,,,2,,,,,
5,9,915,1,1390,90022,0,,0,,0,,1,,,,,,,,,,,,,,,,,,,2,,,,,
3,17,1722,2,96,170041,0,,0,,0,,1,,,,,,,,,,,,,,,,,,,2,,,,,
3,17,1722,2,96,170042,0,,0,,0,,1,,,,,,,,,,,,,,,,,,,2,,,,,
3,17,1722,2,96,170043,0,,0,,0,,1,,,,,,,,,,,,,,,,,,,2,,,,,
3,17,1722,2,96,170046,0,,0,,0,,1,,,,,,,,,,,,,,,,,,,2,,,,,
3,17,1722,2,96,170047,0,,0,,0,,1,,,,,,,,,,,,,,,,,,,2,,,,,
3,17,1722,2,96,170048,0,,0,,0,,1,,,,,,,,,,,,,,,,,,,2,,,,,
3,17,1722,2,96,170049,0,,0,,0,,1,,,,,,,,,,,,,,,,,,,2,,,,,
1,22,2211,1,806,220002,0,,0,,0,,1,,,,,,,,,,,,,,,,,,,2,,,,,
6,24,2407,2,396,240163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,26,2613,2,2248,260125,0,,0,,0,,1,,,,,,,,,,,,,,,,,,,2,,,,,
1,26,2608,2,820,260133,0,,0,,0,,1,,,,,,,,,,,,,,,,,,,2,,,,,
6,28,2810,2,0,280091,0,,0,,0,,1,,,,,,,,,,,,,,,,,,,2,,,,,
6,28,2810,2,2394,280096,0,,0,,0,,1,,,,,,,,,,,,,,,,,,,2,,,,,
6,28,2810,2,2394,280097,0,,0,,0,,1,,,,,,,,,,,,,,,,,,,2,,,,,
6,28,2810,2,2394,280098,0,,0,,0,,1,,,,,,,,,,,,,,,,,,,2,,,,,
6,28,2810,1,3722,280103,0,,0,,0,,1,,,,,,,,,,,,,,,,,,,2,,,,,
6,28,2810,1,3722,280108,0,,0,,0,,1,,,,,,,,,,,,,,,,,,,2,,,,,
6,28,2810,1,3722,280109,0,,0,,0,,1,,,,,,,,,,,,,,,,,,,2,,,,,
6,28,2807,2,1266,280126,0,,0,,0,,1,,,,,,,,,,,,,,,,,,,2,,,,,
6,28,2807,2,1266,280129,0,,0,,0,,1,,,,,,,,,,,,,,,,,,,2,,,,,
5,32,3215,1,1896,320067,0,,0,,0,,1,,,,,,,,,,,,,,,,,,,1,5700,0,0,0,2500
5,32,3203,2,2644,320125,3,4,0,,0,,2,,,,,,,,,,,,,,,,,,,1,50000,62000,120000,21000,200000
5,32,3202,2,84,320139,0,,0,,0,,1,,,,,,,,,,,,,,,,,,,1,72000,25000,20000,1500,15000
5,32,3207,2,1464,320202,0,,0,,0,,1,,,,,,,,,,,,,,,,,,,2,,,,,
3,36,3606,2,1956,360081,0,,0,,0,,1,,,,,,,,,,,,,,,,,,,2,,,,,
