"zone","state","lga","sector","ea","hhid","ric","saq7","qno","qno1","ag1","ag2","ag3","saq11_b","saq12_b","saq13","saq13d","saq13m","saq13y","saq14ah","saq14am","saq14bh","saq14bm","saq15a","saq15b","saq16","saq16d","saq16m","saq16y","saq17ah","saq17am","saq17bh","saq17bm","saq18a","saq18b","saq19","saq19d","saq19m","saq19y","saq20ah","saq20am","saq20bh","saq20bm","saq21a","saq21b","saq22","saq22a","saq22a_os","saq22b","saq22b_os"
4,1,115,1,670,10001,1309,30,1,1,2,2,2,5,1,"14032016",14,3,2016,10,0,12,30,16,,,,,,,,,,,,,,,,,,,,,,2,1,,1,
4,1,115,1,670,10002,1309,14,1,1,2,2,2,5,1,"15032016",15,3,2016,13,5,17,30,16,,,,,,,,,,,,,,,,,,,,,,2,1,,1,
4,1,115,1,670,10003,1309,40,1,1,2,2,2,2,1,"14032016",14,3,2016,13,14,16,50,16,,,,,,,,,,,,,,,,,,,,,,2,1,,1,
4,1,115,1,670,10004,1309,62,1,1,2,2,2,2,1,"14032016",14,3,2016,10,46,13,6,16,,,,,,,,,,,,,,,,,,,,,,2,1,,1,
4,1,115,1,670,10005,1309,1,1,1,2,2,2,2,1,"17032016",17,3,2016,14,20,17,5,16,,,,,,,,,,,,,,,,,,,,,,2,1,,1,
4,1,115,1,0,10006,0,0,1,1,,,,4,1,"14032016",14,3,2016,,,,,,,"16032016",16,3,2016,,,,,,,"17032016",17,3,2016,,,,,,,1,4,,,
4,1,115,1,670,10008,1309,51,1,1,2,2,2,4,1,"14032016",14,3,2016,14,3,17,21,16,,,,,,,,,,,,,,,,,,,,,,2,1,,1,
4,1,105,2,0,10009,0,0,1,2,1,2,1,3,1,"15032016",15,3,2016,16,20,18,45,8,,"16032016",16,3,2016,16,33,19,52,8,,,,,,,,,,,,2,1,,1,
4,1,115,1,670,10010,1309,46,1,1,2,2,2,3,1,"14032016",14,3,2016,12,10,14,35,8,,"15032016",15,3,2016,11,18,13,8,16,,,,,,,,,,,,2,1,,1,
4,1,104,2,1364,10011,1103,21,1,2,1,2,1,5,1,"25022016",25,2,2016,10,15,13,50,16,,,,,,,,,,,,,,,,,,,,,,2,1,,1,
4,1,104,2,1364,10012,1103,9,1,2,1,2,1,4,1,"26022016",26,2,2016,10,12,13,40,16,,,,,,,,,,,,,,,,,,,,,,2,1,,1,
4,1,104,2,1364,10013,1103,6,1,2,1,2,1,2,1,"26022016",26,2,2016,11,11,14,6,16,,,,,,,,,,,,,,,,,,,,,,2,1,,1,
4,1,104,2,1364,10014,1103,11,1,1,2,2,2,2,1,"27022016",27,2,2016,9,30,12,15,16,,,,,,,,,,,,,,,,,,,,,,2,1,,1,
4,1,104,2,0,10015,0,0,1,2,1,2,1,4,1,"27022016",27,2,2016,10,34,14,8,16,,,,,,,,,,,,,,,,,,,,,,1,1,,1,
4,1,104,2,1364,10016,1103,24,1,2,1,2,1,3,1,"27022016",27,2,2016,11,20,14,54,16,,,,,,,,,,,,,,,,,,,,,,2,1,,1,
4,1,104,2,1364,10017,1103,19,1,2,1,2,1,3,1,"26022016",26,2,2016,8,55,12,7,16,,,,,,,,,,,,,,,,,,,,,,2,1,,1,
4,1,104,2,1364,10018,1103,16,1,2,1,2,1,3,1,"26022016",26,2,2016,12,34,18,16,16,,,,,,,,,,,,,,,,,,,,,,2,1,,1,
4,1,104,2,1364,10019,1103,14,1,2,1,2,1,5,1,"26022016",26,2,2016,12,0,16,20,16,,,,,,,,,,,,,,,,,,,,,,2,1,,1,
4,1,106,2,880,10021,1104,4,1,2,1,1,1,5,1,"22022016",22,2,2016,10,30,15,25,16,,,,,,,,,,,,,,,,,,,,,,2,1,,1,
4,1,106,2,880,10022,1104,10,1,2,1,2,1,3,1,"22022016",22,2,2016,10,15,13,26,16,,,,,,,,,,,,,,,,,,,,,,2,1,,1,
4,1,106,2,880,10023,1104,3,1,2,1,2,1,4,1,"22022016",22,2,2016,9,6,13,41,16,,,,,,,,,,,,,,,,,,,,,,2,1,,1,
