"zone","state","lga","sector","ea","hhid","ric","saq7","qno","qno1","saq11_b","saq12_b","saq13","saq13d","saq13m","saq13y","saq14ah","saq14am","saq14bh","saq14bm","saq15a","saq15b","saq16","saq16d","saq16m","saq16y","saq17ah","saq17am","saq17bh","saq17bm","saq18a","saq18b","saq19","saq19d","saq19m","saq19y","saq20ah","saq20am","saq20bh","saq20bm","saq21a","saq21b","saq22","saq22a","saq22b"
4,1,115,1,670,10001,1309,30,1,1,5,1,"04092015",4,9,2015,9,30,12,20,14,,,,,,,,,,,,,,,,,,,,,,2,1,1
4,1,115,1,670,10002,1309,14,1,1,5,1,"19092015",19,9,2015,16,4,18,30,15,,,,,,,,,,,,,,,,,,,,,,2,1,1
4,1,115,1,670,10003,1309,40,1,1,2,1,"04092015",4,9,2015,9,5,12,15,16,,,,,,,,,,,,,,,,,,,,,,2,1,1
4,1,115,1,670,10004,1309,62,1,1,2,1,"16092015",16,9,2015,13,40,16,10,16,,,,,,,,,,,,,,,,,,,,,,1,1,1
4,1,115,1,670,10005,1309,1,1,1,2,1,"16092015",16,9,2015,9,5,12,8,16,,,,,,,,,,,,,,,,,,,,,,2,1,1
4,1,115,1,0,10006,0,0,1,1,2,1,"20102015",20,10,2015,11,5,15,50,15,,,,,,,,,,,,,,,,,,,,,,1,1,1
4,1,115,1,670,10008,1309,51,1,1,4,1,"04092015",4,9,2015,13,14,16,31,16,,,,,,,,,,,,,,,,,,,,,,2,1,1
4,1,105,2,0,10009,0,0,1,2,2,1,"15102015",15,10,2015,18,7,19,30,8,,"16102015",16,10,2015,9,20,12,34,16,,,,,,,,,,,,2,1,1
4,1,115,1,670,10010,1309,46,1,1,3,1,"04092015",4,9,2015,10,47,12,50,16,,,,,,,,,,,,,,,,,,,,,,2,1,1
4,1,104,2,1364,10011,1103,21,1,2,5,1,"02092015",2,9,2015,10,30,13,0,16,,,,,,,,,,,,,,,,,,,,,,2,1,1
4,1,104,2,1364,10012,1103,9,1,2,4,1,"02092015",2,9,2015,10,26,13,48,16,,,,,,,,,,,,,,,,,,,,,,2,1,1
4,1,104,2,1364,10013,1103,6,1,2,2,1,"02092015",2,9,2015,9,5,12,45,16,,,,,,,,,,,,,,,,,,,,,,2,1,1
4,1,104,2,1364,10014,1103,11,1,1,2,1,"02092015",2,9,2015,13,20,16,30,16,,,,,,,,,,,,,,,,,,,,,,2,1,1
4,1,104,2,0,10015,0,0,1,2,2,1,"16102015",16,10,2015,14,37,17,20,16,,,,,,,,,,,,,,,,,,,,,,2,1,1
4,1,104,2,1364,10016,1103,24,1,2,3,1,"03092015",3,9,2015,10,9,12,30,16,,,,,,,,,,,,,,,,,,,,,,1,1,1
4,1,104,2,1364,10017,1103,19,1,2,3,1,"02092015",2,9,2015,10,20,13,10,16,,,,,,,,,,,,,,,,,,,,,,2,1,1
4,1,104,2,1364,10018,1103,16,1,2,3,1,"02092015",2,9,2015,13,35,16,48,16,,,,,,,,,,,,,,,,,,,,,,2,1,1
4,1,104,2,1364,10019,1103,14,1,2,5,1,"02092015",2,9,2015,13,30,16,15,16,,,,,,,,,,,,,,,,,,,,,,2,1,1
4,1,104,2,1364,10020,1103,1,1,1,2,1,"17092015",17,9,2015,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,4,1
4,1,106,2,880,10021,1104,4,1,2,5,1,"22082015",22,8,2015,14,20,17,5,16,,,,,,,,,,,,,,,,,,,,,,1,1,1
4,1,106,2,880,10022,1104,10,1,2,3,1,"24082015",24,8,2015,10,10,16,22,16,,,,,,,,,,,,,,,,,,,,,,1,1,1
